Rank 107641: 104985 - [001, 107638, 000] - HP: 510, STR: 818, VIT: 207, SPD: 15, LUK: 1, Attack: 131804, Defense: 87632, Current HP: 510, A Avg: 1097927, D Avg: 122684, [Tekken[188, 0, 0, 0], Cloud Shield[241, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 107641: 105247 - [001, 107638, 000] - HP: 399, STR: 2460, VIT: 226, SPD: 19, LUK: 1, Attack: 134267, Defense: 88054, Current HP: 399, A Avg: 1118444, D Avg: 123275, [Tekken[188, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 107641: 105846 - [001, 107638, 000] - HP: 250, STR: -18842, VIT: 713, SPD: 15, LUK: 1, Attack: 120637, Defense: 87501, Current HP: 250, A Avg: 1004906, D Avg: 122501, [Sword of Evil[189, 0, 0, 0], Energy Shield[227, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 107641: 105847 - [001, 107638, 000] - HP: 240, STR: -18831, VIT: 713, SPD: 15, LUK: 1, Attack: 120653, Defense: 87501, Current HP: 240, A Avg: 1005039, D Avg: 122501, [Sword of Evil[189, 0, 0, 0], Energy Shield[227, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 107641: 105848 - [001, 107638, 000] - HP: 360, STR: -18842, VIT: 491, SPD: 15, LUK: 1, Attack: 120637, Defense: 87279, Current HP: 360, A Avg: 1004906, D Avg: 122190, [Sword of Evil[189, 0, 0, 0], Energy Shield[227, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 107641: 105849 - [001, 107638, 000] - HP: 280, STR: -18842, VIT: 491, SPD: 29, LUK: 1, Attack: 120637, Defense: 87279, Current HP: 280, A Avg: 1004906, D Avg: 122190, [Sword of Evil[189, 0, 0, 0], Energy Shield[227, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 107641: 105850 - [001, 107638, 000] - HP: 260, STR: -24225, VIT: 502, SPD: 25, LUK: 1, Attack: 112562, Defense: 87290, Current HP: 260, A Avg: 937641, D Avg: 122205, [Sword of Evil[189, 0, 0, 0], Energy Shield[227, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 107641: 105851 - [001, 107638, 000] - HP: 240, STR: -18831, VIT: 744, SPD: 15, LUK: 1, Attack: 120653, Defense: 87532, Current HP: 240, A Avg: 1005039, D Avg: 122544, [Sword of Evil[189, 0, 0, 0], Energy Shield[227, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 107641: 105852 - [001, 107638, 000] - HP: 260, STR: -18821, VIT: 502, SPD: 15, LUK: 2, Attack: 120668, Defense: 87290, Current HP: 260, A Avg: 1005164, D Avg: 122205, [Sword of Evil[189, 0, 0, 0], Energy Shield[227, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 107641: 105853 - [001, 107638, 000] - HP: 240, STR: -27752, VIT: 502, SPD: 15, LUK: 1, Attack: 107272, Defense: 87290, Current HP: 240, A Avg: 893575, D Avg: 122205, [Sword of Evil[189, 0, 0, 0], Energy Shield[227, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 107641: 105854 - [001, 107638, 000] - HP: 510, STR: -18831, VIT: 512, SPD: 15, LUK: 1, Attack: 120653, Defense: 87300, Current HP: 510, A Avg: 1005039, D Avg: 122219, [Sword of Evil[189, 0, 0, 0], Energy Shield[227, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 107641: 105855 - [001, 107638, 000] - HP: 429, STR: -18779, VIT: 491, SPD: 15, LUK: 1, Attack: 120731, Defense: 87279, Current HP: 429, A Avg: 1005689, D Avg: 122190, [Sword of Evil[189, 0, 0, 0], Energy Shield[227, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 107641: 105856 - [001, 107638, 000] - HP: 506, STR: -18842, VIT: 744, SPD: 15, LUK: 1, Attack: 120637, Defense: 87532, Current HP: 506, A Avg: 1004906, D Avg: 122544, [Sword of Evil[189, 0, 0, 0], Energy Shield[227, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 107641: 105857 - [001, 107638, 000] - HP: 414, STR: -18779, VIT: 481, SPD: 15, LUK: 2, Attack: 120731, Defense: 87269, Current HP: 414, A Avg: 1005689, D Avg: 122176, [Sword of Evil[189, 0, 0, 0], Energy Shield[227, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 107641: 105858 - [001, 107638, 000] - HP: 300, STR: -21533, VIT: 522, SPD: 25, LUK: 1, Attack: 116600, Defense: 87310, Current HP: 300, A Avg: 971277, D Avg: 122233, [Sword of Evil[189, 0, 0, 0], Energy Shield[227, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 107641: 105859 - [001, 107638, 000] - HP: 240, STR: -32827, VIT: 481, SPD: 15, LUK: 1, Attack: 99659, Defense: 87269, Current HP: 240, A Avg: 830159, D Avg: 122176, [Sword of Evil[189, 0, 0, 0], Energy Shield[227, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 107641: 105860 - [001, 107638, 000] - HP: 252, STR: -28519, VIT: 613, SPD: 17, LUK: 1, Attack: 106121, Defense: 87401, Current HP: 252, A Avg: 883987, D Avg: 122361, [Sword of Evil[189, 0, 0, 0], Energy Shield[227, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 107641: 105861 - [001, 107638, 000] - HP: 340, STR: -27752, VIT: 560, SPD: 15, LUK: 1, Attack: 107272, Defense: 87348, Current HP: 340, A Avg: 893575, D Avg: 122287, [Sword of Evil[189, 0, 0, 0], Energy Shield[227, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 107641: 105862 - [001, 107638, 000] - HP: 240, STR: -18741, VIT: 481, SPD: 15, LUK: 2, Attack: 120788, Defense: 87269, Current HP: 240, A Avg: 1006164, D Avg: 122176, [Sword of Evil[189, 0, 0, 0], Energy Shield[227, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 107641: 105863 - [001, 107638, 000] - HP: 484, STR: -20521, VIT: 956, SPD: 18, LUK: 1, Attack: 118118, Defense: 87744, Current HP: 484, A Avg: 983922, D Avg: 122841, [Sword of Evil[189, 0, 0, 0], Energy Shield[227, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 107641: 105864 - [001, 107638, 000] - HP: 528, STR: -29519, VIT: 589, SPD: 18, LUK: 1, Attack: 104621, Defense: 87377, Current HP: 528, A Avg: 871492, D Avg: 122327, [Sword of Evil[189, 0, 0, 0], Energy Shield[227, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 107641: 105865 - [001, 107638, 000] - HP: 620, STR: -23906, VIT: 1076, SPD: 15, LUK: 1, Attack: 113041, Defense: 87864, Current HP: 620, A Avg: 941631, D Avg: 123009, [Sword of Evil[189, 0, 0, 0], Energy Shield[227, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 107641: 105866 - [001, 107638, 000] - HP: 391, STR: -18802, VIT: 771, SPD: 15, LUK: 1, Attack: 120697, Defense: 87559, Current HP: 391, A Avg: 1005406, D Avg: 122582, [Sword of Evil[189, 0, 0, 0], Energy Shield[227, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 107641: 105867 - [001, 107638, 000] - HP: 340, STR: -27752, VIT: 522, SPD: 15, LUK: 1, Attack: 107272, Defense: 87310, Current HP: 340, A Avg: 893575, D Avg: 122233, [Sword of Evil[189, 0, 0, 0], Energy Shield[227, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 107641: 105868 - [001, 107638, 000] - HP: 420, STR: -27535, VIT: 668, SPD: 19, LUK: 1, Attack: 107597, Defense: 87456, Current HP: 420, A Avg: 896283, D Avg: 122438, [Sword of Evil[189, 0, 0, 0], Energy Shield[227, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 107641: 105915 - [001, 107638, 000] - HP: 361, STR: -18728, VIT: 344, SPD: 15, LUK: 1, Attack: 120808, Defense: 87262, Current HP: 361, A Avg: 1006330, D Avg: 122166, [Sword of Evil[189, 0, 0, 0], White Hole[230, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 107641: 105916 - [001, 107638, 000] - HP: 351, STR: -18718, VIT: 344, SPD: 15, LUK: 1, Attack: 120823, Defense: 87262, Current HP: 351, A Avg: 1006455, D Avg: 122166, [Sword of Evil[189, 0, 0, 0], White Hole[230, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 107641: 105917 - [001, 107638, 000] - HP: 536, STR: -18728, VIT: 242, SPD: 15, LUK: 1, Attack: 120808, Defense: 87160, Current HP: 536, A Avg: 1006330, D Avg: 122023, [Sword of Evil[189, 0, 0, 0], White Hole[230, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 107641: 105918 - [001, 107638, 000] - HP: 389, STR: -18728, VIT: 242, SPD: 29, LUK: 1, Attack: 120808, Defense: 87160, Current HP: 389, A Avg: 1006330, D Avg: 122023, [Sword of Evil[189, 0, 0, 0], White Hole[230, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 107641: 105919 - [001, 107638, 000] - HP: 370, STR: -24079, VIT: 253, SPD: 25, LUK: 1, Attack: 112781, Defense: 87171, Current HP: 370, A Avg: 939465, D Avg: 122039, [Sword of Evil[189, 0, 0, 0], White Hole[230, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 107641: 105920 - [001, 107638, 000] - HP: 351, STR: -18718, VIT: 375, SPD: 15, LUK: 1, Attack: 120823, Defense: 87293, Current HP: 351, A Avg: 1006455, D Avg: 122210, [Sword of Evil[189, 0, 0, 0], White Hole[230, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 107641: 105921 - [001, 107638, 000] - HP: 370, STR: -18707, VIT: 253, SPD: 15, LUK: 2, Attack: 120839, Defense: 87171, Current HP: 370, A Avg: 1006588, D Avg: 122039, [Sword of Evil[189, 0, 0, 0], White Hole[230, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 107641: 105922 - [001, 107638, 000] - HP: 351, STR: -27584, VIT: 253, SPD: 15, LUK: 1, Attack: 107524, Defense: 87171, Current HP: 351, A Avg: 895674, D Avg: 122039, [Sword of Evil[189, 0, 0, 0], White Hole[230, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 107641: 105923 - [001, 107638, 000] - HP: 681, STR: -18718, VIT: 263, SPD: 15, LUK: 1, Attack: 120823, Defense: 87181, Current HP: 681, A Avg: 1006455, D Avg: 122053, [Sword of Evil[189, 0, 0, 0], White Hole[230, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 107641: 105924 - [001, 107638, 000] - HP: 623, STR: -18665, VIT: 242, SPD: 15, LUK: 1, Attack: 120902, Defense: 87160, Current HP: 623, A Avg: 1007113, D Avg: 122023, [Sword of Evil[189, 0, 0, 0], White Hole[230, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 107641: 105925 - [001, 107638, 000] - HP: 627, STR: -18728, VIT: 375, SPD: 15, LUK: 1, Attack: 120808, Defense: 87293, Current HP: 627, A Avg: 1006330, D Avg: 122210, [Sword of Evil[189, 0, 0, 0], White Hole[230, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 107641: 105926 - [001, 107638, 000] - HP: 539, STR: -18665, VIT: 232, SPD: 15, LUK: 2, Attack: 120902, Defense: 87150, Current HP: 539, A Avg: 1007113, D Avg: 122009, [Sword of Evil[189, 0, 0, 0], White Hole[230, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 107641: 105927 - [001, 107638, 000] - HP: 408, STR: -21404, VIT: 273, SPD: 25, LUK: 1, Attack: 116794, Defense: 87191, Current HP: 408, A Avg: 972894, D Avg: 122067, [Sword of Evil[189, 0, 0, 0], White Hole[230, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 107641: 105928 - [001, 107638, 000] - HP: 351, STR: -32627, VIT: 232, SPD: 15, LUK: 1, Attack: 99959, Defense: 87150, Current HP: 351, A Avg: 832658, D Avg: 122009, [Sword of Evil[189, 0, 0, 0], White Hole[230, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 107641: 105929 - [001, 107638, 000] - HP: 370, STR: -28346, VIT: 352, SPD: 17, LUK: 1, Attack: 106381, Defense: 87270, Current HP: 370, A Avg: 886153, D Avg: 122177, [Sword of Evil[189, 0, 0, 0], White Hole[230, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 107641: 105930 - [001, 107638, 000] - HP: 446, STR: -27584, VIT: 311, SPD: 15, LUK: 1, Attack: 107524, Defense: 87229, Current HP: 446, A Avg: 895674, D Avg: 122120, [Sword of Evil[189, 0, 0, 0], White Hole[230, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 107641: 105931 - [001, 107638, 000] - HP: 351, STR: -18627, VIT: 232, SPD: 15, LUK: 2, Attack: 120959, Defense: 87150, Current HP: 351, A Avg: 1007588, D Avg: 122009, [Sword of Evil[189, 0, 0, 0], White Hole[230, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 107641: 105932 - [001, 107638, 000] - HP: 598, STR: -20397, VIT: 563, SPD: 18, LUK: 1, Attack: 118304, Defense: 87481, Current HP: 598, A Avg: 985472, D Avg: 122473, [Sword of Evil[189, 0, 0, 0], White Hole[230, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 107641: 105933 - [001, 107638, 000] - HP: 640, STR: -29341, VIT: 316, SPD: 18, LUK: 1, Attack: 104888, Defense: 87234, Current HP: 640, A Avg: 873717, D Avg: 122127, [Sword of Evil[189, 0, 0, 0], White Hole[230, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 107641: 105934 - [001, 107638, 000] - HP: 712, STR: -23760, VIT: 707, SPD: 15, LUK: 1, Attack: 113260, Defense: 87625, Current HP: 712, A Avg: 943455, D Avg: 122674, [Sword of Evil[189, 0, 0, 0], White Hole[230, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 107641: 105935 - [001, 107638, 000] - HP: 517, STR: -18688, VIT: 402, SPD: 15, LUK: 1, Attack: 120868, Defense: 87320, Current HP: 517, A Avg: 1006830, D Avg: 122247, [Sword of Evil[189, 0, 0, 0], White Hole[230, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 107641: 105936 - [001, 107638, 000] - HP: 446, STR: -27584, VIT: 273, SPD: 15, LUK: 1, Attack: 107524, Defense: 87191, Current HP: 446, A Avg: 895674, D Avg: 122067, [Sword of Evil[189, 0, 0, 0], White Hole[230, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 107641: 105937 - [001, 107638, 000] - HP: 522, STR: -27367, VIT: 419, SPD: 19, LUK: 1, Attack: 107849, Defense: 87337, Current HP: 522, A Avg: 898382, D Avg: 122271, [Sword of Evil[189, 0, 0, 0], White Hole[230, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 107641: 105946 - [001, 107638, 000] - HP: 2334, STR: -18831, VIT: 73, SPD: 15, LUK: 1, Attack: 120653, Defense: 85990, Current HP: 2334, A Avg: 1005039, D Avg: 120385, [Sword of Evil[189, 0, 0, 0], Frying Pan[231, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 107641: 105947 - [001, 107638, 000] - HP: 2447, STR: -18779, VIT: 52, SPD: 15, LUK: 1, Attack: 120731, Defense: 85969, Current HP: 2447, A Avg: 1005689, D Avg: 120356, [Sword of Evil[189, 0, 0, 0], Frying Pan[231, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 107641: 105955 - [001, 107638, 000] - HP: 1795, STR: -20521, VIT: 266, SPD: 18, LUK: 1, Attack: 118118, Defense: 86183, Current HP: 1795, A Avg: 983922, D Avg: 120656, [Sword of Evil[189, 0, 0, 0], Frying Pan[231, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 107641: 105957 - [001, 107638, 000] - HP: 1795, STR: -23906, VIT: 434, SPD: 15, LUK: 1, Attack: 113041, Defense: 86351, Current HP: 1795, A Avg: 941631, D Avg: 120891, [Sword of Evil[189, 0, 0, 0], Frying Pan[231, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 107641: 105960 - [001, 107638, 000] - HP: 1605, STR: -27535, VIT: 237, SPD: 19, LUK: 1, Attack: 107597, Defense: 86154, Current HP: 1605, A Avg: 896283, D Avg: 120615, [Sword of Evil[189, 0, 0, 0], Frying Pan[231, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 107641: 106053 - [001, 107638, 000] - HP: 418, STR: -18772, VIT: 479, SPD: 15, LUK: 1, Attack: 120742, Defense: 87280, Current HP: 418, A Avg: 1005780, D Avg: 122191, [Sword of Evil[189, 0, 0, 0], Riot[236, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 107641: 106054 - [001, 107638, 000] - HP: 408, STR: -18762, VIT: 479, SPD: 15, LUK: 1, Attack: 120757, Defense: 87280, Current HP: 408, A Avg: 1005905, D Avg: 122191, [Sword of Evil[189, 0, 0, 0], Riot[236, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 107641: 106055 - [001, 107638, 000] - HP: 623, STR: -18772, VIT: 339, SPD: 15, LUK: 1, Attack: 120742, Defense: 87140, Current HP: 623, A Avg: 1005780, D Avg: 121995, [Sword of Evil[189, 0, 0, 0], Riot[236, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 107641: 106056 - [001, 107638, 000] - HP: 446, STR: -18772, VIT: 339, SPD: 29, LUK: 1, Attack: 120742, Defense: 87140, Current HP: 446, A Avg: 1005780, D Avg: 121995, [Sword of Evil[189, 0, 0, 0], Riot[236, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 107641: 106057 - [001, 107638, 000] - HP: 427, STR: -24136, VIT: 350, SPD: 25, LUK: 1, Attack: 112696, Defense: 87151, Current HP: 427, A Avg: 938757, D Avg: 122011, [Sword of Evil[189, 0, 0, 0], Riot[236, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 107641: 106058 - [001, 107638, 000] - HP: 408, STR: -18762, VIT: 511, SPD: 15, LUK: 1, Attack: 120757, Defense: 87312, Current HP: 408, A Avg: 1005905, D Avg: 122236, [Sword of Evil[189, 0, 0, 0], Riot[236, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 107641: 106059 - [001, 107638, 000] - HP: 427, STR: -18751, VIT: 350, SPD: 15, LUK: 2, Attack: 120773, Defense: 87151, Current HP: 427, A Avg: 1006039, D Avg: 122011, [Sword of Evil[189, 0, 0, 0], Riot[236, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 107641: 106060 - [001, 107638, 000] - HP: 408, STR: -27649, VIT: 350, SPD: 15, LUK: 1, Attack: 107426, Defense: 87151, Current HP: 408, A Avg: 894858, D Avg: 122011, [Sword of Evil[189, 0, 0, 0], Riot[236, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 107641: 106061 - [001, 107638, 000] - HP: 768, STR: -18762, VIT: 361, SPD: 15, LUK: 1, Attack: 120757, Defense: 87162, Current HP: 768, A Avg: 1005905, D Avg: 122026, [Sword of Evil[189, 0, 0, 0], Riot[236, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 107641: 106062 - [001, 107638, 000] - HP: 719, STR: -18709, VIT: 339, SPD: 15, LUK: 1, Attack: 120836, Defense: 87140, Current HP: 719, A Avg: 1006563, D Avg: 121995, [Sword of Evil[189, 0, 0, 0], Riot[236, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 107641: 106063 - [001, 107638, 000] - HP: 693, STR: -18772, VIT: 511, SPD: 15, LUK: 1, Attack: 120742, Defense: 87312, Current HP: 693, A Avg: 1005780, D Avg: 122236, [Sword of Evil[189, 0, 0, 0], Riot[236, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 107641: 106064 - [001, 107638, 000] - HP: 605, STR: -18709, VIT: 328, SPD: 15, LUK: 2, Attack: 120836, Defense: 87129, Current HP: 605, A Avg: 1006563, D Avg: 121980, [Sword of Evil[189, 0, 0, 0], Riot[236, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 107641: 106065 - [001, 107638, 000] - HP: 465, STR: -21454, VIT: 371, SPD: 25, LUK: 1, Attack: 116719, Defense: 87172, Current HP: 465, A Avg: 972269, D Avg: 122040, [Sword of Evil[189, 0, 0, 0], Riot[236, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 107641: 106066 - [001, 107638, 000] - HP: 408, STR: -32705, VIT: 328, SPD: 15, LUK: 1, Attack: 99842, Defense: 87129, Current HP: 408, A Avg: 831683, D Avg: 121980, [Sword of Evil[189, 0, 0, 0], Riot[236, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 107641: 106067 - [001, 107638, 000] - HP: 430, STR: -28413, VIT: 457, SPD: 17, LUK: 1, Attack: 106280, Defense: 87258, Current HP: 430, A Avg: 885312, D Avg: 122161, [Sword of Evil[189, 0, 0, 0], Riot[236, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 107641: 106068 - [001, 107638, 000] - HP: 503, STR: -27649, VIT: 411, SPD: 15, LUK: 1, Attack: 107426, Defense: 87212, Current HP: 503, A Avg: 894858, D Avg: 122096, [Sword of Evil[189, 0, 0, 0], Riot[236, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 107641: 106069 - [001, 107638, 000] - HP: 408, STR: -18672, VIT: 328, SPD: 15, LUK: 2, Attack: 120892, Defense: 87129, Current HP: 408, A Avg: 1007030, D Avg: 121980, [Sword of Evil[189, 0, 0, 0], Riot[236, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 107641: 106070 - [001, 107638, 000] - HP: 661, STR: -20445, VIT: 712, SPD: 18, LUK: 1, Attack: 118232, Defense: 87513, Current HP: 661, A Avg: 984872, D Avg: 122518, [Sword of Evil[189, 0, 0, 0], Riot[236, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 107641: 106071 - [001, 107638, 000] - HP: 703, STR: -29410, VIT: 422, SPD: 18, LUK: 1, Attack: 104785, Defense: 87223, Current HP: 703, A Avg: 872859, D Avg: 122112, [Sword of Evil[189, 0, 0, 0], Riot[236, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 107641: 106072 - [001, 107638, 000] - HP: 769, STR: -23817, VIT: 854, SPD: 15, LUK: 1, Attack: 113174, Defense: 87655, Current HP: 769, A Avg: 942739, D Avg: 122716, [Sword of Evil[189, 0, 0, 0], Riot[236, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 107641: 106073 - [001, 107638, 000] - HP: 583, STR: -18732, VIT: 539, SPD: 15, LUK: 1, Attack: 120802, Defense: 87340, Current HP: 583, A Avg: 1006280, D Avg: 122275, [Sword of Evil[189, 0, 0, 0], Riot[236, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 107641: 106074 - [001, 107638, 000] - HP: 503, STR: -27649, VIT: 371, SPD: 15, LUK: 1, Attack: 107426, Defense: 87172, Current HP: 503, A Avg: 894858, D Avg: 122040, [Sword of Evil[189, 0, 0, 0], Riot[236, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 107641: 106075 - [001, 107638, 000] - HP: 579, STR: -27432, VIT: 524, SPD: 19, LUK: 1, Attack: 107752, Defense: 87325, Current HP: 579, A Avg: 897574, D Avg: 122254, [Sword of Evil[189, 0, 0, 0], Riot[236, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 107641: 106122 - [001, 107638, 000] - HP: 598, STR: -17718, VIT: 58, SPD: 17, LUK: 1, Attack: 122323, Defense: 86846, Current HP: 598, A Avg: 1018950, D Avg: 121584, [Sword of Evil[189, 0, 0, 0], C Magnum[239, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 107641: 106123 - [001, 107638, 000] - HP: 589, STR: -17708, VIT: 58, SPD: 17, LUK: 1, Attack: 122338, Defense: 86846, Current HP: 589, A Avg: 1019075, D Avg: 121584, [Sword of Evil[189, 0, 0, 0], C Magnum[239, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 107641: 106124 - [001, 107638, 000] - HP: 899, STR: -17718, VIT: 49, SPD: 17, LUK: 1, Attack: 122323, Defense: 86837, Current HP: 899, A Avg: 1018950, D Avg: 121571, [Sword of Evil[189, 0, 0, 0], C Magnum[239, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 107641: 106125 - [001, 107638, 000] - HP: 627, STR: -17718, VIT: 49, SPD: 30, LUK: 1, Attack: 122323, Defense: 86837, Current HP: 627, A Avg: 1018950, D Avg: 121571, [Sword of Evil[189, 0, 0, 0], C Magnum[239, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 107641: 106126 - [001, 107638, 000] - HP: 608, STR: -22780, VIT: 60, SPD: 27, LUK: 1, Attack: 114730, Defense: 86848, Current HP: 608, A Avg: 955700, D Avg: 121587, [Sword of Evil[189, 0, 0, 0], C Magnum[239, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 107641: 106127 - [001, 107638, 000] - HP: 589, STR: -17708, VIT: 89, SPD: 17, LUK: 1, Attack: 122338, Defense: 86877, Current HP: 589, A Avg: 1019075, D Avg: 121627, [Sword of Evil[189, 0, 0, 0], C Magnum[239, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 107641: 106128 - [001, 107638, 000] - HP: 608, STR: -17697, VIT: 60, SPD: 17, LUK: 2, Attack: 122354, Defense: 86848, Current HP: 608, A Avg: 1019208, D Avg: 121587, [Sword of Evil[189, 0, 0, 0], C Magnum[239, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 107641: 106129 - [001, 107638, 000] - HP: 589, STR: -26093, VIT: 60, SPD: 17, LUK: 1, Attack: 109760, Defense: 86848, Current HP: 589, A Avg: 914300, D Avg: 121587, [Sword of Evil[189, 0, 0, 0], C Magnum[239, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 107641: 106130 - [001, 107638, 000] - HP: 1044, STR: -17708, VIT: 70, SPD: 17, LUK: 1, Attack: 122338, Defense: 86858, Current HP: 1044, A Avg: 1019075, D Avg: 121601, [Sword of Evil[189, 0, 0, 0], C Magnum[239, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 107641: 106131 - [001, 107638, 000] - HP: 1023, STR: -17655, VIT: 49, SPD: 17, LUK: 1, Attack: 122417, Defense: 86837, Current HP: 1023, A Avg: 1019733, D Avg: 121571, [Sword of Evil[189, 0, 0, 0], C Magnum[239, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 107641: 106132 - [001, 107638, 000] - HP: 902, STR: -17718, VIT: 89, SPD: 17, LUK: 1, Attack: 122323, Defense: 86877, Current HP: 902, A Avg: 1018950, D Avg: 121627, [Sword of Evil[189, 0, 0, 0], C Magnum[239, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 107641: 106133 - [001, 107638, 000] - HP: 814, STR: -17655, VIT: 39, SPD: 17, LUK: 2, Attack: 122417, Defense: 86827, Current HP: 814, A Avg: 1019733, D Avg: 121557, [Sword of Evil[189, 0, 0, 0], C Magnum[239, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 107641: 106134 - [001, 107638, 000] - HP: 646, STR: -20249, VIT: 80, SPD: 27, LUK: 1, Attack: 118526, Defense: 86868, Current HP: 646, A Avg: 987321, D Avg: 121615, [Sword of Evil[189, 0, 0, 0], C Magnum[239, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
