Rank 1000: HP: 1322, STR: 601, VIT: 418412, SPD: 45, LUK: 1, Attack: 86947, Defense: 502216, Current HP: 1322, A Avg: 91294, D Avg: 502216, [Progress[147, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 774: HP: 1406, STR: 1015, VIT: 418963, SPD: 45, LUK: 1, Attack: 86349, Defense: 502852, Current HP: 1406, A Avg: 90666, D Avg: 502852, [Impulse[166, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 773: HP: 1679, STR: 662, VIT: 418615, SPD: 45, LUK: 1, Attack: 87008, Defense: 502855, Current HP: 1679, A Avg: 91358, D Avg: 502855, [Progress[147, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 772: HP: 1852, STR: 1015, VIT: 418934, SPD: 45, LUK: 1, Attack: 86349, Defense: 502862, Current HP: 1852, A Avg: 90666, D Avg: 502862, [Impulse[166, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 771: HP: 1012, STR: 997, VIT: 418931, SPD: 45, LUK: 1, Attack: 85785, Defense: 502872, Current HP: 1012, A Avg: 90074, D Avg: 502872, [Pulse Knife[165, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 770: HP: 1490, STR: 1015, VIT: 418948, SPD: 45, LUK: 1, Attack: 86349, Defense: 502876, Current HP: 1490, A Avg: 90666, D Avg: 502876, [Impulse[166, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 769: HP: 776, STR: 583, VIT: 419012, SPD: 45, LUK: 1, Attack: 86136, Defense: 502881, Current HP: 776, A Avg: 90442, D Avg: 502881, [Hammer of Justice[186, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 768: HP: 1028, STR: 860, VIT: 419023, SPD: 45, LUK: 1, Attack: 87349, Defense: 502892, Current HP: 1028, A Avg: 91716, D Avg: 502892, [Cuttlefish[178, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 767: HP: 1154, STR: 612, VIT: 418655, SPD: 45, LUK: 1, Attack: 87140, Defense: 502895, Current HP: 1154, A Avg: 91497, D Avg: 502895, [Moon Knuckle[153, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 766: HP: 1133, STR: 1724, VIT: 418655, SPD: 45, LUK: 1, Attack: 87602, Defense: 502895, Current HP: 1133, A Avg: 91982, D Avg: 502895, [Blue Sword[180, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 765: HP: 4073, STR: 2703, VIT: 418667, SPD: 45, LUK: 1, Attack: 88516, Defense: 502907, Current HP: 4073, A Avg: 92941, D Avg: 502907, [Spear of Regression[182, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 764: HP: 1679, STR: 1015, VIT: 419073, SPD: 45, LUK: 1, Attack: 86349, Defense: 502910, Current HP: 1679, A Avg: 90666, D Avg: 502910, [Impulse[166, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 763: HP: 776, STR: 583, VIT: 419067, SPD: 45, LUK: 1, Attack: 86136, Defense: 502930, Current HP: 776, A Avg: 90442, D Avg: 502930, [Hammer of Justice[186, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 762: HP: 1642, STR: 1710, VIT: 419000, SPD: 45, LUK: 1, Attack: 86210, Defense: 502941, Current HP: 1642, A Avg: 90520, D Avg: 502941, [Divine Dragon Sword[181, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 761: HP: 1028, STR: 860, VIT: 419079, SPD: 45, LUK: 1, Attack: 87349, Defense: 502942, Current HP: 1028, A Avg: 91716, D Avg: 502942, [Cuttlefish[178, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 760: HP: 776, STR: 583, VIT: 419096, SPD: 45, LUK: 1, Attack: 86136, Defense: 502985, Current HP: 776, A Avg: 90442, D Avg: 502985, [Hammer of Justice[186, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 759: HP: 1222, STR: 583, VIT: 419067, SPD: 45, LUK: 1, Attack: 86136, Defense: 502995, Current HP: 1222, A Avg: 90442, D Avg: 502995, [Hammer of Justice[186, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 758: HP: 1028, STR: 860, VIT: 419108, SPD: 45, LUK: 1, Attack: 87349, Defense: 502997, Current HP: 1028, A Avg: 91716, D Avg: 502997, [Cuttlefish[178, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 757: HP: 1474, STR: 860, VIT: 419079, SPD: 45, LUK: 1, Attack: 87349, Defense: 503007, Current HP: 1474, A Avg: 91716, D Avg: 503007, [Cuttlefish[178, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 756: HP: 860, STR: 583, VIT: 419081, SPD: 45, LUK: 1, Attack: 86136, Defense: 503009, Current HP: 860, A Avg: 90442, D Avg: 503009, [Hammer of Justice[186, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 755: HP: 1112, STR: 860, VIT: 419093, SPD: 45, LUK: 1, Attack: 87349, Defense: 503021, Current HP: 1112, A Avg: 91716, D Avg: 503021, [Cuttlefish[178, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 754: HP: 1642, STR: 1033, VIT: 419087, SPD: 45, LUK: 1, Attack: 86367, Defense: 503028, Current HP: 1642, A Avg: 90685, D Avg: 503028, [Impulse[166, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 753: HP: 1133, STR: 264, VIT: 418168, SPD: 45, LUK: 1, Attack: 83990, Defense: 503032, Current HP: 1133, A Avg: 88189, D Avg: 503032, [Wooden Stick[101, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 752: HP: 1133, STR: 264, VIT: 418168, SPD: 45, LUK: 1, Attack: 84029, Defense: 503032, Current HP: 1133, A Avg: 88230, D Avg: 503032, [Club[102, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 751: HP: 1133, STR: 270, VIT: 418168, SPD: 45, LUK: 1, Attack: 84042, Defense: 503032, Current HP: 1133, A Avg: 88244, D Avg: 503032, [Short Sword[103, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 750: HP: 1133, STR: 316, VIT: 418168, SPD: 45, LUK: 1, Attack: 84127, Defense: 503032, Current HP: 1133, A Avg: 88333, D Avg: 503032, [Long Sword[104, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 749: HP: 1133, STR: 351, VIT: 418168, SPD: 45, LUK: 1, Attack: 84123, Defense: 503032, Current HP: 1133, A Avg: 88329, D Avg: 503032, [Wasp Knife[105, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 748: HP: 1133, STR: 307, VIT: 418168, SPD: 45, LUK: 1, Attack: 84131, Defense: 503032, Current HP: 1133, A Avg: 88337, D Avg: 503032, [Stun Knuckle[106, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 747: HP: 1133, STR: 360, VIT: 418168, SPD: 45, LUK: 1, Attack: 84203, Defense: 503032, Current HP: 1133, A Avg: 88413, D Avg: 503032, [Battle Scythe[107, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 746: HP: 1154, STR: 360, VIT: 418168, SPD: 45, LUK: 1, Attack: 84249, Defense: 503032, Current HP: 1154, A Avg: 88461, D Avg: 503032, [Iron Lumps[108, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 745: HP: 1133, STR: 264, VIT: 418168, SPD: 45, LUK: 1, Attack: 84032, Defense: 503032, Current HP: 1133, A Avg: 88233, D Avg: 503032, [Decorative Swords[109, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 744: HP: 1133, STR: 378, VIT: 418168, SPD: 45, LUK: 1, Attack: 84501, Defense: 503032, Current HP: 1133, A Avg: 88726, D Avg: 503032, [Pinpoint[112, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 743: HP: 1154, STR: 403, VIT: 418168, SPD: 45, LUK: 1, Attack: 84409, Defense: 503032, Current HP: 1154, A Avg: 88629, D Avg: 503032, [Great Iron Mass[122, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 742: HP: 1144, STR: 307, VIT: 418168, SPD: 45, LUK: 1, Attack: 84300, Defense: 503032, Current HP: 1144, A Avg: 88515, D Avg: 503032, [Sword of Wood[124, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 741: HP: 1406, STR: 455, VIT: 418168, SPD: 45, LUK: 1, Attack: 84643, Defense: 503032, Current HP: 1406, A Avg: 88875, D Avg: 503032, [Sword of the Spirit Tree[125, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 740: HP: 1144, STR: 360, VIT: 418168, SPD: 45, LUK: 1, Attack: 84359, Defense: 503032, Current HP: 1144, A Avg: 88576, D Avg: 503032, [Greatsword[127, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 739: HP: 1402, STR: 408, VIT: 418168, SPD: 45, LUK: 1, Attack: 84830, Defense: 503032, Current HP: 1402, A Avg: 89071, D Avg: 503032, [Dreaming Sword[128, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 738: HP: 1154, STR: 282, VIT: 418168, SPD: 45, LUK: 1, Attack: 84057, Defense: 503032, Current HP: 1154, A Avg: 88259, D Avg: 503032, [Peacemaker[131, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 737: HP: 1196, STR: 264, VIT: 418168, SPD: 45, LUK: 1, Attack: 84166, Defense: 503032, Current HP: 1196, A Avg: 88374, D Avg: 503032, [Daydream[132, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 736: HP: 1847, STR: 480, VIT: 418168, SPD: 45, LUK: 1, Attack: 86163, Defense: 503032, Current HP: 1847, A Avg: 90471, D Avg: 503032, [Dancing[155, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 735: HP: 1133, STR: 757, VIT: 418168, SPD: 45, LUK: 1, Attack: 85413, Defense: 503032, Current HP: 1133, A Avg: 89683, D Avg: 503032, [Penetra[161, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 734: HP: 1133, STR: 264, VIT: 418168, SPD: 45, LUK: 1, Attack: 85105, Defense: 503032, Current HP: 1133, A Avg: 89360, D Avg: 503032, [Grand Slam[163, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 733: HP: 1343, STR: 264, VIT: 418168, SPD: 45, LUK: 1, Attack: 85232, Defense: 503032, Current HP: 1343, A Avg: 89493, D Avg: 503032, [Cluster Bomb[170, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 732: HP: 1763, STR: 264, VIT: 418168, SPD: 45, LUK: 1, Attack: 92450, Defense: 503032, Current HP: 1763, A Avg: 97072, D Avg: 503032, [Big Bang[171, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 731: HP: 4157, STR: 264, VIT: 418168, SPD: 45, LUK: 1, Attack: 85317, Defense: 503032, Current HP: 4157, A Avg: 89582, D Avg: 503032, [Common Key[174, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 730: HP: 1763, STR: 264, VIT: 418168, SPD: 45, LUK: 1, Attack: 86506, Defense: 503032, Current HP: 1763, A Avg: 90831, D Avg: 503032, [Droid Hammer[177, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 729: HP: 1133, STR: 1578, VIT: 418168, SPD: 45, LUK: 1, Attack: 86507, Defense: 503032, Current HP: 1133, A Avg: 90832, D Avg: 503032, [Jack Knife[185, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 728: HP: 1133, STR: 1992, VIT: 418168, SPD: 45, LUK: 1, Attack: 86570, Defense: 503032, Current HP: 1133, A Avg: 90898, D Avg: 503032, [Magical[187, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 727: HP: 1133, STR: 660, VIT: 418168, SPD: 45, LUK: 1, Attack: 87711, Defense: 503032, Current HP: 1133, A Avg: 92096, D Avg: 503032, [Tekken[188, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 726: HP: 1133, STR: -42893, VIT: 418168, SPD: 45, LUK: 1, Attack: 56373, Defense: 503032, Current HP: 1133, A Avg: 59191, D Avg: 503032, [Sword of Evil[189, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 725: HP: 1133, STR: 2352, VIT: 418168, SPD: 45, LUK: 1, Attack: 90013, Defense: 503032, Current HP: 1133, A Avg: 94513, D Avg: 503032, [Neural Edge[190, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 724: HP: 1385, STR: 1076, VIT: 418794, SPD: 45, LUK: 1, Attack: 86954, Defense: 503034, Current HP: 1385, A Avg: 91301, D Avg: 503034, [God Hand[179, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 723: HP: 1343, STR: 1508, VIT: 418794, SPD: 45, LUK: 1, Attack: 87048, Defense: 503034, Current HP: 1343, A Avg: 91400, D Avg: 503034, [Zodiac[184, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 722: HP: 1049, STR: 583, VIT: 419206, SPD: 45, LUK: 1, Attack: 86136, Defense: 503043, Current HP: 1049, A Avg: 90442, D Avg: 503043, [Hammer of Justice[186, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 721: HP: 1385, STR: 406, VIT: 418185, SPD: 45, LUK: 1, Attack: 84373, Defense: 503049, Current HP: 1385, A Avg: 88591, D Avg: 503049, [Phantom Sword[117, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 720: HP: 1301, STR: 860, VIT: 419218, SPD: 45, LUK: 1, Attack: 87349, Defense: 503055, Current HP: 1301, A Avg: 91716, D Avg: 503055, [Cuttlefish[178, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 719: HP: 1144, STR: 351, VIT: 418197, SPD: 45, LUK: 1, Attack: 84194, Defense: 503061, Current HP: 1144, A Avg: 88403, D Avg: 503061, [Salamander[110, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 718: HP: 1133, STR: 394, VIT: 418197, SPD: 45, LUK: 1, Attack: 84478, Defense: 503061, Current HP: 1133, A Avg: 88701, D Avg: 503061, [Phantom Scythe[116, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 717: HP: 1144, STR: 351, VIT: 418197, SPD: 45, LUK: 1, Attack: 84223, Defense: 503061, Current HP: 1144, A Avg: 88434, D Avg: 503061, [Undine[118, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 716: HP: 1144, STR: 351, VIT: 418197, SPD: 45, LUK: 1, Attack: 84250, Defense: 503061, Current HP: 1144, A Avg: 88462, D Avg: 503061, [Sylph[119, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 715: HP: 1144, STR: 351, VIT: 418197, SPD: 45, LUK: 1, Attack: 84277, Defense: 503061, Current HP: 1144, A Avg: 88490, D Avg: 503061, [Gnome[120, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 714: HP: 1175, STR: 291, VIT: 418211, SPD: 45, LUK: 1, Attack: 88458, Defense: 503075, Current HP: 1175, A Avg: 92880, D Avg: 503075, [Basic[169, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 713: HP: 776, STR: 151, VIT: 419287, SPD: 45, LUK: 1, Attack: 84539, Defense: 503091, Current HP: 776, A Avg: 88765, D Avg: 503091, [Encryption Key[173, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 712: HP: 3800, STR: 1231, VIT: 419287, SPD: 45, LUK: 1, Attack: 89113, Defense: 503091, Current HP: 3800, A Avg: 93568, D Avg: 503091, [Wild Card[175, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 711: HP: 776, STR: 669, VIT: 419287, SPD: 45, LUK: 1, Attack: 86313, Defense: 503091, Current HP: 776, A Avg: 90628, D Avg: 503091, [Portal Sword[176, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 710: HP: 2036, STR: 437, VIT: 418852, SPD: 45, LUK: 1, Attack: 85145, Defense: 503092, Current HP: 2036, A Avg: 89402, D Avg: 503092, [Thin Blade[158, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 709: HP: 1133, STR: 360, VIT: 418238, SPD: 45, LUK: 1, Attack: 84236, Defense: 503102, Current HP: 1133, A Avg: 88447, D Avg: 503102, [Tornado[111, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 708: HP: 1385, STR: 351, VIT: 418238, SPD: 45, LUK: 1, Attack: 84376, Defense: 503102, Current HP: 1385, A Avg: 88594, D Avg: 503102, [Fairy Sword[113, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 707: HP: 1133, STR: 412, VIT: 418238, SPD: 45, LUK: 1, Attack: 84561, Defense: 503102, Current HP: 1133, A Avg: 88789, D Avg: 503102, [Giant Tornado[114, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 706: HP: 1148, STR: 360, VIT: 418238, SPD: 45, LUK: 1, Attack: 84176, Defense: 503102, Current HP: 1148, A Avg: 88384, D Avg: 503102, [Hand Axe[140, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 705: HP: 1154, STR: 394, VIT: 418238, SPD: 45, LUK: 1, Attack: 84387, Defense: 503102, Current HP: 1154, A Avg: 88606, D Avg: 503102, [Wooden Boomerang[167, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 704: HP: 1253, STR: 363, VIT: 418240, SPD: 45, LUK: 1, Attack: 84161, Defense: 503104, Current HP: 1253, A Avg: 88369, D Avg: 503104, [Ninja[135, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 703: HP: 1150, STR: 360, VIT: 418243, SPD: 45, LUK: 1, Attack: 84366, Defense: 503107, Current HP: 1150, A Avg: 88584, D Avg: 503107, [Crescent[141, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 702: HP: 1759, STR: 615, VIT: 418878, SPD: 45, LUK: 1, Attack: 86259, Defense: 503118, Current HP: 1759, A Avg: 90571, D Avg: 503118, [Gladius[162, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 701: HP: 2036, STR: 698, VIT: 418881, SPD: 45, LUK: 1, Attack: 86550, Defense: 503121, Current HP: 2036, A Avg: 90877, D Avg: 503121, [Santoku[159, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 700: HP: 1406, STR: 455, VIT: 418267, SPD: 45, LUK: 1, Attack: 85137, Defense: 503131, Current HP: 1406, A Avg: 89393, D Avg: 503131, [Thunder Whip[143, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 699: HP: 776, STR: 151, VIT: 419279, SPD: 45, LUK: 1, Attack: 84539, Defense: 503148, Current HP: 776, A Avg: 88765, D Avg: 503148, [Encryption Key[173, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 698: HP: 3800, STR: 1231, VIT: 419279, SPD: 45, LUK: 1, Attack: 89113, Defense: 503148, Current HP: 3800, A Avg: 93568, D Avg: 503148, [Wild Card[175, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 697: HP: 776, STR: 669, VIT: 419279, SPD: 45, LUK: 1, Attack: 86313, Defense: 503148, Current HP: 776, A Avg: 90628, D Avg: 503148, [Portal Sword[176, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 696: HP: 1553, STR: 2197, VIT: 418284, SPD: 45, LUK: 1, Attack: 92106, Defense: 503148, Current HP: 1553, A Avg: 96711, D Avg: 503148, [Spectral Sword Shigure[172, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 695: HP: 1012, STR: 601, VIT: 419221, SPD: 45, LUK: 1, Attack: 86154, Defense: 503162, Current HP: 1012, A Avg: 90461, D Avg: 503162, [Hammer of Justice[186, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 694: HP: 1427, STR: 351, VIT: 418307, SPD: 45, LUK: 1, Attack: 84207, Defense: 503171, Current HP: 1427, A Avg: 88417, D Avg: 503171, [Emerald Sword[115, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 693: HP: 1264, STR: 878, VIT: 419232, SPD: 45, LUK: 1, Attack: 87367, Defense: 503173, Current HP: 1264, A Avg: 91735, D Avg: 503173, [Cuttlefish[178, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 692: HP: 1133, STR: 1040, VIT: 418934, SPD: 45, LUK: 1, Attack: 85828, Defense: 503174, Current HP: 1133, A Avg: 90119, D Avg: 503174, [Pulse Knife[165, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 691: HP: 1285, STR: 403, VIT: 418313, SPD: 45, LUK: 1, Attack: 84305, Defense: 503177, Current HP: 1285, A Avg: 88520, D Avg: 503177, [Crossed Shuriken[136, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 690: HP: 1427, STR: 446, VIT: 418322, SPD: 45, LUK: 1, Attack: 84959, Defense: 503186, Current HP: 1427, A Avg: 89206, D Avg: 503186, [Maximum Iron Mass[123, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 689: HP: 776, STR: 151, VIT: 419334, SPD: 45, LUK: 1, Attack: 84539, Defense: 503197, Current HP: 776, A Avg: 88765, D Avg: 503197, [Encryption Key[173, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 688: HP: 3800, STR: 1231, VIT: 419334, SPD: 45, LUK: 1, Attack: 89113, Defense: 503197, Current HP: 3800, A Avg: 93568, D Avg: 503197, [Wild Card[175, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 687: HP: 776, STR: 669, VIT: 419334, SPD: 45, LUK: 1, Attack: 86313, Defense: 503197, Current HP: 776, A Avg: 90628, D Avg: 503197, [Portal Sword[176, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 686: HP: 1196, STR: 307, VIT: 418377, SPD: 45, LUK: 1, Attack: 84495, Defense: 503241, Current HP: 1196, A Avg: 88719, D Avg: 503241, [Cagliostro[133, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 685: HP: 1763, STR: 1753, VIT: 419003, SPD: 45, LUK: 1, Attack: 86253, Defense: 503243, Current HP: 1763, A Avg: 90565, D Avg: 503243, [Divine Dragon Sword[181, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 684: HP: 1144, STR: 491, VIT: 418385, SPD: 45, LUK: 1, Attack: 84601, Defense: 503249, Current HP: 1144, A Avg: 88831, D Avg: 503249, [Windmill[137, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 683: HP: 776, STR: 151, VIT: 419363, SPD: 45, LUK: 1, Attack: 84539, Defense: 503252, Current HP: 776, A Avg: 88765, D Avg: 503252, [Encryption Key[173, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 682: HP: 3800, STR: 1231, VIT: 419363, SPD: 45, LUK: 1, Attack: 89113, Defense: 503252, Current HP: 3800, A Avg: 93568, D Avg: 503252, [Wild Card[175, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 681: HP: 776, STR: 669, VIT: 419363, SPD: 45, LUK: 1, Attack: 86313, Defense: 503252, Current HP: 776, A Avg: 90628, D Avg: 503252, [Portal Sword[176, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 680: HP: 1133, STR: 437, VIT: 418388, SPD: 45, LUK: 1, Attack: 84437, Defense: 503252, Current HP: 1133, A Avg: 88658, D Avg: 503252, [Kirisame[129, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 679: HP: 1406, STR: 446, VIT: 418388, SPD: 45, LUK: 1, Attack: 84567, Defense: 503252, Current HP: 1406, A Avg: 88795, D Avg: 503252, [Black Kirisame[130, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 678: HP: 1394, STR: 574, VIT: 418388, SPD: 45, LUK: 1, Attack: 86322, Defense: 503252, Current HP: 1394, A Avg: 90638, D Avg: 503252, [Scythe of the Grim Reaper[148, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 677: HP: 1427, STR: 446, VIT: 418391, SPD: 45, LUK: 1, Attack: 84556, Defense: 503255, Current HP: 1427, A Avg: 88783, D Avg: 503255, [Serpent[144, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
