Rank 1000: HP: 1606, STR: 345, VIT: 641949, SPD: 72, LUK: 1, Attack: 84156, Defense: 726189, Current HP: 1606, A Avg: 88363, D Avg: 726189, [Long Sword[104, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 757: HP: 2897, STR: 538, VIT: 643121, SPD: 72, LUK: 1, Attack: 85246, Defense: 726958, Current HP: 2897, A Avg: 89508, D Avg: 726958, [Thin Blade[158, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 756: HP: 1648, STR: 372, VIT: 642106, SPD: 72, LUK: 1, Attack: 88539, Defense: 726970, Current HP: 1648, A Avg: 92965, D Avg: 726970, [Basic[169, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 755: HP: 2036, STR: 1447, VIT: 643173, SPD: 72, LUK: 1, Attack: 86781, Defense: 726977, Current HP: 2036, A Avg: 91120, D Avg: 726977, [Impulse[166, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 754: HP: 1091, STR: 1411, VIT: 643092, SPD: 72, LUK: 1, Attack: 86199, Defense: 726981, Current HP: 1091, A Avg: 90508, D Avg: 726981, [Pulse Knife[165, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 753: HP: 2897, STR: 934, VIT: 643150, SPD: 72, LUK: 1, Attack: 86786, Defense: 726987, Current HP: 2897, A Avg: 91125, D Avg: 726987, [Santoku[159, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 752: HP: 1789, STR: 1411, VIT: 643063, SPD: 72, LUK: 1, Attack: 86199, Defense: 726991, Current HP: 1789, A Avg: 90508, D Avg: 726991, [Pulse Knife[165, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 751: HP: 2263, STR: 770, VIT: 642761, SPD: 72, LUK: 1, Attack: 85813, Defense: 727001, Current HP: 2263, A Avg: 90103, D Avg: 727001, [White Snake[160, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 750: HP: 1175, STR: 1411, VIT: 643077, SPD: 72, LUK: 1, Attack: 86199, Defense: 727005, Current HP: 1175, A Avg: 90508, D Avg: 727005, [Pulse Knife[165, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 749: HP: 2467, STR: 986, VIT: 642770, SPD: 72, LUK: 1, Attack: 87332, Defense: 727010, Current HP: 2467, A Avg: 91698, D Avg: 727010, [Progress[147, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 748: HP: 1673, STR: 1600, VIT: 643077, SPD: 72, LUK: 1, Attack: 87478, Defense: 727018, Current HP: 1673, A Avg: 91851, D Avg: 727018, [God Hand[179, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 747: HP: 1631, STR: 2302, VIT: 643077, SPD: 72, LUK: 1, Attack: 87842, Defense: 727018, Current HP: 1631, A Avg: 92234, D Avg: 727018, [Zodiac[184, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 746: HP: 2152, STR: 2232, VIT: 643185, SPD: 72, LUK: 1, Attack: 86732, Defense: 727022, Current HP: 2152, A Avg: 91068, D Avg: 727022, [Divine Dragon Sword[181, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 745: HP: 2526, STR: 824, VIT: 643191, SPD: 72, LUK: 1, Attack: 86468, Defense: 727028, Current HP: 2526, A Avg: 90791, D Avg: 727028, [Gladius[162, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 744: HP: 2036, STR: 1447, VIT: 643164, SPD: 72, LUK: 1, Attack: 86781, Defense: 727033, Current HP: 2036, A Avg: 91120, D Avg: 727033, [Impulse[166, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 743: HP: 1606, STR: 495, VIT: 642176, SPD: 72, LUK: 1, Attack: 84371, Defense: 727040, Current HP: 1606, A Avg: 88589, D Avg: 727040, [Tornado[111, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 742: HP: 2015, STR: 486, VIT: 642176, SPD: 72, LUK: 1, Attack: 84511, Defense: 727040, Current HP: 2015, A Avg: 88736, D Avg: 727040, [Fairy Sword[113, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 741: HP: 1606, STR: 574, VIT: 642176, SPD: 72, LUK: 1, Attack: 84723, Defense: 727040, Current HP: 1606, A Avg: 88959, D Avg: 727040, [Giant Tornado[114, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 740: HP: 1621, STR: 495, VIT: 642176, SPD: 72, LUK: 1, Attack: 84311, Defense: 727040, Current HP: 1621, A Avg: 88526, D Avg: 727040, [Hand Axe[140, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 739: HP: 1627, STR: 556, VIT: 642176, SPD: 72, LUK: 1, Attack: 84549, Defense: 727040, Current HP: 1627, A Avg: 88776, D Avg: 727040, [Wooden Boomerang[167, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 738: HP: 1789, STR: 498, VIT: 642178, SPD: 72, LUK: 1, Attack: 84296, Defense: 727042, Current HP: 1789, A Avg: 88510, D Avg: 727042, [Ninja[135, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 737: HP: 2026, STR: 2737, VIT: 642178, SPD: 72, LUK: 1, Attack: 92646, Defense: 727042, Current HP: 2026, A Avg: 97278, D Avg: 727042, [Spectral Sword Shigure[172, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 736: HP: 1623, STR: 495, VIT: 642181, SPD: 72, LUK: 1, Attack: 84501, Defense: 727045, Current HP: 1623, A Avg: 88726, D Avg: 727045, [Crescent[141, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 735: HP: 1091, STR: 880, VIT: 643263, SPD: 72, LUK: 1, Attack: 86433, Defense: 727067, Current HP: 1091, A Avg: 90754, D Avg: 727067, [Hammer of Justice[186, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 734: HP: 2036, STR: 644, VIT: 642205, SPD: 72, LUK: 1, Attack: 85326, Defense: 727069, Current HP: 2036, A Avg: 89592, D Avg: 727069, [Thunder Whip[143, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 733: HP: 2797, STR: 556, VIT: 643135, SPD: 72, LUK: 1, Attack: 85264, Defense: 727076, Current HP: 2797, A Avg: 89527, D Avg: 727076, [Thin Blade[158, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 732: HP: 1627, STR: 882, VIT: 642854, SPD: 72, LUK: 1, Attack: 87410, Defense: 727094, Current HP: 1627, A Avg: 91780, D Avg: 727094, [Moon Knuckle[153, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 731: HP: 1606, STR: 2723, VIT: 642854, SPD: 72, LUK: 1, Attack: 88601, Defense: 727094, Current HP: 1606, A Avg: 93031, D Avg: 727094, [Blue Sword[180, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 730: HP: 2797, STR: 952, VIT: 643164, SPD: 72, LUK: 1, Attack: 86804, Defense: 727105, Current HP: 2797, A Avg: 91144, D Avg: 727105, [Santoku[159, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 729: HP: 1343, STR: 1184, VIT: 643318, SPD: 72, LUK: 1, Attack: 87673, Defense: 727122, Current HP: 1343, A Avg: 92056, D Avg: 727122, [Cuttlefish[178, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 728: HP: 1091, STR: 880, VIT: 643254, SPD: 72, LUK: 1, Attack: 86433, Defense: 727123, Current HP: 1091, A Avg: 90754, D Avg: 727123, [Hammer of Justice[186, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 727: HP: 1522, STR: 1411, VIT: 643289, SPD: 72, LUK: 1, Attack: 86199, Defense: 727126, Current HP: 1522, A Avg: 90508, D Avg: 727126, [Pulse Knife[165, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 726: HP: 2036, STR: 1447, VIT: 643263, SPD: 72, LUK: 1, Attack: 86781, Defense: 727126, Current HP: 2036, A Avg: 91120, D Avg: 727126, [Impulse[166, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 725: HP: 2051, STR: 2250, VIT: 643199, SPD: 72, LUK: 1, Attack: 86750, Defense: 727140, Current HP: 2051, A Avg: 91087, D Avg: 727140, [Divine Dragon Sword[181, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 724: HP: 2425, STR: 842, VIT: 643205, SPD: 72, LUK: 1, Attack: 86486, Defense: 727146, Current HP: 2425, A Avg: 90810, D Avg: 727146, [Gladius[162, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 723: HP: 2057, STR: 486, VIT: 642289, SPD: 72, LUK: 1, Attack: 84342, Defense: 727153, Current HP: 2057, A Avg: 88559, D Avg: 727153, [Emerald Sword[115, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 722: HP: 1852, STR: 565, VIT: 642294, SPD: 72, LUK: 1, Attack: 84467, Defense: 727158, Current HP: 1852, A Avg: 88690, D Avg: 727158, [Crossed Shuriken[136, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 721: HP: 2057, STR: 635, VIT: 642303, SPD: 72, LUK: 1, Attack: 85148, Defense: 727167, Current HP: 2057, A Avg: 89405, D Avg: 727167, [Maximum Iron Mass[123, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 720: HP: 1343, STR: 1184, VIT: 643309, SPD: 72, LUK: 1, Attack: 87673, Defense: 727178, Current HP: 1343, A Avg: 92056, D Avg: 727178, [Cuttlefish[178, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 719: HP: 2036, STR: 1447, VIT: 643292, SPD: 72, LUK: 1, Attack: 86781, Defense: 727181, Current HP: 2036, A Avg: 91120, D Avg: 727181, [Impulse[166, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 718: HP: 2734, STR: 1447, VIT: 643263, SPD: 72, LUK: 1, Attack: 86781, Defense: 727191, Current HP: 2734, A Avg: 91120, D Avg: 727191, [Impulse[166, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 717: HP: 2120, STR: 1447, VIT: 643278, SPD: 72, LUK: 1, Attack: 86781, Defense: 727206, Current HP: 2120, A Avg: 91120, D Avg: 727206, [Impulse[166, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 716: HP: 1091, STR: 880, VIT: 643353, SPD: 72, LUK: 1, Attack: 86433, Defense: 727216, Current HP: 1091, A Avg: 90754, D Avg: 727216, [Hammer of Justice[186, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 715: HP: 1421, STR: 1429, VIT: 643304, SPD: 72, LUK: 1, Attack: 86217, Defense: 727245, Current HP: 1421, A Avg: 90527, D Avg: 727245, [Pulse Knife[165, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 714: HP: 1669, STR: 415, VIT: 642402, SPD: 72, LUK: 1, Attack: 84603, Defense: 727266, Current HP: 1669, A Avg: 88833, D Avg: 727266, [Cagliostro[133, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 713: HP: 1343, STR: 1184, VIT: 643408, SPD: 72, LUK: 1, Attack: 87673, Defense: 727271, Current HP: 1343, A Avg: 92056, D Avg: 727271, [Cuttlefish[178, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 712: HP: 1091, STR: 880, VIT: 643382, SPD: 72, LUK: 1, Attack: 86433, Defense: 727271, Current HP: 1091, A Avg: 90754, D Avg: 727271, [Hammer of Justice[186, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 711: HP: 1616, STR: 707, VIT: 642410, SPD: 72, LUK: 1, Attack: 84817, Defense: 727274, Current HP: 1616, A Avg: 89057, D Avg: 727274, [Windmill[137, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 710: HP: 1606, STR: 626, VIT: 642413, SPD: 72, LUK: 1, Attack: 84626, Defense: 727277, Current HP: 1606, A Avg: 88857, D Avg: 727277, [Kirisame[129, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 709: HP: 2036, STR: 635, VIT: 642413, SPD: 72, LUK: 1, Attack: 84756, Defense: 727277, Current HP: 2036, A Avg: 88993, D Avg: 727277, [Black Kirisame[130, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 708: HP: 2024, STR: 844, VIT: 642413, SPD: 72, LUK: 1, Attack: 86592, Defense: 727277, Current HP: 2024, A Avg: 90921, D Avg: 727277, [Scythe of the Grim Reaper[148, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 707: HP: 2057, STR: 635, VIT: 642416, SPD: 72, LUK: 1, Attack: 84745, Defense: 727280, Current HP: 2057, A Avg: 88982, D Avg: 727280, [Serpent[144, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 706: HP: 1789, STR: 880, VIT: 643353, SPD: 72, LUK: 1, Attack: 86433, Defense: 727281, Current HP: 1789, A Avg: 90754, D Avg: 727281, [Hammer of Justice[186, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 705: HP: 2282, STR: 779, VIT: 642422, SPD: 72, LUK: 1, Attack: 85745, Defense: 727286, Current HP: 2282, A Avg: 90032, D Avg: 727286, [Red Shark[134, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 704: HP: 1175, STR: 880, VIT: 643367, SPD: 72, LUK: 1, Attack: 86433, Defense: 727295, Current HP: 1175, A Avg: 90754, D Avg: 727295, [Hammer of Justice[186, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 703: HP: 2425, STR: 626, VIT: 642431, SPD: 72, LUK: 1, Attack: 84944, Defense: 727295, Current HP: 2425, A Avg: 89191, D Avg: 727295, [Ruby Knuckle[151, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 702: HP: 1858, STR: 1670, VIT: 643080, SPD: 72, LUK: 1, Attack: 87548, Defense: 727320, Current HP: 1858, A Avg: 91925, D Avg: 727320, [God Hand[179, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 701: HP: 1816, STR: 2372, VIT: 643080, SPD: 72, LUK: 1, Attack: 87912, Defense: 727320, Current HP: 1816, A Avg: 92307, D Avg: 727320, [Zodiac[184, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 700: HP: 2036, STR: 1031, VIT: 642460, SPD: 72, LUK: 1, Attack: 85765, Defense: 727324, Current HP: 2036, A Avg: 90053, D Avg: 727324, [Irruption[154, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 699: HP: 2467, STR: 1447, VIT: 643489, SPD: 72, LUK: 1, Attack: 86781, Defense: 727326, Current HP: 2467, A Avg: 91120, D Avg: 727326, [Impulse[166, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 698: HP: 1343, STR: 1184, VIT: 643437, SPD: 72, LUK: 1, Attack: 87673, Defense: 727326, Current HP: 1343, A Avg: 92056, D Avg: 727326, [Cuttlefish[178, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 697: HP: 2041, STR: 1184, VIT: 643408, SPD: 72, LUK: 1, Attack: 87673, Defense: 727336, Current HP: 2041, A Avg: 92056, D Avg: 727336, [Cuttlefish[178, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 696: HP: 1427, STR: 1184, VIT: 643423, SPD: 72, LUK: 1, Attack: 87673, Defense: 727351, Current HP: 1427, A Avg: 92056, D Avg: 727351, [Cuttlefish[178, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 695: HP: 2981, STR: 626, VIT: 643138, SPD: 72, LUK: 1, Attack: 85334, Defense: 727378, Current HP: 2981, A Avg: 89600, D Avg: 727378, [Thin Blade[158, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 694: HP: 1997, STR: 703, VIT: 642526, SPD: 72, LUK: 1, Attack: 84813, Defense: 727390, Current HP: 1997, A Avg: 89053, D Avg: 727390, [Dragon Killer[139, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 693: HP: 2036, STR: 707, VIT: 642526, SPD: 72, LUK: 1, Attack: 85220, Defense: 727390, Current HP: 2036, A Avg: 89481, D Avg: 727390, [Volcano[142, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 692: HP: 2057, STR: 703, VIT: 642529, SPD: 72, LUK: 1, Attack: 86672, Defense: 727393, Current HP: 2057, A Avg: 91005, D Avg: 727393, [Fire Chariot[138, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 691: HP: 1419, STR: 327, VIT: 642558, SPD: 72, LUK: 1, Attack: 84053, Defense: 727396, Current HP: 1419, A Avg: 88255, D Avg: 727396, [Wooden Stick[101, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 690: HP: 1419, STR: 327, VIT: 642558, SPD: 72, LUK: 1, Attack: 84092, Defense: 727396, Current HP: 1419, A Avg: 88296, D Avg: 727396, [Club[102, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 689: HP: 1419, STR: 333, VIT: 642558, SPD: 72, LUK: 1, Attack: 84105, Defense: 727396, Current HP: 1419, A Avg: 88310, D Avg: 727396, [Short Sword[103, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 688: HP: 1419, STR: 406, VIT: 642558, SPD: 72, LUK: 1, Attack: 84217, Defense: 727396, Current HP: 1419, A Avg: 88427, D Avg: 727396, [Long Sword[104, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 687: HP: 1419, STR: 468, VIT: 642558, SPD: 72, LUK: 1, Attack: 84240, Defense: 727396, Current HP: 1419, A Avg: 88452, D Avg: 727396, [Wasp Knife[105, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 686: HP: 1419, STR: 397, VIT: 642558, SPD: 72, LUK: 1, Attack: 84221, Defense: 727396, Current HP: 1419, A Avg: 88432, D Avg: 727396, [Stun Knuckle[106, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 685: HP: 1419, STR: 477, VIT: 642558, SPD: 72, LUK: 1, Attack: 84320, Defense: 727396, Current HP: 1419, A Avg: 88536, D Avg: 727396, [Battle Scythe[107, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 684: HP: 1440, STR: 477, VIT: 642558, SPD: 72, LUK: 1, Attack: 84366, Defense: 727396, Current HP: 1440, A Avg: 88584, D Avg: 727396, [Iron Lumps[108, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 683: HP: 1419, STR: 327, VIT: 642558, SPD: 72, LUK: 1, Attack: 84095, Defense: 727396, Current HP: 1419, A Avg: 88299, D Avg: 727396, [Decorative Swords[109, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 682: HP: 1419, STR: 495, VIT: 642558, SPD: 72, LUK: 1, Attack: 84618, Defense: 727396, Current HP: 1419, A Avg: 88848, D Avg: 727396, [Pinpoint[112, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 681: HP: 1440, STR: 547, VIT: 642558, SPD: 72, LUK: 1, Attack: 84553, Defense: 727396, Current HP: 1440, A Avg: 88780, D Avg: 727396, [Great Iron Mass[122, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 680: HP: 1430, STR: 397, VIT: 642558, SPD: 72, LUK: 1, Attack: 84390, Defense: 727396, Current HP: 1430, A Avg: 88609, D Avg: 727396, [Sword of Wood[124, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 679: HP: 1850, STR: 626, VIT: 642558, SPD: 72, LUK: 1, Attack: 84814, Defense: 727396, Current HP: 1850, A Avg: 89054, D Avg: 727396, [Sword of the Spirit Tree[125, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 678: HP: 1430, STR: 477, VIT: 642558, SPD: 72, LUK: 1, Attack: 84476, Defense: 727396, Current HP: 1430, A Avg: 88699, D Avg: 727396, [Greatsword[127, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 677: HP: 1845, STR: 552, VIT: 642558, SPD: 72, LUK: 1, Attack: 84974, Defense: 727396, Current HP: 1845, A Avg: 89222, D Avg: 727396, [Dreaming Sword[128, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 676: HP: 1440, STR: 345, VIT: 642558, SPD: 72, LUK: 1, Attack: 84120, Defense: 727396, Current HP: 1440, A Avg: 88326, D Avg: 727396, [Peacemaker[131, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 675: HP: 1482, STR: 327, VIT: 642558, SPD: 72, LUK: 1, Attack: 84229, Defense: 727396, Current HP: 1482, A Avg: 88440, D Avg: 727396, [Daydream[132, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 674: HP: 2448, STR: 678, VIT: 642558, SPD: 72, LUK: 1, Attack: 86361, Defense: 727396, Current HP: 2448, A Avg: 90679, D Avg: 727396, [Dancing[155, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 673: HP: 1419, STR: 1117, VIT: 642558, SPD: 72, LUK: 1, Attack: 85773, Defense: 727396, Current HP: 1419, A Avg: 90061, D Avg: 727396, [Penetra[161, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 672: HP: 1419, STR: 327, VIT: 642558, SPD: 72, LUK: 1, Attack: 85168, Defense: 727396, Current HP: 1419, A Avg: 89426, D Avg: 727396, [Grand Slam[163, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 671: HP: 1629, STR: 327, VIT: 642558, SPD: 72, LUK: 1, Attack: 85295, Defense: 727396, Current HP: 1629, A Avg: 89559, D Avg: 727396, [Cluster Bomb[170, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 670: HP: 2049, STR: 327, VIT: 642558, SPD: 72, LUK: 1, Attack: 92513, Defense: 727396, Current HP: 2049, A Avg: 97138, D Avg: 727396, [Big Bang[171, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 669: HP: 6333, STR: 327, VIT: 642558, SPD: 72, LUK: 1, Attack: 85380, Defense: 727396, Current HP: 6333, A Avg: 89649, D Avg: 727396, [Common Key[174, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 668: HP: 2049, STR: 327, VIT: 642558, SPD: 72, LUK: 1, Attack: 86569, Defense: 727396, Current HP: 2049, A Avg: 90897, D Avg: 727396, [Droid Hammer[177, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 667: HP: 1419, STR: 2181, VIT: 642558, SPD: 72, LUK: 1, Attack: 87110, Defense: 727396, Current HP: 1419, A Avg: 91465, D Avg: 727396, [Jack Knife[185, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 666: HP: 1419, STR: 3135, VIT: 642558, SPD: 72, LUK: 1, Attack: 87713, Defense: 727396, Current HP: 1419, A Avg: 92098, D Avg: 727396, [Magical[187, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 665: HP: 1419, STR: 858, VIT: 642558, SPD: 72, LUK: 1, Attack: 87909, Defense: 727396, Current HP: 1419, A Avg: 92304, D Avg: 727396, [Tekken[188, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 664: HP: 1419, STR: -69803, VIT: 642558, SPD: 72, LUK: 1, Attack: 29463, Defense: 727396, Current HP: 1419, A Avg: 30936, D Avg: 727396, [Sword of Evil[189, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 663: HP: 1419, STR: 3495, VIT: 642558, SPD: 72, LUK: 1, Attack: 91156, Defense: 727396, Current HP: 1419, A Avg: 95713, D Avg: 727396, [Neural Edge[190, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 662: HP: 2981, STR: 1022, VIT: 643167, SPD: 72, LUK: 1, Attack: 86874, Defense: 727407, Current HP: 2981, A Avg: 91217, D Avg: 727407, [Santoku[159, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 661: HP: 2446, STR: 855, VIT: 642544, SPD: 72, LUK: 1, Attack: 85953, Defense: 727408, Current HP: 2446, A Avg: 90250, D Avg: 727408, [Yggdrasil[126, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
