Rank 1000: HP: 1553, STR: 428, VIT: 477737, SPD: 54, LUK: 1, Attack: 86397, Defense: 561574, Current HP: 1553, A Avg: 90716, D Avg: 561574, [Fire Chariot[138, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 762: HP: 1291, STR: 352, VIT: 477487, SPD: 54, LUK: 1, Attack: 84163, Defense: 562351, Current HP: 1291, A Avg: 88371, D Avg: 562351, [Long Sword[104, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 761: HP: 1291, STR: 396, VIT: 477487, SPD: 54, LUK: 1, Attack: 84168, Defense: 562351, Current HP: 1291, A Avg: 88376, D Avg: 562351, [Wasp Knife[105, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 760: HP: 1291, STR: 343, VIT: 477487, SPD: 54, LUK: 1, Attack: 84167, Defense: 562351, Current HP: 1291, A Avg: 88375, D Avg: 562351, [Stun Knuckle[106, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 759: HP: 1291, STR: 405, VIT: 477487, SPD: 54, LUK: 1, Attack: 84248, Defense: 562351, Current HP: 1291, A Avg: 88460, D Avg: 562351, [Battle Scythe[107, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 758: HP: 1312, STR: 405, VIT: 477487, SPD: 54, LUK: 1, Attack: 84294, Defense: 562351, Current HP: 1312, A Avg: 88508, D Avg: 562351, [Iron Lumps[108, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 757: HP: 1291, STR: 291, VIT: 477487, SPD: 54, LUK: 1, Attack: 84059, Defense: 562351, Current HP: 1291, A Avg: 88261, D Avg: 562351, [Decorative Swords[109, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 756: HP: 1291, STR: 423, VIT: 477487, SPD: 54, LUK: 1, Attack: 84546, Defense: 562351, Current HP: 1291, A Avg: 88773, D Avg: 562351, [Pinpoint[112, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 755: HP: 1312, STR: 457, VIT: 477487, SPD: 54, LUK: 1, Attack: 84463, Defense: 562351, Current HP: 1312, A Avg: 88686, D Avg: 562351, [Great Iron Mass[122, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 754: HP: 1301, STR: 343, VIT: 477487, SPD: 54, LUK: 1, Attack: 84336, Defense: 562351, Current HP: 1301, A Avg: 88552, D Avg: 562351, [Sword of Wood[124, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 753: HP: 1616, STR: 518, VIT: 477487, SPD: 54, LUK: 1, Attack: 84706, Defense: 562351, Current HP: 1616, A Avg: 88941, D Avg: 562351, [Sword of the Spirit Tree[125, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 752: HP: 1301, STR: 405, VIT: 477487, SPD: 54, LUK: 1, Attack: 84404, Defense: 562351, Current HP: 1301, A Avg: 88624, D Avg: 562351, [Greatsword[127, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 751: HP: 1612, STR: 462, VIT: 477487, SPD: 54, LUK: 1, Attack: 84884, Defense: 562351, Current HP: 1612, A Avg: 89128, D Avg: 562351, [Dreaming Sword[128, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 750: HP: 1312, STR: 309, VIT: 477487, SPD: 54, LUK: 1, Attack: 84084, Defense: 562351, Current HP: 1312, A Avg: 88288, D Avg: 562351, [Peacemaker[131, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 749: HP: 1354, STR: 291, VIT: 477487, SPD: 54, LUK: 1, Attack: 84193, Defense: 562351, Current HP: 1354, A Avg: 88402, D Avg: 562351, [Daydream[132, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 748: HP: 2110, STR: 552, VIT: 477487, SPD: 54, LUK: 1, Attack: 86235, Defense: 562351, Current HP: 2110, A Avg: 90546, D Avg: 562351, [Dancing[155, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 747: HP: 1291, STR: 883, VIT: 477487, SPD: 54, LUK: 1, Attack: 85539, Defense: 562351, Current HP: 1291, A Avg: 89815, D Avg: 562351, [Penetra[161, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 746: HP: 1291, STR: 291, VIT: 477487, SPD: 54, LUK: 1, Attack: 85132, Defense: 562351, Current HP: 1291, A Avg: 89388, D Avg: 562351, [Grand Slam[163, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 745: HP: 1148, STR: 1141, VIT: 478410, SPD: 54, LUK: 1, Attack: 85929, Defense: 562351, Current HP: 1148, A Avg: 90225, D Avg: 562351, [Pulse Knife[165, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 744: HP: 1501, STR: 291, VIT: 477487, SPD: 54, LUK: 1, Attack: 85259, Defense: 562351, Current HP: 1501, A Avg: 89521, D Avg: 562351, [Cluster Bomb[170, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 743: HP: 1921, STR: 291, VIT: 477487, SPD: 54, LUK: 1, Attack: 92477, Defense: 562351, Current HP: 1921, A Avg: 97100, D Avg: 562351, [Big Bang[171, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 742: HP: 4945, STR: 291, VIT: 477487, SPD: 54, LUK: 1, Attack: 85344, Defense: 562351, Current HP: 4945, A Avg: 89611, D Avg: 562351, [Common Key[174, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 741: HP: 1921, STR: 291, VIT: 477487, SPD: 54, LUK: 1, Attack: 86533, Defense: 562351, Current HP: 1921, A Avg: 90859, D Avg: 562351, [Droid Hammer[177, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 740: HP: 1291, STR: 1785, VIT: 477487, SPD: 54, LUK: 1, Attack: 86714, Defense: 562351, Current HP: 1291, A Avg: 91049, D Avg: 562351, [Jack Knife[185, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 739: HP: 1291, STR: 2379, VIT: 477487, SPD: 54, LUK: 1, Attack: 86957, Defense: 562351, Current HP: 1291, A Avg: 91304, D Avg: 562351, [Magical[187, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 738: HP: 1291, STR: 732, VIT: 477487, SPD: 54, LUK: 1, Attack: 87783, Defense: 562351, Current HP: 1291, A Avg: 92172, D Avg: 562351, [Tekken[188, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 737: HP: 1291, STR: -51857, VIT: 477487, SPD: 54, LUK: 1, Attack: 47409, Defense: 562351, Current HP: 1291, A Avg: 49779, D Avg: 562351, [Sword of Evil[189, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 736: HP: 1291, STR: 2739, VIT: 477487, SPD: 54, LUK: 1, Attack: 90400, Defense: 562351, Current HP: 1291, A Avg: 94920, D Avg: 562351, [Neural Edge[190, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 735: HP: 1778, STR: 1890, VIT: 478421, SPD: 54, LUK: 1, Attack: 86390, Defense: 562362, Current HP: 1778, A Avg: 90709, D Avg: 562362, [Divine Dragon Sword[181, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 734: HP: 1595, STR: 460, VIT: 477505, SPD: 54, LUK: 1, Attack: 84427, Defense: 562369, Current HP: 1595, A Avg: 88648, D Avg: 562369, [Phantom Sword[117, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 733: HP: 1301, STR: 396, VIT: 477516, SPD: 54, LUK: 1, Attack: 84239, Defense: 562380, Current HP: 1301, A Avg: 88450, D Avg: 562380, [Salamander[110, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 732: HP: 1291, STR: 448, VIT: 477516, SPD: 54, LUK: 1, Attack: 84532, Defense: 562380, Current HP: 1291, A Avg: 88758, D Avg: 562380, [Phantom Scythe[116, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 731: HP: 1301, STR: 396, VIT: 477516, SPD: 54, LUK: 1, Attack: 84268, Defense: 562380, Current HP: 1301, A Avg: 88481, D Avg: 562380, [Undine[118, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 730: HP: 1301, STR: 396, VIT: 477516, SPD: 54, LUK: 1, Attack: 84295, Defense: 562380, Current HP: 1301, A Avg: 88509, D Avg: 562380, [Sylph[119, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 729: HP: 1301, STR: 396, VIT: 477516, SPD: 54, LUK: 1, Attack: 84322, Defense: 562380, Current HP: 1301, A Avg: 88538, D Avg: 562380, [Gnome[120, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 728: HP: 881, STR: 682, VIT: 478517, SPD: 54, LUK: 1, Attack: 86235, Defense: 562380, Current HP: 881, A Avg: 90546, D Avg: 562380, [Hammer of Justice[186, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 727: HP: 1333, STR: 318, VIT: 477531, SPD: 54, LUK: 1, Attack: 88485, Defense: 562395, Current HP: 1333, A Avg: 92909, D Avg: 562395, [Basic[169, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 726: HP: 1942, STR: 1159, VIT: 478566, SPD: 54, LUK: 1, Attack: 86493, Defense: 562403, Current HP: 1942, A Avg: 90817, D Avg: 562403, [Impulse[166, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 725: HP: 1133, STR: 968, VIT: 478543, SPD: 54, LUK: 1, Attack: 87457, Defense: 562406, Current HP: 1133, A Avg: 91829, D Avg: 562406, [Cuttlefish[178, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 724: HP: 881, STR: 682, VIT: 478546, SPD: 54, LUK: 1, Attack: 86235, Defense: 562435, Current HP: 881, A Avg: 90546, D Avg: 562435, [Hammer of Justice[186, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 723: HP: 1291, STR: 405, VIT: 477572, SPD: 54, LUK: 1, Attack: 84281, Defense: 562436, Current HP: 1291, A Avg: 88495, D Avg: 562436, [Tornado[111, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 722: HP: 1595, STR: 396, VIT: 477572, SPD: 54, LUK: 1, Attack: 84421, Defense: 562436, Current HP: 1595, A Avg: 88642, D Avg: 562436, [Fairy Sword[113, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 721: HP: 1291, STR: 466, VIT: 477572, SPD: 54, LUK: 1, Attack: 84615, Defense: 562436, Current HP: 1291, A Avg: 88845, D Avg: 562436, [Giant Tornado[114, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 720: HP: 1306, STR: 405, VIT: 477572, SPD: 54, LUK: 1, Attack: 84221, Defense: 562436, Current HP: 1306, A Avg: 88432, D Avg: 562436, [Hand Axe[140, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 719: HP: 1312, STR: 448, VIT: 477572, SPD: 54, LUK: 1, Attack: 84441, Defense: 562436, Current HP: 1312, A Avg: 88663, D Avg: 562436, [Wooden Boomerang[167, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 718: HP: 1432, STR: 408, VIT: 477574, SPD: 54, LUK: 1, Attack: 84206, Defense: 562438, Current HP: 1432, A Avg: 88416, D Avg: 562438, [Ninja[135, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 717: HP: 1308, STR: 405, VIT: 477577, SPD: 54, LUK: 1, Attack: 84411, Defense: 562441, Current HP: 1308, A Avg: 88631, D Avg: 562441, [Crescent[141, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 716: HP: 1411, STR: 682, VIT: 478517, SPD: 54, LUK: 1, Attack: 86235, Defense: 562445, Current HP: 1411, A Avg: 90546, D Avg: 562445, [Hammer of Justice[186, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 715: HP: 965, STR: 682, VIT: 478531, SPD: 54, LUK: 1, Attack: 86235, Defense: 562459, Current HP: 965, A Avg: 90546, D Avg: 562459, [Hammer of Justice[186, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 714: HP: 1133, STR: 968, VIT: 478572, SPD: 54, LUK: 1, Attack: 87457, Defense: 562461, Current HP: 1133, A Avg: 91829, D Avg: 562461, [Cuttlefish[178, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 713: HP: 1616, STR: 518, VIT: 477601, SPD: 54, LUK: 1, Attack: 85200, Defense: 562465, Current HP: 1616, A Avg: 89460, D Avg: 562465, [Thunder Whip[143, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 712: HP: 1711, STR: 2377, VIT: 477603, SPD: 54, LUK: 1, Attack: 92286, Defense: 562467, Current HP: 1711, A Avg: 96900, D Avg: 562467, [Spectral Sword Shigure[172, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 711: HP: 1663, STR: 968, VIT: 478543, SPD: 54, LUK: 1, Attack: 87457, Defense: 562471, Current HP: 1663, A Avg: 91829, D Avg: 562471, [Cuttlefish[178, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 710: HP: 1543, STR: 1274, VIT: 478244, SPD: 54, LUK: 1, Attack: 87152, Defense: 562484, Current HP: 1543, A Avg: 91509, D Avg: 562484, [God Hand[179, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 709: HP: 1501, STR: 1796, VIT: 478244, SPD: 54, LUK: 1, Attack: 87336, Defense: 562484, Current HP: 1501, A Avg: 91702, D Avg: 562484, [Zodiac[184, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 708: HP: 1217, STR: 968, VIT: 478558, SPD: 54, LUK: 1, Attack: 87457, Defense: 562486, Current HP: 1217, A Avg: 91829, D Avg: 562486, [Cuttlefish[178, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 707: HP: 1637, STR: 396, VIT: 477656, SPD: 54, LUK: 1, Attack: 84252, Defense: 562520, Current HP: 1637, A Avg: 88464, D Avg: 562520, [Emerald Sword[115, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 706: HP: 1883, STR: 1177, VIT: 478581, SPD: 54, LUK: 1, Attack: 86511, Defense: 562522, Current HP: 1883, A Avg: 90836, D Avg: 562522, [Impulse[166, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 705: HP: 1207, STR: 682, VIT: 478685, SPD: 54, LUK: 1, Attack: 86235, Defense: 562522, Current HP: 1207, A Avg: 90546, D Avg: 562522, [Hammer of Justice[186, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 704: HP: 1474, STR: 457, VIT: 477661, SPD: 54, LUK: 1, Attack: 84359, Defense: 562525, Current HP: 1474, A Avg: 88576, D Avg: 562525, [Crossed Shuriken[136, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 703: HP: 1637, STR: 509, VIT: 477670, SPD: 54, LUK: 1, Attack: 85022, Defense: 562534, Current HP: 1637, A Avg: 89273, D Avg: 562534, [Maximum Iron Mass[123, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 702: HP: 2351, STR: 500, VIT: 478302, SPD: 54, LUK: 1, Attack: 85208, Defense: 562542, Current HP: 2351, A Avg: 89468, D Avg: 562542, [Thin Blade[158, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 701: HP: 1459, STR: 968, VIT: 478711, SPD: 54, LUK: 1, Attack: 87457, Defense: 562548, Current HP: 1459, A Avg: 91829, D Avg: 562548, [Cuttlefish[178, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 700: HP: 2351, STR: 806, VIT: 478331, SPD: 54, LUK: 1, Attack: 86658, Defense: 562571, Current HP: 2351, A Avg: 90990, D Avg: 562571, [Santoku[159, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 699: HP: 2043, STR: 714, VIT: 478343, SPD: 54, LUK: 1, Attack: 86358, Defense: 562583, Current HP: 2043, A Avg: 90675, D Avg: 562583, [Gladius[162, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 698: HP: 1354, STR: 343, VIT: 477740, SPD: 54, LUK: 1, Attack: 84531, Defense: 562604, Current HP: 1354, A Avg: 88757, D Avg: 562604, [Cagliostro[133, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 697: HP: 1301, STR: 563, VIT: 477748, SPD: 54, LUK: 1, Attack: 84673, Defense: 562612, Current HP: 1301, A Avg: 88906, D Avg: 562612, [Windmill[137, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 696: HP: 1291, STR: 500, VIT: 477751, SPD: 54, LUK: 1, Attack: 84500, Defense: 562615, Current HP: 1291, A Avg: 88725, D Avg: 562615, [Kirisame[129, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 695: HP: 1616, STR: 509, VIT: 477751, SPD: 54, LUK: 1, Attack: 84630, Defense: 562615, Current HP: 1616, A Avg: 88861, D Avg: 562615, [Black Kirisame[130, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 694: HP: 1604, STR: 664, VIT: 477751, SPD: 54, LUK: 1, Attack: 86412, Defense: 562615, Current HP: 1604, A Avg: 90732, D Avg: 562615, [Scythe of the Grim Reaper[148, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 693: HP: 1637, STR: 509, VIT: 477754, SPD: 54, LUK: 1, Attack: 84619, Defense: 562618, Current HP: 1637, A Avg: 88849, D Avg: 562618, [Serpent[144, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 692: HP: 1799, STR: 617, VIT: 477760, SPD: 54, LUK: 1, Attack: 85583, Defense: 562624, Current HP: 1799, A Avg: 89862, D Avg: 562624, [Red Shark[134, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 691: HP: 1900, STR: 500, VIT: 477769, SPD: 54, LUK: 1, Attack: 84818, Defense: 562633, Current HP: 1900, A Avg: 89058, D Avg: 562633, [Ruby Knuckle[151, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 690: HP: 1148, STR: 700, VIT: 478700, SPD: 54, LUK: 1, Attack: 86253, Defense: 562641, Current HP: 1148, A Avg: 90565, D Avg: 562641, [Hammer of Justice[186, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 689: HP: 881, STR: 160, VIT: 478839, SPD: 54, LUK: 1, Attack: 84548, Defense: 562643, Current HP: 881, A Avg: 88775, D Avg: 562643, [Encryption Key[173, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 688: HP: 4535, STR: 1465, VIT: 478839, SPD: 54, LUK: 1, Attack: 89347, Defense: 562643, Current HP: 4535, A Avg: 93814, D Avg: 562643, [Wild Card[175, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 687: HP: 881, STR: 786, VIT: 478839, SPD: 54, LUK: 1, Attack: 86430, Defense: 562643, Current HP: 881, A Avg: 90751, D Avg: 562643, [Portal Sword[176, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 686: HP: 1291, STR: 1193, VIT: 478413, SPD: 54, LUK: 1, Attack: 85981, Defense: 562653, Current HP: 1291, A Avg: 90280, D Avg: 562653, [Pulse Knife[165, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 685: HP: 1616, STR: 815, VIT: 477798, SPD: 54, LUK: 1, Attack: 85549, Defense: 562662, Current HP: 1616, A Avg: 89826, D Avg: 562662, [Irruption[154, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 684: HP: 1921, STR: 1942, VIT: 478424, SPD: 54, LUK: 1, Attack: 86442, Defense: 562664, Current HP: 1921, A Avg: 90764, D Avg: 562664, [Divine Dragon Sword[181, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 683: HP: 1400, STR: 986, VIT: 478726, SPD: 54, LUK: 1, Attack: 87475, Defense: 562667, Current HP: 1400, A Avg: 91848, D Avg: 562667, [Cuttlefish[178, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 682: HP: 1598, STR: 559, VIT: 477835, SPD: 54, LUK: 1, Attack: 84669, Defense: 562699, Current HP: 1598, A Avg: 88902, D Avg: 562699, [Dragon Killer[139, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 681: HP: 1616, STR: 563, VIT: 477835, SPD: 54, LUK: 1, Attack: 85076, Defense: 562699, Current HP: 1616, A Avg: 89329, D Avg: 562699, [Volcano[142, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 680: HP: 881, STR: 160, VIT: 478830, SPD: 54, LUK: 1, Attack: 84548, Defense: 562699, Current HP: 881, A Avg: 88775, D Avg: 562699, [Encryption Key[173, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 679: HP: 4535, STR: 1465, VIT: 478830, SPD: 54, LUK: 1, Attack: 89347, Defense: 562699, Current HP: 4535, A Avg: 93814, D Avg: 562699, [Wild Card[175, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 678: HP: 881, STR: 786, VIT: 478830, SPD: 54, LUK: 1, Attack: 86430, Defense: 562699, Current HP: 881, A Avg: 90751, D Avg: 562699, [Portal Sword[176, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 677: HP: 1637, STR: 559, VIT: 477838, SPD: 54, LUK: 1, Attack: 86528, Defense: 562702, Current HP: 1637, A Avg: 90854, D Avg: 562702, [Fire Chariot[138, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 676: HP: 1921, STR: 675, VIT: 477853, SPD: 54, LUK: 1, Attack: 85773, Defense: 562717, Current HP: 1921, A Avg: 90061, D Avg: 562717, [Yggdrasil[126, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 675: HP: 1616, STR: 628, VIT: 477853, SPD: 54, LUK: 1, Attack: 85453, Defense: 562717, Current HP: 1616, A Avg: 89725, D Avg: 562717, [Kraken[145, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 674: HP: 1679, STR: 561, VIT: 477853, SPD: 54, LUK: 1, Attack: 85373, Defense: 562717, Current HP: 1679, A Avg: 89641, D Avg: 562717, [Granada[150, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 673: HP: 1738, STR: 570, VIT: 477859, SPD: 54, LUK: 1, Attack: 84602, Defense: 562723, Current HP: 1738, A Avg: 88832, D Avg: 562723, [Alucard[146, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 672: HP: 1125, STR: 273, VIT: 477896, SPD: 54, LUK: 1, Attack: 83999, Defense: 562734, Current HP: 1125, A Avg: 88198, D Avg: 562734, [Wooden Stick[101, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 671: HP: 1125, STR: 273, VIT: 477896, SPD: 54, LUK: 1, Attack: 84038, Defense: 562734, Current HP: 1125, A Avg: 88239, D Avg: 562734, [Club[102, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 670: HP: 1125, STR: 279, VIT: 477896, SPD: 54, LUK: 1, Attack: 84051, Defense: 562734, Current HP: 1125, A Avg: 88253, D Avg: 562734, [Short Sword[103, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 669: HP: 1125, STR: 334, VIT: 477896, SPD: 54, LUK: 1, Attack: 84145, Defense: 562734, Current HP: 1125, A Avg: 88352, D Avg: 562734, [Long Sword[104, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 668: HP: 1125, STR: 378, VIT: 477896, SPD: 54, LUK: 1, Attack: 84150, Defense: 562734, Current HP: 1125, A Avg: 88357, D Avg: 562734, [Wasp Knife[105, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 667: HP: 1125, STR: 325, VIT: 477896, SPD: 54, LUK: 1, Attack: 84149, Defense: 562734, Current HP: 1125, A Avg: 88356, D Avg: 562734, [Stun Knuckle[106, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 666: HP: 1125, STR: 387, VIT: 477896, SPD: 54, LUK: 1, Attack: 84230, Defense: 562734, Current HP: 1125, A Avg: 88441, D Avg: 562734, [Battle Scythe[107, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
