Rank 1000: HP: 1713, STR: 482, VIT: 560065, SPD: 63, LUK: 1, Attack: 84592, Defense: 643902, Current HP: 1713, A Avg: 88821, D Avg: 643902, [Dragon Killer[139, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 801: HP: 1948, STR: 734, VIT: 560575, SPD: 63, LUK: 1, Attack: 86378, Defense: 644503, Current HP: 1948, A Avg: 90696, D Avg: 644503, [Gladius[162, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 800: HP: 986, STR: 1267, VIT: 560645, SPD: 63, LUK: 1, Attack: 86055, Defense: 644508, Current HP: 986, A Avg: 90357, D Avg: 644508, [Pulse Knife[165, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 799: HP: 1826, STR: 1018, VIT: 560268, SPD: 63, LUK: 1, Attack: 85856, Defense: 644508, Current HP: 1826, A Avg: 90148, D Avg: 644508, [Willow Blade[157, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 798: HP: 2645, STR: 860, VIT: 560268, SPD: 63, LUK: 1, Attack: 85783, Defense: 644508, Current HP: 2645, A Avg: 90072, D Avg: 644508, [Pangaea[164, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 797: HP: 1616, STR: 2052, VIT: 560628, SPD: 63, LUK: 1, Attack: 86552, Defense: 644517, Current HP: 1616, A Avg: 90879, D Avg: 644517, [Divine Dragon Sword[181, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 796: HP: 2230, STR: 2052, VIT: 560599, SPD: 63, LUK: 1, Attack: 86552, Defense: 644527, Current HP: 2230, A Avg: 90879, D Avg: 644527, [Divine Dragon Sword[181, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 795: HP: 1910, STR: 633, VIT: 560297, SPD: 63, LUK: 1, Attack: 85965, Defense: 644537, Current HP: 1910, A Avg: 90263, D Avg: 644537, [Tower[149, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 794: HP: 2582, STR: 484, VIT: 560703, SPD: 63, LUK: 1, Attack: 85192, Defense: 644540, Current HP: 2582, A Avg: 89451, D Avg: 644540, [Thin Blade[158, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 793: HP: 1700, STR: 2052, VIT: 560613, SPD: 63, LUK: 1, Attack: 86552, Defense: 644541, Current HP: 1700, A Avg: 90879, D Avg: 644541, [Divine Dragon Sword[181, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 792: HP: 1826, STR: 1303, VIT: 560755, SPD: 63, LUK: 1, Attack: 86637, Defense: 644559, Current HP: 1826, A Avg: 90968, D Avg: 644559, [Impulse[166, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 791: HP: 986, STR: 1267, VIT: 560674, SPD: 63, LUK: 1, Attack: 86055, Defense: 644563, Current HP: 986, A Avg: 90357, D Avg: 644563, [Pulse Knife[165, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 790: HP: 2582, STR: 835, VIT: 560732, SPD: 63, LUK: 1, Attack: 86687, Defense: 644569, Current HP: 2582, A Avg: 91021, D Avg: 644569, [Santoku[159, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 789: HP: 1600, STR: 1267, VIT: 560645, SPD: 63, LUK: 1, Attack: 86055, Defense: 644573, Current HP: 1600, A Avg: 90357, D Avg: 644573, [Pulse Knife[165, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 788: HP: 1070, STR: 1267, VIT: 560659, SPD: 63, LUK: 1, Attack: 86055, Defense: 644587, Current HP: 1070, A Avg: 90357, D Avg: 644587, [Pulse Knife[165, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 787: HP: 2242, STR: 734, VIT: 560758, SPD: 63, LUK: 1, Attack: 86378, Defense: 644595, Current HP: 2242, A Avg: 90696, D Avg: 644595, [Gladius[162, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 786: HP: 1537, STR: 1411, VIT: 560659, SPD: 63, LUK: 1, Attack: 87289, Defense: 644600, Current HP: 1537, A Avg: 91653, D Avg: 644600, [God Hand[179, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 785: HP: 1495, STR: 2023, VIT: 560659, SPD: 63, LUK: 1, Attack: 87563, Defense: 644600, Current HP: 1495, A Avg: 91941, D Avg: 644600, [Zodiac[184, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 784: HP: 5438, STR: 3027, VIT: 560361, SPD: 63, LUK: 1, Attack: 88840, Defense: 644601, Current HP: 5438, A Avg: 93282, D Avg: 644601, [Spear of Regression[182, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 783: HP: 1826, STR: 1303, VIT: 560746, SPD: 63, LUK: 1, Attack: 86637, Defense: 644615, Current HP: 1826, A Avg: 90968, D Avg: 644615, [Impulse[166, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 782: HP: 2032, STR: 689, VIT: 560387, SPD: 63, LUK: 1, Attack: 85732, Defense: 644627, Current HP: 2032, A Avg: 90018, D Avg: 644627, [White Snake[160, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 781: HP: 1994, STR: 2052, VIT: 560796, SPD: 63, LUK: 1, Attack: 86552, Defense: 644633, Current HP: 1994, A Avg: 90879, D Avg: 644633, [Divine Dragon Sword[181, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 780: HP: 2204, STR: 878, VIT: 560396, SPD: 63, LUK: 1, Attack: 87224, Defense: 644636, Current HP: 2204, A Avg: 91585, D Avg: 644636, [Progress[147, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 779: HP: 1448, STR: 318, VIT: 559775, SPD: 63, LUK: 1, Attack: 84044, Defense: 644639, Current HP: 1448, A Avg: 88246, D Avg: 644639, [Wooden Stick[101, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 778: HP: 1448, STR: 318, VIT: 559775, SPD: 63, LUK: 1, Attack: 84083, Defense: 644639, Current HP: 1448, A Avg: 88287, D Avg: 644639, [Club[102, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 777: HP: 1448, STR: 324, VIT: 559775, SPD: 63, LUK: 1, Attack: 84096, Defense: 644639, Current HP: 1448, A Avg: 88300, D Avg: 644639, [Short Sword[103, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 776: HP: 1448, STR: 388, VIT: 559775, SPD: 63, LUK: 1, Attack: 84199, Defense: 644639, Current HP: 1448, A Avg: 88408, D Avg: 644639, [Long Sword[104, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 775: HP: 1448, STR: 441, VIT: 559775, SPD: 63, LUK: 1, Attack: 84213, Defense: 644639, Current HP: 1448, A Avg: 88423, D Avg: 644639, [Wasp Knife[105, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 774: HP: 1448, STR: 379, VIT: 559775, SPD: 63, LUK: 1, Attack: 84203, Defense: 644639, Current HP: 1448, A Avg: 88413, D Avg: 644639, [Stun Knuckle[106, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 773: HP: 1448, STR: 450, VIT: 559775, SPD: 63, LUK: 1, Attack: 84293, Defense: 644639, Current HP: 1448, A Avg: 88507, D Avg: 644639, [Battle Scythe[107, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 772: HP: 1469, STR: 450, VIT: 559775, SPD: 63, LUK: 1, Attack: 84339, Defense: 644639, Current HP: 1469, A Avg: 88555, D Avg: 644639, [Iron Lumps[108, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 771: HP: 1448, STR: 318, VIT: 559775, SPD: 63, LUK: 1, Attack: 84086, Defense: 644639, Current HP: 1448, A Avg: 88290, D Avg: 644639, [Decorative Swords[109, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 770: HP: 1448, STR: 468, VIT: 559775, SPD: 63, LUK: 1, Attack: 84591, Defense: 644639, Current HP: 1448, A Avg: 88820, D Avg: 644639, [Pinpoint[112, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 769: HP: 1469, STR: 511, VIT: 559775, SPD: 63, LUK: 1, Attack: 84517, Defense: 644639, Current HP: 1469, A Avg: 88742, D Avg: 644639, [Great Iron Mass[122, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 768: HP: 1459, STR: 379, VIT: 559775, SPD: 63, LUK: 1, Attack: 84372, Defense: 644639, Current HP: 1459, A Avg: 88590, D Avg: 644639, [Sword of Wood[124, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 767: HP: 1826, STR: 581, VIT: 559775, SPD: 63, LUK: 1, Attack: 84769, Defense: 644639, Current HP: 1826, A Avg: 89007, D Avg: 644639, [Sword of the Spirit Tree[125, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 766: HP: 1459, STR: 450, VIT: 559775, SPD: 63, LUK: 1, Attack: 84449, Defense: 644639, Current HP: 1459, A Avg: 88671, D Avg: 644639, [Greatsword[127, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 765: HP: 1822, STR: 516, VIT: 559775, SPD: 63, LUK: 1, Attack: 84938, Defense: 644639, Current HP: 1822, A Avg: 89184, D Avg: 644639, [Dreaming Sword[128, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 764: HP: 1469, STR: 336, VIT: 559775, SPD: 63, LUK: 1, Attack: 84111, Defense: 644639, Current HP: 1469, A Avg: 88316, D Avg: 644639, [Peacemaker[131, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 763: HP: 1511, STR: 318, VIT: 559775, SPD: 63, LUK: 1, Attack: 84220, Defense: 644639, Current HP: 1511, A Avg: 88431, D Avg: 644639, [Daydream[132, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 762: HP: 2372, STR: 624, VIT: 559775, SPD: 63, LUK: 1, Attack: 86307, Defense: 644639, Current HP: 2372, A Avg: 90622, D Avg: 644639, [Dancing[155, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 761: HP: 1448, STR: 1009, VIT: 559775, SPD: 63, LUK: 1, Attack: 85665, Defense: 644639, Current HP: 1448, A Avg: 89948, D Avg: 644639, [Penetra[161, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 760: HP: 1448, STR: 318, VIT: 559775, SPD: 63, LUK: 1, Attack: 85159, Defense: 644639, Current HP: 1448, A Avg: 89416, D Avg: 644639, [Grand Slam[163, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 759: HP: 1658, STR: 318, VIT: 559775, SPD: 63, LUK: 1, Attack: 85286, Defense: 644639, Current HP: 1658, A Avg: 89550, D Avg: 644639, [Cluster Bomb[170, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 758: HP: 2078, STR: 318, VIT: 559775, SPD: 63, LUK: 1, Attack: 92504, Defense: 644639, Current HP: 2078, A Avg: 97129, D Avg: 644639, [Big Bang[171, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 757: HP: 5732, STR: 318, VIT: 559775, SPD: 63, LUK: 1, Attack: 85371, Defense: 644639, Current HP: 5732, A Avg: 89639, D Avg: 644639, [Common Key[174, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 756: HP: 2078, STR: 318, VIT: 559775, SPD: 63, LUK: 1, Attack: 86560, Defense: 644639, Current HP: 2078, A Avg: 90888, D Avg: 644639, [Droid Hammer[177, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 755: HP: 1448, STR: 1992, VIT: 559775, SPD: 63, LUK: 1, Attack: 86921, Defense: 644639, Current HP: 1448, A Avg: 91267, D Avg: 644639, [Jack Knife[185, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 754: HP: 1448, STR: 2766, VIT: 559775, SPD: 63, LUK: 1, Attack: 87344, Defense: 644639, Current HP: 1448, A Avg: 91711, D Avg: 644639, [Magical[187, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 753: HP: 1448, STR: 804, VIT: 559775, SPD: 63, LUK: 1, Attack: 87855, Defense: 644639, Current HP: 1448, A Avg: 92247, D Avg: 644639, [Tekken[188, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 752: HP: 1448, STR: -60821, VIT: 559775, SPD: 63, LUK: 1, Attack: 38445, Defense: 644639, Current HP: 1448, A Avg: 40367, D Avg: 644639, [Sword of Evil[189, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 751: HP: 1448, STR: 3126, VIT: 559775, SPD: 63, LUK: 1, Attack: 90787, Defense: 644639, Current HP: 1448, A Avg: 95326, D Avg: 644639, [Neural Edge[190, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 750: HP: 1805, STR: 514, VIT: 559792, SPD: 63, LUK: 1, Attack: 84481, Defense: 644656, Current HP: 1805, A Avg: 88705, D Avg: 644656, [Phantom Sword[117, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 749: HP: 2503, STR: 502, VIT: 560717, SPD: 63, LUK: 1, Attack: 85210, Defense: 644658, Current HP: 2503, A Avg: 89470, D Avg: 644658, [Thin Blade[158, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 748: HP: 986, STR: 781, VIT: 560860, SPD: 63, LUK: 1, Attack: 86334, Defense: 644664, Current HP: 986, A Avg: 90650, D Avg: 644664, [Hammer of Justice[186, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 747: HP: 1459, STR: 441, VIT: 559804, SPD: 63, LUK: 1, Attack: 84284, Defense: 644668, Current HP: 1459, A Avg: 88498, D Avg: 644668, [Salamander[110, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 746: HP: 1448, STR: 502, VIT: 559804, SPD: 63, LUK: 1, Attack: 84586, Defense: 644668, Current HP: 1448, A Avg: 88815, D Avg: 644668, [Phantom Scythe[116, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 745: HP: 1459, STR: 441, VIT: 559804, SPD: 63, LUK: 1, Attack: 84313, Defense: 644668, Current HP: 1459, A Avg: 88528, D Avg: 644668, [Undine[118, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 744: HP: 1459, STR: 441, VIT: 559804, SPD: 63, LUK: 1, Attack: 84340, Defense: 644668, Current HP: 1459, A Avg: 88557, D Avg: 644668, [Sylph[119, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 743: HP: 1459, STR: 441, VIT: 559804, SPD: 63, LUK: 1, Attack: 84367, Defense: 644668, Current HP: 1459, A Avg: 88585, D Avg: 644668, [Gnome[120, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 742: HP: 1364, STR: 1267, VIT: 560842, SPD: 63, LUK: 1, Attack: 86055, Defense: 644679, Current HP: 1364, A Avg: 90357, D Avg: 644679, [Pulse Knife[165, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 741: HP: 1490, STR: 345, VIT: 559818, SPD: 63, LUK: 1, Attack: 88512, Defense: 644682, Current HP: 1490, A Avg: 92937, D Avg: 644682, [Basic[169, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 740: HP: 2503, STR: 853, VIT: 560746, SPD: 63, LUK: 1, Attack: 86705, Defense: 644687, Current HP: 2503, A Avg: 91040, D Avg: 644687, [Santoku[159, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 739: HP: 1826, STR: 1303, VIT: 560831, SPD: 63, LUK: 1, Attack: 86637, Defense: 644694, Current HP: 1826, A Avg: 90968, D Avg: 644694, [Impulse[166, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 738: HP: 1238, STR: 1076, VIT: 560900, SPD: 63, LUK: 1, Attack: 87565, Defense: 644704, Current HP: 1238, A Avg: 91943, D Avg: 644704, [Cuttlefish[178, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 737: HP: 1469, STR: 792, VIT: 560465, SPD: 63, LUK: 1, Attack: 87320, Defense: 644705, Current HP: 1469, A Avg: 91686, D Avg: 644705, [Moon Knuckle[153, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 736: HP: 1448, STR: 2390, VIT: 560465, SPD: 63, LUK: 1, Attack: 88268, Defense: 644705, Current HP: 1448, A Avg: 92681, D Avg: 644705, [Blue Sword[180, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 735: HP: 2162, STR: 752, VIT: 560773, SPD: 63, LUK: 1, Attack: 86396, Defense: 644714, Current HP: 2162, A Avg: 90715, D Avg: 644714, [Gladius[162, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 734: HP: 986, STR: 781, VIT: 560851, SPD: 63, LUK: 1, Attack: 86334, Defense: 644720, Current HP: 986, A Avg: 90650, D Avg: 644720, [Hammer of Justice[186, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 733: HP: 1448, STR: 450, VIT: 559874, SPD: 63, LUK: 1, Attack: 84326, Defense: 644738, Current HP: 1448, A Avg: 88542, D Avg: 644738, [Tornado[111, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 732: HP: 1805, STR: 441, VIT: 559874, SPD: 63, LUK: 1, Attack: 84466, Defense: 644738, Current HP: 1805, A Avg: 88689, D Avg: 644738, [Fairy Sword[113, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 731: HP: 1448, STR: 520, VIT: 559874, SPD: 63, LUK: 1, Attack: 84669, Defense: 644738, Current HP: 1448, A Avg: 88902, D Avg: 644738, [Giant Tornado[114, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 730: HP: 1463, STR: 450, VIT: 559874, SPD: 63, LUK: 1, Attack: 84266, Defense: 644738, Current HP: 1463, A Avg: 88479, D Avg: 644738, [Hand Axe[140, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 729: HP: 1469, STR: 502, VIT: 559874, SPD: 63, LUK: 1, Attack: 84495, Defense: 644738, Current HP: 1469, A Avg: 88719, D Avg: 644738, [Wooden Boomerang[167, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 728: HP: 1610, STR: 453, VIT: 559876, SPD: 63, LUK: 1, Attack: 84251, Defense: 644740, Current HP: 1610, A Avg: 88463, D Avg: 644740, [Ninja[135, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 727: HP: 1465, STR: 450, VIT: 559879, SPD: 63, LUK: 1, Attack: 84456, Defense: 644743, Current HP: 1465, A Avg: 88678, D Avg: 644743, [Crescent[141, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 726: HP: 1826, STR: 1303, VIT: 560860, SPD: 63, LUK: 1, Attack: 86637, Defense: 644749, Current HP: 1826, A Avg: 90968, D Avg: 644749, [Impulse[166, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 725: HP: 1915, STR: 2070, VIT: 560810, SPD: 63, LUK: 1, Attack: 86570, Defense: 644751, Current HP: 1915, A Avg: 90898, D Avg: 644751, [Divine Dragon Sword[181, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 724: HP: 1868, STR: 2557, VIT: 559891, SPD: 63, LUK: 1, Attack: 92466, Defense: 644755, Current HP: 1868, A Avg: 97089, D Avg: 644755, [Spectral Sword Shigure[172, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 723: HP: 2440, STR: 1303, VIT: 560831, SPD: 63, LUK: 1, Attack: 86637, Defense: 644759, Current HP: 2440, A Avg: 90968, D Avg: 644759, [Impulse[166, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 722: HP: 1238, STR: 1076, VIT: 560891, SPD: 63, LUK: 1, Attack: 87565, Defense: 644760, Current HP: 1238, A Avg: 91943, D Avg: 644760, [Cuttlefish[178, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 721: HP: 1826, STR: 581, VIT: 559903, SPD: 63, LUK: 1, Attack: 85263, Defense: 644767, Current HP: 1826, A Avg: 89526, D Avg: 644767, [Thunder Whip[143, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 720: HP: 1910, STR: 1303, VIT: 560845, SPD: 63, LUK: 1, Attack: 86637, Defense: 644773, Current HP: 1910, A Avg: 90968, D Avg: 644773, [Impulse[166, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 719: HP: 1285, STR: 1285, VIT: 560857, SPD: 63, LUK: 1, Attack: 86073, Defense: 644798, Current HP: 1285, A Avg: 90376, D Avg: 644798, [Pulse Knife[165, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 718: HP: 986, STR: 781, VIT: 560935, SPD: 63, LUK: 1, Attack: 86334, Defense: 644798, Current HP: 986, A Avg: 90650, D Avg: 644798, [Hammer of Justice[186, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 717: HP: 1847, STR: 441, VIT: 559972, SPD: 63, LUK: 1, Attack: 84297, Defense: 644836, Current HP: 1847, A Avg: 88511, D Avg: 644836, [Emerald Sword[115, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 716: HP: 1238, STR: 1076, VIT: 560976, SPD: 63, LUK: 1, Attack: 87565, Defense: 644839, Current HP: 1238, A Avg: 91943, D Avg: 644839, [Cuttlefish[178, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 715: HP: 1663, STR: 511, VIT: 559978, SPD: 63, LUK: 1, Attack: 84413, Defense: 644842, Current HP: 1663, A Avg: 88633, D Avg: 644842, [Crossed Shuriken[136, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 714: HP: 1847, STR: 572, VIT: 559987, SPD: 63, LUK: 1, Attack: 85085, Defense: 644851, Current HP: 1847, A Avg: 89339, D Avg: 644851, [Maximum Iron Mass[123, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 713: HP: 986, STR: 781, VIT: 560964, SPD: 63, LUK: 1, Attack: 86334, Defense: 644853, Current HP: 986, A Avg: 90650, D Avg: 644853, [Hammer of Justice[186, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 712: HP: 1600, STR: 781, VIT: 560935, SPD: 63, LUK: 1, Attack: 86334, Defense: 644863, Current HP: 1600, A Avg: 90650, D Avg: 644863, [Hammer of Justice[186, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 711: HP: 2204, STR: 1303, VIT: 561028, SPD: 63, LUK: 1, Attack: 86637, Defense: 644865, Current HP: 2204, A Avg: 90968, D Avg: 644865, [Impulse[166, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 710: HP: 1070, STR: 781, VIT: 560949, SPD: 63, LUK: 1, Attack: 86334, Defense: 644877, Current HP: 1070, A Avg: 90650, D Avg: 644877, [Hammer of Justice[186, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 709: HP: 1238, STR: 1076, VIT: 561005, SPD: 63, LUK: 1, Attack: 87565, Defense: 644894, Current HP: 1238, A Avg: 91943, D Avg: 644894, [Cuttlefish[178, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 708: HP: 1700, STR: 1472, VIT: 560662, SPD: 63, LUK: 1, Attack: 87350, Defense: 644902, Current HP: 1700, A Avg: 91717, D Avg: 644902, [God Hand[179, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 707: HP: 1658, STR: 2084, VIT: 560662, SPD: 63, LUK: 1, Attack: 87624, Defense: 644902, Current HP: 1658, A Avg: 92005, D Avg: 644902, [Zodiac[184, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 706: HP: 1852, STR: 1076, VIT: 560976, SPD: 63, LUK: 1, Attack: 87565, Defense: 644904, Current HP: 1852, A Avg: 91943, D Avg: 644904, [Cuttlefish[178, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 705: HP: 1322, STR: 1076, VIT: 560990, SPD: 63, LUK: 1, Attack: 87565, Defense: 644918, Current HP: 1322, A Avg: 91943, D Avg: 644918, [Cuttlefish[178, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
