Rank 1000: HP: 2551, STR: 302, VIT: 806495, SPD: 90, LUK: 1, Attack: 86544, Defense: 890735, Current HP: 2551, A Avg: 90871, D Avg: 890735, [Droid Hammer[177, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 755: HP: 1938, STR: 585, VIT: 806785, SPD: 90, LUK: 1, Attack: 84591, Defense: 891649, Current HP: 1938, A Avg: 88820, D Avg: 891649, [Crescent[141, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 754: HP: 2456, STR: 770, VIT: 806809, SPD: 90, LUK: 1, Attack: 85452, Defense: 891673, Current HP: 2456, A Avg: 89724, D Avg: 891673, [Thunder Whip[143, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 753: HP: 2557, STR: 1004, VIT: 807800, SPD: 90, LUK: 1, Attack: 86648, Defense: 891689, Current HP: 2557, A Avg: 90980, D Avg: 891689, [Gladius[162, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 752: HP: 3422, STR: 1004, VIT: 807771, SPD: 90, LUK: 1, Attack: 86648, Defense: 891699, Current HP: 3422, A Avg: 90980, D Avg: 891699, [Gladius[162, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 751: HP: 2641, STR: 1004, VIT: 807786, SPD: 90, LUK: 1, Attack: 86648, Defense: 891714, Current HP: 2641, A Avg: 90980, D Avg: 891714, [Gladius[162, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 750: HP: 2089, STR: 1960, VIT: 807899, SPD: 90, LUK: 1, Attack: 87838, Defense: 891736, Current HP: 2089, A Avg: 92229, D Avg: 891736, [God Hand[179, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 749: HP: 2047, STR: 2842, VIT: 807899, SPD: 90, LUK: 1, Attack: 88382, Defense: 891736, Current HP: 2047, A Avg: 92801, D Avg: 891736, [Zodiac[184, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 748: HP: 2725, STR: 932, VIT: 807510, SPD: 90, LUK: 1, Attack: 85975, Defense: 891750, Current HP: 2725, A Avg: 90273, D Avg: 891750, [White Snake[160, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 747: HP: 2992, STR: 1202, VIT: 807519, SPD: 90, LUK: 1, Attack: 87548, Defense: 891759, Current HP: 2992, A Avg: 91925, D Avg: 891759, [Progress[147, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 746: HP: 1301, STR: 1699, VIT: 807899, SPD: 90, LUK: 1, Attack: 86487, Defense: 891762, Current HP: 1301, A Avg: 90811, D Avg: 891762, [Pulse Knife[165, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 745: HP: 2477, STR: 576, VIT: 806922, SPD: 90, LUK: 1, Attack: 84432, Defense: 891786, Current HP: 2477, A Avg: 88653, D Avg: 891786, [Emerald Sword[115, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 744: HP: 2230, STR: 673, VIT: 806927, SPD: 90, LUK: 1, Attack: 84575, Defense: 891791, Current HP: 2230, A Avg: 88803, D Avg: 891791, [Crossed Shuriken[136, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 743: HP: 3527, STR: 646, VIT: 807957, SPD: 90, LUK: 1, Attack: 85354, Defense: 891794, Current HP: 3527, A Avg: 89621, D Avg: 891794, [Thin Blade[158, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 742: HP: 2467, STR: 2592, VIT: 807963, SPD: 90, LUK: 1, Attack: 87092, Defense: 891800, Current HP: 2467, A Avg: 91446, D Avg: 891800, [Divine Dragon Sword[181, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 741: HP: 2477, STR: 761, VIT: 806936, SPD: 90, LUK: 1, Attack: 85274, Defense: 891800, Current HP: 2477, A Avg: 89537, D Avg: 891800, [Maximum Iron Mass[123, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 740: HP: 2456, STR: 1735, VIT: 808009, SPD: 90, LUK: 1, Attack: 87069, Defense: 891813, Current HP: 2456, A Avg: 91422, D Avg: 891813, [Impulse[166, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 739: HP: 1301, STR: 1699, VIT: 807928, SPD: 90, LUK: 1, Attack: 86487, Defense: 891817, Current HP: 1301, A Avg: 90811, D Avg: 891817, [Pulse Knife[165, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 738: HP: 3527, STR: 1132, VIT: 807986, SPD: 90, LUK: 1, Attack: 86984, Defense: 891823, Current HP: 3527, A Avg: 91333, D Avg: 891823, [Santoku[159, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 737: HP: 2167, STR: 1699, VIT: 807899, SPD: 90, LUK: 1, Attack: 86487, Defense: 891827, Current HP: 2167, A Avg: 90811, D Avg: 891827, [Pulse Knife[165, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 736: HP: 1385, STR: 1699, VIT: 807913, SPD: 90, LUK: 1, Attack: 86487, Defense: 891841, Current HP: 1385, A Avg: 90811, D Avg: 891841, [Pulse Knife[165, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 735: HP: 1946, STR: 1978, VIT: 807913, SPD: 90, LUK: 1, Attack: 87856, Defense: 891854, Current HP: 1946, A Avg: 92248, D Avg: 891854, [God Hand[179, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 734: HP: 1904, STR: 2860, VIT: 807913, SPD: 90, LUK: 1, Attack: 88400, Defense: 891854, Current HP: 1904, A Avg: 92820, D Avg: 891854, [Zodiac[184, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 733: HP: 2456, STR: 1735, VIT: 808000, SPD: 90, LUK: 1, Attack: 87069, Defense: 891869, Current HP: 2456, A Avg: 91422, D Avg: 891869, [Impulse[166, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 732: HP: 1942, STR: 1062, VIT: 807632, SPD: 90, LUK: 1, Attack: 87590, Defense: 891872, Current HP: 1942, A Avg: 91969, D Avg: 891872, [Moon Knuckle[153, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 731: HP: 1921, STR: 3389, VIT: 807632, SPD: 90, LUK: 1, Attack: 89267, Defense: 891872, Current HP: 1921, A Avg: 93730, D Avg: 891872, [Blue Sword[180, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 730: HP: 1301, STR: 1078, VIT: 808070, SPD: 90, LUK: 1, Attack: 86631, Defense: 891874, Current HP: 1301, A Avg: 90962, D Avg: 891874, [Hammer of Justice[186, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 729: HP: 3093, STR: 1004, VIT: 808056, SPD: 90, LUK: 1, Attack: 86648, Defense: 891893, Current HP: 3093, A Avg: 90980, D Avg: 891893, [Gladius[162, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 728: HP: 3385, STR: 664, VIT: 807971, SPD: 90, LUK: 1, Attack: 85372, Defense: 891912, Current HP: 3385, A Avg: 89640, D Avg: 891912, [Thin Blade[158, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 727: HP: 2324, STR: 2610, VIT: 807977, SPD: 90, LUK: 1, Attack: 87110, Defense: 891918, Current HP: 2324, A Avg: 91465, D Avg: 891918, [Divine Dragon Sword[181, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 726: HP: 1984, STR: 487, VIT: 807064, SPD: 90, LUK: 1, Attack: 84675, Defense: 891928, Current HP: 1984, A Avg: 88908, D Avg: 891928, [Cagliostro[133, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 725: HP: 1301, STR: 1078, VIT: 808061, SPD: 90, LUK: 1, Attack: 86631, Defense: 891930, Current HP: 1301, A Avg: 90962, D Avg: 891930, [Hammer of Justice[186, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 724: HP: 1931, STR: 851, VIT: 807072, SPD: 90, LUK: 1, Attack: 84961, Defense: 891936, Current HP: 1931, A Avg: 89209, D Avg: 891936, [Windmill[137, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 723: HP: 1921, STR: 752, VIT: 807075, SPD: 90, LUK: 1, Attack: 84752, Defense: 891939, Current HP: 1921, A Avg: 88989, D Avg: 891939, [Kirisame[129, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 722: HP: 2456, STR: 761, VIT: 807075, SPD: 90, LUK: 1, Attack: 84882, Defense: 891939, Current HP: 2456, A Avg: 89126, D Avg: 891939, [Black Kirisame[130, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 721: HP: 2444, STR: 1024, VIT: 807075, SPD: 90, LUK: 1, Attack: 86772, Defense: 891939, Current HP: 2444, A Avg: 91110, D Avg: 891939, [Scythe of the Grim Reaper[148, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 720: HP: 3385, STR: 1150, VIT: 808000, SPD: 90, LUK: 1, Attack: 87002, Defense: 891941, Current HP: 3385, A Avg: 91352, D Avg: 891941, [Santoku[159, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 719: HP: 2477, STR: 761, VIT: 807078, SPD: 90, LUK: 1, Attack: 84871, Defense: 891942, Current HP: 2477, A Avg: 89114, D Avg: 891942, [Serpent[144, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 718: HP: 2765, STR: 941, VIT: 807084, SPD: 90, LUK: 1, Attack: 85907, Defense: 891948, Current HP: 2765, A Avg: 90202, D Avg: 891948, [Red Shark[134, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 717: HP: 2950, STR: 752, VIT: 807093, SPD: 90, LUK: 1, Attack: 85070, Defense: 891957, Current HP: 2950, A Avg: 89323, D Avg: 891957, [Ruby Knuckle[151, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 716: HP: 1553, STR: 1400, VIT: 808154, SPD: 90, LUK: 1, Attack: 87889, Defense: 891958, Current HP: 1553, A Avg: 92283, D Avg: 891958, [Cuttlefish[178, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 715: HP: 3895, STR: 196, VIT: 806052, SPD: 90, LUK: 1, Attack: 83922, Defense: 891969, Current HP: 3895, A Avg: 88118, D Avg: 891969, [Wooden Stick[101, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 714: HP: 3895, STR: 196, VIT: 806052, SPD: 90, LUK: 1, Attack: 83961, Defense: 891969, Current HP: 3895, A Avg: 88159, D Avg: 891969, [Club[102, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 713: HP: 3895, STR: 201, VIT: 806052, SPD: 90, LUK: 1, Attack: 83973, Defense: 891969, Current HP: 3895, A Avg: 88171, D Avg: 891969, [Short Sword[103, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 712: HP: 3895, STR: 293, VIT: 806052, SPD: 90, LUK: 1, Attack: 84104, Defense: 891969, Current HP: 3895, A Avg: 88309, D Avg: 891969, [Long Sword[104, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 711: HP: 3895, STR: 372, VIT: 806052, SPD: 90, LUK: 1, Attack: 84144, Defense: 891969, Current HP: 3895, A Avg: 88351, D Avg: 891969, [Wasp Knife[105, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 710: HP: 3895, STR: 284, VIT: 806052, SPD: 90, LUK: 1, Attack: 84108, Defense: 891969, Current HP: 3895, A Avg: 88313, D Avg: 891969, [Stun Knuckle[106, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 709: HP: 3895, STR: 381, VIT: 806052, SPD: 90, LUK: 1, Attack: 84224, Defense: 891969, Current HP: 3895, A Avg: 88435, D Avg: 891969, [Battle Scythe[107, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 708: HP: 3916, STR: 381, VIT: 806052, SPD: 90, LUK: 1, Attack: 84270, Defense: 891969, Current HP: 3916, A Avg: 88483, D Avg: 891969, [Iron Lumps[108, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 707: HP: 3895, STR: 196, VIT: 806052, SPD: 90, LUK: 1, Attack: 83964, Defense: 891969, Current HP: 3895, A Avg: 88162, D Avg: 891969, [Decorative Swords[109, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 706: HP: 3895, STR: 399, VIT: 806052, SPD: 90, LUK: 1, Attack: 84522, Defense: 891969, Current HP: 3895, A Avg: 88748, D Avg: 891969, [Pinpoint[112, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 705: HP: 3916, STR: 469, VIT: 806052, SPD: 90, LUK: 1, Attack: 84475, Defense: 891969, Current HP: 3916, A Avg: 88698, D Avg: 891969, [Great Iron Mass[122, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 704: HP: 3905, STR: 284, VIT: 806052, SPD: 90, LUK: 1, Attack: 84277, Defense: 891969, Current HP: 3905, A Avg: 88490, D Avg: 891969, [Sword of Wood[124, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 703: HP: 4430, STR: 567, VIT: 806052, SPD: 90, LUK: 1, Attack: 84755, Defense: 891969, Current HP: 4430, A Avg: 88992, D Avg: 891969, [Sword of the Spirit Tree[125, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 702: HP: 3905, STR: 381, VIT: 806052, SPD: 90, LUK: 1, Attack: 84380, Defense: 891969, Current HP: 3905, A Avg: 88599, D Avg: 891969, [Greatsword[127, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 701: HP: 4426, STR: 475, VIT: 806052, SPD: 90, LUK: 1, Attack: 84897, Defense: 891969, Current HP: 4426, A Avg: 89141, D Avg: 891969, [Dreaming Sword[128, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 700: HP: 3916, STR: 214, VIT: 806052, SPD: 90, LUK: 1, Attack: 83989, Defense: 891969, Current HP: 3916, A Avg: 88188, D Avg: 891969, [Peacemaker[131, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 699: HP: 3958, STR: 196, VIT: 806052, SPD: 90, LUK: 1, Attack: 84098, Defense: 891969, Current HP: 3958, A Avg: 88302, D Avg: 891969, [Daydream[132, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 698: HP: 5134, STR: 637, VIT: 806052, SPD: 90, LUK: 1, Attack: 86320, Defense: 891969, Current HP: 5134, A Avg: 90636, D Avg: 891969, [Dancing[155, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 697: HP: 3895, STR: 1184, VIT: 806052, SPD: 90, LUK: 1, Attack: 85840, Defense: 891969, Current HP: 3895, A Avg: 90132, D Avg: 891969, [Penetra[161, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 696: HP: 3895, STR: 196, VIT: 806052, SPD: 90, LUK: 1, Attack: 85037, Defense: 891969, Current HP: 3895, A Avg: 89288, D Avg: 891969, [Grand Slam[163, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 695: HP: 4105, STR: 196, VIT: 806052, SPD: 90, LUK: 1, Attack: 85164, Defense: 891969, Current HP: 4105, A Avg: 89422, D Avg: 891969, [Cluster Bomb[170, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 694: HP: 4525, STR: 196, VIT: 806052, SPD: 90, LUK: 1, Attack: 92382, Defense: 891969, Current HP: 4525, A Avg: 97001, D Avg: 891969, [Big Bang[171, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 693: HP: 10069, STR: 196, VIT: 806052, SPD: 90, LUK: 1, Attack: 85249, Defense: 891969, Current HP: 10069, A Avg: 89511, D Avg: 891969, [Common Key[174, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 692: HP: 4525, STR: 196, VIT: 806052, SPD: 90, LUK: 1, Attack: 86438, Defense: 891969, Current HP: 4525, A Avg: 90759, D Avg: 891969, [Droid Hammer[177, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 691: HP: 3895, STR: 2410, VIT: 806052, SPD: 90, LUK: 1, Attack: 87339, Defense: 891969, Current HP: 3895, A Avg: 91705, D Avg: 891969, [Jack Knife[185, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 690: HP: 3895, STR: 3724, VIT: 806052, SPD: 90, LUK: 1, Attack: 88302, Defense: 891969, Current HP: 3895, A Avg: 92717, D Avg: 891969, [Magical[187, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 689: HP: 3895, STR: 817, VIT: 806052, SPD: 90, LUK: 1, Attack: 87868, Defense: 891969, Current HP: 3895, A Avg: 92261, D Avg: 891969, [Tekken[188, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 688: HP: 3895, STR: -87916, VIT: 806052, SPD: 90, LUK: 1, Attack: 11350, Defense: 891969, Current HP: 3895, A Avg: 11917, D Avg: 891969, [Sword of Evil[189, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 687: HP: 3895, STR: 4084, VIT: 806052, SPD: 90, LUK: 1, Attack: 91745, Defense: 891969, Current HP: 3895, A Avg: 96332, D Avg: 891969, [Neural Edge[190, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 686: HP: 2456, STR: 1247, VIT: 807122, SPD: 90, LUK: 1, Attack: 85981, Defense: 891986, Current HP: 2456, A Avg: 90280, D Avg: 891986, [Irruption[154, 730, 730, 730], Dragon's Head[217, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 685: HP: 4409, STR: 473, VIT: 806069, SPD: 90, LUK: 1, Attack: 84440, Defense: 891986, Current HP: 4409, A Avg: 88662, D Avg: 891986, [Phantom Sword[117, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 684: HP: 2456, STR: 1735, VIT: 808128, SPD: 90, LUK: 1, Attack: 87069, Defense: 891991, Current HP: 2456, A Avg: 91422, D Avg: 891991, [Impulse[166, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 683: HP: 3905, STR: 372, VIT: 806081, SPD: 90, LUK: 1, Attack: 84215, Defense: 891998, Current HP: 3905, A Avg: 88425, D Avg: 891998, [Salamander[110, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 682: HP: 3895, STR: 460, VIT: 806081, SPD: 90, LUK: 1, Attack: 84544, Defense: 891998, Current HP: 3895, A Avg: 88771, D Avg: 891998, [Phantom Scythe[116, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 681: HP: 3905, STR: 372, VIT: 806081, SPD: 90, LUK: 1, Attack: 84244, Defense: 891998, Current HP: 3905, A Avg: 88456, D Avg: 891998, [Undine[118, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 680: HP: 3905, STR: 372, VIT: 806081, SPD: 90, LUK: 1, Attack: 84271, Defense: 891998, Current HP: 3905, A Avg: 88484, D Avg: 891998, [Sylph[119, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 679: HP: 3905, STR: 372, VIT: 806081, SPD: 90, LUK: 1, Attack: 84298, Defense: 891998, Current HP: 3905, A Avg: 88512, D Avg: 891998, [Gnome[120, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 678: HP: 2950, STR: 1022, VIT: 808070, SPD: 90, LUK: 1, Attack: 86666, Defense: 892011, Current HP: 2950, A Avg: 90999, D Avg: 892011, [Gladius[162, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 677: HP: 3937, STR: 223, VIT: 806095, SPD: 90, LUK: 1, Attack: 88390, Defense: 892012, Current HP: 3937, A Avg: 92809, D Avg: 892012, [Basic[169, 730, 730, 730], Frying Pan[231, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 676: HP: 1553, STR: 1400, VIT: 808145, SPD: 90, LUK: 1, Attack: 87889, Defense: 892014, Current HP: 1553, A Avg: 92283, D Avg: 892014, [Cuttlefish[178, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 675: HP: 1837, STR: 1699, VIT: 808183, SPD: 90, LUK: 1, Attack: 86487, Defense: 892020, Current HP: 1837, A Avg: 90811, D Avg: 892020, [Pulse Knife[165, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 674: HP: 2456, STR: 1735, VIT: 808157, SPD: 90, LUK: 1, Attack: 87069, Defense: 892046, Current HP: 2456, A Avg: 91422, D Avg: 892046, [Impulse[166, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 673: HP: 1301, STR: 1078, VIT: 808189, SPD: 90, LUK: 1, Attack: 86631, Defense: 892052, Current HP: 1301, A Avg: 90962, D Avg: 892052, [Hammer of Justice[186, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 672: HP: 3322, STR: 1735, VIT: 808128, SPD: 90, LUK: 1, Attack: 87069, Defense: 892056, Current HP: 3322, A Avg: 91422, D Avg: 892056, [Impulse[166, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 671: HP: 1713, STR: 381, VIT: 807220, SPD: 90, LUK: 1, Attack: 84107, Defense: 892058, Current HP: 1713, A Avg: 88312, D Avg: 892058, [Wooden Stick[101, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 670: HP: 1713, STR: 381, VIT: 807220, SPD: 90, LUK: 1, Attack: 84146, Defense: 892058, Current HP: 1713, A Avg: 88353, D Avg: 892058, [Club[102, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 669: HP: 1713, STR: 387, VIT: 807220, SPD: 90, LUK: 1, Attack: 84159, Defense: 892058, Current HP: 1713, A Avg: 88366, D Avg: 892058, [Short Sword[103, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 668: HP: 1713, STR: 478, VIT: 807220, SPD: 90, LUK: 1, Attack: 84289, Defense: 892058, Current HP: 1713, A Avg: 88503, D Avg: 892058, [Long Sword[104, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 667: HP: 1713, STR: 558, VIT: 807220, SPD: 90, LUK: 1, Attack: 84330, Defense: 892058, Current HP: 1713, A Avg: 88546, D Avg: 892058, [Wasp Knife[105, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 666: HP: 1713, STR: 469, VIT: 807220, SPD: 90, LUK: 1, Attack: 84293, Defense: 892058, Current HP: 1713, A Avg: 88507, D Avg: 892058, [Stun Knuckle[106, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 665: HP: 1713, STR: 567, VIT: 807220, SPD: 90, LUK: 1, Attack: 84410, Defense: 892058, Current HP: 1713, A Avg: 88630, D Avg: 892058, [Battle Scythe[107, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 664: HP: 1734, STR: 567, VIT: 807220, SPD: 90, LUK: 1, Attack: 84456, Defense: 892058, Current HP: 1734, A Avg: 88678, D Avg: 892058, [Iron Lumps[108, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 663: HP: 1713, STR: 381, VIT: 807220, SPD: 90, LUK: 1, Attack: 84149, Defense: 892058, Current HP: 1713, A Avg: 88356, D Avg: 892058, [Decorative Swords[109, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 662: HP: 1713, STR: 585, VIT: 807220, SPD: 90, LUK: 1, Attack: 84708, Defense: 892058, Current HP: 1713, A Avg: 88943, D Avg: 892058, [Pinpoint[112, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 661: HP: 1734, STR: 655, VIT: 807220, SPD: 90, LUK: 1, Attack: 84661, Defense: 892058, Current HP: 1734, A Avg: 88894, D Avg: 892058, [Great Iron Mass[122, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 660: HP: 1724, STR: 469, VIT: 807220, SPD: 90, LUK: 1, Attack: 84462, Defense: 892058, Current HP: 1724, A Avg: 88685, D Avg: 892058, [Sword of Wood[124, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 659: HP: 2249, STR: 752, VIT: 807220, SPD: 90, LUK: 1, Attack: 84940, Defense: 892058, Current HP: 2249, A Avg: 89187, D Avg: 892058, [Sword of the Spirit Tree[125, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 658: HP: 1724, STR: 567, VIT: 807220, SPD: 90, LUK: 1, Attack: 84566, Defense: 892058, Current HP: 1724, A Avg: 88794, D Avg: 892058, [Greatsword[127, 730, 730, 730], Bulletproof Shield[235, 730, 730, 730], Endpoint[318, 730, 730, 730]]
