Rank 1000: HP: 1396, STR: 484, VIT: 418243, SPD: 36, LUK: 1, Attack: 85407, Defense: 502106, Current HP: 1396, A Avg: 89677, D Avg: 502106, [Pangaea[164, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 773: HP: 1522, STR: 1512, VIT: 418812, SPD: 36, LUK: 1, Attack: 86012, Defense: 502649, Current HP: 1522, A Avg: 90312, D Avg: 502649, [Divine Dragon Sword[181, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 772: HP: 1280, STR: 871, VIT: 418731, SPD: 36, LUK: 1, Attack: 86205, Defense: 502659, Current HP: 1280, A Avg: 90515, D Avg: 502659, [Impulse[166, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 771: HP: 1417, STR: 871, VIT: 418826, SPD: 36, LUK: 1, Attack: 86205, Defense: 502663, Current HP: 1417, A Avg: 90515, D Avg: 502663, [Impulse[166, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 770: HP: 1339, STR: 446, VIT: 418446, SPD: 36, LUK: 1, Attack: 85489, Defense: 502686, Current HP: 1339, A Avg: 89763, D Avg: 502686, [White Snake[160, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 769: HP: 923, STR: 752, VIT: 418820, SPD: 36, LUK: 1, Attack: 87241, Defense: 502689, Current HP: 923, A Avg: 91603, D Avg: 502689, [Cuttlefish[178, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 768: HP: 671, STR: 484, VIT: 418823, SPD: 36, LUK: 1, Attack: 86037, Defense: 502692, Current HP: 671, A Avg: 90338, D Avg: 502692, [Hammer of Justice[186, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 767: HP: 1417, STR: 554, VIT: 418455, SPD: 36, LUK: 1, Attack: 86900, Defense: 502695, Current HP: 1417, A Avg: 91245, D Avg: 502695, [Progress[147, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 766: HP: 997, STR: 522, VIT: 418481, SPD: 36, LUK: 1, Attack: 87050, Defense: 502721, Current HP: 997, A Avg: 91402, D Avg: 502721, [Moon Knuckle[153, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 765: HP: 976, STR: 1391, VIT: 418481, SPD: 36, LUK: 1, Attack: 87269, Defense: 502721, Current HP: 976, A Avg: 91632, D Avg: 502721, [Blue Sword[180, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 764: HP: 923, STR: 752, VIT: 418861, SPD: 36, LUK: 1, Attack: 87241, Defense: 502724, Current HP: 923, A Avg: 91603, D Avg: 502724, [Cuttlefish[178, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 763: HP: 671, STR: 484, VIT: 418864, SPD: 36, LUK: 1, Attack: 86037, Defense: 502727, Current HP: 671, A Avg: 90338, D Avg: 502727, [Hammer of Justice[186, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 762: HP: 1505, STR: 1530, VIT: 418826, SPD: 36, LUK: 1, Attack: 86030, Defense: 502767, Current HP: 1505, A Avg: 90331, D Avg: 502767, [Divine Dragon Sword[181, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 761: HP: 923, STR: 752, VIT: 418890, SPD: 36, LUK: 1, Attack: 87241, Defense: 502779, Current HP: 923, A Avg: 91603, D Avg: 502779, [Cuttlefish[178, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 760: HP: 1400, STR: 889, VIT: 418841, SPD: 36, LUK: 1, Attack: 86223, Defense: 502782, Current HP: 1400, A Avg: 90534, D Avg: 502782, [Impulse[166, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 759: HP: 671, STR: 484, VIT: 418893, SPD: 36, LUK: 1, Attack: 86037, Defense: 502782, Current HP: 671, A Avg: 90338, D Avg: 502782, [Hammer of Justice[186, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 758: HP: 671, STR: 142, VIT: 418983, SPD: 36, LUK: 1, Attack: 84530, Defense: 502787, Current HP: 671, A Avg: 88756, D Avg: 502787, [Encryption Key[173, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 757: HP: 3065, STR: 997, VIT: 418983, SPD: 36, LUK: 1, Attack: 88879, Defense: 502787, Current HP: 3065, A Avg: 93322, D Avg: 502787, [Wild Card[175, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 756: HP: 671, STR: 552, VIT: 418983, SPD: 36, LUK: 1, Attack: 86196, Defense: 502787, Current HP: 671, A Avg: 90505, D Avg: 502787, [Portal Sword[176, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 755: HP: 1285, STR: 752, VIT: 418861, SPD: 36, LUK: 1, Attack: 87241, Defense: 502789, Current HP: 1285, A Avg: 91603, D Avg: 502789, [Cuttlefish[178, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 754: HP: 3391, STR: 2541, VIT: 418551, SPD: 36, LUK: 1, Attack: 88354, Defense: 502791, Current HP: 3391, A Avg: 92771, D Avg: 502791, [Spear of Regression[182, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 753: HP: 1033, STR: 484, VIT: 418864, SPD: 36, LUK: 1, Attack: 86037, Defense: 502792, Current HP: 1033, A Avg: 90338, D Avg: 502792, [Hammer of Justice[186, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 752: HP: 1007, STR: 752, VIT: 418876, SPD: 36, LUK: 1, Attack: 87241, Defense: 502804, Current HP: 1007, A Avg: 91603, D Avg: 502804, [Cuttlefish[178, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 751: HP: 755, STR: 484, VIT: 418878, SPD: 36, LUK: 1, Attack: 86037, Defense: 502806, Current HP: 755, A Avg: 90338, D Avg: 502806, [Hammer of Justice[186, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 750: HP: 1144, STR: 752, VIT: 418971, SPD: 36, LUK: 1, Attack: 87241, Defense: 502808, Current HP: 1144, A Avg: 91603, D Avg: 502808, [Cuttlefish[178, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 749: HP: 892, STR: 484, VIT: 418974, SPD: 36, LUK: 1, Attack: 86037, Defense: 502811, Current HP: 892, A Avg: 90338, D Avg: 502811, [Hammer of Justice[186, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 748: HP: 1228, STR: 878, VIT: 418591, SPD: 36, LUK: 1, Attack: 86756, Defense: 502831, Current HP: 1228, A Avg: 91093, D Avg: 502831, [God Hand[179, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 747: HP: 1186, STR: 1220, VIT: 418591, SPD: 36, LUK: 1, Attack: 86760, Defense: 502831, Current HP: 1186, A Avg: 91098, D Avg: 502831, [Zodiac[184, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 746: HP: 671, STR: 142, VIT: 418974, SPD: 36, LUK: 1, Attack: 84530, Defense: 502843, Current HP: 671, A Avg: 88756, D Avg: 502843, [Encryption Key[173, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 745: HP: 3065, STR: 997, VIT: 418974, SPD: 36, LUK: 1, Attack: 88879, Defense: 502843, Current HP: 3065, A Avg: 93322, D Avg: 502843, [Wild Card[175, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 744: HP: 671, STR: 552, VIT: 418974, SPD: 36, LUK: 1, Attack: 86196, Defense: 502843, Current HP: 671, A Avg: 90505, D Avg: 502843, [Portal Sword[176, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 743: HP: 671, STR: 142, VIT: 419015, SPD: 36, LUK: 1, Attack: 84530, Defense: 502878, Current HP: 671, A Avg: 88756, D Avg: 502878, [Encryption Key[173, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 742: HP: 3065, STR: 997, VIT: 419015, SPD: 36, LUK: 1, Attack: 88879, Defense: 502878, Current HP: 3065, A Avg: 93322, D Avg: 502878, [Wild Card[175, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 741: HP: 671, STR: 552, VIT: 419015, SPD: 36, LUK: 1, Attack: 86196, Defense: 502878, Current HP: 671, A Avg: 90505, D Avg: 502878, [Portal Sword[176, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 740: HP: 1721, STR: 374, VIT: 418649, SPD: 36, LUK: 1, Attack: 85082, Defense: 502889, Current HP: 1721, A Avg: 89336, D Avg: 502889, [Thin Blade[158, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 739: HP: 1476, STR: 516, VIT: 418661, SPD: 36, LUK: 1, Attack: 86160, Defense: 502901, Current HP: 1476, A Avg: 90468, D Avg: 502901, [Gladius[162, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 738: HP: 1721, STR: 590, VIT: 418678, SPD: 36, LUK: 1, Attack: 86442, Defense: 502918, Current HP: 1721, A Avg: 90764, D Avg: 502918, [Santoku[159, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 737: HP: 1127, STR: 770, VIT: 418986, SPD: 36, LUK: 1, Attack: 87259, Defense: 502927, Current HP: 1127, A Avg: 91621, D Avg: 502927, [Cuttlefish[178, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 736: HP: 875, STR: 502, VIT: 418989, SPD: 36, LUK: 1, Attack: 86055, Defense: 502930, Current HP: 875, A Avg: 90357, D Avg: 502930, [Hammer of Justice[186, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 735: HP: 671, STR: 142, VIT: 419044, SPD: 36, LUK: 1, Attack: 84530, Defense: 502933, Current HP: 671, A Avg: 88756, D Avg: 502933, [Encryption Key[173, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 734: HP: 3065, STR: 997, VIT: 419044, SPD: 36, LUK: 1, Attack: 88879, Defense: 502933, Current HP: 3065, A Avg: 93322, D Avg: 502933, [Wild Card[175, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 733: HP: 671, STR: 552, VIT: 419044, SPD: 36, LUK: 1, Attack: 86196, Defense: 502933, Current HP: 671, A Avg: 90505, D Avg: 502933, [Portal Sword[176, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 732: HP: 976, STR: 887, VIT: 418702, SPD: 36, LUK: 1, Attack: 85675, Defense: 502942, Current HP: 976, A Avg: 89958, D Avg: 502942, [Pulse Knife[165, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 731: HP: 1033, STR: 142, VIT: 419015, SPD: 36, LUK: 1, Attack: 84530, Defense: 502943, Current HP: 1033, A Avg: 88756, D Avg: 502943, [Encryption Key[173, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 730: HP: 3427, STR: 997, VIT: 419015, SPD: 36, LUK: 1, Attack: 88879, Defense: 502943, Current HP: 3427, A Avg: 93322, D Avg: 502943, [Wild Card[175, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 729: HP: 1033, STR: 552, VIT: 419015, SPD: 36, LUK: 1, Attack: 86196, Defense: 502943, Current HP: 1033, A Avg: 90505, D Avg: 502943, [Portal Sword[176, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 728: HP: 755, STR: 142, VIT: 419029, SPD: 36, LUK: 1, Attack: 84530, Defense: 502957, Current HP: 755, A Avg: 88756, D Avg: 502957, [Encryption Key[173, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 727: HP: 3149, STR: 997, VIT: 419029, SPD: 36, LUK: 1, Attack: 88879, Defense: 502957, Current HP: 3149, A Avg: 93322, D Avg: 502957, [Wild Card[175, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 726: HP: 755, STR: 552, VIT: 419029, SPD: 36, LUK: 1, Attack: 86196, Defense: 502957, Current HP: 755, A Avg: 90505, D Avg: 502957, [Portal Sword[176, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 725: HP: 976, STR: 237, VIT: 418095, SPD: 36, LUK: 1, Attack: 83963, Defense: 502959, Current HP: 976, A Avg: 88161, D Avg: 502959, [Wooden Stick[101, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 724: HP: 976, STR: 237, VIT: 418095, SPD: 36, LUK: 1, Attack: 84002, Defense: 502959, Current HP: 976, A Avg: 88202, D Avg: 502959, [Club[102, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 723: HP: 976, STR: 243, VIT: 418095, SPD: 36, LUK: 1, Attack: 84015, Defense: 502959, Current HP: 976, A Avg: 88215, D Avg: 502959, [Short Sword[103, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 722: HP: 976, STR: 280, VIT: 418095, SPD: 36, LUK: 1, Attack: 84091, Defense: 502959, Current HP: 976, A Avg: 88295, D Avg: 502959, [Long Sword[104, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 721: HP: 976, STR: 306, VIT: 418095, SPD: 36, LUK: 1, Attack: 84078, Defense: 502959, Current HP: 976, A Avg: 88281, D Avg: 502959, [Wasp Knife[105, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 720: HP: 976, STR: 271, VIT: 418095, SPD: 36, LUK: 1, Attack: 84095, Defense: 502959, Current HP: 976, A Avg: 88299, D Avg: 502959, [Stun Knuckle[106, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 719: HP: 976, STR: 315, VIT: 418095, SPD: 36, LUK: 1, Attack: 84158, Defense: 502959, Current HP: 976, A Avg: 88365, D Avg: 502959, [Battle Scythe[107, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 718: HP: 997, STR: 315, VIT: 418095, SPD: 36, LUK: 1, Attack: 84204, Defense: 502959, Current HP: 997, A Avg: 88414, D Avg: 502959, [Iron Lumps[108, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 717: HP: 976, STR: 237, VIT: 418095, SPD: 36, LUK: 1, Attack: 84005, Defense: 502959, Current HP: 976, A Avg: 88205, D Avg: 502959, [Decorative Swords[109, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 716: HP: 976, STR: 333, VIT: 418095, SPD: 36, LUK: 1, Attack: 84456, Defense: 502959, Current HP: 976, A Avg: 88678, D Avg: 502959, [Pinpoint[112, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 715: HP: 997, STR: 349, VIT: 418095, SPD: 36, LUK: 1, Attack: 84355, Defense: 502959, Current HP: 997, A Avg: 88572, D Avg: 502959, [Great Iron Mass[122, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 714: HP: 986, STR: 271, VIT: 418095, SPD: 36, LUK: 1, Attack: 84264, Defense: 502959, Current HP: 986, A Avg: 88477, D Avg: 502959, [Sword of Wood[124, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 713: HP: 1196, STR: 392, VIT: 418095, SPD: 36, LUK: 1, Attack: 84580, Defense: 502959, Current HP: 1196, A Avg: 88809, D Avg: 502959, [Sword of the Spirit Tree[125, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 712: HP: 986, STR: 315, VIT: 418095, SPD: 36, LUK: 1, Attack: 84314, Defense: 502959, Current HP: 986, A Avg: 88529, D Avg: 502959, [Greatsword[127, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 711: HP: 1192, STR: 354, VIT: 418095, SPD: 36, LUK: 1, Attack: 84776, Defense: 502959, Current HP: 1192, A Avg: 89014, D Avg: 502959, [Dreaming Sword[128, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 710: HP: 997, STR: 255, VIT: 418095, SPD: 36, LUK: 1, Attack: 84030, Defense: 502959, Current HP: 997, A Avg: 88231, D Avg: 502959, [Peacemaker[131, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 709: HP: 1039, STR: 237, VIT: 418095, SPD: 36, LUK: 1, Attack: 84139, Defense: 502959, Current HP: 1039, A Avg: 88345, D Avg: 502959, [Daydream[132, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 708: HP: 1585, STR: 408, VIT: 418095, SPD: 36, LUK: 1, Attack: 86091, Defense: 502959, Current HP: 1585, A Avg: 90395, D Avg: 502959, [Dancing[155, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 707: HP: 976, STR: 631, VIT: 418095, SPD: 36, LUK: 1, Attack: 85287, Defense: 502959, Current HP: 976, A Avg: 89551, D Avg: 502959, [Penetra[161, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 706: HP: 976, STR: 237, VIT: 418095, SPD: 36, LUK: 1, Attack: 85078, Defense: 502959, Current HP: 976, A Avg: 89331, D Avg: 502959, [Grand Slam[163, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 705: HP: 1186, STR: 237, VIT: 418095, SPD: 36, LUK: 1, Attack: 85205, Defense: 502959, Current HP: 1186, A Avg: 89465, D Avg: 502959, [Cluster Bomb[170, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 704: HP: 1606, STR: 237, VIT: 418095, SPD: 36, LUK: 1, Attack: 92423, Defense: 502959, Current HP: 1606, A Avg: 97044, D Avg: 502959, [Big Bang[171, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 703: HP: 3370, STR: 237, VIT: 418095, SPD: 36, LUK: 1, Attack: 85290, Defense: 502959, Current HP: 3370, A Avg: 89554, D Avg: 502959, [Common Key[174, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 702: HP: 1606, STR: 237, VIT: 418095, SPD: 36, LUK: 1, Attack: 86479, Defense: 502959, Current HP: 1606, A Avg: 90802, D Avg: 502959, [Droid Hammer[177, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 701: HP: 976, STR: 1371, VIT: 418095, SPD: 36, LUK: 1, Attack: 86300, Defense: 502959, Current HP: 976, A Avg: 90615, D Avg: 502959, [Jack Knife[185, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 700: HP: 976, STR: 1605, VIT: 418095, SPD: 36, LUK: 1, Attack: 86183, Defense: 502959, Current HP: 976, A Avg: 90492, D Avg: 502959, [Magical[187, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 699: HP: 976, STR: 588, VIT: 418095, SPD: 36, LUK: 1, Attack: 87639, Defense: 502959, Current HP: 976, A Avg: 92020, D Avg: 502959, [Tekken[188, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 698: HP: 976, STR: -33929, VIT: 418095, SPD: 36, LUK: 1, Attack: 65337, Defense: 502959, Current HP: 976, A Avg: 68603, D Avg: 502959, [Sword of Evil[189, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 697: HP: 976, STR: 1965, VIT: 418095, SPD: 36, LUK: 1, Attack: 89626, Defense: 502959, Current HP: 976, A Avg: 94107, D Avg: 502959, [Neural Edge[190, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 696: HP: 892, STR: 142, VIT: 419125, SPD: 36, LUK: 1, Attack: 84530, Defense: 502962, Current HP: 892, A Avg: 88756, D Avg: 502962, [Encryption Key[173, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 695: HP: 3286, STR: 997, VIT: 419125, SPD: 36, LUK: 1, Attack: 88879, Defense: 502962, Current HP: 3286, A Avg: 93322, D Avg: 502962, [Wild Card[175, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 694: HP: 892, STR: 552, VIT: 419125, SPD: 36, LUK: 1, Attack: 86196, Defense: 502962, Current HP: 892, A Avg: 90505, D Avg: 502962, [Portal Sword[176, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 693: HP: 1175, STR: 352, VIT: 418113, SPD: 36, LUK: 1, Attack: 84319, Defense: 502977, Current HP: 1175, A Avg: 88534, D Avg: 502977, [Phantom Sword[117, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 692: HP: 986, STR: 306, VIT: 418124, SPD: 36, LUK: 1, Attack: 84149, Defense: 502988, Current HP: 986, A Avg: 88356, D Avg: 502988, [Salamander[110, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 691: HP: 976, STR: 340, VIT: 418124, SPD: 36, LUK: 1, Attack: 84424, Defense: 502988, Current HP: 976, A Avg: 88645, D Avg: 502988, [Phantom Scythe[116, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 690: HP: 986, STR: 306, VIT: 418124, SPD: 36, LUK: 1, Attack: 84178, Defense: 502988, Current HP: 986, A Avg: 88386, D Avg: 502988, [Undine[118, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 689: HP: 986, STR: 306, VIT: 418124, SPD: 36, LUK: 1, Attack: 84205, Defense: 502988, Current HP: 986, A Avg: 88415, D Avg: 502988, [Sylph[119, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 688: HP: 986, STR: 306, VIT: 418124, SPD: 36, LUK: 1, Attack: 84232, Defense: 502988, Current HP: 986, A Avg: 88443, D Avg: 502988, [Gnome[120, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 687: HP: 1018, STR: 264, VIT: 418139, SPD: 36, LUK: 1, Attack: 88431, Defense: 503003, Current HP: 1018, A Avg: 92852, D Avg: 503003, [Basic[169, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 686: HP: 976, STR: 315, VIT: 418151, SPD: 36, LUK: 1, Attack: 84191, Defense: 503015, Current HP: 976, A Avg: 88400, D Avg: 503015, [Tornado[111, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 685: HP: 1175, STR: 306, VIT: 418151, SPD: 36, LUK: 1, Attack: 84331, Defense: 503015, Current HP: 1175, A Avg: 88547, D Avg: 503015, [Fairy Sword[113, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 684: HP: 976, STR: 358, VIT: 418151, SPD: 36, LUK: 1, Attack: 84507, Defense: 503015, Current HP: 976, A Avg: 88732, D Avg: 503015, [Giant Tornado[114, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 683: HP: 991, STR: 315, VIT: 418151, SPD: 36, LUK: 1, Attack: 84131, Defense: 503015, Current HP: 991, A Avg: 88337, D Avg: 503015, [Hand Axe[140, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 682: HP: 997, STR: 340, VIT: 418151, SPD: 36, LUK: 1, Attack: 84333, Defense: 503015, Current HP: 997, A Avg: 88549, D Avg: 503015, [Wooden Boomerang[167, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 681: HP: 1075, STR: 318, VIT: 418153, SPD: 36, LUK: 1, Attack: 84116, Defense: 503017, Current HP: 1075, A Avg: 88321, D Avg: 503017, [Ninja[135, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 680: HP: 993, STR: 315, VIT: 418156, SPD: 36, LUK: 1, Attack: 84321, Defense: 503020, Current HP: 993, A Avg: 88537, D Avg: 503020, [Crescent[141, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 679: HP: 1196, STR: 392, VIT: 418180, SPD: 36, LUK: 1, Attack: 85074, Defense: 503044, Current HP: 1196, A Avg: 89327, D Avg: 503044, [Thunder Whip[143, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 678: HP: 1606, STR: 1564, VIT: 418829, SPD: 36, LUK: 1, Attack: 86064, Defense: 503069, Current HP: 1606, A Avg: 90367, D Avg: 503069, [Divine Dragon Sword[181, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 677: HP: 1217, STR: 306, VIT: 418206, SPD: 36, LUK: 1, Attack: 84162, Defense: 503070, Current HP: 1217, A Avg: 88370, D Avg: 503070, [Emerald Sword[115, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 676: HP: 1096, STR: 349, VIT: 418211, SPD: 36, LUK: 1, Attack: 84251, Defense: 503075, Current HP: 1096, A Avg: 88463, D Avg: 503075, [Crossed Shuriken[136, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
