Rank 1000: HP: 293, STR: 126, VIT: 417861, SPD: 1, LUK: 1, Attack: 85601, Defense: 501750, Current HP: 293, A Avg: 89881, D Avg: 501750, [Elemental[121, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 759: HP: 377, STR: 576, VIT: 417820, SPD: 1, LUK: 1, Attack: 85505, Defense: 502060, Current HP: 377, A Avg: 89780, D Avg: 502060, [Jack Knife[185, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 758: HP: 377, STR: 126, VIT: 417820, SPD: 1, LUK: 1, Attack: 84704, Defense: 502060, Current HP: 377, A Avg: 88939, D Avg: 502060, [Magical[187, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 757: HP: 377, STR: 306, VIT: 417820, SPD: 1, LUK: 1, Attack: 87357, Defense: 502060, Current HP: 377, A Avg: 91724, D Avg: 502060, [Tekken[188, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 756: HP: 377, STR: 126, VIT: 417820, SPD: 1, LUK: 1, Attack: 99392, Defense: 502060, Current HP: 377, A Avg: 104361, D Avg: 502060, [Sword of Evil[189, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 755: HP: 377, STR: 486, VIT: 417820, SPD: 1, LUK: 1, Attack: 88147, Defense: 502060, Current HP: 377, A Avg: 92554, D Avg: 502060, [Neural Edge[190, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 754: HP: 396, STR: 138, VIT: 417823, SPD: 1, LUK: 1, Attack: 83936, Defense: 502063, Current HP: 396, A Avg: 88132, D Avg: 502063, [Ninja[135, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 753: HP: 377, STR: 135, VIT: 417826, SPD: 1, LUK: 1, Attack: 84037, Defense: 502066, Current HP: 377, A Avg: 88238, D Avg: 502066, [Crossed Shuriken[136, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 752: HP: 394, STR: 135, VIT: 417826, SPD: 1, LUK: 1, Attack: 84141, Defense: 502066, Current HP: 394, A Avg: 88348, D Avg: 502066, [Crescent[141, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 751: HP: 388, STR: 136, VIT: 417829, SPD: 1, LUK: 1, Attack: 84246, Defense: 502069, Current HP: 388, A Avg: 88458, D Avg: 502069, [Windmill[137, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 750: HP: 902, STR: 828, VIT: 418180, SPD: 1, LUK: 1, Attack: 85328, Defense: 502069, Current HP: 902, A Avg: 89594, D Avg: 502069, [Divine Dragon Sword[181, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 749: HP: 902, STR: 378, VIT: 418180, SPD: 1, LUK: 1, Attack: 88206, Defense: 502069, Current HP: 902, A Avg: 92616, D Avg: 502069, [Stargazer[183, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 748: HP: 377, STR: 126, VIT: 417832, SPD: 1, LUK: 1, Attack: 84126, Defense: 502072, Current HP: 377, A Avg: 88332, D Avg: 502072, [Kirisame[129, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 747: HP: 398, STR: 135, VIT: 417832, SPD: 1, LUK: 1, Attack: 84256, Defense: 502072, Current HP: 398, A Avg: 88468, D Avg: 502072, [Black Kirisame[130, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 746: HP: 440, STR: 133, VIT: 417832, SPD: 1, LUK: 1, Attack: 84243, Defense: 502072, Current HP: 440, A Avg: 88455, D Avg: 502072, [Dragon Killer[139, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 745: HP: 398, STR: 136, VIT: 417832, SPD: 1, LUK: 1, Attack: 84649, Defense: 502072, Current HP: 398, A Avg: 88881, D Avg: 502072, [Volcano[142, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 744: HP: 386, STR: 133, VIT: 417832, SPD: 1, LUK: 1, Attack: 85881, Defense: 502072, Current HP: 386, A Avg: 90175, D Avg: 502072, [Scythe of the Grim Reaper[148, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 743: HP: 419, STR: 135, VIT: 417834, SPD: 1, LUK: 1, Attack: 84648, Defense: 502074, Current HP: 419, A Avg: 88880, D Avg: 502074, [Maximum Iron Mass[123, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 742: HP: 419, STR: 133, VIT: 417834, SPD: 1, LUK: 1, Attack: 86102, Defense: 502074, Current HP: 419, A Avg: 90407, D Avg: 502074, [Fire Chariot[138, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 741: HP: 419, STR: 135, VIT: 417834, SPD: 1, LUK: 1, Attack: 84245, Defense: 502074, Current HP: 419, A Avg: 88457, D Avg: 502074, [Serpent[144, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 740: HP: 398, STR: 140, VIT: 417834, SPD: 1, LUK: 1, Attack: 85784, Defense: 502074, Current HP: 398, A Avg: 90073, D Avg: 502074, [Gladius[162, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 739: HP: 377, STR: 138, VIT: 417837, SPD: 1, LUK: 1, Attack: 84105, Defense: 502077, Current HP: 377, A Avg: 88310, D Avg: 502077, [Phantom Sword[117, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 738: HP: 944, STR: 828, VIT: 418151, SPD: 1, LUK: 1, Attack: 85328, Defense: 502079, Current HP: 944, A Avg: 89594, D Avg: 502079, [Divine Dragon Sword[181, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 737: HP: 944, STR: 378, VIT: 418151, SPD: 1, LUK: 1, Attack: 88206, Defense: 502079, Current HP: 944, A Avg: 92616, D Avg: 502079, [Stargazer[183, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 736: HP: 398, STR: 138, VIT: 417840, SPD: 1, LUK: 1, Attack: 85104, Defense: 502080, Current HP: 398, A Avg: 89359, D Avg: 502080, [Red Shark[134, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 735: HP: 461, STR: 138, VIT: 417840, SPD: 1, LUK: 1, Attack: 85181, Defense: 502080, Current HP: 461, A Avg: 89440, D Avg: 502080, [White Snake[160, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 734: HP: 388, STR: 126, VIT: 417849, SPD: 1, LUK: 1, Attack: 83969, Defense: 502089, Current HP: 388, A Avg: 88167, D Avg: 502089, [Salamander[110, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 733: HP: 377, STR: 126, VIT: 417849, SPD: 1, LUK: 1, Attack: 84210, Defense: 502089, Current HP: 377, A Avg: 88420, D Avg: 502089, [Phantom Scythe[116, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 732: HP: 388, STR: 126, VIT: 417849, SPD: 1, LUK: 1, Attack: 83998, Defense: 502089, Current HP: 388, A Avg: 88197, D Avg: 502089, [Undine[118, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 731: HP: 388, STR: 126, VIT: 417849, SPD: 1, LUK: 1, Attack: 84025, Defense: 502089, Current HP: 388, A Avg: 88226, D Avg: 502089, [Sylph[119, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 730: HP: 388, STR: 126, VIT: 417849, SPD: 1, LUK: 1, Attack: 84052, Defense: 502089, Current HP: 388, A Avg: 88254, D Avg: 502089, [Gnome[120, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 729: HP: 398, STR: 144, VIT: 417849, SPD: 1, LUK: 1, Attack: 85619, Defense: 502089, Current HP: 398, A Avg: 89899, D Avg: 502089, [Elemental[121, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 728: HP: 398, STR: 144, VIT: 417849, SPD: 1, LUK: 1, Attack: 85242, Defense: 502089, Current HP: 398, A Avg: 89504, D Avg: 502089, [Yggdrasil[126, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 727: HP: 398, STR: 144, VIT: 417849, SPD: 1, LUK: 1, Attack: 84826, Defense: 502089, Current HP: 398, A Avg: 89067, D Avg: 502089, [Thunder Whip[143, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 726: HP: 398, STR: 149, VIT: 417849, SPD: 1, LUK: 1, Attack: 84974, Defense: 502089, Current HP: 398, A Avg: 89222, D Avg: 502089, [Kraken[145, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 725: HP: 419, STR: 144, VIT: 417849, SPD: 1, LUK: 1, Attack: 86490, Defense: 502089, Current HP: 419, A Avg: 90814, D Avg: 502089, [Progress[147, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 724: HP: 482, STR: 144, VIT: 417849, SPD: 1, LUK: 1, Attack: 85476, Defense: 502089, Current HP: 482, A Avg: 89749, D Avg: 502089, [Tower[149, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 723: HP: 461, STR: 135, VIT: 417849, SPD: 1, LUK: 1, Attack: 84947, Defense: 502089, Current HP: 461, A Avg: 89194, D Avg: 502089, [Granada[150, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 722: HP: 377, STR: 126, VIT: 417849, SPD: 1, LUK: 1, Attack: 84444, Defense: 502089, Current HP: 377, A Avg: 88666, D Avg: 502089, [Ruby Knuckle[151, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 721: HP: 398, STR: 162, VIT: 417849, SPD: 1, LUK: 1, Attack: 84812, Defense: 502089, Current HP: 398, A Avg: 89052, D Avg: 502089, [Diamond Knuckle[152, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 720: HP: 986, STR: 828, VIT: 418165, SPD: 1, LUK: 1, Attack: 85328, Defense: 502093, Current HP: 986, A Avg: 89594, D Avg: 502093, [Divine Dragon Sword[181, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 719: HP: 986, STR: 378, VIT: 418165, SPD: 1, LUK: 1, Attack: 88206, Defense: 502093, Current HP: 986, A Avg: 92616, D Avg: 502093, [Stargazer[183, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 718: HP: 398, STR: 144, VIT: 417855, SPD: 1, LUK: 1, Attack: 84176, Defense: 502095, Current HP: 398, A Avg: 88384, D Avg: 502095, [Alucard[146, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 717: HP: 377, STR: 147, VIT: 417855, SPD: 1, LUK: 1, Attack: 84985, Defense: 502095, Current HP: 377, A Avg: 89234, D Avg: 502095, [Classic[168, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 716: HP: 419, STR: 153, VIT: 417863, SPD: 1, LUK: 1, Attack: 88320, Defense: 502103, Current HP: 419, A Avg: 92736, D Avg: 502103, [Basic[169, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 715: HP: 986, STR: 846, VIT: 418165, SPD: 1, LUK: 1, Attack: 85346, Defense: 502106, Current HP: 986, A Avg: 89613, D Avg: 502106, [Divine Dragon Sword[181, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 714: HP: 986, STR: 396, VIT: 418165, SPD: 1, LUK: 1, Attack: 88224, Defense: 502106, Current HP: 986, A Avg: 92635, D Avg: 502106, [Stargazer[183, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 713: HP: 398, STR: 180, VIT: 417878, SPD: 1, LUK: 1, Attack: 84914, Defense: 502118, Current HP: 398, A Avg: 89159, D Avg: 502118, [Irruption[154, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 712: HP: 524, STR: 135, VIT: 417878, SPD: 1, LUK: 1, Attack: 84843, Defense: 502118, Current HP: 524, A Avg: 89085, D Avg: 502118, [Thin Blade[158, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 711: HP: 524, STR: 180, VIT: 417907, SPD: 1, LUK: 1, Attack: 86032, Defense: 502147, Current HP: 524, A Avg: 90333, D Avg: 502147, [Santoku[159, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 710: HP: 503, STR: 342, VIT: 417907, SPD: 1, LUK: 1, Attack: 85676, Defense: 502147, Current HP: 503, A Avg: 89959, D Avg: 502147, [Impulse[166, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 709: HP: 797, STR: 1324, VIT: 417936, SPD: 1, LUK: 1, Attack: 91233, Defense: 502176, Current HP: 797, A Avg: 95794, D Avg: 502176, [Spectral Sword Shigure[172, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 708: HP: 629, STR: 360, VIT: 418052, SPD: 1, LUK: 1, Attack: 86849, Defense: 502292, Current HP: 629, A Avg: 91191, D Avg: 502292, [Cuttlefish[178, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 707: HP: 797, STR: 1926, VIT: 418110, SPD: 1, LUK: 1, Attack: 87739, Defense: 502350, Current HP: 797, A Avg: 92125, D Avg: 502350, [Spear of Regression[182, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 706: HP: 377, STR: 126, VIT: 418110, SPD: 1, LUK: 1, Attack: 85679, Defense: 502350, Current HP: 377, A Avg: 89962, D Avg: 502350, [Hammer of Justice[186, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 705: HP: 1007, STR: 846, VIT: 418168, SPD: 1, LUK: 1, Attack: 85346, Defense: 502408, Current HP: 1007, A Avg: 89613, D Avg: 502408, [Divine Dragon Sword[181, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 704: HP: 1007, STR: 396, VIT: 418168, SPD: 1, LUK: 1, Attack: 88224, Defense: 502408, Current HP: 1007, A Avg: 92635, D Avg: 502408, [Stargazer[183, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 703: HP: 377, STR: 135, VIT: 417820, SPD: 1, LUK: 1, Attack: 83861, Defense: 502684, Current HP: 377, A Avg: 88054, D Avg: 502684, [Wooden Stick[101, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 702: HP: 377, STR: 135, VIT: 417820, SPD: 1, LUK: 1, Attack: 83900, Defense: 502684, Current HP: 377, A Avg: 88095, D Avg: 502684, [Club[102, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 701: HP: 377, STR: 140, VIT: 417820, SPD: 1, LUK: 1, Attack: 83912, Defense: 502684, Current HP: 377, A Avg: 88107, D Avg: 502684, [Short Sword[103, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 700: HP: 377, STR: 144, VIT: 417820, SPD: 1, LUK: 1, Attack: 83955, Defense: 502684, Current HP: 377, A Avg: 88152, D Avg: 502684, [Long Sword[104, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 699: HP: 377, STR: 135, VIT: 417820, SPD: 1, LUK: 1, Attack: 83907, Defense: 502684, Current HP: 377, A Avg: 88102, D Avg: 502684, [Wasp Knife[105, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 698: HP: 377, STR: 135, VIT: 417820, SPD: 1, LUK: 1, Attack: 83959, Defense: 502684, Current HP: 377, A Avg: 88156, D Avg: 502684, [Stun Knuckle[106, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 697: HP: 377, STR: 144, VIT: 417820, SPD: 1, LUK: 1, Attack: 83987, Defense: 502684, Current HP: 377, A Avg: 88186, D Avg: 502684, [Battle Scythe[107, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 696: HP: 398, STR: 144, VIT: 417820, SPD: 1, LUK: 1, Attack: 84033, Defense: 502684, Current HP: 398, A Avg: 88234, D Avg: 502684, [Iron Lumps[108, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 695: HP: 377, STR: 135, VIT: 417820, SPD: 1, LUK: 1, Attack: 83903, Defense: 502684, Current HP: 377, A Avg: 88098, D Avg: 502684, [Decorative Swords[109, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 694: HP: 377, STR: 144, VIT: 417820, SPD: 1, LUK: 1, Attack: 84020, Defense: 502684, Current HP: 377, A Avg: 88221, D Avg: 502684, [Tornado[111, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 693: HP: 377, STR: 162, VIT: 417820, SPD: 1, LUK: 1, Attack: 84285, Defense: 502684, Current HP: 377, A Avg: 88499, D Avg: 502684, [Pinpoint[112, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 692: HP: 377, STR: 135, VIT: 417820, SPD: 1, LUK: 1, Attack: 84160, Defense: 502684, Current HP: 377, A Avg: 88368, D Avg: 502684, [Fairy Sword[113, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 691: HP: 377, STR: 153, VIT: 417820, SPD: 1, LUK: 1, Attack: 84302, Defense: 502684, Current HP: 377, A Avg: 88517, D Avg: 502684, [Giant Tornado[114, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 690: HP: 419, STR: 135, VIT: 417820, SPD: 1, LUK: 1, Attack: 83991, Defense: 502684, Current HP: 419, A Avg: 88190, D Avg: 502684, [Emerald Sword[115, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 689: HP: 398, STR: 144, VIT: 417820, SPD: 1, LUK: 1, Attack: 84150, Defense: 502684, Current HP: 398, A Avg: 88357, D Avg: 502684, [Great Iron Mass[122, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 688: HP: 388, STR: 135, VIT: 417820, SPD: 1, LUK: 1, Attack: 84128, Defense: 502684, Current HP: 388, A Avg: 88334, D Avg: 502684, [Sword of Wood[124, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 687: HP: 398, STR: 153, VIT: 417820, SPD: 1, LUK: 1, Attack: 84341, Defense: 502684, Current HP: 398, A Avg: 88558, D Avg: 502684, [Sword of the Spirit Tree[125, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 686: HP: 388, STR: 144, VIT: 417820, SPD: 1, LUK: 1, Attack: 84143, Defense: 502684, Current HP: 388, A Avg: 88350, D Avg: 502684, [Greatsword[127, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 685: HP: 394, STR: 149, VIT: 417820, SPD: 1, LUK: 1, Attack: 84571, Defense: 502684, Current HP: 394, A Avg: 88799, D Avg: 502684, [Dreaming Sword[128, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 684: HP: 398, STR: 153, VIT: 417820, SPD: 1, LUK: 1, Attack: 83928, Defense: 502684, Current HP: 398, A Avg: 88124, D Avg: 502684, [Peacemaker[131, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 683: HP: 440, STR: 135, VIT: 417820, SPD: 1, LUK: 1, Attack: 84037, Defense: 502684, Current HP: 440, A Avg: 88238, D Avg: 502684, [Daydream[132, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 682: HP: 440, STR: 135, VIT: 417820, SPD: 1, LUK: 1, Attack: 84323, Defense: 502684, Current HP: 440, A Avg: 88539, D Avg: 502684, [Cagliostro[133, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 681: HP: 392, STR: 144, VIT: 417820, SPD: 1, LUK: 1, Attack: 83960, Defense: 502684, Current HP: 392, A Avg: 88158, D Avg: 502684, [Hand Axe[140, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 680: HP: 398, STR: 189, VIT: 417820, SPD: 1, LUK: 1, Attack: 86717, Defense: 502684, Current HP: 398, A Avg: 91052, D Avg: 502684, [Moon Knuckle[153, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 679: HP: 587, STR: 135, VIT: 417820, SPD: 1, LUK: 1, Attack: 85818, Defense: 502684, Current HP: 587, A Avg: 90108, D Avg: 502684, [Dancing[155, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 678: HP: 398, STR: 144, VIT: 417820, SPD: 1, LUK: 1, Attack: 84085, Defense: 502684, Current HP: 398, A Avg: 88289, D Avg: 502684, [Rusty Knife[156, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 677: HP: 398, STR: 171, VIT: 417820, SPD: 1, LUK: 1, Attack: 85009, Defense: 502684, Current HP: 398, A Avg: 89259, D Avg: 502684, [Willow Blade[157, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 676: HP: 377, STR: 153, VIT: 417820, SPD: 1, LUK: 1, Attack: 84809, Defense: 502684, Current HP: 377, A Avg: 89049, D Avg: 502684, [Penetra[161, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 675: HP: 377, STR: 135, VIT: 417820, SPD: 1, LUK: 1, Attack: 84976, Defense: 502684, Current HP: 377, A Avg: 89224, D Avg: 502684, [Grand Slam[163, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 674: HP: 503, STR: 135, VIT: 417820, SPD: 1, LUK: 1, Attack: 85058, Defense: 502684, Current HP: 503, A Avg: 89310, D Avg: 502684, [Pangaea[164, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 673: HP: 377, STR: 315, VIT: 417820, SPD: 1, LUK: 1, Attack: 85103, Defense: 502684, Current HP: 377, A Avg: 89358, D Avg: 502684, [Pulse Knife[165, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 672: HP: 398, STR: 135, VIT: 417820, SPD: 1, LUK: 1, Attack: 84128, Defense: 502684, Current HP: 398, A Avg: 88334, D Avg: 502684, [Wooden Boomerang[167, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 671: HP: 587, STR: 135, VIT: 417820, SPD: 1, LUK: 1, Attack: 85103, Defense: 502684, Current HP: 587, A Avg: 89358, D Avg: 502684, [Cluster Bomb[170, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 670: HP: 1007, STR: 135, VIT: 417820, SPD: 1, LUK: 1, Attack: 92321, Defense: 502684, Current HP: 1007, A Avg: 96937, D Avg: 502684, [Big Bang[171, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 669: HP: 377, STR: 135, VIT: 417820, SPD: 1, LUK: 1, Attack: 84523, Defense: 502684, Current HP: 377, A Avg: 88749, D Avg: 502684, [Encryption Key[173, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 668: HP: 377, STR: 135, VIT: 417820, SPD: 1, LUK: 1, Attack: 85188, Defense: 502684, Current HP: 377, A Avg: 89447, D Avg: 502684, [Common Key[174, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 667: HP: 377, STR: 135, VIT: 417820, SPD: 1, LUK: 1, Attack: 88017, Defense: 502684, Current HP: 377, A Avg: 92417, D Avg: 502684, [Wild Card[175, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 666: HP: 377, STR: 135, VIT: 417820, SPD: 1, LUK: 1, Attack: 85779, Defense: 502684, Current HP: 377, A Avg: 90067, D Avg: 502684, [Portal Sword[176, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 665: HP: 1007, STR: 135, VIT: 417820, SPD: 1, LUK: 1, Attack: 86377, Defense: 502684, Current HP: 1007, A Avg: 90695, D Avg: 502684, [Droid Hammer[177, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 664: HP: 629, STR: 135, VIT: 417820, SPD: 1, LUK: 1, Attack: 86013, Defense: 502684, Current HP: 629, A Avg: 90313, D Avg: 502684, [God Hand[179, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 663: HP: 377, STR: 135, VIT: 417820, SPD: 1, LUK: 1, Attack: 86013, Defense: 502684, Current HP: 377, A Avg: 90313, D Avg: 502684, [Blue Sword[180, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 662: HP: 587, STR: 135, VIT: 417820, SPD: 1, LUK: 1, Attack: 85675, Defense: 502684, Current HP: 587, A Avg: 89958, D Avg: 502684, [Zodiac[184, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 661: HP: 377, STR: 585, VIT: 417820, SPD: 1, LUK: 1, Attack: 85514, Defense: 502684, Current HP: 377, A Avg: 89789, D Avg: 502684, [Jack Knife[185, 330, 330, 330], Dragon's Head[217, 330, 330, 330], Endpoint[318, 330, 330, 330]]
