Rank 1000: HP: 2118, STR: 725, VIT: 6167, SPD: 64, LUK: 1, Attack: 84666, Defense: 91837, Current HP: 2118, A Avg: 88899, D Avg: 91837, [Rusty Knife[156, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 787: HP: 1653, STR: 2220, VIT: 2185, SPD: 64, LUK: 1, Attack: 87554, Defense: 91963, Current HP: 1653, A Avg: 91931, D Avg: 91963, [Impulse[166, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 786: HP: 1653, STR: 1379, VIT: 2185, SPD: 64, LUK: 2, Attack: 86713, Defense: 91963, Current HP: 1653, A Avg: 91048, D Avg: 91963, [Impulse[166, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 785: HP: 2194, STR: 800, VIT: 6294, SPD: 64, LUK: 1, Attack: 86132, Defense: 91964, Current HP: 2194, A Avg: 90438, D Avg: 91964, [Tower[149, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 784: HP: 2150, STR: 834, VIT: 2191, SPD: 68, LUK: 1, Attack: 85542, Defense: 91969, Current HP: 2150, A Avg: 106927, D Avg: 91969, [Thin Blade[158, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 783: HP: 2523, STR: 1206, VIT: 2193, SPD: 64, LUK: 1, Attack: 86540, Defense: 91971, Current HP: 2523, A Avg: 90867, D Avg: 91971, [Impulse[166, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 782: HP: 1691, STR: 1206, VIT: 2193, SPD: 116, LUK: 1, Attack: 86540, Defense: 91971, Current HP: 1691, A Avg: 90867, D Avg: 110365, [Impulse[166, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 781: HP: 2815, STR: 1254, VIT: 2193, SPD: 64, LUK: 1, Attack: 86588, Defense: 91971, Current HP: 2815, A Avg: 90917, D Avg: 91971, [Impulse[166, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 780: HP: 845, STR: 102, VIT: 2194, SPD: 64, LUK: 1, Attack: 88269, Defense: 91972, Current HP: 845, A Avg: 92682, D Avg: 91972, [Basic[169, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 779: HP: 836, STR: 220, VIT: 2194, SPD: 64, LUK: 1, Attack: 88387, Defense: 91972, Current HP: 836, A Avg: 92806, D Avg: 91972, [Basic[169, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 778: HP: 1168, STR: 284, VIT: 2196, SPD: 64, LUK: 1, Attack: 84251, Defense: 91974, Current HP: 1168, A Avg: 88463, D Avg: 91974, [Phantom Sword[117, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 777: HP: 1573, STR: 276, VIT: 2196, SPD: 64, LUK: 1, Attack: 84243, Defense: 91974, Current HP: 1573, A Avg: 88455, D Avg: 91974, [Phantom Sword[117, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 776: HP: 1672, STR: 1206, VIT: 2201, SPD: 103, LUK: 1, Attack: 86540, Defense: 91979, Current HP: 1672, A Avg: 90867, D Avg: 91979, [Impulse[166, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 775: HP: 1672, STR: 1222, VIT: 2201, SPD: 64, LUK: 2, Attack: 86556, Defense: 91979, Current HP: 1672, A Avg: 90883, D Avg: 91979, [Impulse[166, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 774: HP: 1653, STR: 2244, VIT: 2201, SPD: 64, LUK: 1, Attack: 87578, Defense: 91979, Current HP: 1653, A Avg: 91956, D Avg: 91979, [Impulse[166, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 773: HP: 1522, STR: 568, VIT: 6311, SPD: 72, LUK: 1, Attack: 84509, Defense: 91981, Current HP: 1522, A Avg: 88734, D Avg: 91981, [Rusty Knife[156, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 772: HP: 1892, STR: 1658, VIT: 2206, SPD: 76, LUK: 1, Attack: 85768, Defense: 91984, Current HP: 1892, A Avg: 90056, D Avg: 91984, [Dragon Killer[139, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 771: HP: 1928, STR: 1663, VIT: 2206, SPD: 76, LUK: 1, Attack: 86176, Defense: 91984, Current HP: 1928, A Avg: 90484, D Avg: 91984, [Volcano[142, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 770: HP: 1791, STR: 1248, VIT: 2206, SPD: 72, LUK: 1, Attack: 86291, Defense: 91984, Current HP: 1791, A Avg: 90605, D Avg: 91984, [White Snake[160, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 769: HP: 2042, STR: 1090, VIT: 6315, SPD: 64, LUK: 1, Attack: 86942, Defense: 91985, Current HP: 2042, A Avg: 91289, D Avg: 91985, [Santoku[159, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 768: HP: 2585, STR: 797, VIT: 6315, SPD: 64, LUK: 1, Attack: 86649, Defense: 91985, Current HP: 2585, A Avg: 90981, D Avg: 91985, [Santoku[159, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 767: HP: 807, STR: 422, VIT: 2207, SPD: 64, LUK: 1, Attack: 84265, Defense: 91985, Current HP: 807, A Avg: 88478, D Avg: 91985, [Salamander[110, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 766: HP: 1155, STR: 203, VIT: 2207, SPD: 64, LUK: 1, Attack: 84046, Defense: 91985, Current HP: 1155, A Avg: 88248, D Avg: 91985, [Salamander[110, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 765: HP: 798, STR: 273, VIT: 2207, SPD: 64, LUK: 1, Attack: 84357, Defense: 91985, Current HP: 798, A Avg: 88574, D Avg: 91985, [Phantom Scythe[116, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 764: HP: 1144, STR: 431, VIT: 2207, SPD: 64, LUK: 1, Attack: 84515, Defense: 91985, Current HP: 1144, A Avg: 88740, D Avg: 91985, [Phantom Scythe[116, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 763: HP: 807, STR: 422, VIT: 2207, SPD: 64, LUK: 1, Attack: 84294, Defense: 91985, Current HP: 807, A Avg: 88508, D Avg: 91985, [Undine[118, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 762: HP: 1155, STR: 203, VIT: 2207, SPD: 64, LUK: 1, Attack: 84075, Defense: 91985, Current HP: 1155, A Avg: 88278, D Avg: 91985, [Undine[118, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 761: HP: 807, STR: 422, VIT: 2207, SPD: 64, LUK: 1, Attack: 84321, Defense: 91985, Current HP: 807, A Avg: 88537, D Avg: 91985, [Sylph[119, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 760: HP: 1155, STR: 203, VIT: 2207, SPD: 64, LUK: 1, Attack: 84102, Defense: 91985, Current HP: 1155, A Avg: 88307, D Avg: 91985, [Sylph[119, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 759: HP: 807, STR: 422, VIT: 2207, SPD: 64, LUK: 1, Attack: 84348, Defense: 91985, Current HP: 807, A Avg: 88565, D Avg: 91985, [Gnome[120, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 758: HP: 1155, STR: 203, VIT: 2207, SPD: 64, LUK: 1, Attack: 84129, Defense: 91985, Current HP: 1155, A Avg: 88335, D Avg: 91985, [Gnome[120, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 757: HP: 1947, STR: 1658, VIT: 2208, SPD: 76, LUK: 1, Attack: 87627, Defense: 91986, Current HP: 1947, A Avg: 92008, D Avg: 91986, [Fire Chariot[138, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 756: HP: 2150, STR: 1428, VIT: 2208, SPD: 68, LUK: 1, Attack: 87280, Defense: 91986, Current HP: 2150, A Avg: 109100, D Avg: 91986, [Santoku[159, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 755: HP: 2668, STR: 1214, VIT: 2209, SPD: 64, LUK: 1, Attack: 86548, Defense: 91987, Current HP: 2668, A Avg: 90875, D Avg: 91987, [Impulse[166, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 754: HP: 1377, STR: 2023, VIT: 6320, SPD: 64, LUK: 1, Attack: 86523, Defense: 91990, Current HP: 1377, A Avg: 90849, D Avg: 91990, [Divine Dragon Sword[181, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 753: HP: 1368, STR: 2031, VIT: 6320, SPD: 64, LUK: 1, Attack: 86531, Defense: 91990, Current HP: 1368, A Avg: 90857, D Avg: 91990, [Divine Dragon Sword[181, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 752: HP: 1994, STR: 1584, VIT: 2212, SPD: 72, LUK: 1, Attack: 87930, Defense: 91990, Current HP: 1994, A Avg: 92326, D Avg: 91990, [Progress[147, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 751: HP: 2299, STR: 1877, VIT: 2216, SPD: 76, LUK: 1, Attack: 86975, Defense: 91994, Current HP: 2299, A Avg: 91323, D Avg: 91994, [Yggdrasil[126, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 750: HP: 1928, STR: 2469, VIT: 2216, SPD: 76, LUK: 1, Attack: 87294, Defense: 91994, Current HP: 1928, A Avg: 91658, D Avg: 91994, [Kraken[145, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 749: HP: 1985, STR: 1661, VIT: 2216, SPD: 76, LUK: 1, Attack: 86473, Defense: 91994, Current HP: 1985, A Avg: 90796, D Avg: 91994, [Granada[150, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 748: HP: 1715, STR: 693, VIT: 6325, SPD: 64, LUK: 1, Attack: 86337, Defense: 91995, Current HP: 1715, A Avg: 90653, D Avg: 91995, [Gladius[162, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 747: HP: 1706, STR: 702, VIT: 6325, SPD: 64, LUK: 1, Attack: 86346, Defense: 91995, Current HP: 1706, A Avg: 90663, D Avg: 91995, [Gladius[162, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 746: HP: 5814, STR: 3146, VIT: 6325, SPD: 64, LUK: 1, Attack: 88959, Defense: 91995, Current HP: 5814, A Avg: 93406, D Avg: 91995, [Spear of Regression[182, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 745: HP: 1710, STR: 1206, VIT: 2217, SPD: 103, LUK: 1, Attack: 86540, Defense: 91995, Current HP: 1710, A Avg: 90867, D Avg: 91995, [Impulse[166, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 744: HP: 1748, STR: 2012, VIT: 2217, SPD: 64, LUK: 1, Attack: 87346, Defense: 91995, Current HP: 1748, A Avg: 93896, D Avg: 91995, [Impulse[166, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 743: HP: 2076, STR: 1674, VIT: 2219, SPD: 76, LUK: 1, Attack: 85706, Defense: 91997, Current HP: 2076, A Avg: 89991, D Avg: 91997, [Alucard[146, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 742: HP: 836, STR: 110, VIT: 2220, SPD: 64, LUK: 1, Attack: 88277, Defense: 91998, Current HP: 836, A Avg: 92690, D Avg: 91998, [Basic[169, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 741: HP: 1188, STR: 102, VIT: 2220, SPD: 64, LUK: 1, Attack: 88269, Defense: 91998, Current HP: 1188, A Avg: 92682, D Avg: 91998, [Basic[169, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 740: HP: 1440, STR: 3375, VIT: 2228, SPD: 68, LUK: 1, Attack: 87875, Defense: 92006, Current HP: 1440, A Avg: 109843, D Avg: 92006, [Divine Dragon Sword[181, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 739: HP: 1298, STR: 2370, VIT: 6338, SPD: 64, LUK: 1, Attack: 88248, Defense: 92008, Current HP: 1298, A Avg: 111192, D Avg: 92008, [God Hand[179, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 738: HP: 1254, STR: 2155, VIT: 6338, SPD: 64, LUK: 1, Attack: 87695, Defense: 92008, Current HP: 1254, A Avg: 110495, D Avg: 92008, [Zodiac[184, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 737: HP: 1522, STR: 503, VIT: 6339, SPD: 72, LUK: 1, Attack: 85978, Defense: 92009, Current HP: 1522, A Avg: 90276, D Avg: 92009, [Elemental[121, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 736: HP: 1931, STR: 670, VIT: 6339, SPD: 72, LUK: 1, Attack: 85320, Defense: 92009, Current HP: 1931, A Avg: 89586, D Avg: 92009, [Diamond Knuckle[152, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 735: HP: 893, STR: 3166, VIT: 2232, SPD: 64, LUK: 1, Attack: 87954, Defense: 92010, Current HP: 893, A Avg: 92351, D Avg: 92010, [Pulse Knife[165, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 734: HP: 1796, STR: 1263, VIT: 2232, SPD: 68, LUK: 1, Attack: 86907, Defense: 92010, Current HP: 1796, A Avg: 108633, D Avg: 92010, [Gladius[162, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 733: HP: 1056, STR: 750, VIT: 2235, SPD: 64, LUK: 2, Attack: 86303, Defense: 92013, Current HP: 1056, A Avg: 90618, D Avg: 92013, [Hammer of Justice[186, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 732: HP: 798, STR: 1401, VIT: 2235, SPD: 64, LUK: 1, Attack: 86954, Defense: 92013, Current HP: 798, A Avg: 91301, D Avg: 92013, [Hammer of Justice[186, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 731: HP: 798, STR: 875, VIT: 2235, SPD: 64, LUK: 2, Attack: 86428, Defense: 92013, Current HP: 798, A Avg: 90749, D Avg: 92013, [Hammer of Justice[186, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 730: HP: 1091, STR: 951, VIT: 6344, SPD: 72, LUK: 1, Attack: 85789, Defense: 92014, Current HP: 1091, A Avg: 90078, D Avg: 92014, [Classic[168, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 729: HP: 1368, STR: 2031, VIT: 6346, SPD: 64, LUK: 1, Attack: 86531, Defense: 92016, Current HP: 1368, A Avg: 90857, D Avg: 92016, [Divine Dragon Sword[181, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 728: HP: 1804, STR: 2023, VIT: 6346, SPD: 64, LUK: 1, Attack: 86523, Defense: 92016, Current HP: 1804, A Avg: 90849, D Avg: 92016, [Divine Dragon Sword[181, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 727: HP: 1706, STR: 702, VIT: 6351, SPD: 64, LUK: 1, Attack: 86346, Defense: 92021, Current HP: 1706, A Avg: 90663, D Avg: 92021, [Gladius[162, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 726: HP: 2195, STR: 693, VIT: 6351, SPD: 64, LUK: 1, Attack: 86337, Defense: 92021, Current HP: 2195, A Avg: 90653, D Avg: 92021, [Gladius[162, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 725: HP: 1218, STR: 834, VIT: 2243, SPD: 64, LUK: 1, Attack: 86387, Defense: 92021, Current HP: 1218, A Avg: 90706, D Avg: 92021, [Hammer of Justice[186, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 724: HP: 836, STR: 702, VIT: 2243, SPD: 116, LUK: 1, Attack: 86255, Defense: 92021, Current HP: 836, A Avg: 90567, D Avg: 110425, [Hammer of Justice[186, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 723: HP: 1375, STR: 750, VIT: 2243, SPD: 64, LUK: 1, Attack: 86303, Defense: 92021, Current HP: 1375, A Avg: 90618, D Avg: 92021, [Hammer of Justice[186, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 722: HP: 817, STR: 702, VIT: 2251, SPD: 103, LUK: 1, Attack: 86255, Defense: 92029, Current HP: 817, A Avg: 90567, D Avg: 92029, [Hammer of Justice[186, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 721: HP: 817, STR: 718, VIT: 2251, SPD: 64, LUK: 2, Attack: 86271, Defense: 92029, Current HP: 817, A Avg: 90584, D Avg: 92029, [Hammer of Justice[186, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 720: HP: 798, STR: 1193, VIT: 2251, SPD: 64, LUK: 1, Attack: 86746, Defense: 92029, Current HP: 798, A Avg: 91083, D Avg: 92029, [Hammer of Justice[186, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 719: HP: 807, STR: 211, VIT: 2256, SPD: 64, LUK: 1, Attack: 84087, Defense: 92034, Current HP: 807, A Avg: 88291, D Avg: 92034, [Tornado[111, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 718: HP: 798, STR: 219, VIT: 2256, SPD: 64, LUK: 1, Attack: 84095, Defense: 92034, Current HP: 798, A Avg: 88299, D Avg: 92034, [Tornado[111, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 717: HP: 1178, STR: 203, VIT: 2256, SPD: 64, LUK: 1, Attack: 84228, Defense: 92034, Current HP: 1178, A Avg: 88439, D Avg: 92034, [Fairy Sword[113, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 716: HP: 1168, STR: 211, VIT: 2256, SPD: 64, LUK: 1, Attack: 84236, Defense: 92034, Current HP: 1168, A Avg: 88447, D Avg: 92034, [Fairy Sword[113, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 715: HP: 807, STR: 281, VIT: 2256, SPD: 64, LUK: 1, Attack: 84430, Defense: 92034, Current HP: 807, A Avg: 88651, D Avg: 92034, [Giant Tornado[114, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 714: HP: 798, STR: 289, VIT: 2256, SPD: 64, LUK: 1, Attack: 84438, Defense: 92034, Current HP: 798, A Avg: 88659, D Avg: 92034, [Giant Tornado[114, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 713: HP: 820, STR: 290, VIT: 2256, SPD: 64, LUK: 1, Attack: 84106, Defense: 92034, Current HP: 820, A Avg: 88311, D Avg: 92034, [Hand Axe[140, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 712: HP: 811, STR: 219, VIT: 2256, SPD: 64, LUK: 1, Attack: 84035, Defense: 92034, Current HP: 811, A Avg: 88236, D Avg: 92034, [Hand Axe[140, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 711: HP: 826, STR: 265, VIT: 2256, SPD: 64, LUK: 1, Attack: 84258, Defense: 92034, Current HP: 826, A Avg: 88470, D Avg: 92034, [Wooden Boomerang[167, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 710: HP: 817, STR: 547, VIT: 2256, SPD: 64, LUK: 1, Attack: 84540, Defense: 92034, Current HP: 817, A Avg: 88767, D Avg: 92034, [Wooden Boomerang[167, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 709: HP: 1216, STR: 2373, VIT: 6367, SPD: 64, LUK: 1, Attack: 88251, Defense: 92037, Current HP: 1216, A Avg: 92663, D Avg: 92037, [God Hand[179, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 708: HP: 972, STR: 214, VIT: 2259, SPD: 64, LUK: 1, Attack: 84012, Defense: 92037, Current HP: 972, A Avg: 88212, D Avg: 92037, [Ninja[135, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 707: HP: 963, STR: 305, VIT: 2259, SPD: 64, LUK: 1, Attack: 84103, Defense: 92037, Current HP: 963, A Avg: 88308, D Avg: 92037, [Ninja[135, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 706: HP: 1187, STR: 2204, VIT: 2259, SPD: 64, LUK: 1, Attack: 92113, Defense: 92037, Current HP: 1187, A Avg: 96718, D Avg: 92037, [Spectral Sword Shigure[172, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 705: HP: 1178, STR: 2212, VIT: 2259, SPD: 64, LUK: 1, Attack: 92121, Defense: 92037, Current HP: 1178, A Avg: 96727, D Avg: 92037, [Spectral Sword Shigure[172, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 704: HP: 1363, STR: 976, VIT: 2259, SPD: 64, LUK: 1, Attack: 86529, Defense: 92037, Current HP: 1363, A Avg: 90855, D Avg: 92037, [Hammer of Justice[186, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 703: HP: 822, STR: 211, VIT: 2261, SPD: 64, LUK: 1, Attack: 84217, Defense: 92039, Current HP: 822, A Avg: 88427, D Avg: 92039, [Crescent[141, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 702: HP: 813, STR: 219, VIT: 2261, SPD: 64, LUK: 1, Attack: 84225, Defense: 92039, Current HP: 813, A Avg: 88436, D Avg: 92039, [Crescent[141, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 701: HP: 1928, STR: 1661, VIT: 2262, SPD: 76, LUK: 1, Attack: 85602, Defense: 92040, Current HP: 1928, A Avg: 89882, D Avg: 92040, [Rusty Knife[156, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 700: HP: 1154, STR: 1422, VIT: 2264, SPD: 72, LUK: 1, Attack: 87950, Defense: 92042, Current HP: 1154, A Avg: 92347, D Avg: 92042, [Moon Knuckle[153, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 699: HP: 1133, STR: 4286, VIT: 2264, SPD: 72, LUK: 1, Attack: 90164, Defense: 92042, Current HP: 1133, A Avg: 94672, D Avg: 92042, [Blue Sword[180, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 698: HP: 1320, STR: 1020, VIT: 2265, SPD: 64, LUK: 2, Attack: 87509, Defense: 92043, Current HP: 1320, A Avg: 91884, D Avg: 92043, [Cuttlefish[178, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 697: HP: 1026, STR: 1840, VIT: 2265, SPD: 64, LUK: 1, Attack: 88329, Defense: 92043, Current HP: 1026, A Avg: 92745, D Avg: 92043, [Cuttlefish[178, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 696: HP: 1026, STR: 1145, VIT: 2265, SPD: 64, LUK: 2, Attack: 87634, Defense: 92043, Current HP: 1026, A Avg: 92015, D Avg: 92043, [Cuttlefish[178, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 695: HP: 855, STR: 702, VIT: 2267, SPD: 103, LUK: 1, Attack: 86255, Defense: 92045, Current HP: 855, A Avg: 90567, D Avg: 92045, [Hammer of Justice[186, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 694: HP: 893, STR: 1331, VIT: 2267, SPD: 64, LUK: 1, Attack: 86884, Defense: 92045, Current HP: 893, A Avg: 93400, D Avg: 92045, [Hammer of Justice[186, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 693: HP: 1566, STR: 972, VIT: 2273, SPD: 64, LUK: 1, Attack: 87461, Defense: 92051, Current HP: 1566, A Avg: 91834, D Avg: 92051, [Cuttlefish[178, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 692: HP: 1064, STR: 972, VIT: 2273, SPD: 116, LUK: 1, Attack: 87461, Defense: 92051, Current HP: 1064, A Avg: 91834, D Avg: 110461, [Cuttlefish[178, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 691: HP: 1759, STR: 1020, VIT: 2273, SPD: 64, LUK: 1, Attack: 87509, Defense: 92051, Current HP: 1759, A Avg: 91884, D Avg: 92051, [Cuttlefish[178, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 690: HP: 1928, STR: 1572, VIT: 2278, SPD: 76, LUK: 1, Attack: 87047, Defense: 92056, Current HP: 1928, A Avg: 91399, D Avg: 92056, [Elemental[121, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
