Rank 1000: HP: 1112, STR: 579, VIT: 1150, SPD: 45, LUK: 1, Attack: 85092, Defense: 90928, Current HP: 1112, A Avg: 89346, D Avg: 90928, [Maximum Iron Mass[123, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 787: HP: 532, STR: 147, VIT: 1336, SPD: 40, LUK: 1, Attack: 84036, Defense: 91114, Current HP: 532, A Avg: 88237, D Avg: 91114, [Iron Lumps[108, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 786: HP: 522, STR: 74, VIT: 1336, SPD: 40, LUK: 1, Attack: 83842, Defense: 91114, Current HP: 522, A Avg: 88034, D Avg: 91114, [Decorative Swords[109, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 785: HP: 513, STR: 62, VIT: 1336, SPD: 40, LUK: 1, Attack: 83830, Defense: 91114, Current HP: 513, A Avg: 88021, D Avg: 91114, [Decorative Swords[109, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 784: HP: 522, STR: 213, VIT: 1336, SPD: 40, LUK: 1, Attack: 84336, Defense: 91114, Current HP: 522, A Avg: 88552, D Avg: 91114, [Pinpoint[112, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 783: HP: 513, STR: 163, VIT: 1336, SPD: 40, LUK: 1, Attack: 84286, Defense: 91114, Current HP: 513, A Avg: 88500, D Avg: 91114, [Pinpoint[112, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 782: HP: 541, STR: 244, VIT: 1336, SPD: 40, LUK: 1, Attack: 84250, Defense: 91114, Current HP: 541, A Avg: 88462, D Avg: 91114, [Great Iron Mass[122, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 781: HP: 532, STR: 185, VIT: 1336, SPD: 40, LUK: 1, Attack: 84191, Defense: 91114, Current HP: 532, A Avg: 88400, D Avg: 91114, [Great Iron Mass[122, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 780: HP: 532, STR: 127, VIT: 1336, SPD: 40, LUK: 1, Attack: 84120, Defense: 91114, Current HP: 532, A Avg: 88326, D Avg: 91114, [Sword of Wood[124, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 779: HP: 522, STR: 100, VIT: 1336, SPD: 40, LUK: 1, Attack: 84093, Defense: 91114, Current HP: 522, A Avg: 88297, D Avg: 91114, [Sword of Wood[124, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 778: HP: 769, STR: 224, VIT: 1336, SPD: 40, LUK: 1, Attack: 84412, Defense: 91114, Current HP: 769, A Avg: 88632, D Avg: 91114, [Sword of the Spirit Tree[125, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 777: HP: 760, STR: 232, VIT: 1336, SPD: 40, LUK: 1, Attack: 84420, Defense: 91114, Current HP: 760, A Avg: 88641, D Avg: 91114, [Sword of the Spirit Tree[125, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 776: HP: 532, STR: 191, VIT: 1336, SPD: 40, LUK: 1, Attack: 84190, Defense: 91114, Current HP: 532, A Avg: 88399, D Avg: 91114, [Greatsword[127, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 775: HP: 522, STR: 147, VIT: 1336, SPD: 40, LUK: 1, Attack: 84146, Defense: 91114, Current HP: 522, A Avg: 88353, D Avg: 91114, [Greatsword[127, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 774: HP: 765, STR: 182, VIT: 1336, SPD: 40, LUK: 1, Attack: 84604, Defense: 91114, Current HP: 765, A Avg: 88834, D Avg: 91114, [Dreaming Sword[128, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 773: HP: 756, STR: 190, VIT: 1336, SPD: 40, LUK: 1, Attack: 84612, Defense: 91114, Current HP: 756, A Avg: 88842, D Avg: 91114, [Dreaming Sword[128, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 772: HP: 541, STR: 70, VIT: 1336, SPD: 40, LUK: 1, Attack: 83845, Defense: 91114, Current HP: 541, A Avg: 88037, D Avg: 91114, [Peacemaker[131, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 771: HP: 532, STR: 107, VIT: 1336, SPD: 40, LUK: 1, Attack: 83882, Defense: 91114, Current HP: 532, A Avg: 88076, D Avg: 91114, [Peacemaker[131, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 770: HP: 579, STR: 54, VIT: 1336, SPD: 40, LUK: 1, Attack: 83956, Defense: 91114, Current HP: 579, A Avg: 88153, D Avg: 91114, [Daydream[132, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 769: HP: 570, STR: 85, VIT: 1336, SPD: 40, LUK: 1, Attack: 83987, Defense: 91114, Current HP: 570, A Avg: 88186, D Avg: 91114, [Daydream[132, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 768: HP: 1168, STR: 246, VIT: 1336, SPD: 40, LUK: 1, Attack: 85929, Defense: 91114, Current HP: 1168, A Avg: 90225, D Avg: 91114, [Dancing[155, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 767: HP: 1159, STR: 254, VIT: 1336, SPD: 40, LUK: 1, Attack: 85937, Defense: 91114, Current HP: 1159, A Avg: 90233, D Avg: 91114, [Dancing[155, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 766: HP: 522, STR: 492, VIT: 1336, SPD: 40, LUK: 1, Attack: 85148, Defense: 91114, Current HP: 522, A Avg: 89405, D Avg: 91114, [Penetra[161, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 765: HP: 513, STR: 500, VIT: 1336, SPD: 40, LUK: 1, Attack: 85156, Defense: 91114, Current HP: 513, A Avg: 89413, D Avg: 91114, [Penetra[161, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 764: HP: 522, STR: 74, VIT: 1336, SPD: 40, LUK: 1, Attack: 84915, Defense: 91114, Current HP: 522, A Avg: 89160, D Avg: 91114, [Grand Slam[163, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 763: HP: 513, STR: 62, VIT: 1336, SPD: 40, LUK: 1, Attack: 84903, Defense: 91114, Current HP: 513, A Avg: 89148, D Avg: 91114, [Grand Slam[163, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 762: HP: 712, STR: 54, VIT: 1336, SPD: 40, LUK: 1, Attack: 85022, Defense: 91114, Current HP: 712, A Avg: 89273, D Avg: 91114, [Cluster Bomb[170, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 761: HP: 703, STR: 85, VIT: 1336, SPD: 40, LUK: 1, Attack: 85053, Defense: 91114, Current HP: 703, A Avg: 89305, D Avg: 91114, [Cluster Bomb[170, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 760: HP: 1092, STR: 54, VIT: 1336, SPD: 40, LUK: 1, Attack: 92240, Defense: 91114, Current HP: 1092, A Avg: 96852, D Avg: 91114, [Big Bang[171, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 759: HP: 1083, STR: 85, VIT: 1336, SPD: 40, LUK: 1, Attack: 92271, Defense: 91114, Current HP: 1083, A Avg: 96884, D Avg: 91114, [Big Bang[171, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 758: HP: 3258, STR: 54, VIT: 1336, SPD: 40, LUK: 1, Attack: 85107, Defense: 91114, Current HP: 3258, A Avg: 89362, D Avg: 91114, [Common Key[174, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 757: HP: 3249, STR: 85, VIT: 1336, SPD: 40, LUK: 1, Attack: 85138, Defense: 91114, Current HP: 3249, A Avg: 89394, D Avg: 91114, [Common Key[174, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 756: HP: 1092, STR: 74, VIT: 1336, SPD: 40, LUK: 1, Attack: 86316, Defense: 91114, Current HP: 1092, A Avg: 90631, D Avg: 91114, [Droid Hammer[177, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 755: HP: 1083, STR: 62, VIT: 1336, SPD: 40, LUK: 1, Attack: 86304, Defense: 91114, Current HP: 1083, A Avg: 90619, D Avg: 91114, [Droid Hammer[177, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 754: HP: 522, STR: 1222, VIT: 1336, SPD: 40, LUK: 1, Attack: 86151, Defense: 91114, Current HP: 522, A Avg: 90458, D Avg: 91114, [Jack Knife[185, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 753: HP: 513, STR: 1230, VIT: 1336, SPD: 40, LUK: 1, Attack: 86159, Defense: 91114, Current HP: 513, A Avg: 90466, D Avg: 91114, [Jack Knife[185, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 752: HP: 522, STR: 1590, VIT: 1336, SPD: 40, LUK: 1, Attack: 86168, Defense: 91114, Current HP: 522, A Avg: 90476, D Avg: 91114, [Magical[187, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 751: HP: 513, STR: 2197, VIT: 1336, SPD: 40, LUK: 1, Attack: 86775, Defense: 91114, Current HP: 513, A Avg: 91113, D Avg: 91114, [Magical[187, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 750: HP: 522, STR: 558, VIT: 1336, SPD: 40, LUK: 1, Attack: 87609, Defense: 91114, Current HP: 522, A Avg: 91989, D Avg: 91114, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 749: HP: 513, STR: 414, VIT: 1336, SPD: 40, LUK: 1, Attack: 87465, Defense: 91114, Current HP: 513, A Avg: 91838, D Avg: 91114, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 748: HP: 522, STR: -38308, VIT: 1336, SPD: 40, LUK: 1, Attack: 60958, Defense: 91114, Current HP: 522, A Avg: 64005, D Avg: 91114, [Sword of Evil[189, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 747: HP: 513, STR: -38300, VIT: 1336, SPD: 40, LUK: 1, Attack: 60966, Defense: 91114, Current HP: 513, A Avg: 64014, D Avg: 91114, [Sword of Evil[189, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 746: HP: 522, STR: 1910, VIT: 1336, SPD: 40, LUK: 1, Attack: 89571, Defense: 91114, Current HP: 522, A Avg: 94049, D Avg: 91114, [Neural Edge[190, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 745: HP: 513, STR: 1918, VIT: 1336, SPD: 40, LUK: 1, Attack: 89579, Defense: 91114, Current HP: 513, A Avg: 94057, D Avg: 91114, [Neural Edge[190, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 744: HP: 1425, STR: 961, VIT: 1337, SPD: 47, LUK: 1, Attack: 85279, Defense: 91115, Current HP: 1425, A Avg: 89542, D Avg: 91115, [Ruby Knuckle[151, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 743: HP: 1102, STR: 1958, VIT: 1337, SPD: 64, LUK: 1, Attack: 86458, Defense: 91115, Current HP: 1102, A Avg: 90780, D Avg: 91115, [Divine Dragon Sword[181, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 742: HP: 1102, STR: 1440, VIT: 1337, SPD: 40, LUK: 2, Attack: 85940, Defense: 91115, Current HP: 1102, A Avg: 90237, D Avg: 91115, [Divine Dragon Sword[181, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 741: HP: 1083, STR: 2365, VIT: 1337, SPD: 40, LUK: 1, Attack: 86865, Defense: 91115, Current HP: 1083, A Avg: 91208, D Avg: 91115, [Divine Dragon Sword[181, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 740: HP: 1798, STR: 1432, VIT: 1345, SPD: 40, LUK: 1, Attack: 85932, Defense: 91123, Current HP: 1798, A Avg: 90228, D Avg: 91123, [Divine Dragon Sword[181, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 739: HP: 1425, STR: 572, VIT: 1347, SPD: 40, LUK: 1, Attack: 85280, Defense: 91125, Current HP: 1425, A Avg: 89544, D Avg: 91125, [Thin Blade[158, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 738: HP: 750, STR: 180, VIT: 1351, SPD: 40, LUK: 1, Attack: 84147, Defense: 91129, Current HP: 750, A Avg: 88354, D Avg: 91129, [Phantom Sword[117, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 737: HP: 741, STR: 188, VIT: 1351, SPD: 40, LUK: 1, Attack: 84155, Defense: 91129, Current HP: 741, A Avg: 88362, D Avg: 91129, [Phantom Sword[117, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 736: HP: 1216, STR: 1351, VIT: 1353, SPD: 47, LUK: 1, Attack: 86085, Defense: 91131, Current HP: 1216, A Avg: 90389, D Avg: 91131, [Irruption[154, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 735: HP: 1140, STR: 1691, VIT: 1353, SPD: 64, LUK: 1, Attack: 86191, Defense: 91131, Current HP: 1140, A Avg: 90500, D Avg: 91131, [Divine Dragon Sword[181, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 734: HP: 1178, STR: 2365, VIT: 1353, SPD: 40, LUK: 1, Attack: 86865, Defense: 91131, Current HP: 1178, A Avg: 93379, D Avg: 91131, [Divine Dragon Sword[181, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 733: HP: 1174, STR: 722, VIT: 1361, SPD: 40, LUK: 1, Attack: 86366, Defense: 91139, Current HP: 1174, A Avg: 90684, D Avg: 91139, [Gladius[162, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 732: HP: 513, STR: 62, VIT: 1362, SPD: 40, LUK: 1, Attack: 83788, Defense: 91140, Current HP: 513, A Avg: 87977, D Avg: 91140, [Wooden Stick[101, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 731: HP: 814, STR: 54, VIT: 1362, SPD: 40, LUK: 1, Attack: 83780, Defense: 91140, Current HP: 814, A Avg: 87969, D Avg: 91140, [Wooden Stick[101, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 730: HP: 513, STR: 62, VIT: 1362, SPD: 40, LUK: 1, Attack: 83827, Defense: 91140, Current HP: 513, A Avg: 88018, D Avg: 91140, [Club[102, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 729: HP: 814, STR: 54, VIT: 1362, SPD: 40, LUK: 1, Attack: 83819, Defense: 91140, Current HP: 814, A Avg: 88009, D Avg: 91140, [Club[102, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 728: HP: 513, STR: 67, VIT: 1362, SPD: 40, LUK: 1, Attack: 83839, Defense: 91140, Current HP: 513, A Avg: 88030, D Avg: 91140, [Short Sword[103, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 727: HP: 814, STR: 59, VIT: 1362, SPD: 40, LUK: 1, Attack: 83831, Defense: 91140, Current HP: 814, A Avg: 88022, D Avg: 91140, [Short Sword[103, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 726: HP: 513, STR: 108, VIT: 1362, SPD: 40, LUK: 1, Attack: 83919, Defense: 91140, Current HP: 513, A Avg: 88114, D Avg: 91140, [Long Sword[104, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 725: HP: 814, STR: 100, VIT: 1362, SPD: 40, LUK: 1, Attack: 83911, Defense: 91140, Current HP: 814, A Avg: 88106, D Avg: 91140, [Long Sword[104, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 724: HP: 513, STR: 191, VIT: 1362, SPD: 40, LUK: 1, Attack: 83963, Defense: 91140, Current HP: 513, A Avg: 88161, D Avg: 91140, [Wasp Knife[105, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 723: HP: 814, STR: 131, VIT: 1362, SPD: 40, LUK: 1, Attack: 83903, Defense: 91140, Current HP: 814, A Avg: 88098, D Avg: 91140, [Wasp Knife[105, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 722: HP: 513, STR: 100, VIT: 1362, SPD: 40, LUK: 1, Attack: 83924, Defense: 91140, Current HP: 513, A Avg: 88120, D Avg: 91140, [Stun Knuckle[106, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 721: HP: 814, STR: 92, VIT: 1362, SPD: 40, LUK: 1, Attack: 83916, Defense: 91140, Current HP: 814, A Avg: 88111, D Avg: 91140, [Stun Knuckle[106, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 720: HP: 513, STR: 147, VIT: 1362, SPD: 40, LUK: 1, Attack: 83990, Defense: 91140, Current HP: 513, A Avg: 88189, D Avg: 91140, [Battle Scythe[107, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 719: HP: 814, STR: 139, VIT: 1362, SPD: 40, LUK: 1, Attack: 83982, Defense: 91140, Current HP: 814, A Avg: 88181, D Avg: 91140, [Battle Scythe[107, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 718: HP: 532, STR: 147, VIT: 1362, SPD: 40, LUK: 1, Attack: 84036, Defense: 91140, Current HP: 532, A Avg: 88237, D Avg: 91140, [Iron Lumps[108, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 717: HP: 836, STR: 139, VIT: 1362, SPD: 40, LUK: 1, Attack: 84028, Defense: 91140, Current HP: 836, A Avg: 88229, D Avg: 91140, [Iron Lumps[108, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 716: HP: 513, STR: 62, VIT: 1362, SPD: 40, LUK: 1, Attack: 83830, Defense: 91140, Current HP: 513, A Avg: 88021, D Avg: 91140, [Decorative Swords[109, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 715: HP: 814, STR: 54, VIT: 1362, SPD: 40, LUK: 1, Attack: 83822, Defense: 91140, Current HP: 814, A Avg: 88013, D Avg: 91140, [Decorative Swords[109, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 714: HP: 532, STR: 131, VIT: 1362, SPD: 40, LUK: 1, Attack: 83974, Defense: 91140, Current HP: 532, A Avg: 88172, D Avg: 91140, [Salamander[110, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 713: HP: 522, STR: 139, VIT: 1362, SPD: 40, LUK: 1, Attack: 83982, Defense: 91140, Current HP: 522, A Avg: 88181, D Avg: 91140, [Salamander[110, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 712: HP: 513, STR: 163, VIT: 1362, SPD: 40, LUK: 1, Attack: 84286, Defense: 91140, Current HP: 513, A Avg: 88500, D Avg: 91140, [Pinpoint[112, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 711: HP: 814, STR: 155, VIT: 1362, SPD: 40, LUK: 1, Attack: 84278, Defense: 91140, Current HP: 814, A Avg: 88491, D Avg: 91140, [Pinpoint[112, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 710: HP: 522, STR: 169, VIT: 1362, SPD: 40, LUK: 1, Attack: 84253, Defense: 91140, Current HP: 522, A Avg: 88465, D Avg: 91140, [Phantom Scythe[116, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 709: HP: 513, STR: 177, VIT: 1362, SPD: 40, LUK: 1, Attack: 84261, Defense: 91140, Current HP: 513, A Avg: 88474, D Avg: 91140, [Phantom Scythe[116, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 708: HP: 532, STR: 131, VIT: 1362, SPD: 40, LUK: 1, Attack: 84003, Defense: 91140, Current HP: 532, A Avg: 88203, D Avg: 91140, [Undine[118, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 707: HP: 522, STR: 139, VIT: 1362, SPD: 40, LUK: 1, Attack: 84011, Defense: 91140, Current HP: 522, A Avg: 88211, D Avg: 91140, [Undine[118, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 706: HP: 532, STR: 131, VIT: 1362, SPD: 40, LUK: 1, Attack: 84030, Defense: 91140, Current HP: 532, A Avg: 88231, D Avg: 91140, [Sylph[119, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 705: HP: 522, STR: 139, VIT: 1362, SPD: 40, LUK: 1, Attack: 84038, Defense: 91140, Current HP: 522, A Avg: 88239, D Avg: 91140, [Sylph[119, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 704: HP: 532, STR: 131, VIT: 1362, SPD: 40, LUK: 1, Attack: 84057, Defense: 91140, Current HP: 532, A Avg: 88259, D Avg: 91140, [Gnome[120, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 703: HP: 522, STR: 139, VIT: 1362, SPD: 40, LUK: 1, Attack: 84065, Defense: 91140, Current HP: 522, A Avg: 88268, D Avg: 91140, [Gnome[120, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 702: HP: 532, STR: 185, VIT: 1362, SPD: 40, LUK: 1, Attack: 84191, Defense: 91140, Current HP: 532, A Avg: 88400, D Avg: 91140, [Great Iron Mass[122, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 701: HP: 836, STR: 177, VIT: 1362, SPD: 40, LUK: 1, Attack: 84183, Defense: 91140, Current HP: 836, A Avg: 88392, D Avg: 91140, [Great Iron Mass[122, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 700: HP: 522, STR: 100, VIT: 1362, SPD: 40, LUK: 1, Attack: 84093, Defense: 91140, Current HP: 522, A Avg: 88297, D Avg: 91140, [Sword of Wood[124, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 699: HP: 825, STR: 92, VIT: 1362, SPD: 40, LUK: 1, Attack: 84085, Defense: 91140, Current HP: 825, A Avg: 88289, D Avg: 91140, [Sword of Wood[124, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 698: HP: 760, STR: 232, VIT: 1362, SPD: 40, LUK: 1, Attack: 84420, Defense: 91140, Current HP: 760, A Avg: 88641, D Avg: 91140, [Sword of the Spirit Tree[125, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 697: HP: 1100, STR: 224, VIT: 1362, SPD: 40, LUK: 1, Attack: 84412, Defense: 91140, Current HP: 1100, A Avg: 88632, D Avg: 91140, [Sword of the Spirit Tree[125, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 696: HP: 522, STR: 147, VIT: 1362, SPD: 40, LUK: 1, Attack: 84146, Defense: 91140, Current HP: 522, A Avg: 88353, D Avg: 91140, [Greatsword[127, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 695: HP: 825, STR: 139, VIT: 1362, SPD: 40, LUK: 1, Attack: 84138, Defense: 91140, Current HP: 825, A Avg: 88344, D Avg: 91140, [Greatsword[127, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 694: HP: 756, STR: 190, VIT: 1362, SPD: 40, LUK: 1, Attack: 84612, Defense: 91140, Current HP: 756, A Avg: 88842, D Avg: 91140, [Dreaming Sword[128, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 693: HP: 1095, STR: 182, VIT: 1362, SPD: 40, LUK: 1, Attack: 84604, Defense: 91140, Current HP: 1095, A Avg: 88834, D Avg: 91140, [Dreaming Sword[128, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 692: HP: 532, STR: 78, VIT: 1362, SPD: 40, LUK: 1, Attack: 83853, Defense: 91140, Current HP: 532, A Avg: 88045, D Avg: 91140, [Peacemaker[131, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 691: HP: 836, STR: 70, VIT: 1362, SPD: 40, LUK: 1, Attack: 83845, Defense: 91140, Current HP: 836, A Avg: 88037, D Avg: 91140, [Peacemaker[131, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 690: HP: 570, STR: 62, VIT: 1362, SPD: 40, LUK: 1, Attack: 83964, Defense: 91140, Current HP: 570, A Avg: 88162, D Avg: 91140, [Daydream[132, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
