str,en_US,ja_JP,zh_CN,ko,zh_TW,es,th,pt,de,fr
被験体記録 パノプテス #01,Subject Record Panoptes #01,被験体記録 パノプテス #01,实验体记录 帕诺普特斯 #01,피험체 기록 파노프테스 #01,實驗體記錄 帕諾普特斯 #01,Registro del sujeto Panoptes #01,บันทึกตัวทดลอง พาโนปทีส #01,Registro de Sujeito Panoptes #01,Subject Record Panoptes #01,Dossier du sujet Panoptes #01
パノプテスについて内容1,"A Juggernaut modeled after the legendary giant with one hundred eyes.{@}Its countless eyes allow it to completely perceive and evade melee attacks.{@}As it nears death, more eyes open and its evasion rate increases.",伝承に語られる、百の眼を持つ巨人を模して造られたジャガーノート。{@}無数の眼により近接攻撃を完全に見切り回避する。{@}生命の危機が迫るほど眼が開いていき、回避率が上がる特性を持つ。,基于传说中的百眼巨人而仿造的伽格诺。{@}凭万千之眼洞悉一切，闪避近战攻击。{@}越是命悬一线，眼睛睁得越多，闪避率也越高。,전설에 나오는 백 개의 눈을 가진 거인을 본떠 만든 저거너트다.{@}무수한 눈으로 근접 공격을 완벽히 간파하고 회피한다.{@}생명이 위태로울수록 더 많은 눈이 열리며 회피율이 상승하는 특성을 지녔다。,基於傳說中的百眼巨人而仿造的伽格諾。 {@}憑千萬之眼洞悉一切，閃避近戰攻擊。 {@}越命懸一線，眼睛睜得越多，閃避率也越高。,"Un Juggernaut creado a partir de la leyenda del gigante con cien ojos.{@}Gracias a sus innumerables ojos, evade perfectamente los ataques cuerpo a cuerpo.{@}Cuanto más cerca de la muerte, más ojos se abren y mayor es su evasión.",จัคเกอร์นอทที่สร้างตามตำนานยักษ์ที่มีร้อยตา{@}ด้วยดวงตาจำนวนมากทำให้สามารถหลบหลีกการโจมตีระยะประชิดได้อย่างสมบูรณ์{@}เมื่อเข้าใกล้ความตาย ดวงตาจะเปิดมากขึ้นและอัตราการหลบหลีกจะเพิ่มขึ้น,"Um Juggernaut inspirado na lenda do gigante com cem olhos.{@}Graças aos inúmeros olhos, evita completamente ataques corpo a corpo.{@}Quanto mais próximo da morte, mais olhos se abrem e maior é sua taxa de evasão.","Ein Juggernaut, der nach dem legendären Riesen mit hundert Augen modelliert wurde.{@}Seine unzähligen Augen ermöglichen es ihm, Nahkampfangriffe vollständig wahrzunehmen und auszuweichen.{@}Je näher der Tod kommt, öffnen sich mehr Augen und seine Ausweichrate steigt.","Un Juggernaut inspiré du légendaire géant aux cent yeux.{@}Ses innombrables yeux lui permettent de percevoir et d'esquiver complètement les attaques au corps à corps.{@}À l'approche de la mort, davantage d'yeux s'ouvrent et son taux d'esquive augmente."
被験体記録 パノプテス #02,Subject Record Panoptes #02,被験体記録 パノプテス #02,实验体记录 帕诺普特斯 #02,피험체 기록 파노프테스 #02,實驗體記錄 帕諾普特斯 #02,Registro del sujeto Panoptes #02,บันทึกตัวทดลอง พาโนปทีส #02,Registro de Sujeito Panoptes #02,Subject Record Panoptes #02,Dossier du sujet Panoptes #02
被験体記録 パノプテス #03,Subject Record Panoptes #03,被験体記録 パノプテス #03,实验体记录 帕诺普特斯 #03,피험체 기록 파노프테스 #03,實驗體記錄 帕諾普特斯 #03,Registro del sujeto Panoptes #03,บันทึกตัวทดลอง พาโนปทีส #03,Registro de Sujeito Panoptes #03,Subject Record Panoptes #03,Dossier du sujet Panoptes #03
パノプテスについて内容3,"Long ago, Panoptes descended from deep space and brought great devastation. In response, humanity created a “giant with a thousand arms” and barely managed to defeat it. This replica was recreated based on that battle, with surveillance abilities pushed to the limit.",遥か太古の昔、外宇宙より来襲し甚大な被害をもたらした天災パノプテス。人類はこれに対抗すべく「千の腕を持つ巨人」を創造し、辛くも討伐に成功した。本個体はその戦果を解析し、監視能力を極限まで高めて再現されたレプリカである。,远古时期，来自外太空的天灾“帕诺普特斯”降临世间，带来无尽浩劫。人类为与之抗衡，创造出了“千手巨人”，艰难地将其打败。该个体是通过解析那场战斗数据、将监视能力提升至极限的仿制品。,"아득한 옛날, 외우주에서 파노프테스가 침공해 막대한 피해를 입혔다. 인류는 이에 맞서 ‘천 개의 팔을 가진 거인’을 창조해 간신히 격퇴했다. 본 개체는 그 전투 결과를 분석하여 감시 능력을 극한까지 끌어올려 재현한 복제품이다.",遠古時期，來自外太空的天災「帕諾普特斯」降臨世間，帶來無盡浩劫。人類為與之抗衡，創造了“千手巨人”，艱難地將其打敗。該個體是透過解析那場戰鬥數據、將監視能力提升至極限的仿製品。,"Hace mucho tiempo, Panoptes vino desde el espacio exterior y causó una catástrofe enorme. Para enfrentarlo, la humanidad creó un “gigante con mil brazos” y apenas logró derrotarlo. Esta réplica fue creada tras analizar aquella batalla, maximizando sus capacidades de vigilancia.",ในอดีตกาล พาโนปทีสได้มาจากนอกจักรวาลและก่อให้เกิดความเสียหายอย่างมหาศาล มนุษย์จึงสร้าง “ยักษ์พันแขน” เพื่อต่อสู้ และสามารถโค่นมันได้อย่างหวุดหวิด ตัวต้นแบบนี้คือเรพลิก้าที่สร้างขึ้นโดยวิเคราะห์ผลจากการต่อสู้และเพิ่มขีดความสามารถในการสอดแนมถึงขีดสุด,"Há muito tempo, Panoptes veio do espaço exterior e causou uma enorme devastação. Para enfrentá-lo, a humanidade criou um “gigante de mil braços” e conseguiu derrotá-lo com dificuldade. Este espécime é uma réplica baseada nessa batalha, com as capacidades de vigilância maximizadas.","Vor langer Zeit stieg Panoptes aus dem tiefen Weltraum herab und brachte große Verwüstung. Als Reaktion erschuf die Menschheit einen „Riesen mit tausend Armen“ und schaffte es gerade noch, ihn zu besiegen. Dieses Replikat wurde basierend auf diesem Kampf neu erschaffen, wobei die Überwachungsfähigkeiten bis zum Limit gesteigert wurden.","Il y a longtemps, Panoptes descendit de l'espace profond et provoqua une grande dévastation. En réponse, l'humanité créa un « géant aux mille bras » et réussit de justesse à le vaincre. Cette réplique a été recréée sur la base de cette bataille, avec des capacités de surveillance poussées à l'extrême."
被験体記録 九尾 #01,Subject Record Nine Tails #01,被験体記録 九尾 #01,实验体记录 九尾 #01,피험체 기록 구미호 #01,實驗體記錄 九尾 #01,Registro del sujeto Nueve colas #01,บันทึกตัวทดลอง เก้าหาง #01,Registro de Sujeito Nove Caudas #01,Subject Record Nine Tails #01,Dossier du sujet Neuf Queues #01
九尾について内容1,"A Juggernaut modeled after the legendary fox with nine tails.{@}It constantly emits a high-density poison mist from its entire body, causing continuous damage and paralysis to those who inhale it.{@}The closer it gets to death, the denser the poison becomes.",伝承に語られる、九つの尾を持つ狐を模して造られたジャガーノート。{@}身体中から高濃度の毒霧が絶え間なく放出されていて、その毒を吸い込んだ者に継続的なダメージと身体麻痺をもたらす。{@}生命の危機が迫るほど毒の濃度が上がる特性を持つ。,基于传说中的九尾妖狐而仿造的伽格诺。{@}其全身持续释放高浓度毒雾，吸入者将持续受到伤害并陷入麻痹状态。{@}越是命悬一线，毒雾浓度就越高。,"전설에 등장하는 아홉 개의 꼬리를 가진 여우를 본떠 만들어진 저거너트다.{@}온몸에서 고농도의 독 안개가 끊임없이 방출되며, 이를 들이마신 자는 지속적인 피해와 마비를 입는다.{@}생명이 위태로울수록 독의 농도가 더욱 짙어진다。",基於傳說中的九尾妖狐而仿造的伽格諾。 {@}其全身持續釋放高濃度毒霧，吸入者將持續受到傷害並陷入麻痺狀態。 {@}越命懸一線，毒霧濃度越高。,"Un Juggernaut creado a partir de la leyenda del zorro con nueve colas.{@}Libera constantemente una niebla venenosa de alta densidad por todo su cuerpo, causando daño continuo y parálisis a quien la inhale.{@}Cuanto más cerca está de la muerte, mayor es la concentración del veneno.",จัคเกอร์นอทที่สร้างขึ้นตามตำนานของจิ้งจอกเก้าหาง{@}ปล่อยหมอกพิษเข้มข้นออกจากทั่วร่างกายอย่างต่อเนื่อง ทำให้ผู้ที่สูดดมได้รับความเสียหายต่อเนื่องและอัมพาต{@}ยิ่งเข้าใกล้ความตาย ความเข้มข้นของพิษจะยิ่งเพิ่มขึ้น。,"Um Juggernaut inspirado na lenda da raposa de nove caudas.{@}Seu corpo emite continuamente uma névoa venenosa altamente concentrada, causando dano contínuo e paralisia em quem a inalar.{@}Quanto mais próximo da morte, maior é a concentração do veneno.","Ein Juggernaut, der nach dem legendären Fuchs mit neun Schwänzen modelliert wurde.{@}Er strömt ständig einen hochkonzentrierten Giftnebel aus seinem ganzen Körper aus, der kontinuierlichen Schaden und Lähmungen bei denen verursacht, die ihn einatmen.{@}Je näher der Tod kommt, desto dichter wird das Gift.","Un Juggernaut inspiré du légendaire renard à neuf queues.{@}Il émet en continu un brouillard empoisonné à haute densité de tout son corps, causant des dégâts continus et la paralysie de ceux qui l'inhalent.{@}Plus il s'approche de la mort, plus le poison devient dense."
被験体記録 九尾 #02,Subject Record Nine Tails #02,被験体記録 九尾 #02,实验体记录 九尾 #02,피험체 기록 구미호 #02,實驗體記錄 九尾 #02,Registro del sujeto Nueve colas #02,บันทึกตัวทดลอง เก้าหาง #02,Registro de Sujeito Nove Caudas #02,Subject Record Nine Tails #02,Dossier du sujet Neuf Queues #02
被験体記録 九尾 #03,Subject Record Nine Tails #03,被験体記録 九尾 #03,实验体记录 九尾 #03,피험체 기록 구미호 #03,實驗體記錄 九尾 #03,Registro del sujeto Nueve colas #03,บันทึกตัวทดลอง เก้าหาง #03,Registro de Sujeito Nove Caudas #03,Subject Record Nine Tails #03,Dossier du sujet Neuf Queues #03
九尾について内容3,"Created with the Killing Stone that absorbs miasma infinitely, it is the first inorganic Juggernaut in history. The poison mist is so dense it forms nine tails visible to the naked eye. There is no physical form—everything is an illusion created by the mist.",瘴気を無限に吸収する「殺生石」を核として創造された、史上初の無機物ジャガーノート。肉眼で確認できるほど濃密な毒霧が九本の尾を形づくる。そこに実体はなく、すべては霧が生み出す幻影に過ぎない。,以能无限吸收瘴气的“杀生石”为核心所创造的史上首个无机物伽格诺。其九条尾巴是由肉眼可见的浓密毒雾幻化成形。其本体并非实物，皆为毒雾产生的幻影。,"살생석이라는 독기를 무한히 흡수하는 핵을 중심으로 창조된 사상 최초의 무기질 저거너트다. 육안으로 확인할 수 있을 정도로 짙은 독 안개가 아홉 개의 꼬리를 형성하며, 실체는 존재하지 않고 모두 안개가 만들어낸 환영이다。",以能無限吸收瘴氣的「殺生石」為核心所創造的史上首個無機物伽格諾。其九條尾巴是由肉眼可見的濃密毒霧幻化成形。其本體並非實物，皆為毒霧產生的幻影。,"Creado con la Piedra Asesina que absorbe miasma infinitamente, es el primer Juggernaut inorgánico de la historia. La niebla venenosa es tan densa que forma nueve colas visibles a simple vista. No tiene cuerpo físico; todo es una ilusión generada por la niebla.",จัคเกอร์นอทอนินทรีย์ตัวแรกในประวัติศาสตร์ ถูกสร้างขึ้นโดยใช้ “หินสังหาร” ที่ดูดซับหมอกพิษได้ไม่สิ้นสุด หมอกพิษที่หนาแน่นถึงขนาดมองเห็นด้วยตาเปล่าก่อตัวเป็นหางทั้งเก้า ไม่มีตัวตนที่แท้จริง ทุกอย่างเป็นเพียงภาพลวงตาที่เกิดจากหมอกเท่านั้น。,"Criado com a Pedra Letal que absorve miasma infinitamente, é o primeiro Juggernaut inorgânico da história. A névoa venenosa é tão densa que forma nove caudas visíveis a olho nu. Não possui forma física — tudo não passa de uma ilusão criada pela névoa.","Geschaffen mit dem Killing Stone, der Miasma unendlich absorbiert, ist er der erste anorganische Juggernaut in der Geschichte. Der Giftnebel ist so dicht, dass er neun Schwänze bildet, die mit bloßem Auge sichtbar sind. Es gibt keine physische Form – alles ist eine Illusion, die vom Nebel erzeugt wird.","Créé avec la Pierre Tueuse qui absorbe infiniment le miasme, il est le premier Juggernaut inorganique de l'histoire. Le brouillard est si dense qu'il forme neuf queues visibles à l'œil nu. Il n'a pas de forme physique : tout est une illusion créée par le brouillard."
被験体記録 やまたのおろち #01,Subject Record Yamata no Orochi #01,被験体記録 やまたのおろち #01,实验体记录 八岐大蛇 #01,피험체 기록 야마타노오로치 #01,實驗體記錄 八岐大蛇 #01,Registro del sujeto Yamata no Orochi #01,บันทึกตัวทดลอง ยามาตะโนะโอโระจิ #01,Registro de Sujeito Yamata no Orochi #01,Subject Record Yamata no Orochi #01,Dossier du sujet Yamata no Orochi #01
やまたのおろちについて内容1,"A Juggernaut modeled after the legendary eight-headed serpent.{@}It boasts the greatest stamina of all entities and possesses a unique regeneration mechanism.{@}The closer it gets to death, the more aggressive it becomes.",伝承に語られる、八つの頭を持つ大蛇を模して造られたジャガーノート。{@}あらゆる個体の中でも随一の体力を誇り、特異な再生機構を有する。{@}生命の危機が迫るほど攻撃性が増す特性を持つ。,基于传说中的八首大蛇而仿造的伽格诺。{@}在所有个体中拥有顶尖的体力，并具备特殊的再生机制。{@}越是命悬一线，攻击性就越强。,"전설에 전해지는 여덟 개의 머리를 가진 거대한 뱀을 본떠 만들어진 저거너트다.{@}모든 개체 중 최고의 체력을 자랑하며, 특이한 재생 구조를 갖추고 있다.{@}생명이 위태로울수록 공격성이 강해지는 특성이 있다。",基於傳說中的八大蛇而仿造的伽格諾。 {@}在所有個體中擁有頂尖的體力，並具備特殊的再生機制。 {@}越命懸一線，攻擊性就越強。,"Un Juggernaut creado a partir de la leyenda de la serpiente de ocho cabezas.{@}Posee la mayor resistencia de todos los individuos y un mecanismo de regeneración único.{@}Cuanto más cerca de la muerte está, más agresivo se vuelve.",จัคเกอร์นอทที่สร้างขึ้นตามตำนานของงูแปดหัว{@}มีความอึดมากที่สุดในบรรดาทุกหน่วย และมีระบบฟื้นตัวเฉพาะตัว{@}ยิ่งเข้าใกล้ความตาย ความดุดันยิ่งเพิ่มขึ้น。,Um Juggernaut inspirado na lenda da serpente de oito cabeças.{@}Possui a maior resistência entre todas as criaturas e um mecanismo de regeneração único.{@}Torna-se mais agressivo à medida que se aproxima da morte.,"Ein Juggernaut, der nach der legendären achtköpfigen Schlange modelliert wurde.{@}Er besitzt die größte Ausdauer aller Wesen und verfügt über einen einzigartigen Regenerationsmechanismus.{@}Je näher der Tod kommt, desto aggressiver wird er.","Un Juggernaut inspiré du légendaire serpent à huit têtes.{@}Il possède la plus grande endurance de toutes les entités et un mécanisme de régénération unique.{@}Plus il s'approche de la mort, plus il devient agressif."
被験体記録 やまたのおろち #02,Subject Record Yamata no Orochi #02,被験体記録 やまたのおろち #02,实验体记录 八岐大蛇 #02,피험체 기록 야마타노오로치 #02,實驗體記錄 八岐大蛇 #02,Registro del sujeto Yamata no Orochi #02,บันทึกตัวทดลอง ยามาตะโนะโอโระจิ #02,Registro de Sujeito Yamata no Orochi #02,Subject Record Yamata no Orochi #02,Dossier du sujet Yamata no Orochi #02
被験体記録 やまたのおろち #03,Subject Record Yamata no Orochi #03,被験体記録 やまたのおろち #03,实验体记录 八岐大蛇 #03,피험체 기록 야마타노오로치 #03,實驗體記錄 八岐大蛇 #03,Registro del sujeto Yamata no Orochi #03,บันทึกตัวทดลอง ยามาตะโนะโอโระจิ #03,Registro de Sujeito Yamata no Orochi #03,Subject Record Yamata no Orochi #03,Dossier du sujet Yamata no Orochi #03
やまたのおろちについて内容3,"By fusing over ten thousand miasma-infected serpents, it was eventually refined into a form with eight heads through elimination and integration. It constantly coils around its favorite magatama, swirling miasma around the stone. At times, its eight heads take turns nudging the magatama, each trying to keep it for itself—a charming sight.",瘴気に侵された大蛇を一万体以上合成して創り上げた結果、淘汰と融合を経て最終的に八つの頭へ収束した。常にお気に入りの勾玉にくるりと絡みつき、その石を中心に瘴気をくるくる循環させている。ときおり八つの頭が代わる代わる勾玉をつついては、ひとり占めしようと首を振り合う姿が微笑ましい。,将上万条被瘴气侵蚀的大蛇合成后，通过淘汰与融合，最终炼化成八个头。它总是缠绕在自己最中意的勾玉上，以那块石头为中心让瘴气循环往复。偶尔八首轮番轻啄勾玉，为独占宝物而互相顶撞，那模样颇为可爱。,"1만 마리 이상의 사기에 감염된 뱀을 합성한 결과, 선택과 융합을 거쳐 결국 여덟 개의 머리로 수렴되었다. 항상 좋아하는 마가타마에 몸을 감고, 그 돌을 중심으로 사기를 빙글빙글 순환시킨다. 때때로 여덟 머리가 번갈아 마가타마를 건드리며 독차지하려는 모습이 사랑스럽다。",將上萬條被瘴氣侵蝕的大蛇合成後，透過淘汰與融合，最終煉化成八個頭。它總是纏繞在自己最中意的勾玉上，以那塊石頭為中心讓瘴氣循環往復。偶爾八首輪番輕啄勾玉，為獨佔寶物而互相頂撞，那模樣頗為可愛。,"Al fusionar más de diez mil serpientes infectadas por la niebla, se refinó en una forma con ocho cabezas mediante selección y fusión. Siempre se enrolla alrededor de su magatama favorita, haciendo circular la niebla alrededor de la piedra. A veces, sus ocho cabezas empujan la magatama por turnos, tratando de quedársela, una escena entrañable.",หลังจากหลอมรวมงูที่ติดหมอกพิษกว่าหมื่นตัว มันก็กลายเป็นงูแปดหัวผ่านการคัดเลือกและหลอมรวม มันจะพันรอบลูกแก้วโปรดของมัน และหมุนเวียนหมอกพิษรอบหินนั้น บางครั้งหัวทั้งแปดจะผลัดกันเขี่ยลูกแก้วเพื่อแย่งกัน เป็นภาพที่น่ารักทีเดียว,"Ao fundir mais de dez mil serpentes infectadas por névoa, ela foi refinada até assumir uma forma com oito cabeças por meio de seleção e fusão. Enrola-se constantemente em sua magatama favorita, fazendo a névoa girar ao redor da pedra. Às vezes, as oito cabeças cutucam a magatama uma de cada vez, tentando ficar com ela—uma cena adorável.","Durch die Verschmelzung von über zehntausend mit Miasma infizierten Schlangen wurde er schließlich durch Auslese und Integration zu einer Form mit acht Köpfen verfeinert. Er umschlingt ständig seinen Lieblingsmagatama und lässt das Miasma um den Stein wirbeln. Manchmal stupsen sich seine acht Köpfe abwechselnd an dem Magatama an und versuchen, ihn für sich allein zu behalten – ein charmantes Schauspiel.","En fusionnant plus de dix mille serpents infectés par le miasme, il a finalement été affiné en une forme à huit têtes par élimination et intégration. Il s'enroule constamment autour de son magatama préféré, faisant tourbillonner le miasme autour de la pierre. Parfois, ses huit têtes se relaient pour pousser le magatama, chacune essayant de le garder pour elle-même — un spectacle charmant."
特性,Traits,特性,特性,특성,特性,Rasgos,คุณสมบัติ,Características,Eigenschaften,Traits
HP%未満で発現,Activates when HP is below {num}%,HP{num}%未満で発現,当HP低于{num}%时发动,HP가 {num}% 미만일 때 발동,當HP低於{num}%時發動,Se activa cuando el HP está por debajo del {num}%,เปิดใช้งานเมื่อ HP ต่ำกว่า {num}%,Ativa quando o HP estiver abaixo de {num}%,"Aktiviert, wenn HP unter {num}% fällt",S'active lorsque les PV sont inférieurs à {num}%
攻撃確率%,Attack Chance {num}%,攻撃確率{num}%,攻击几率{num}%,공격 확률 {num}%,攻擊幾率{num}%,Probabilidad de ataque {num}%,อัตราการโจมตี {num}%,Chance de ataque {num}%,Angriffschance {num}%,Chance d'attaque {num}%
自ターンに%の確率で攻撃する。,Attacks on own turn with {num}% chance.,自ターンに{num}%の確率で攻撃する。,自身回合内，有{num}%的几率进行攻击。,자신의 턴에 {num}% 확률로 공격함。,自身回合內，有{num}%的幾率進行攻擊。,Ataca en su turno con una probabilidad de {num}%,โจมตีในเทิร์นของตนเองด้วยความน่าจะเป็น {num}%,Ataca no próprio turno com {num}% de chance.,Greift im eigenen Zug mit {num}% Chance an.,Attaque à son tour avec {num}% de chance.
毒無効,Immune to Poison,毒無効,免疫中毒,독 면역,毒無效,Inmune al veneno,ภูมิต้านพิษ,Imune a veneno,Immun gegen Gift,Immunisé au poison
戦闘対象からの毒攻撃を受けない。,Does not receive poison attacks from enemies.,戦闘対象からの毒攻撃を受けない。,不会受到来自战斗对象的毒攻击。,전투 대상의 독 공격을 받지 않음。,不會受到戰鬥對象的毒攻擊。,No recibe ataques de veneno del enemigo.,ไม่รับผลการโจมตีด้วยพิษจากฝ่ายตรงข้าม,Não recebe ataques de veneno do inimigo,Erhält keine Giftangriffe von Gegnern.,Ne reçoit pas d'attaques empoisonnées des ennemis.
武器無効化（）,Weapon Nullification ({type}),武器無効化（{type}）,武器无效化（{type}）,무기 무효화({type}),武器無效化（{type}）,Anulación de arma ({type}),การทำให้ ({type}) ใช้งานไม่ได้,Anulação de arma ({type}),Waffenneutralisation ({type}),Annulation d'arme ({type})
戦闘対象が装備する武器の武器攻撃力を0にする。,Sets weapon attack power of {type} weapons to 0.,戦闘対象が装備する{type}武器の武器攻撃力を0にする。,使战斗对象的{type}武器的武器攻击力变为0。,전투 대상이 장착한 {type} 무기의 공격력을 0으로 만듦。,使戰鬥對象的{type}武器的武器攻擊力變成0。,Reduce el poder de ataque de las armas {type} del enemigo a 0.,ลดพลังโจมตีของอาวุธ {type} ของฝ่ายตรงข้ามเป็น 0,Define o poder de ataque da arma {type} do inimigo como 0.,Setzt die Waffenangriffskraft von {type}-Waffen auf 0.,Réduit à 0 la puissance d'attaque des armes de type {type}.
レベルリセット,Level Reset,レベルリセット,等级重置,레벨 리셋,等級重置,Reinicio de nivel,รีเซ็ตระดับ,Redefinir nível,Level-Zurücksetzung,Réinitialisation de niveau
戦闘対象のレベルを強制的に1に戻す。,Forcibly resets enemy level to 1.,戦闘対象のレベルを強制的に1に戻す。,强制将战斗对象的等级重置为1。,전투 대상의 레벨을 강제로 1로 되돌림。,強制將戰鬥對象的等級重設為1。,Restablece el nivel del enemigo a 1.,รีเซ็ตระดับของฝ่ายตรงข้ามเป็น 1,Redefine o nível do inimigo para 1.,Setzt das Gegnerlevel zwangsweise auf 1 zurück.,Réinitialise de force le niveau de l'ennemi à 1.
会心カウンター,Critical Counter,会心カウンター,会心反击,회심 카운터,會心反擊,Contra crítico,โต้กลับคริติคอล,Contra-golpe crítico,Kritischer Konter,Contre critique
戦闘対象の会心攻撃を回避し、カウンターを繰り出す。,Evades critical hits and counters.,戦闘対象の会心攻撃を回避し、カウンターを繰り出す。,闪避战斗对象的会心攻击，并进行反击。,전투 대상의 회심 공격을 회피하고 반격함。,閃避戰鬥對象的會心攻擊，並進行反擊。,Evade ataques críticos y contraataca.,หลบหลีกการโจมตีคริติคอลและโต้กลับ,Evade ataques críticos e contra-ataca.,Weicht kritischen Treffern aus und kontert.,Esquive les coups critiques et contre-attaque.
近接攻撃全回避,Fully Evade Melee Attacks,近接攻撃全回避,近战攻击全闪避,근접 공격 완전 회피,近戰攻擊全閃避,Evasión total de ataques cuerpo a cuerpo,หลบหลีกการโจมตีระยะประชิดทั้งหมด,Evasão total de ataques corpo a corpo,Vollständiges Ausweichen von Nahkampfangriffen,Esquive totale des attaques au corps à corps
戦闘対象の攻撃をすべて回避する。,Evades all {type} attacks from the enemy.,戦闘対象の{type}攻撃をすべて回避する。,完全闪避战斗对象的{type}攻击。,전투 대상의 {type} 공격을 모두 회피함。,完全閃避戰鬥對象的{type}攻擊。,Evade todos los ataques {type} del enemigo.,หลบหลีกการโจมตีประเภท {type} ของฝ่ายตรงข้ามทั้งหมด,Esvazia todos os ataques {type} do inimigo.,Weicht allen {type}-Angriffen des Gegners aus.,Esquive toutes les attaques {type} de l'ennemi.
先制カウンター,Preemptive Counter,先制カウンター,先制反击,선제 카운터,先制反擊,Contraataque preventivo,โต้กลับก่อน,Contra-ataque preventivo,Vorauseilender Konter,Contre préemptif
戦闘対象の先制スキルによる初撃を回避し、カウンターを繰り出す。,Evades preemptive skill’s first strike and counters.,戦闘対象の先制スキルによる初撃を回避し、カウンターを繰り出す。,闪避战斗对象的先制技能，并进行反击。,전투 대상의 선제 스킬 첫 공격을 회피하고 반격함。,閃避戰鬥對象的先制技能，並進行反擊。,Evade el primer ataque de habilidades preventivas y contraataca.,หลบหลีกการโจมตีแรกของสกิลเปิดก่อนและโต้กลับ,Esvazia o primeiro golpe de uma habilidade pré-emptiva e contra-ataca.,Weicht dem ersten Schlag eines vorauseilenden Skills aus und kontert.,Esquive la première frappe de compétence préemptive et contre-attaque.
意識の外,Outside Awareness,意識の外,意识之外,의식의 외부,意識之外,Fuera de percepción,นอกเหนือการรับรู้,Fora da percepção,Außerhalb der Wahrnehmung,Conscience extérieure
戦闘対象の投射武器による初撃が確定で会心かつ連撃になる。,First projectile attack from enemy is always critical and multi-hit.,戦闘対象の投射武器による初撃が確定で会心かつ連撃になる。,战斗对象的投射武器的首次攻击必定暴击且为连击。,전투 대상의 투사 무기에 의한 첫 공격은 반드시 회심이며 연격임。,戰鬥對象的投射武器的首次攻擊必定暴擊且為連擊。,El primer ataque con arma arrojadiza del enemigo siempre es crítico y de múltiples golpes.,การโจมตีครั้งแรกด้วยอาวุธ投ของฝ่ายตรงข้ามจะเป็นคริติคอลและโจมตีหลายครั้งเสมอ,O primeiro ataque com arma de arremesso do inimigo é sempre crítico e múltiplo.,Der erste Projektilangriff des Gegners ist immer kritisch und mehrschüssig.,La première attaque à distance de l'ennemi est toujours critique et à coups multiples.
開眼Lv,Awakening Lv{num},開眼Lv{num},开眼Lv{num},각성 Lv{num},開眼Lv{num},Nivel de despertar {num},ระดับปลุกพลัง {num},Nível de despertar {num},Erwachen Lv{num},Éveil Niv{num}
戦闘対象の攻撃を%の確率で回避する。,Evades enemy attacks with {num}% chance.,戦闘対象の攻撃を{num}%の確率で回避する。,有{num}%的几率闪避战斗对象的攻击。,전투 대상의 공격을 {num}% 확률로 회피함。,有{num}%的幾率閃避戰鬥對象的攻擊。,Evade ataques con una probabilidad de {num}%,หลบหลีกการโจมตีของฝ่ายตรงข้ามด้วยความน่าจะเป็น {num}%,Evade ataques com {num}% de chance.,Weicht gegnerischen Angriffen mit {num}% Chance aus.,Esquive les attaques ennemies avec {num}% de chance.
毒霧,Poison Mist,毒霧,毒雾,독 안개,毒霧,Niebla venenosa,หมอกพิษ,Névoa venenosa,Giftnebel,Brouillard empoisonné
戦闘対象に継続ダメージ及び痺れを与える。,Inflicts continuous damage and paralysis to the target.,戦闘対象に継続ダメージ及び痺れを与える。,对战斗对象造成持续伤害和麻痹。,전투 대상에게 지속 피해와 마비를 입힘。,對戰鬥對象造成持續傷害與麻痺。,Inflige daño continuo y parálisis al objetivo.,สร้างความเสียหายต่อเนื่องและทำให้เป็นอัมพาตแก่ฝ่ายตรงข้าม,Causa dano contínuo e paralisia ao inimigo,Verursacht kontinuierlichen Schaden und Lähmung beim Ziel.,Inflige des dégâts continus et la paralysie à la cible.
毒濃度上昇Lv,Poison Intensity Up Lv{num},毒濃度上昇Lv{num},毒浓度上升Lv{num},독 농도 상승 Lv{num},毒濃度上升Lv{num},Aumento de concentración de veneno Lv{num},ระดับความเข้มข้นของพิษเพิ่มขึ้น Lv{num},Aumento da concentração de veneno Lv{num},Giftintensitätssteigerung Lv{num},Intensité du poison + Niv{num}
毒霧の濃度が上昇。,Poison mist concentration increases.,毒霧の濃度が上昇。,毒雾浓度上升。,독 안개의 농도가 상승함。,毒霧濃度上升。,La concentración de niebla venenosa aumenta.,ความเข้มข้นของหมอกพิษเพิ่มขึ้น,A concentração da névoa venenosa aumenta,Die Konzentration des Giftnebels steigt.,La concentration du brouillard empoisonné augmente.
毒霧の濃度がさらに上昇。,Poison mist concentration increases further.,毒霧の濃度がさらに上昇。,毒雾浓度进一步上升。,독 안개의 농도가 더 상승함。,毒霧濃度進一步上升。,La concentración de niebla venenosa aumenta aún más.,ความเข้มข้นของหมอกพิษเพิ่มขึ้นอีก,A concentração da névoa venenosa aumenta ainda mais,Die Konzentration des Giftnebels steigt weiter.,La concentration du brouillard empoisonné augmente encore.
凶暴化,Berserk,凶暴化,狂暴化,흉폭화,兇暴化,Enfurecimiento,คลุ้มคลั่ง,Fúria,Wildheit,Furie
