Rank 1000: HP: 1080, STR: 449193, VIT: 265, SPD: 64, LUK: 1, Attack: 536854, Defense: 83988, Current HP: 1080, A Avg: 1428031, D Avg: 83988, [Neural Edge(190)[630, 630, 630], Pot Lid(201)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 767: HP: 1301, STR: 623313, VIT: 1468, SPD: 64, LUK: 1, Attack: 708101, Defense: 88386, Current HP: 1301, A Avg: 1437445, D Avg: 88386, [Pulse Knife(165)[630, 630, 630], White Hole(230)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 766: HP: 1957, STR: 452739, VIT: 265, SPD: 68, LUK: 1, Attack: 540400, Defense: 87053, Current HP: 1957, A Avg: 1437463, D Avg: 87053, [Neural Edge(190)[630, 630, 630], C Magnum(239)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 765: HP: 2213, STR: 622805, VIT: 1438, SPD: 64, LUK: 1, Attack: 708139, Defense: 86302, Current HP: 2213, A Avg: 1437522, D Avg: 86302, [Impulse(166)[630, 630, 630], Dragon's Head(217)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 764: HP: 2137, STR: 622805, VIT: 1422, SPD: 68, LUK: 1, Attack: 708139, Defense: 85844, Current HP: 2137, A Avg: 1437522, D Avg: 85844, [Impulse(166)[630, 630, 630], Superconducting Barrier(220)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 763: HP: 1960, STR: 623359, VIT: 1454, SPD: 64, LUK: 1, Attack: 708147, Defense: 87566, Current HP: 1960, A Avg: 1437538, D Avg: 87566, [Pulse Knife(165)[630, 630, 630], Goblin Hand(250)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 762: HP: 1273, STR: 623401, VIT: 1632, SPD: 64, LUK: 1, Attack: 708189, Defense: 86626, Current HP: 1273, A Avg: 1437623, D Avg: 86626, [Pulse Knife(165)[630, 630, 630], Metalization(228)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 761: HP: 1915, STR: 623264, VIT: 651, SPD: 64, LUK: 1, Attack: 708193, Defense: 86867, Current HP: 1915, A Avg: 1437631, D Avg: 86867, [Jack Knife(185)[630, 630, 630], King Shield(248)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 760: HP: 1740, STR: 672020, VIT: 1115, SPD: 64, LUK: 1, Attack: 756670, Defense: 87903, Current HP: 1740, A Avg: 1437673, D Avg: 87903, [Diamond Knuckle(152)[630, 630, 630], Energy Shield(227)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 759: HP: 2213, STR: 622931, VIT: 1795, SPD: 64, LUK: 1, Attack: 708265, Defense: 88596, Current HP: 2213, A Avg: 1437777, D Avg: 88596, [Impulse(166)[630, 630, 630], Riot(236)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 758: HP: 1415, STR: 621903, VIT: 1425, SPD: 68, LUK: 1, Attack: 708392, Defense: 85847, Current HP: 1415, A Avg: 1438035, D Avg: 85847, [Cuttlefish(178)[630, 630, 630], Superconducting Barrier(220)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 757: HP: 1273, STR: 672024, VIT: 703, SPD: 64, LUK: 1, Attack: 756865, Defense: 85697, Current HP: 1273, A Avg: 1438043, D Avg: 85697, [Grand Slam(163)[630, 630, 630], Metalization(228)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 756: HP: 1833, STR: 623998, VIT: 1178, SPD: 64, LUK: 1, Attack: 708498, Defense: 86042, Current HP: 1833, A Avg: 1438250, D Avg: 86042, [Divine Dragon Sword(181)[630, 630, 630], Dragon's Head(217)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 755: HP: 2109, STR: 456846, VIT: 2020, SPD: 76, LUK: 1, Attack: 540722, Defense: 89588, Current HP: 2109, A Avg: 1438320, D Avg: 89588, [Tornado(111)[630, 630, 630], Storm Wall(242)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 754: HP: 1729, STR: 624581, VIT: 272, SPD: 68, LUK: 1, Attack: 708581, Defense: 87060, Current HP: 1729, A Avg: 1438419, D Avg: 87060, [Kirisame(129)[630, 630, 630], C Magnum(239)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 753: HP: 1510, STR: 622192, VIT: 1502, SPD: 68, LUK: 1, Attack: 708681, Defense: 85924, Current HP: 1510, A Avg: 1438622, D Avg: 85924, [Cuttlefish(178)[630, 630, 630], Superconducting Barrier(220)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 752: HP: 2010, STR: 623779, VIT: 732, SPD: 64, LUK: 1, Attack: 708708, Defense: 86948, Current HP: 2010, A Avg: 1438677, D Avg: 86948, [Jack Knife(185)[630, 630, 630], King Shield(248)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 751: HP: 2118, STR: 624602, VIT: 272, SPD: 68, LUK: 1, Attack: 708723, Defense: 87060, Current HP: 2118, A Avg: 1438707, D Avg: 87060, [Black Kirisame(130)[630, 630, 630], C Magnum(239)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 750: HP: 1786, STR: 623397, VIT: 1516, SPD: 64, LUK: 1, Attack: 708731, Defense: 86107, Current HP: 1786, A Avg: 1438723, D Avg: 86107, [Impulse(166)[630, 630, 630], Black Hole(229)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 749: HP: 2156, STR: 623397, VIT: 1579, SPD: 64, LUK: 1, Attack: 708731, Defense: 88497, Current HP: 2156, A Avg: 1438723, D Avg: 88497, [Impulse(166)[630, 630, 630], White Hole(230)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 748: HP: 1966, STR: 456765, VIT: 1030, SPD: 76, LUK: 1, Attack: 540875, Defense: 85036, Current HP: 1966, A Avg: 1438727, D Avg: 85036, [Serpent(144)[630, 630, 630], Wings of Beast(210)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 747: HP: 1947, STR: 456765, VIT: 4017, SPD: 76, LUK: 1, Attack: 540875, Defense: 89687, Current HP: 1947, A Avg: 1438727, D Avg: 89687, [Serpent(144)[630, 630, 630], Shield of Thousand(246)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 746: HP: 2860, STR: 623443, VIT: 1564, SPD: 64, LUK: 1, Attack: 708777, Defense: 87676, Current HP: 2860, A Avg: 1438817, D Avg: 87676, [Impulse(166)[630, 630, 630], Goblin Hand(250)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 745: HP: 1434, STR: 671981, VIT: 606, SPD: 64, LUK: 1, Attack: 757313, Defense: 84534, Current HP: 1434, A Avg: 1438894, D Avg: 84534, [Tower(149)[630, 630, 630], Tower Shield(213)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 744: HP: 2128, STR: 623485, VIT: 1749, SPD: 64, LUK: 1, Attack: 708819, Defense: 86743, Current HP: 2128, A Avg: 1438902, D Avg: 86743, [Impulse(166)[630, 630, 630], Metalization(228)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 743: HP: 893, STR: 673237, VIT: 110, SPD: 68, LUK: 1, Attack: 757360, Defense: 84246, Current HP: 893, A Avg: 1438984, D Avg: 84246, [Pinpoint(112)[630, 630, 630], Magnum(237)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 742: HP: 2340, STR: 623969, VIT: 356, SPD: 68, LUK: 1, Attack: 708935, Defense: 87144, Current HP: 2340, A Avg: 1439138, D Avg: 87144, [Red Shark(134)[630, 630, 630], C Magnum(239)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 741: HP: 2133, STR: 456946, VIT: 1030, SPD: 76, LUK: 1, Attack: 541056, Defense: 85530, Current HP: 2133, A Avg: 1439208, D Avg: 85530, [Serpent(144)[630, 630, 630], Hard Wings of Beast(222)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 740: HP: 2109, STR: 457009, VIT: 2020, SPD: 76, LUK: 1, Attack: 541158, Defense: 89588, Current HP: 2109, A Avg: 1439480, D Avg: 89588, [Giant Tornado(114)[630, 630, 630], Storm Wall(242)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 739: HP: 893, STR: 624317, VIT: 984, SPD: 68, LUK: 1, Attack: 709105, Defense: 85120, Current HP: 893, A Avg: 1439483, D Avg: 85120, [Pulse Knife(165)[630, 630, 630], Magnum(237)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 738: HP: 2517, STR: 457135, VIT: 2153, SPD: 76, LUK: 1, Attack: 541245, Defense: 89721, Current HP: 2517, A Avg: 1439711, D Avg: 89721, [Serpent(144)[630, 630, 630], Storm Wall(242)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 737: HP: 893, STR: 673779, VIT: 110, SPD: 68, LUK: 1, Attack: 757902, Defense: 84454, Current HP: 893, A Avg: 1440013, D Avg: 84454, [Pinpoint(112)[630, 630, 630], V Magnum(238)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 736: HP: 1966, STR: 457308, VIT: 968, SPD: 76, LUK: 1, Attack: 541418, Defense: 84831, Current HP: 1966, A Avg: 1440171, D Avg: 84831, [Serpent(144)[630, 630, 630], Small Sword(218)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 735: HP: 1833, STR: 624972, VIT: 1093, SPD: 64, LUK: 1, Attack: 709472, Defense: 85957, Current HP: 1833, A Avg: 1440228, D Avg: 85957, [Divine Dragon Sword(181)[630, 630, 630], Dragon's Head(217)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 734: HP: 893, STR: 624901, VIT: 984, SPD: 68, LUK: 1, Attack: 709689, Defense: 85328, Current HP: 893, A Avg: 1440668, D Avg: 85328, [Pulse Knife(165)[630, 630, 630], V Magnum(238)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 733: HP: 1748, STR: 624401, VIT: 1094, SPD: 68, LUK: 1, Attack: 709735, Defense: 85230, Current HP: 1748, A Avg: 1440762, D Avg: 85230, [Impulse(166)[630, 630, 630], Magnum(237)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 732: HP: 940, STR: 625172, VIT: 291, SPD: 64, LUK: 1, Attack: 709750, Defense: 84310, Current HP: 940, A Avg: 1440792, D Avg: 84310, [Magical(187)[630, 630, 630], Prism Shield(212)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 731: HP: 2375, STR: 457597, VIT: 1030, SPD: 76, LUK: 1, Attack: 541707, Defense: 84919, Current HP: 2375, A Avg: 1440940, D Avg: 84919, [Serpent(144)[630, 630, 630], Small Lion(219)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 730: HP: 2340, STR: 624938, VIT: 276, SPD: 68, LUK: 1, Attack: 709904, Defense: 87064, Current HP: 2340, A Avg: 1441105, D Avg: 87064, [Red Shark(134)[630, 630, 630], C Magnum(239)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 729: HP: 2226, STR: 457686, VIT: 1038, SPD: 76, LUK: 1, Attack: 541796, Defense: 85044, Current HP: 2226, A Avg: 1441177, D Avg: 85044, [Serpent(144)[630, 630, 630], Small Dragon Sword(224)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 728: HP: 1947, STR: 457083, VIT: 1100, SPD: 76, LUK: 1, Attack: 541908, Defense: 85106, Current HP: 1947, A Avg: 1441475, D Avg: 85106, [Kraken(145)[630, 630, 630], Wings of Beast(210)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 727: HP: 1928, STR: 457083, VIT: 4088, SPD: 76, LUK: 1, Attack: 541908, Defense: 89758, Current HP: 1928, A Avg: 1441475, D Avg: 89758, [Kraken(145)[630, 630, 630], Shield of Thousand(246)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 726: HP: 1987, STR: 456309, VIT: 937, SPD: 64, LUK: 1, Attack: 541953, Defense: 85437, Current HP: 1987, A Avg: 1441594, D Avg: 85437, [Gladius(162)[630, 630, 630], Hard Wings of Beast(222)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 725: HP: 1892, STR: 456309, VIT: 921, SPD: 64, LUK: 1, Attack: 541953, Defense: 85421, Current HP: 1892, A Avg: 1441594, D Avg: 85421, [Gladius(162)[630, 630, 630], Hard Wings of Beast(222)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 724: HP: 1987, STR: 456309, VIT: 1062, SPD: 64, LUK: 1, Attack: 541953, Defense: 85562, Current HP: 1987, A Avg: 1441594, D Avg: 85562, [Gladius(162)[630, 630, 630], Hard Wings of Beast(222)[630, 630, 67], Mobius Ring(316)[68, 803, 807]]
Rank 723: HP: 1987, STR: 456309, VIT: 937, SPD: 64, LUK: 1, Attack: 541953, Defense: 85437, Current HP: 1987, A Avg: 1441594, D Avg: 85437, [Gladius(162)[630, 630, 630], Hard Wings of Beast(222)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 722: HP: 1040, STR: 624703, VIT: 702, SPD: 64, LUK: 1, Attack: 710243, Defense: 84425, Current HP: 1040, A Avg: 1441793, D Avg: 84425, [Zodiac(184)[630, 630, 630], Pot Lid(201)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 721: HP: 1040, STR: 624703, VIT: 702, SPD: 64, LUK: 1, Attack: 710243, Defense: 84435, Current HP: 1040, A Avg: 1441793, D Avg: 84435, [Zodiac(184)[630, 630, 630], High Pot Lid(202)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 720: HP: 988, STR: 624703, VIT: 754, SPD: 64, LUK: 1, Attack: 710243, Defense: 84623, Current HP: 988, A Avg: 1441793, D Avg: 84623, [Zodiac(184)[630, 630, 630], Wooden Shield(203)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 719: HP: 988, STR: 624703, VIT: 759, SPD: 64, LUK: 1, Attack: 710243, Defense: 84563, Current HP: 988, A Avg: 1441793, D Avg: 84563, [Zodiac(184)[630, 630, 630], Iron Shield(204)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 718: HP: 988, STR: 624703, VIT: 812, SPD: 64, LUK: 1, Attack: 710243, Defense: 84675, Current HP: 988, A Avg: 1441793, D Avg: 84675, [Zodiac(184)[630, 630, 630], Titanium Shield(205)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 717: HP: 988, STR: 624703, VIT: 829, SPD: 64, LUK: 1, Attack: 710243, Defense: 84718, Current HP: 988, A Avg: 1441793, D Avg: 84718, [Zodiac(184)[630, 630, 630], Large iron Shield(206)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 716: HP: 1040, STR: 624703, VIT: 835, SPD: 64, LUK: 1, Attack: 710243, Defense: 84711, Current HP: 1040, A Avg: 1441793, D Avg: 84711, [Zodiac(184)[630, 630, 630], Magic Shield(207)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 715: HP: 1377, STR: 624703, VIT: 945, SPD: 64, LUK: 1, Attack: 710243, Defense: 84782, Current HP: 1377, A Avg: 1441793, D Avg: 84782, [Zodiac(184)[630, 630, 630], Emerald Shield(209)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 714: HP: 1100, STR: 624703, VIT: 772, SPD: 64, LUK: 1, Attack: 710243, Defense: 84544, Current HP: 1100, A Avg: 1441793, D Avg: 84544, [Zodiac(184)[630, 630, 630], Clear Shield(211)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 713: HP: 1140, STR: 624703, VIT: 835, SPD: 64, LUK: 1, Attack: 710243, Defense: 84854, Current HP: 1140, A Avg: 1441793, D Avg: 84854, [Zodiac(184)[630, 630, 630], Prism Shield(212)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 712: HP: 1064, STR: 624703, VIT: 821, SPD: 64, LUK: 1, Attack: 710243, Defense: 84749, Current HP: 1064, A Avg: 1441793, D Avg: 84749, [Zodiac(184)[630, 630, 630], Tower Shield(213)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 711: HP: 1686, STR: 624703, VIT: 1030, SPD: 64, LUK: 1, Attack: 710243, Defense: 85592, Current HP: 1686, A Avg: 1441793, D Avg: 85592, [Zodiac(184)[630, 630, 630], Slime Shield(221)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 710: HP: 1618, STR: 624703, VIT: 812, SPD: 64, LUK: 1, Attack: 710243, Defense: 84740, Current HP: 1618, A Avg: 1441793, D Avg: 84740, [Zodiac(184)[630, 630, 630], Hardwood Shield(223)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 709: HP: 1040, STR: 624703, VIT: 1379, SPD: 64, LUK: 1, Attack: 710243, Defense: 88167, Current HP: 1040, A Avg: 1441793, D Avg: 88167, [Zodiac(184)[630, 630, 630], Energy Shield(227)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 708: HP: 3049, STR: 624703, VIT: 746, SPD: 64, LUK: 1, Attack: 710243, Defense: 86663, Current HP: 3049, A Avg: 1441793, D Avg: 86663, [Zodiac(184)[630, 630, 630], Frying Pan(231)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 707: HP: 1904, STR: 624703, VIT: 1108, SPD: 64, LUK: 1, Attack: 710243, Defense: 85842, Current HP: 1904, A Avg: 1441793, D Avg: 85842, [Zodiac(184)[630, 630, 630], Slafield(232)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 706: HP: 1570, STR: 624703, VIT: 1030, SPD: 64, LUK: 1, Attack: 710243, Defense: 86505, Current HP: 1570, A Avg: 1441793, D Avg: 86505, [Zodiac(184)[630, 630, 630], Mist Shield(233)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 705: HP: 1178, STR: 624703, VIT: 1409, SPD: 64, LUK: 1, Attack: 710243, Defense: 86377, Current HP: 1178, A Avg: 1441793, D Avg: 86377, [Zodiac(184)[630, 630, 630], Huge Shield(234)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 704: HP: 1102, STR: 624703, VIT: 1438, SPD: 64, LUK: 1, Attack: 710243, Defense: 88278, Current HP: 1102, A Avg: 1441793, D Avg: 88278, [Zodiac(184)[630, 630, 630], Aurora Shield(240)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 703: HP: 2210, STR: 624703, VIT: 1264, SPD: 64, LUK: 1, Attack: 710243, Defense: 88689, Current HP: 2210, A Avg: 1441793, D Avg: 88689, [Zodiac(184)[630, 630, 630], Cloud Shield(241)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 702: HP: 988, STR: 624703, VIT: 702, SPD: 64, LUK: 1, Attack: 710243, Defense: 87491, Current HP: 988, A Avg: 1441793, D Avg: 87491, [Zodiac(184)[630, 630, 630], Graffiti(243)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 701: HP: 988, STR: 624703, VIT: 1950, SPD: 64, LUK: 1, Attack: 710243, Defense: 91728, Current HP: 988, A Avg: 1441793, D Avg: 91728, [Zodiac(184)[630, 630, 630], Blank Shield(244)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 700: HP: 1463, STR: 624703, VIT: 2573, SPD: 64, LUK: 1, Attack: 710243, Defense: 89361, Current HP: 1463, A Avg: 1441793, D Avg: 89361, [Zodiac(184)[630, 630, 630], Golem Shield(245)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 699: HP: 1273, STR: 624703, VIT: 1217, SPD: 68, LUK: 1, Attack: 710243, Defense: 87095, Current HP: 1273, A Avg: 1441793, D Avg: 87095, [Zodiac(184)[630, 630, 630], Sticky thread shield(247)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 698: HP: 2105, STR: 624703, VIT: 1229, SPD: 64, LUK: 1, Attack: 710243, Defense: 87445, Current HP: 2105, A Avg: 1441793, D Avg: 87445, [Zodiac(184)[630, 630, 630], King Shield(248)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 697: HP: 1440, STR: 624703, VIT: 1272, SPD: 64, LUK: 1, Attack: 710243, Defense: 88307, Current HP: 1440, A Avg: 1441793, D Avg: 88307, [Zodiac(184)[630, 630, 630], Warrior's Shield(249)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 696: HP: 1040, STR: 624703, VIT: 1451, SPD: 64, LUK: 1, Attack: 710243, Defense: 88499, Current HP: 1040, A Avg: 1441793, D Avg: 88499, [Zodiac(184)[630, 630, 630], Ghost shield(251)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 695: HP: 1286, STR: 624745, VIT: 953, SPD: 64, LUK: 1, Attack: 710285, Defense: 84894, Current HP: 1286, A Avg: 1441878, D Avg: 84894, [Zodiac(184)[630, 630, 630], Dragon's Scales(215)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 694: HP: 960, STR: 672363, VIT: 1286, SPD: 64, LUK: 1, Attack: 758891, Defense: 88074, Current HP: 960, A Avg: 1441892, D Avg: 88074, [Moon Knuckle(153)[630, 630, 630], Energy Shield(227)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 693: HP: 1748, STR: 624985, VIT: 1094, SPD: 68, LUK: 1, Attack: 710319, Defense: 85438, Current HP: 1748, A Avg: 1441947, D Avg: 85438, [Impulse(166)[630, 630, 630], V Magnum(238)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 692: HP: 2114, STR: 457264, VIT: 1100, SPD: 76, LUK: 1, Attack: 542089, Defense: 85600, Current HP: 2114, A Avg: 1441956, D Avg: 85600, [Kraken(145)[630, 630, 630], Hard Wings of Beast(222)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 691: HP: 1892, STR: 456457, VIT: 985, SPD: 64, LUK: 1, Attack: 542101, Defense: 85485, Current HP: 1892, A Avg: 1441988, D Avg: 85485, [Gladius(162)[630, 630, 630], Hard Wings of Beast(222)[630, 630, 66], Oculus Ring(315)[67, 803, 807]]
Rank 690: HP: 1892, STR: 456457, VIT: 985, SPD: 64, LUK: 1, Attack: 542101, Defense: 85485, Current HP: 1892, A Avg: 1441988, D Avg: 85485, [Gladius(162)[630, 630, 630], Hard Wings of Beast(222)[630, 630, 67], Oculus Ring(315)[68, 803, 807]]
Rank 689: HP: 1704, STR: 624470, VIT: 1064, SPD: 64, LUK: 1, Attack: 710348, Defense: 85798, Current HP: 1704, A Avg: 1442006, D Avg: 85798, [Blue Sword(180)[630, 630, 630], Slafield(232)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 688: HP: 988, STR: 624888, VIT: 835, SPD: 68, LUK: 1, Attack: 710428, Defense: 84860, Current HP: 988, A Avg: 1442168, D Avg: 84860, [Zodiac(184)[630, 630, 630], Conductive Barrier(208)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 687: HP: 1453, STR: 624909, VIT: 955, SPD: 64, LUK: 1, Attack: 710449, Defense: 85195, Current HP: 1453, A Avg: 1442211, D Avg: 85195, [Zodiac(184)[630, 630, 630], Dragon's Wings(216)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 686: HP: 2152, STR: 457205, VIT: 1283, SPD: 76, LUK: 1, Attack: 542248, Defense: 85289, Current HP: 2152, A Avg: 1442379, D Avg: 85289, [White Snake(160)[630, 630, 630], Wings of Beast(210)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 685: HP: 2133, STR: 457205, VIT: 4270, SPD: 76, LUK: 1, Attack: 542248, Defense: 89940, Current HP: 2133, A Avg: 1442379, D Avg: 89940, [White Snake(160)[630, 630, 630], Shield of Thousand(246)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 684: HP: 2498, STR: 457453, VIT: 2224, SPD: 76, LUK: 1, Attack: 542278, Defense: 89792, Current HP: 2498, A Avg: 1442459, D Avg: 89792, [Kraken(145)[630, 630, 630], Storm Wall(242)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 683: HP: 1516, STR: 625048, VIT: 1083, SPD: 64, LUK: 1, Attack: 710588, Defense: 86701, Current HP: 1516, A Avg: 1442493, D Avg: 86701, [Zodiac(184)[630, 630, 630], Mask of the Grim Reaper(214)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 682: HP: 1284, STR: 625052, VIT: 1312, SPD: 64, LUK: 1, Attack: 710592, Defense: 86150, Current HP: 1284, A Avg: 1442501, D Avg: 86150, [Zodiac(184)[630, 630, 630], Bulletproof Shield(235)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 681: HP: 2120, STR: 456668, VIT: 1092, SPD: 64, LUK: 1, Attack: 542312, Defense: 85592, Current HP: 2120, A Avg: 1442549, D Avg: 85592, [Gladius(162)[630, 630, 630], Hard Wings of Beast(222)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 680: HP: 1453, STR: 625094, VIT: 1021, SPD: 64, LUK: 1, Attack: 710634, Defense: 85885, Current HP: 1453, A Avg: 1442587, D Avg: 85885, [Zodiac(184)[630, 630, 630], Dragon's Head(217)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 679: HP: 1377, STR: 625094, VIT: 1030, SPD: 68, LUK: 1, Attack: 710634, Defense: 85452, Current HP: 1377, A Avg: 1442587, D Avg: 85452, [Zodiac(184)[630, 630, 630], Superconducting Barrier(220)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 678: HP: 1824, STR: 675234, VIT: 110, SPD: 68, LUK: 1, Attack: 759357, Defense: 86898, Current HP: 1824, A Avg: 1442778, D Avg: 86898, [Pinpoint(112)[630, 630, 630], C Magnum(239)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 677: HP: 1453, STR: 625220, VIT: 1378, SPD: 64, LUK: 1, Attack: 710760, Defense: 88179, Current HP: 1453, A Avg: 1442842, D Avg: 88179, [Zodiac(184)[630, 630, 630], Riot(236)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 676: HP: 2319, STR: 457386, VIT: 1283, SPD: 76, LUK: 1, Attack: 542429, Defense: 85783, Current HP: 2319, A Avg: 1442861, D Avg: 85783, [White Snake(160)[630, 630, 630], Hard Wings of Beast(222)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 675: HP: 1947, STR: 457627, VIT: 1038, SPD: 76, LUK: 1, Attack: 542452, Defense: 84901, Current HP: 1947, A Avg: 1442922, D Avg: 84901, [Kraken(145)[630, 630, 630], Small Sword(218)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 674: HP: 2703, STR: 457575, VIT: 2406, SPD: 76, LUK: 1, Attack: 542618, Defense: 89974, Current HP: 2703, A Avg: 1443363, D Avg: 89974, [White Snake(160)[630, 630, 630], Storm Wall(242)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 673: HP: 2356, STR: 457915, VIT: 1100, SPD: 76, LUK: 1, Attack: 542740, Defense: 84989, Current HP: 2356, A Avg: 1443688, D Avg: 84989, [Kraken(145)[630, 630, 630], Small Lion(219)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 672: HP: 4883, STR: 625402, VIT: 1816, SPD: 64, LUK: 1, Attack: 711215, Defense: 91594, Current HP: 4883, A Avg: 1443766, D Avg: 91594, [Spear of Regression(182)[630, 630, 630], Blank Shield(244)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 671: HP: 1026, STR: 625686, VIT: 1124, SPD: 64, LUK: 1, Attack: 711226, Defense: 85715, Current HP: 1026, A Avg: 1443788, D Avg: 85715, [Zodiac(184)[630, 630, 630], Black Hole(229)[630, 630, 630], Ring of power(314)[67, 68, 807]]
