Rank 1000: HP: 440, STR: 289436, VIT: 99, SPD: 16, LUK: 1, Attack: 374014, Defense: 84118, Current HP: 440, A Avg: 994877, D Avg: 84118, [Magical(187)[230, 230, 230], Prism Shield(212)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 775: HP: 551, STR: 290202, VIT: 206, SPD: 16, LUK: 1, Attack: 376080, Defense: 88034, Current HP: 551, A Avg: 1000372, D Avg: 88034, [God Hand(179)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 774: HP: 323, STR: 289080, VIT: 62, SPD: 16, LUK: 1, Attack: 376131, Defense: 84250, Current HP: 323, A Avg: 1000508, D Avg: 84250, [Tekken(188)[230, 230, 230], Dragon Sword(225)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 773: HP: 1470, STR: 405236, VIT: 697, SPD: 16, LUK: 1, Attack: 493064, Defense: 88122, Current HP: 1470, A Avg: 1000919, D Avg: 88122, [Stargazer(183)[230, 230, 230], Cloud Shield(241)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 772: HP: 532, STR: 289962, VIT: 179, SPD: 16, LUK: 1, Attack: 376308, Defense: 88007, Current HP: 532, A Avg: 1000979, D Avg: 88007, [Progress(147)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 771: HP: 342, STR: 289968, VIT: 177, SPD: 16, LUK: 1, Attack: 376496, Defense: 88005, Current HP: 342, A Avg: 1001479, D Avg: 88005, [Moon Knuckle(153)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 770: HP: 1463, STR: 407602, VIT: 616, SPD: 16, LUK: 1, Attack: 493415, Defense: 90394, Current HP: 1463, A Avg: 1001632, D Avg: 90394, [Spear of Regression(182)[230, 230, 230], Blank Shield(244)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 769: HP: 1558, STR: 408168, VIT: 596, SPD: 16, LUK: 1, Attack: 493981, Defense: 90374, Current HP: 1558, A Avg: 1002781, D Avg: 90374, [Spear of Regression(182)[230, 230, 230], Blank Shield(244)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 768: HP: 323, STR: 290097, VIT: 62, SPD: 16, LUK: 1, Attack: 377148, Defense: 87890, Current HP: 323, A Avg: 1003213, D Avg: 87890, [Tekken(188)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 767: HP: 1570, STR: 289458, VIT: 729, SPD: 16, LUK: 1, Attack: 377286, Defense: 88154, Current HP: 1570, A Avg: 1003580, D Avg: 88154, [Stargazer(183)[230, 230, 230], Cloud Shield(241)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 766: HP: 1470, STR: 289458, VIT: 713, SPD: 16, LUK: 1, Attack: 377286, Defense: 88138, Current HP: 1470, A Avg: 1003580, D Avg: 88138, [Stargazer(183)[230, 230, 230], Cloud Shield(241)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 765: HP: 1570, STR: 289458, VIT: 758, SPD: 16, LUK: 1, Attack: 377286, Defense: 88183, Current HP: 1570, A Avg: 1003580, D Avg: 88183, [Stargazer(183)[230, 230, 230], Cloud Shield(241)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 764: HP: 1570, STR: 289458, VIT: 729, SPD: 16, LUK: 1, Attack: 377286, Defense: 88154, Current HP: 1570, A Avg: 1003580, D Avg: 88154, [Stargazer(183)[230, 230, 230], Cloud Shield(241)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 763: HP: 1710, STR: 289483, VIT: 740, SPD: 16, LUK: 1, Attack: 377311, Defense: 88165, Current HP: 1710, A Avg: 1003647, D Avg: 88165, [Stargazer(183)[230, 230, 230], Cloud Shield(241)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 762: HP: 1470, STR: 289602, VIT: 777, SPD: 16, LUK: 1, Attack: 377430, Defense: 88202, Current HP: 1470, A Avg: 1003963, D Avg: 88202, [Stargazer(183)[230, 230, 230], Cloud Shield(241)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 761: HP: 1470, STR: 289602, VIT: 777, SPD: 16, LUK: 1, Attack: 377430, Defense: 88202, Current HP: 1470, A Avg: 1003963, D Avg: 88202, [Stargazer(183)[230, 230, 230], Cloud Shield(241)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 760: HP: 1650, STR: 289710, VIT: 841, SPD: 19, LUK: 1, Attack: 377538, Defense: 88266, Current HP: 1650, A Avg: 1004251, D Avg: 88266, [Stargazer(183)[230, 230, 230], Cloud Shield(241)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 759: HP: 480, STR: 290181, VIT: 73, SPD: 16, LUK: 1, Attack: 377842, Defense: 83796, Current HP: 480, A Avg: 1005059, D Avg: 83796, [Neural Edge(190)[230, 230, 230], Pot Lid(201)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 758: HP: 480, STR: 290181, VIT: 73, SPD: 16, LUK: 1, Attack: 377842, Defense: 83806, Current HP: 480, A Avg: 1005059, D Avg: 83806, [Neural Edge(190)[230, 230, 230], High Pot Lid(202)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 757: HP: 456, STR: 290181, VIT: 86, SPD: 16, LUK: 1, Attack: 377842, Defense: 83955, Current HP: 456, A Avg: 1005059, D Avg: 83955, [Neural Edge(190)[230, 230, 230], Wooden Shield(203)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 756: HP: 456, STR: 290181, VIT: 91, SPD: 16, LUK: 1, Attack: 377842, Defense: 83895, Current HP: 456, A Avg: 1005059, D Avg: 83895, [Neural Edge(190)[230, 230, 230], Iron Shield(204)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 755: HP: 456, STR: 290181, VIT: 93, SPD: 16, LUK: 1, Attack: 377842, Defense: 83956, Current HP: 456, A Avg: 1005059, D Avg: 83956, [Neural Edge(190)[230, 230, 230], Titanium Shield(205)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 754: HP: 456, STR: 290181, VIT: 110, SPD: 16, LUK: 1, Attack: 377842, Defense: 83999, Current HP: 456, A Avg: 1005059, D Avg: 83999, [Neural Edge(190)[230, 230, 230], Large iron Shield(206)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 753: HP: 480, STR: 290181, VIT: 110, SPD: 16, LUK: 1, Attack: 377842, Defense: 83986, Current HP: 480, A Avg: 1005059, D Avg: 83986, [Neural Edge(190)[230, 230, 230], Magic Shield(207)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 752: HP: 560, STR: 290181, VIT: 124, SPD: 16, LUK: 1, Attack: 377842, Defense: 83961, Current HP: 560, A Avg: 1005059, D Avg: 83961, [Neural Edge(190)[230, 230, 230], Emerald Shield(209)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 751: HP: 540, STR: 290181, VIT: 96, SPD: 16, LUK: 1, Attack: 377842, Defense: 83868, Current HP: 540, A Avg: 1005059, D Avg: 83868, [Neural Edge(190)[230, 230, 230], Clear Shield(211)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 750: HP: 580, STR: 290181, VIT: 110, SPD: 16, LUK: 1, Attack: 377842, Defense: 84129, Current HP: 580, A Avg: 1005059, D Avg: 84129, [Neural Edge(190)[230, 230, 230], Prism Shield(212)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 749: HP: 532, STR: 290181, VIT: 102, SPD: 16, LUK: 1, Attack: 377842, Defense: 84030, Current HP: 532, A Avg: 1005059, D Avg: 84030, [Neural Edge(190)[230, 230, 230], Tower Shield(213)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 748: HP: 706, STR: 290181, VIT: 161, SPD: 16, LUK: 1, Attack: 377842, Defense: 84723, Current HP: 706, A Avg: 1005059, D Avg: 84723, [Neural Edge(190)[230, 230, 230], Slime Shield(221)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 747: HP: 630, STR: 290181, VIT: 93, SPD: 16, LUK: 1, Attack: 377842, Defense: 84021, Current HP: 630, A Avg: 1005059, D Avg: 84021, [Neural Edge(190)[230, 230, 230], Hardwood Shield(223)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 746: HP: 480, STR: 290181, VIT: 414, SPD: 16, LUK: 1, Attack: 377842, Defense: 87202, Current HP: 480, A Avg: 1005059, D Avg: 87202, [Neural Edge(190)[230, 230, 230], Energy Shield(227)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 745: HP: 1662, STR: 290181, VIT: 78, SPD: 16, LUK: 1, Attack: 377842, Defense: 85995, Current HP: 1662, A Avg: 1005059, D Avg: 85995, [Neural Edge(190)[230, 230, 230], Frying Pan(231)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 744: HP: 864, STR: 290181, VIT: 192, SPD: 16, LUK: 1, Attack: 377842, Defense: 84926, Current HP: 864, A Avg: 1005059, D Avg: 84926, [Neural Edge(190)[230, 230, 230], Slafield(232)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 743: HP: 710, STR: 290181, VIT: 161, SPD: 16, LUK: 1, Attack: 377842, Defense: 85636, Current HP: 710, A Avg: 1005059, D Avg: 85636, [Neural Edge(190)[230, 230, 230], Mist Shield(233)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 742: HP: 646, STR: 290181, VIT: 231, SPD: 16, LUK: 1, Attack: 377842, Defense: 85199, Current HP: 646, A Avg: 1005059, D Avg: 85199, [Neural Edge(190)[230, 230, 230], Huge Shield(234)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 741: HP: 570, STR: 290181, VIT: 329, SPD: 16, LUK: 1, Attack: 377842, Defense: 87169, Current HP: 570, A Avg: 1005059, D Avg: 87169, [Neural Edge(190)[230, 230, 230], Aurora Shield(240)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 740: HP: 750, STR: 290181, VIT: 203, SPD: 16, LUK: 1, Attack: 377842, Defense: 87628, Current HP: 750, A Avg: 1005059, D Avg: 87628, [Neural Edge(190)[230, 230, 230], Cloud Shield(241)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 739: HP: 456, STR: 290181, VIT: 73, SPD: 16, LUK: 1, Attack: 377842, Defense: 86862, Current HP: 456, A Avg: 1005059, D Avg: 86862, [Neural Edge(190)[230, 230, 230], Graffiti(243)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 738: HP: 456, STR: 290181, VIT: 361, SPD: 16, LUK: 1, Attack: 377842, Defense: 90139, Current HP: 456, A Avg: 1005059, D Avg: 90139, [Neural Edge(190)[230, 230, 230], Blank Shield(244)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 737: HP: 931, STR: 290181, VIT: 630, SPD: 16, LUK: 1, Attack: 377842, Defense: 87418, Current HP: 931, A Avg: 1005059, D Avg: 87418, [Neural Edge(190)[230, 230, 230], Golem Shield(245)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 736: HP: 741, STR: 290181, VIT: 204, SPD: 17, LUK: 1, Attack: 377842, Defense: 86082, Current HP: 741, A Avg: 1005059, D Avg: 86082, [Neural Edge(190)[230, 230, 230], Sticky thread shield(247)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 735: HP: 889, STR: 290181, VIT: 255, SPD: 16, LUK: 1, Attack: 377842, Defense: 86471, Current HP: 889, A Avg: 1005059, D Avg: 86471, [Neural Edge(190)[230, 230, 230], King Shield(248)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 734: HP: 880, STR: 290181, VIT: 451, SPD: 16, LUK: 1, Attack: 377842, Defense: 87486, Current HP: 880, A Avg: 1005059, D Avg: 87486, [Neural Edge(190)[230, 230, 230], Warrior's Shield(249)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 733: HP: 480, STR: 290181, VIT: 246, SPD: 16, LUK: 1, Attack: 377842, Defense: 87294, Current HP: 480, A Avg: 1005059, D Avg: 87294, [Neural Edge(190)[230, 230, 230], Ghost shield(251)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 732: HP: 583, STR: 290217, VIT: 132, SPD: 16, LUK: 1, Attack: 377878, Defense: 84073, Current HP: 583, A Avg: 1005155, D Avg: 84073, [Neural Edge(190)[230, 230, 230], Dragon's Scales(215)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 731: HP: 456, STR: 290232, VIT: 110, SPD: 17, LUK: 1, Attack: 377893, Defense: 84135, Current HP: 456, A Avg: 1005195, D Avg: 84135, [Neural Edge(190)[230, 230, 230], Conductive Barrier(208)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 730: HP: 636, STR: 290250, VIT: 134, SPD: 16, LUK: 1, Attack: 377911, Defense: 84374, Current HP: 636, A Avg: 1005243, D Avg: 84374, [Neural Edge(190)[230, 230, 230], Dragon's Wings(216)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 729: HP: 596, STR: 290260, VIT: 166, SPD: 16, LUK: 1, Attack: 377921, Defense: 85784, Current HP: 596, A Avg: 1005269, D Avg: 85784, [Neural Edge(190)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 728: HP: 524, STR: 290264, VIT: 287, SPD: 16, LUK: 1, Attack: 377925, Defense: 85125, Current HP: 524, A Avg: 1005280, D Avg: 85125, [Neural Edge(190)[230, 230, 230], Bulletproof Shield(235)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 727: HP: 636, STR: 290300, VIT: 302, SPD: 16, LUK: 1, Attack: 377961, Defense: 87103, Current HP: 636, A Avg: 1005376, D Avg: 87103, [Neural Edge(190)[230, 230, 230], Riot(236)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 726: HP: 636, STR: 290300, VIT: 149, SPD: 16, LUK: 1, Attack: 377961, Defense: 85013, Current HP: 636, A Avg: 1005376, D Avg: 85013, [Neural Edge(190)[230, 230, 230], Dragon's Head(217)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 725: HP: 560, STR: 290300, VIT: 161, SPD: 17, LUK: 1, Attack: 377961, Defense: 84583, Current HP: 560, A Avg: 1005376, D Avg: 84583, [Neural Edge(190)[230, 230, 230], Superconducting Barrier(220)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 724: HP: 494, STR: 290376, VIT: 208, SPD: 16, LUK: 1, Attack: 378037, Defense: 84799, Current HP: 494, A Avg: 1005578, D Avg: 84799, [Neural Edge(190)[230, 230, 230], Black Hole(229)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 723: HP: 579, STR: 290376, VIT: 222, SPD: 16, LUK: 1, Attack: 378037, Defense: 87140, Current HP: 579, A Avg: 1005578, D Avg: 87140, [Neural Edge(190)[230, 230, 230], White Hole(230)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 722: HP: 1558, STR: 292258, VIT: 568, SPD: 16, LUK: 1, Attack: 378071, Defense: 90346, Current HP: 1558, A Avg: 1005668, D Avg: 90346, [Spear of Regression(182)[230, 230, 230], Blank Shield(244)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 721: HP: 1558, STR: 292258, VIT: 568, SPD: 16, LUK: 1, Attack: 378071, Defense: 90346, Current HP: 1558, A Avg: 1005668, D Avg: 90346, [Spear of Regression(182)[230, 230, 230], Blank Shield(244)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 720: HP: 1691, STR: 292284, VIT: 579, SPD: 16, LUK: 1, Attack: 378097, Defense: 90357, Current HP: 1691, A Avg: 1005738, D Avg: 90357, [Spear of Regression(182)[230, 230, 230], Blank Shield(244)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 719: HP: 900, STR: 290523, VIT: 256, SPD: 16, LUK: 1, Attack: 378184, Defense: 86368, Current HP: 900, A Avg: 1005969, D Avg: 86368, [Neural Edge(190)[230, 230, 230], Goblin Hand(250)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 718: HP: 1463, STR: 292402, VIT: 616, SPD: 16, LUK: 1, Attack: 378215, Defense: 90394, Current HP: 1463, A Avg: 1006051, D Avg: 90394, [Spear of Regression(182)[230, 230, 230], Blank Shield(244)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 717: HP: 1463, STR: 292402, VIT: 616, SPD: 16, LUK: 1, Attack: 378215, Defense: 90394, Current HP: 1463, A Avg: 1006051, D Avg: 90394, [Spear of Regression(182)[230, 230, 230], Blank Shield(244)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 716: HP: 836, STR: 290559, VIT: 409, SPD: 16, LUK: 1, Attack: 378220, Defense: 85403, Current HP: 836, A Avg: 1006065, D Avg: 85403, [Neural Edge(190)[230, 230, 230], Metalization(228)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 715: HP: 1634, STR: 292510, VIT: 680, SPD: 19, LUK: 1, Attack: 378323, Defense: 90458, Current HP: 1634, A Avg: 1006339, D Avg: 90458, [Spear of Regression(182)[230, 230, 230], Blank Shield(244)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 714: HP: 1463, STR: 292546, VIT: 536, SPD: 16, LUK: 1, Attack: 378359, Defense: 90314, Current HP: 1463, A Avg: 1006434, D Avg: 90314, [Spear of Regression(182)[230, 230, 230], Blank Shield(244)[230, 230, 67], Ring of power(314)[68, 803, 807]]
Rank 713: HP: 921, STR: 403678, VIT: 259, SPD: 16, LUK: 1, Attack: 495864, Defense: 87177, Current HP: 921, A Avg: 1006603, D Avg: 87177, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 712: HP: 456, STR: 291128, VIT: 73, SPD: 17, LUK: 1, Attack: 378789, Defense: 84209, Current HP: 456, A Avg: 1007578, D Avg: 84209, [Neural Edge(190)[230, 230, 230], Magnum(237)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 711: HP: 456, STR: 291520, VIT: 73, SPD: 17, LUK: 1, Attack: 379181, Defense: 84417, Current HP: 456, A Avg: 1008621, D Avg: 84417, [Neural Edge(190)[230, 230, 230], V Magnum(238)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 710: HP: 817, STR: 292107, VIT: 73, SPD: 17, LUK: 1, Attack: 379768, Defense: 86861, Current HP: 817, A Avg: 1010182, D Avg: 86861, [Neural Edge(190)[230, 230, 230], C Magnum(239)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 709: HP: 798, STR: 413840, VIT: 580, SPD: 16, LUK: 1, Attack: 497716, Defense: 88148, Current HP: 798, A Avg: 1010363, D Avg: 88148, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 708: HP: 798, STR: 413900, VIT: 580, SPD: 16, LUK: 1, Attack: 498049, Defense: 88148, Current HP: 798, A Avg: 1011039, D Avg: 88148, [Giant Tornado(114)[230, 230, 230], Storm Wall(242)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 707: HP: 342, STR: 448288, VIT: 99, SPD: 16, LUK: 1, Attack: 532411, Defense: 84105, Current HP: 342, A Avg: 1011580, D Avg: 84105, [Pinpoint(112)[230, 230, 230], Wings of Beast(210)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 706: HP: 323, STR: 448288, VIT: 782, SPD: 16, LUK: 1, Attack: 532411, Defense: 86452, Current HP: 323, A Avg: 1011580, D Avg: 86452, [Pinpoint(112)[230, 230, 230], Shield of Thousand(246)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 705: HP: 395, STR: 448364, VIT: 99, SPD: 16, LUK: 1, Attack: 532487, Defense: 84599, Current HP: 395, A Avg: 1011725, D Avg: 84599, [Pinpoint(112)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 704: HP: 342, STR: 448516, VIT: 84, SPD: 16, LUK: 1, Attack: 532639, Defense: 83947, Current HP: 342, A Avg: 1012014, D Avg: 83947, [Pinpoint(112)[230, 230, 230], Small Sword(218)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 703: HP: 893, STR: 296599, VIT: 612, SPD: 16, LUK: 1, Attack: 380475, Defense: 88180, Current HP: 893, A Avg: 1012063, D Avg: 88180, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 702: HP: 798, STR: 296599, VIT: 596, SPD: 16, LUK: 1, Attack: 380475, Defense: 88164, Current HP: 798, A Avg: 1012063, D Avg: 88164, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 701: HP: 893, STR: 296599, VIT: 641, SPD: 16, LUK: 1, Attack: 380475, Defense: 88209, Current HP: 893, A Avg: 1012063, D Avg: 88209, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 700: HP: 893, STR: 296599, VIT: 612, SPD: 16, LUK: 1, Attack: 380475, Defense: 88180, Current HP: 893, A Avg: 1012063, D Avg: 88180, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 699: HP: 431, STR: 448564, VIT: 107, SPD: 16, LUK: 1, Attack: 532687, Defense: 84113, Current HP: 431, A Avg: 1012105, D Avg: 84113, [Pinpoint(112)[230, 230, 230], Small Dragon Sword(224)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 698: HP: 1026, STR: 296625, VIT: 624, SPD: 16, LUK: 1, Attack: 380501, Defense: 88192, Current HP: 1026, A Avg: 1012132, D Avg: 88192, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 697: HP: 465, STR: 448588, VIT: 99, SPD: 16, LUK: 1, Attack: 532711, Defense: 83988, Current HP: 465, A Avg: 1012150, D Avg: 83988, [Pinpoint(112)[230, 230, 230], Small Lion(219)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 696: HP: 1016, STR: 288334, VIT: 211, SPD: 16, LUK: 1, Attack: 380520, Defense: 87129, Current HP: 1016, A Avg: 1012183, D Avg: 87129, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 695: HP: 921, STR: 288334, VIT: 195, SPD: 16, LUK: 1, Attack: 380520, Defense: 87113, Current HP: 921, A Avg: 1012183, D Avg: 87113, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 694: HP: 1016, STR: 288334, VIT: 240, SPD: 16, LUK: 1, Attack: 380520, Defense: 87158, Current HP: 1016, A Avg: 1012183, D Avg: 87158, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 693: HP: 1016, STR: 288334, VIT: 211, SPD: 16, LUK: 1, Attack: 380520, Defense: 87129, Current HP: 1016, A Avg: 1012183, D Avg: 87129, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 692: HP: 1149, STR: 288360, VIT: 222, SPD: 16, LUK: 1, Attack: 380546, Defense: 87140, Current HP: 1149, A Avg: 1012252, D Avg: 87140, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 691: HP: 893, STR: 448688, VIT: 598, SPD: 16, LUK: 1, Attack: 532811, Defense: 88166, Current HP: 893, A Avg: 1012340, D Avg: 88166, [Pinpoint(112)[230, 230, 230], Storm Wall(242)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 690: HP: 798, STR: 296747, VIT: 660, SPD: 16, LUK: 1, Attack: 380623, Defense: 88228, Current HP: 798, A Avg: 1012457, D Avg: 88228, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 689: HP: 798, STR: 296747, VIT: 660, SPD: 16, LUK: 1, Attack: 380623, Defense: 88228, Current HP: 798, A Avg: 1012457, D Avg: 88228, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 688: HP: 342, STR: 413978, VIT: 300, SPD: 16, LUK: 1, Attack: 498766, Defense: 84306, Current HP: 342, A Avg: 1012494, D Avg: 84306, [Pulse Knife(165)[230, 230, 230], Wings of Beast(210)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 687: HP: 323, STR: 413978, VIT: 984, SPD: 16, LUK: 1, Attack: 498766, Defense: 86654, Current HP: 323, A Avg: 1012494, D Avg: 86654, [Pulse Knife(165)[230, 230, 230], Shield of Thousand(246)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 686: HP: 921, STR: 288478, VIT: 259, SPD: 16, LUK: 1, Attack: 380664, Defense: 87177, Current HP: 921, A Avg: 1012566, D Avg: 87177, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 685: HP: 921, STR: 288478, VIT: 259, SPD: 16, LUK: 1, Attack: 380664, Defense: 87177, Current HP: 921, A Avg: 1012566, D Avg: 87177, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 684: HP: 541, STR: 296555, VIT: 262, SPD: 19, LUK: 1, Attack: 380665, Defense: 84268, Current HP: 541, A Avg: 1012568, D Avg: 84268, [Serpent(144)[230, 230, 230], Wings of Beast(210)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 683: HP: 522, STR: 296555, VIT: 945, SPD: 19, LUK: 1, Attack: 380665, Defense: 86615, Current HP: 522, A Avg: 1012568, D Avg: 86615, [Serpent(144)[230, 230, 230], Shield of Thousand(246)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 682: HP: 395, STR: 414059, VIT: 300, SPD: 16, LUK: 1, Attack: 498847, Defense: 84800, Current HP: 395, A Avg: 1012659, D Avg: 84800, [Pulse Knife(165)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 681: HP: 969, STR: 296858, VIT: 724, SPD: 19, LUK: 1, Attack: 380734, Defense: 88292, Current HP: 969, A Avg: 1012752, D Avg: 88292, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 680: HP: 594, STR: 296625, VIT: 262, SPD: 19, LUK: 1, Attack: 380735, Defense: 84762, Current HP: 594, A Avg: 1012755, D Avg: 84762, [Serpent(144)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 679: HP: 1092, STR: 288586, VIT: 323, SPD: 19, LUK: 1, Attack: 380772, Defense: 87241, Current HP: 1092, A Avg: 1012853, D Avg: 87241, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 678: HP: 323, STR: 448992, VIT: 62, SPD: 16, LUK: 1, Attack: 533115, Defense: 84250, Current HP: 323, A Avg: 1012918, D Avg: 84250, [Pinpoint(112)[230, 230, 230], Dragon Sword(225)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
