Rank 1000: HP: 1342, STR: 899, VIT: 925, SPD: 56, LUK: 1, Attack: 87950, Defense: 87843, Current HP: 1342, A Avg: 110817, D Avg: 87843, [Tekken(188)[0, 0, 0], White Hole(230)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 734: HP: 740, STR: 3493, VIT: 622, SPD: 59, LUK: 1, Attack: 89371, Defense: 87411, Current HP: 740, A Avg: 111713, D Avg: 87411, [Blue Sword(180)[0, 0, 0], Graffiti(243)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 733: HP: 740, STR: 3493, VIT: 1778, SPD: 59, LUK: 1, Attack: 89371, Defense: 91556, Current HP: 740, A Avg: 111713, D Avg: 91556, [Blue Sword(180)[0, 0, 0], Blank Shield(244)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 732: HP: 1240, STR: 3493, VIT: 2368, SPD: 59, LUK: 1, Attack: 89371, Defense: 89156, Current HP: 1240, A Avg: 111713, D Avg: 89156, [Blue Sword(180)[0, 0, 0], Golem Shield(245)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 731: HP: 1040, STR: 3493, VIT: 1101, SPD: 63, LUK: 1, Attack: 89371, Defense: 86979, Current HP: 1040, A Avg: 111713, D Avg: 86979, [Blue Sword(180)[0, 0, 0], Sticky thread shield(247)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 730: HP: 1796, STR: 3493, VIT: 1116, SPD: 59, LUK: 1, Attack: 89371, Defense: 87332, Current HP: 1796, A Avg: 111713, D Avg: 87332, [Blue Sword(180)[0, 0, 0], King Shield(248)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 729: HP: 1197, STR: 3493, VIT: 1193, SPD: 59, LUK: 1, Attack: 89371, Defense: 88228, Current HP: 1197, A Avg: 111713, D Avg: 88228, [Blue Sword(180)[0, 0, 0], Warrior's Shield(249)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 728: HP: 777, STR: 3493, VIT: 1315, SPD: 59, LUK: 1, Attack: 89371, Defense: 88363, Current HP: 777, A Avg: 111713, D Avg: 88363, [Blue Sword(180)[0, 0, 0], Ghost shield(251)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 727: HP: 5297, STR: 2849, VIT: 1032, SPD: 56, LUK: 1, Attack: 88662, Defense: 85532, Current HP: 5297, A Avg: 111714, D Avg: 85532, [Spear of Regression(182)[0, 0, 0], Hard Wings of Beast(222)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 726: HP: 2074, STR: 4410, VIT: 324, SPD: 59, LUK: 1, Attack: 89376, Defense: 87112, Current HP: 2074, A Avg: 111720, D Avg: 87112, [Red Shark(134)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 725: HP: 1900, STR: 4673, VIT: 771, SPD: 59, LUK: 1, Attack: 89381, Defense: 88599, Current HP: 1900, A Avg: 111726, D Avg: 88599, [Thin Blade(158)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 724: HP: 1306, STR: 2924, VIT: 504, SPD: 56, LUK: 1, Attack: 88672, Defense: 88332, Current HP: 1306, A Avg: 111726, D Avg: 88332, [Scythe of the Grim Reaper(148)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 723: HP: 1562, STR: 3141, VIT: 1497, SPD: 56, LUK: 1, Attack: 88681, Defense: 86725, Current HP: 1562, A Avg: 111738, D Avg: 86725, [Zodiac(184)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 722: HP: 1408, STR: 515, VIT: 457, SPD: 56, LUK: 1, Attack: 88682, Defense: 84346, Current HP: 1408, A Avg: 111739, D Avg: 84346, [Basic(169)[0, 0, 0], Small Lion(219)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 721: HP: 2070, STR: 516, VIT: 954, SPD: 56, LUK: 1, Attack: 88683, Defense: 87066, Current HP: 2070, A Avg: 111740, D Avg: 87066, [Basic(169)[0, 0, 0], Goblin Hand(250)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 720: HP: 1024, STR: 3520, VIT: 851, SPD: 59, LUK: 1, Attack: 89398, Defense: 84792, Current HP: 1024, A Avg: 111747, D Avg: 84792, [Blue Sword(180)[0, 0, 0], Dragon's Scales(215)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 719: HP: 1843, STR: 3046, VIT: 1214, SPD: 56, LUK: 1, Attack: 88690, Defense: 89042, Current HP: 1843, A Avg: 111749, D Avg: 89042, [Gladius(162)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 718: HP: 1408, STR: 532, VIT: 1142, SPD: 56, LUK: 1, Attack: 88699, Defense: 86136, Current HP: 1408, A Avg: 111760, D Avg: 86136, [Basic(169)[0, 0, 0], Metalization(228)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 717: HP: 1258, STR: 547, VIT: 470, SPD: 56, LUK: 1, Attack: 88714, Defense: 84476, Current HP: 1258, A Avg: 111779, D Avg: 84476, [Basic(169)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 716: HP: 1440, STR: 4810, VIT: 465, SPD: 59, LUK: 1, Attack: 89460, Defense: 88293, Current HP: 1440, A Avg: 111825, D Avg: 88293, [Diamond Knuckle(152)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 715: HP: 5148, STR: 2937, VIT: 1450, SPD: 56, LUK: 1, Attack: 88750, Defense: 86041, Current HP: 5148, A Avg: 111825, D Avg: 86041, [Spear of Regression(182)[0, 0, 0], Black Hole(229)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 714: HP: 5522, STR: 2937, VIT: 1539, SPD: 56, LUK: 1, Attack: 88750, Defense: 88457, Current HP: 5522, A Avg: 111825, D Avg: 88457, [Spear of Regression(182)[0, 0, 0], White Hole(230)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 713: HP: 1920, STR: 4127, VIT: 1213, SPD: 59, LUK: 1, Attack: 89461, Defense: 86441, Current HP: 1920, A Avg: 111826, D Avg: 86441, [Impulse(166)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 712: HP: 1606, STR: 2264, VIT: 1970, SPD: 56, LUK: 1, Attack: 88753, Defense: 87198, Current HP: 1606, A Avg: 111828, D Avg: 87198, [Cuttlefish(178)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 711: HP: 1584, STR: 2512, VIT: 228, SPD: 56, LUK: 1, Attack: 88754, Defense: 88056, Current HP: 1584, A Avg: 111830, D Avg: 88056, [Droid Hammer(177)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 710: HP: 5764, STR: 2944, VIT: 2688, SPD: 56, LUK: 1, Attack: 88757, Defense: 90256, Current HP: 5764, A Avg: 111833, D Avg: 90256, [Spear of Regression(182)[0, 0, 0], Storm Wall(242)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 709: HP: 740, STR: 3599, VIT: 746, SPD: 63, LUK: 1, Attack: 89477, Defense: 84771, Current HP: 740, A Avg: 111846, D Avg: 84771, [Blue Sword(180)[0, 0, 0], Conductive Barrier(208)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 708: HP: 2112, STR: 3228, VIT: 1112, SPD: 59, LUK: 1, Attack: 88768, Defense: 87900, Current HP: 2112, A Avg: 111847, D Avg: 87900, [Zodiac(184)[0, 0, 0], C Magnum(239)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 707: HP: 1620, STR: 3839, VIT: 1315, SPD: 63, LUK: 1, Attack: 89483, Defense: 88103, Current HP: 1620, A Avg: 111853, D Avg: 88103, [Portal Sword(176)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 706: HP: 1160, STR: 4673, VIT: 408, SPD: 59, LUK: 1, Attack: 89485, Defense: 88236, Current HP: 1160, A Avg: 111856, D Avg: 88236, [Granada(150)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 705: HP: 6394, STR: 2963, VIT: 1528, SPD: 56, LUK: 1, Attack: 88776, Defense: 87640, Current HP: 6394, A Avg: 111857, D Avg: 87640, [Spear of Regression(182)[0, 0, 0], Goblin Hand(250)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 704: HP: 1342, STR: 2808, VIT: 595, SPD: 56, LUK: 1, Attack: 88777, Defense: 88423, Current HP: 1342, A Avg: 111859, D Avg: 88423, [Fire Chariot(138)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 703: HP: 1180, STR: 3612, VIT: 853, SPD: 59, LUK: 1, Attack: 89490, Defense: 85093, Current HP: 1180, A Avg: 111862, D Avg: 85093, [Blue Sword(180)[0, 0, 0], Dragon's Wings(216)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 702: HP: 1584, STR: 4290, VIT: 1247, SPD: 56, LUK: 1, Attack: 88790, Defense: 89075, Current HP: 1584, A Avg: 111875, D Avg: 89075, [Divine Dragon Sword(181)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 701: HP: 760, STR: 3623, VIT: 746, SPD: 59, LUK: 1, Attack: 89501, Defense: 84752, Current HP: 760, A Avg: 111876, D Avg: 84752, [Blue Sword(180)[0, 0, 0], Wings of Beast(210)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 700: HP: 740, STR: 3623, VIT: 3512, SPD: 59, LUK: 1, Attack: 89501, Defense: 89182, Current HP: 740, A Avg: 111876, D Avg: 89182, [Blue Sword(180)[0, 0, 0], Shield of Thousand(246)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 699: HP: 5544, STR: 2979, VIT: 1738, SPD: 56, LUK: 1, Attack: 88792, Defense: 86732, Current HP: 5544, A Avg: 111877, D Avg: 86732, [Spear of Regression(182)[0, 0, 0], Metalization(228)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 698: HP: 5126, STR: 2998, VIT: 943, SPD: 56, LUK: 1, Attack: 88811, Defense: 84806, Current HP: 5126, A Avg: 111901, D Avg: 84806, [Spear of Regression(182)[0, 0, 0], Small Sword(218)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 697: HP: 980, STR: 3661, VIT: 737, SPD: 63, LUK: 1, Attack: 89539, Defense: 85081, Current HP: 980, A Avg: 111923, D Avg: 85081, [God Hand(179)[0, 0, 0], V Magnum(238)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 696: HP: 980, STR: 3668, VIT: 737, SPD: 59, LUK: 1, Attack: 89546, Defense: 84925, Current HP: 980, A Avg: 111932, D Avg: 84925, [God Hand(179)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 695: HP: 924, STR: 2960, VIT: 935, SPD: 59, LUK: 1, Attack: 88838, Defense: 85279, Current HP: 924, A Avg: 111935, D Avg: 85279, [Blue Sword(180)[0, 0, 0], V Magnum(238)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 694: HP: 924, STR: 3206, VIT: 1996, SPD: 56, LUK: 1, Attack: 88850, Defense: 89824, Current HP: 924, A Avg: 111951, D Avg: 89824, [Portal Sword(176)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 693: HP: 1213, STR: 3688, VIT: 975, SPD: 59, LUK: 1, Attack: 89566, Defense: 86593, Current HP: 1213, A Avg: 111957, D Avg: 86593, [Blue Sword(180)[0, 0, 0], Mask of the Grim Reaper(214)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 692: HP: 1012, STR: 3690, VIT: 1195, SPD: 59, LUK: 1, Attack: 89568, Defense: 86033, Current HP: 1012, A Avg: 111960, D Avg: 86033, [Blue Sword(180)[0, 0, 0], Bulletproof Shield(235)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 691: HP: 740, STR: 2520, VIT: 159, SPD: 59, LUK: 1, Attack: 89571, Defense: 84347, Current HP: 740, A Avg: 111963, D Avg: 84347, [Tekken(188)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 690: HP: 2780, STR: 3736, VIT: 788, SPD: 63, LUK: 1, Attack: 89588, Defense: 87576, Current HP: 2780, A Avg: 111985, D Avg: 87576, [Santoku(159)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 689: HP: 1180, STR: 3717, VIT: 914, SPD: 59, LUK: 1, Attack: 89595, Defense: 85778, Current HP: 1180, A Avg: 111993, D Avg: 85778, [Blue Sword(180)[0, 0, 0], Dragon's Head(217)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 688: HP: 1100, STR: 3717, VIT: 928, SPD: 63, LUK: 1, Attack: 89595, Defense: 85350, Current HP: 1100, A Avg: 111993, D Avg: 85350, [Blue Sword(180)[0, 0, 0], Superconducting Barrier(220)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 687: HP: 2156, STR: 2403, VIT: 1585, SPD: 59, LUK: 1, Attack: 88892, Defense: 88373, Current HP: 2156, A Avg: 112003, D Avg: 88373, [Cuttlefish(178)[0, 0, 0], C Magnum(239)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 686: HP: 740, STR: 2554, VIT: 159, SPD: 63, LUK: 1, Attack: 89605, Defense: 84503, Current HP: 740, A Avg: 112006, D Avg: 84503, [Tekken(188)[0, 0, 0], V Magnum(238)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 685: HP: 1100, STR: 4790, VIT: 408, SPD: 59, LUK: 1, Attack: 89615, Defense: 88236, Current HP: 1100, A Avg: 112018, D Avg: 88236, [Kraken(145)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 684: HP: 916, STR: 3746, VIT: 746, SPD: 59, LUK: 1, Attack: 89624, Defense: 85246, Current HP: 916, A Avg: 112030, D Avg: 85246, [Blue Sword(180)[0, 0, 0], Hard Wings of Beast(222)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 683: HP: 1804, STR: 3583, VIT: 1455, SPD: 56, LUK: 1, Attack: 88917, Defense: 89283, Current HP: 1804, A Avg: 112035, D Avg: 89283, [Impulse(166)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 682: HP: 5544, STR: 3114, VIT: 1032, SPD: 56, LUK: 1, Attack: 88927, Defense: 84921, Current HP: 5544, A Avg: 112048, D Avg: 84921, [Spear of Regression(182)[0, 0, 0], Small Lion(219)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 681: HP: 924, STR: 3066, VIT: 935, SPD: 56, LUK: 1, Attack: 88944, Defense: 85123, Current HP: 924, A Avg: 112069, D Avg: 85123, [Blue Sword(180)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 680: HP: 1180, STR: 3785, VIT: 1256, SPD: 59, LUK: 1, Attack: 89663, Defense: 88057, Current HP: 1180, A Avg: 112078, D Avg: 88057, [Blue Sword(180)[0, 0, 0], Riot(236)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 679: HP: 980, STR: 3175, VIT: 1047, SPD: 59, LUK: 1, Attack: 89664, Defense: 85235, Current HP: 980, A Avg: 112080, D Avg: 85235, [Cuttlefish(178)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 678: HP: 780, STR: 1503, VIT: 185, SPD: 63, LUK: 1, Attack: 89670, Defense: 84321, Current HP: 780, A Avg: 112087, D Avg: 84321, [Basic(169)[0, 0, 0], Magnum(237)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 677: HP: 5394, STR: 3146, VIT: 1045, SPD: 56, LUK: 1, Attack: 88959, Defense: 85051, Current HP: 5394, A Avg: 112088, D Avg: 85051, [Spear of Regression(182)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 676: HP: 980, STR: 3186, VIT: 1047, SPD: 63, LUK: 1, Attack: 89675, Defense: 85391, Current HP: 980, A Avg: 112093, D Avg: 85391, [Cuttlefish(178)[0, 0, 0], V Magnum(238)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 675: HP: 1840, STR: 3343, VIT: 833, SPD: 59, LUK: 1, Attack: 89689, Defense: 86061, Current HP: 1840, A Avg: 112111, D Avg: 86061, [Progress(147)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 674: HP: 2200, STR: 3141, VIT: 1190, SPD: 56, LUK: 1, Attack: 88993, Defense: 89018, Current HP: 2200, A Avg: 112131, D Avg: 89018, [Santoku(159)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 673: HP: 740, STR: 5135, VIT: 159, SPD: 63, LUK: 1, Attack: 89713, Defense: 84295, Current HP: 740, A Avg: 112141, D Avg: 84295, [Magical(187)[0, 0, 0], Magnum(237)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 672: HP: 924, STR: 4093, VIT: 228, SPD: 56, LUK: 1, Attack: 89022, Defense: 88056, Current HP: 924, A Avg: 112167, D Avg: 88056, [Jack Knife(185)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 671: HP: 1140, STR: 3208, VIT: 873, SPD: 59, LUK: 1, Attack: 89736, Defense: 86101, Current HP: 1140, A Avg: 112170, D Avg: 86101, [Moon Knuckle(153)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 670: HP: 1304, STR: 4774, VIT: 345, SPD: 59, LUK: 1, Attack: 89740, Defense: 88173, Current HP: 1304, A Avg: 112175, D Avg: 88173, [Red Shark(134)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 669: HP: 968, STR: 865, VIT: 267, SPD: 59, LUK: 1, Attack: 89032, Defense: 84403, Current HP: 968, A Avg: 112180, D Avg: 84403, [Basic(169)[0, 0, 0], Magnum(237)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 668: HP: 940, STR: 4217, VIT: 737, SPD: 63, LUK: 1, Attack: 89757, Defense: 84873, Current HP: 940, A Avg: 112196, D Avg: 84873, [Zodiac(184)[0, 0, 0], Magnum(237)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 667: HP: 2420, STR: 4438, VIT: 962, SPD: 63, LUK: 1, Attack: 89772, Defense: 87750, Current HP: 2420, A Avg: 112215, D Avg: 87750, [Impulse(166)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 666: HP: 1340, STR: 3903, VIT: 1829, SPD: 59, LUK: 1, Attack: 89781, Defense: 89397, Current HP: 1340, A Avg: 112226, D Avg: 89397, [Blue Sword(180)[0, 0, 0], Storm Wall(242)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 665: HP: 1892, STR: 2028, VIT: 228, SPD: 59, LUK: 1, Attack: 89079, Defense: 87016, Current HP: 1892, A Avg: 112239, D Avg: 87016, [Tekken(188)[0, 0, 0], C Magnum(239)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 664: HP: 1720, STR: 5292, VIT: 1077, SPD: 59, LUK: 1, Attack: 89792, Defense: 86305, Current HP: 1720, A Avg: 112240, D Avg: 86305, [Divine Dragon Sword(181)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 663: HP: 5104, STR: 3312, VIT: 842, SPD: 59, LUK: 1, Attack: 89125, Defense: 84978, Current HP: 5104, A Avg: 112297, D Avg: 84978, [Spear of Regression(182)[0, 0, 0], Magnum(237)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 662: HP: 840, STR: 5270, VIT: 267, SPD: 56, LUK: 1, Attack: 89848, Defense: 84286, Current HP: 840, A Avg: 112310, D Avg: 84286, [Magical(187)[0, 0, 0], Prism Shield(212)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 661: HP: 1100, STR: 5124, VIT: 367, SPD: 59, LUK: 1, Attack: 89858, Defense: 88195, Current HP: 1100, A Avg: 112322, D Avg: 88195, [Irruption(154)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 660: HP: 760, STR: 3992, VIT: 688, SPD: 59, LUK: 1, Attack: 89870, Defense: 84551, Current HP: 760, A Avg: 112337, D Avg: 84551, [Blue Sword(180)[0, 0, 0], Small Sword(218)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 659: HP: 1120, STR: 4967, VIT: 411, SPD: 59, LUK: 1, Attack: 89896, Defense: 85639, Current HP: 1120, A Avg: 112370, D Avg: 85639, [Jack Knife(185)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 658: HP: 1296, STR: 4869, VIT: 576, SPD: 59, LUK: 1, Attack: 89912, Defense: 88404, Current HP: 1296, A Avg: 112390, D Avg: 88404, [White Snake(160)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 657: HP: 740, STR: 5258, VIT: 159, SPD: 59, LUK: 1, Attack: 89914, Defense: 87987, Current HP: 740, A Avg: 112392, D Avg: 87987, [Penetra(161)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 656: HP: 1867, STR: 3322, VIT: 1518, SPD: 56, LUK: 1, Attack: 89200, Defense: 86252, Current HP: 1867, A Avg: 112392, D Avg: 86252, [Blue Sword(180)[0, 0, 0], Slafield(232)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 655: HP: 780, STR: 4044, VIT: 1020, SPD: 59, LUK: 1, Attack: 89922, Defense: 85611, Current HP: 780, A Avg: 112402, D Avg: 85611, [Blue Sword(180)[0, 0, 0], Black Hole(229)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 654: HP: 1120, STR: 4044, VIT: 1077, SPD: 59, LUK: 1, Attack: 89922, Defense: 87995, Current HP: 1120, A Avg: 112402, D Avg: 87995, [Blue Sword(180)[0, 0, 0], White Hole(230)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 653: HP: 968, STR: 1069, VIT: 267, SPD: 56, LUK: 1, Attack: 89236, Defense: 84455, Current HP: 968, A Avg: 112437, D Avg: 84455, [Basic(169)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 652: HP: 968, STR: 1080, VIT: 267, SPD: 59, LUK: 1, Attack: 89247, Defense: 84611, Current HP: 968, A Avg: 112451, D Avg: 84611, [Basic(169)[0, 0, 0], V Magnum(238)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 651: HP: 1743, STR: 4087, VIT: 1071, SPD: 59, LUK: 1, Attack: 89965, Defense: 87183, Current HP: 1743, A Avg: 112456, D Avg: 87183, [Blue Sword(180)[0, 0, 0], Goblin Hand(250)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 650: HP: 780, STR: 1806, VIT: 185, SPD: 59, LUK: 1, Attack: 89973, Defense: 84373, Current HP: 780, A Avg: 112466, D Avg: 84373, [Basic(169)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 649: HP: 1440, STR: 4877, VIT: 408, SPD: 59, LUK: 1, Attack: 89975, Defense: 88236, Current HP: 1440, A Avg: 112468, D Avg: 88236, [Yggdrasil(126)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 648: HP: 1140, STR: 4114, VIT: 1234, SPD: 59, LUK: 1, Attack: 89992, Defense: 86228, Current HP: 1140, A Avg: 112490, D Avg: 86228, [Blue Sword(180)[0, 0, 0], Metalization(228)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 647: HP: 740, STR: 5168, VIT: 469, SPD: 59, LUK: 1, Attack: 90006, Defense: 88297, Current HP: 740, A Avg: 112507, D Avg: 88297, [Classic(168)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 646: HP: 1342, STR: 3430, VIT: 1320, SPD: 56, LUK: 1, Attack: 89308, Defense: 86548, Current HP: 1342, A Avg: 112528, D Avg: 86548, [Blue Sword(180)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 645: HP: 2340, STR: 3682, VIT: 581, SPD: 63, LUK: 1, Attack: 90028, Defense: 87369, Current HP: 2340, A Avg: 112535, D Avg: 87369, [Progress(147)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 644: HP: 780, STR: 1865, VIT: 185, SPD: 63, LUK: 1, Attack: 90032, Defense: 84529, Current HP: 780, A Avg: 112540, D Avg: 84529, [Basic(169)[0, 0, 0], V Magnum(238)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 643: HP: 5104, STR: 3526, VIT: 842, SPD: 59, LUK: 1, Attack: 89339, Defense: 85186, Current HP: 5104, A Avg: 112567, D Avg: 85186, [Spear of Regression(182)[0, 0, 0], V Magnum(238)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 642: HP: 1880, STR: 5135, VIT: 506, SPD: 59, LUK: 1, Attack: 90058, Defense: 88334, Current HP: 1880, A Avg: 112572, D Avg: 88334, [Pangaea(164)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 641: HP: 1140, STR: 4183, VIT: 746, SPD: 59, LUK: 1, Attack: 90061, Defense: 84635, Current HP: 1140, A Avg: 112576, D Avg: 84635, [Blue Sword(180)[0, 0, 0], Small Lion(219)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 640: HP: 2220, STR: 5562, VIT: 826, SPD: 63, LUK: 1, Attack: 90062, Defense: 87614, Current HP: 2220, A Avg: 112577, D Avg: 87614, [Divine Dragon Sword(181)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 639: HP: 1100, STR: 4592, VIT: 465, SPD: 59, LUK: 1, Attack: 90067, Defense: 88293, Current HP: 1100, A Avg: 112583, D Avg: 88293, [Elemental(121)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 638: HP: 740, STR: 5497, VIT: 159, SPD: 63, LUK: 1, Attack: 90075, Defense: 84503, Current HP: 740, A Avg: 112593, D Avg: 84503, [Magical(187)[0, 0, 0], V Magnum(238)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
