Rank 1000: HP: 1064, STR: 288928, VIT: 539, SPD: 42, LUK: 1, Attack: 374897, Defense: 86417, Current HP: 1064, A Avg: 997226, D Avg: 86417, [Fire Chariot(138)[230, 230, 230], Sticky thread shield(247)[230, 230, 67], Ring of power(314)[68, 803, 807]]
Rank 760: HP: 2820, STR: 290952, VIT: 1593, SPD: 40, LUK: 1, Attack: 378780, Defense: 89018, Current HP: 2820, A Avg: 1007554, D Avg: 89018, [Stargazer(183)[230, 230, 230], Cloud Shield(241)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 759: HP: 2820, STR: 290952, VIT: 1593, SPD: 40, LUK: 1, Attack: 378780, Defense: 89018, Current HP: 2820, A Avg: 1007554, D Avg: 89018, [Stargazer(183)[230, 230, 230], Cloud Shield(241)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 758: HP: 3060, STR: 290995, VIT: 1628, SPD: 40, LUK: 1, Attack: 378823, Defense: 89053, Current HP: 3060, A Avg: 1007669, D Avg: 89053, [Stargazer(183)[230, 230, 230], Cloud Shield(241)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 757: HP: 3268, STR: 293176, VIT: 1168, SPD: 40, LUK: 1, Attack: 378989, Defense: 90946, Current HP: 3268, A Avg: 1008110, D Avg: 90946, [Spear of Regression(182)[230, 230, 230], Blank Shield(244)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 756: HP: 3268, STR: 293176, VIT: 1168, SPD: 40, LUK: 1, Attack: 378989, Defense: 90946, Current HP: 3268, A Avg: 1008110, D Avg: 90946, [Spear of Regression(182)[230, 230, 230], Blank Shield(244)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 755: HP: 608, STR: 291942, VIT: 86, SPD: 40, LUK: 1, Attack: 378993, Defense: 87914, Current HP: 608, A Avg: 1008121, D Avg: 87914, [Tekken(188)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 754: HP: 3173, STR: 293320, VIT: 1216, SPD: 40, LUK: 1, Attack: 379133, Defense: 90994, Current HP: 3173, A Avg: 1008493, D Avg: 90994, [Spear of Regression(182)[230, 230, 230], Blank Shield(244)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 753: HP: 3173, STR: 293320, VIT: 1216, SPD: 40, LUK: 1, Attack: 379133, Defense: 90994, Current HP: 3173, A Avg: 1008493, D Avg: 90994, [Spear of Regression(182)[230, 230, 230], Blank Shield(244)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 752: HP: 3401, STR: 293364, VIT: 1251, SPD: 40, LUK: 1, Attack: 379177, Defense: 91029, Current HP: 3401, A Avg: 1008610, D Avg: 91029, [Spear of Regression(182)[230, 230, 230], Blank Shield(244)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 751: HP: 3173, STR: 293464, VIT: 1136, SPD: 40, LUK: 1, Attack: 379277, Defense: 90914, Current HP: 3173, A Avg: 1008876, D Avg: 90914, [Spear of Regression(182)[230, 230, 230], Blank Shield(244)[230, 230, 67], Ring of power(314)[68, 803, 807]]
Rank 750: HP: 3300, STR: 291600, VIT: 1897, SPD: 47, LUK: 1, Attack: 379428, Defense: 89322, Current HP: 3300, A Avg: 1009278, D Avg: 89322, [Stargazer(183)[230, 230, 230], Cloud Shield(241)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 749: HP: 3629, STR: 293968, VIT: 1520, SPD: 47, LUK: 1, Attack: 379781, Defense: 91298, Current HP: 3629, A Avg: 1010217, D Avg: 91298, [Spear of Regression(182)[230, 230, 230], Blank Shield(244)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 748: HP: 1083, STR: 414034, VIT: 988, SPD: 40, LUK: 1, Attack: 497910, Defense: 88556, Current HP: 1083, A Avg: 1010757, D Avg: 88556, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 747: HP: 780, STR: 292557, VIT: 169, SPD: 40, LUK: 1, Attack: 380218, Defense: 83892, Current HP: 780, A Avg: 1011379, D Avg: 83892, [Neural Edge(190)[230, 230, 230], Pot Lid(201)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 746: HP: 780, STR: 292557, VIT: 169, SPD: 40, LUK: 1, Attack: 380218, Defense: 83902, Current HP: 780, A Avg: 1011379, D Avg: 83902, [Neural Edge(190)[230, 230, 230], High Pot Lid(202)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 745: HP: 741, STR: 292557, VIT: 188, SPD: 40, LUK: 1, Attack: 380218, Defense: 84057, Current HP: 741, A Avg: 1011379, D Avg: 84057, [Neural Edge(190)[230, 230, 230], Wooden Shield(203)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 744: HP: 741, STR: 292557, VIT: 193, SPD: 40, LUK: 1, Attack: 380218, Defense: 83997, Current HP: 741, A Avg: 1011379, D Avg: 83997, [Neural Edge(190)[230, 230, 230], Iron Shield(204)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 743: HP: 741, STR: 292557, VIT: 221, SPD: 40, LUK: 1, Attack: 380218, Defense: 84084, Current HP: 741, A Avg: 1011379, D Avg: 84084, [Neural Edge(190)[230, 230, 230], Titanium Shield(205)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 742: HP: 741, STR: 292557, VIT: 238, SPD: 40, LUK: 1, Attack: 380218, Defense: 84127, Current HP: 741, A Avg: 1011379, D Avg: 84127, [Neural Edge(190)[230, 230, 230], Large iron Shield(206)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 741: HP: 780, STR: 292557, VIT: 254, SPD: 40, LUK: 1, Attack: 380218, Defense: 84130, Current HP: 780, A Avg: 1011379, D Avg: 84130, [Neural Edge(190)[230, 230, 230], Magic Shield(207)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 740: HP: 988, STR: 292557, VIT: 302, SPD: 40, LUK: 1, Attack: 380218, Defense: 84139, Current HP: 988, A Avg: 1011379, D Avg: 84139, [Neural Edge(190)[230, 230, 230], Emerald Shield(209)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 739: HP: 840, STR: 292557, VIT: 216, SPD: 40, LUK: 1, Attack: 380218, Defense: 83988, Current HP: 840, A Avg: 1011379, D Avg: 83988, [Neural Edge(190)[230, 230, 230], Clear Shield(211)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 738: HP: 880, STR: 292557, VIT: 254, SPD: 40, LUK: 1, Attack: 380218, Defense: 84273, Current HP: 880, A Avg: 1011379, D Avg: 84273, [Neural Edge(190)[230, 230, 230], Prism Shield(212)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 737: HP: 817, STR: 292557, VIT: 229, SPD: 40, LUK: 1, Attack: 380218, Defense: 84157, Current HP: 817, A Avg: 1011379, D Avg: 84157, [Neural Edge(190)[230, 230, 230], Tower Shield(213)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 736: HP: 1216, STR: 292557, VIT: 377, SPD: 40, LUK: 1, Attack: 380218, Defense: 84939, Current HP: 1216, A Avg: 1011379, D Avg: 84939, [Neural Edge(190)[230, 230, 230], Slime Shield(221)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 735: HP: 1143, STR: 292557, VIT: 221, SPD: 40, LUK: 1, Attack: 380218, Defense: 84149, Current HP: 1143, A Avg: 1011379, D Avg: 84149, [Neural Edge(190)[230, 230, 230], Hardwood Shield(223)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 734: HP: 780, STR: 292557, VIT: 678, SPD: 40, LUK: 1, Attack: 380218, Defense: 87466, Current HP: 780, A Avg: 1011379, D Avg: 87466, [Neural Edge(190)[230, 230, 230], Energy Shield(227)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 733: HP: 2375, STR: 292557, VIT: 180, SPD: 40, LUK: 1, Attack: 380218, Defense: 86097, Current HP: 2375, A Avg: 1011379, D Avg: 86097, [Neural Edge(190)[230, 230, 230], Frying Pan(231)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 732: HP: 1404, STR: 292557, VIT: 432, SPD: 40, LUK: 1, Attack: 380218, Defense: 85166, Current HP: 1404, A Avg: 1011379, D Avg: 85166, [Neural Edge(190)[230, 230, 230], Slafield(232)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 731: HP: 1160, STR: 292557, VIT: 377, SPD: 40, LUK: 1, Attack: 380218, Defense: 85852, Current HP: 1160, A Avg: 1011379, D Avg: 85852, [Neural Edge(190)[230, 230, 230], Mist Shield(233)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 730: HP: 931, STR: 292557, VIT: 588, SPD: 40, LUK: 1, Attack: 380218, Defense: 85556, Current HP: 931, A Avg: 1011379, D Avg: 85556, [Neural Edge(190)[230, 230, 230], Huge Shield(234)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 729: HP: 855, STR: 292557, VIT: 665, SPD: 40, LUK: 1, Attack: 380218, Defense: 87505, Current HP: 855, A Avg: 1011379, D Avg: 87505, [Neural Edge(190)[230, 230, 230], Aurora Shield(240)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 728: HP: 1500, STR: 292557, VIT: 515, SPD: 40, LUK: 1, Attack: 380218, Defense: 87940, Current HP: 1500, A Avg: 1011379, D Avg: 87940, [Neural Edge(190)[230, 230, 230], Cloud Shield(241)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 727: HP: 741, STR: 292557, VIT: 169, SPD: 40, LUK: 1, Attack: 380218, Defense: 86958, Current HP: 741, A Avg: 1011379, D Avg: 86958, [Neural Edge(190)[230, 230, 230], Graffiti(243)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 726: HP: 741, STR: 292557, VIT: 937, SPD: 40, LUK: 1, Attack: 380218, Defense: 90715, Current HP: 741, A Avg: 1011379, D Avg: 90715, [Neural Edge(190)[230, 230, 230], Blank Shield(244)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 725: HP: 1216, STR: 292557, VIT: 1370, SPD: 40, LUK: 1, Attack: 380218, Defense: 88158, Current HP: 1216, A Avg: 1011379, D Avg: 88158, [Neural Edge(190)[230, 230, 230], Golem Shield(245)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 724: HP: 1026, STR: 292557, VIT: 492, SPD: 42, LUK: 1, Attack: 380218, Defense: 86370, Current HP: 1026, A Avg: 1011379, D Avg: 86370, [Neural Edge(190)[230, 230, 230], Sticky thread shield(247)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 723: HP: 1516, STR: 292557, VIT: 510, SPD: 40, LUK: 1, Attack: 380218, Defense: 86726, Current HP: 1516, A Avg: 1011379, D Avg: 86726, [Neural Edge(190)[230, 230, 230], King Shield(248)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 722: HP: 1180, STR: 292557, VIT: 643, SPD: 40, LUK: 1, Attack: 380218, Defense: 87678, Current HP: 1180, A Avg: 1011379, D Avg: 87678, [Neural Edge(190)[230, 230, 230], Warrior's Shield(249)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 721: HP: 780, STR: 292557, VIT: 630, SPD: 40, LUK: 1, Attack: 380218, Defense: 87678, Current HP: 780, A Avg: 1011379, D Avg: 87678, [Neural Edge(190)[230, 230, 230], Ghost shield(251)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 720: HP: 953, STR: 292593, VIT: 311, SPD: 40, LUK: 1, Attack: 380254, Defense: 84252, Current HP: 953, A Avg: 1011475, D Avg: 84252, [Neural Edge(190)[230, 230, 230], Dragon's Scales(215)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 719: HP: 1083, STR: 414158, VIT: 988, SPD: 40, LUK: 1, Attack: 498307, Defense: 88556, Current HP: 1083, A Avg: 1011563, D Avg: 88556, [Giant Tornado(114)[230, 230, 230], Storm Wall(242)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 718: HP: 741, STR: 292662, VIT: 254, SPD: 42, LUK: 1, Attack: 380323, Defense: 84279, Current HP: 741, A Avg: 1011659, D Avg: 84279, [Neural Edge(190)[230, 230, 230], Conductive Barrier(208)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 717: HP: 1064, STR: 292680, VIT: 312, SPD: 40, LUK: 1, Attack: 380341, Defense: 84552, Current HP: 1064, A Avg: 1011707, D Avg: 84552, [Neural Edge(190)[230, 230, 230], Dragon's Wings(216)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 716: HP: 1076, STR: 292744, VIT: 406, SPD: 40, LUK: 1, Attack: 380405, Defense: 86024, Current HP: 1076, A Avg: 1011877, D Avg: 86024, [Neural Edge(190)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 715: HP: 923, STR: 292748, VIT: 567, SPD: 40, LUK: 1, Attack: 380409, Defense: 85405, Current HP: 923, A Avg: 1011887, D Avg: 85405, [Neural Edge(190)[230, 230, 230], Bulletproof Shield(235)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 714: HP: 627, STR: 448468, VIT: 171, SPD: 40, LUK: 1, Attack: 532591, Defense: 84177, Current HP: 627, A Avg: 1011922, D Avg: 84177, [Pinpoint(112)[230, 230, 230], Wings of Beast(210)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 713: HP: 608, STR: 448468, VIT: 2006, SPD: 40, LUK: 1, Attack: 532591, Defense: 87676, Current HP: 608, A Avg: 1011922, D Avg: 87676, [Pinpoint(112)[230, 230, 230], Shield of Thousand(246)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 712: HP: 1064, STR: 292784, VIT: 353, SPD: 40, LUK: 1, Attack: 380445, Defense: 85217, Current HP: 1064, A Avg: 1011983, D Avg: 85217, [Neural Edge(190)[230, 230, 230], Dragon's Head(217)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 711: HP: 988, STR: 292784, VIT: 377, SPD: 42, LUK: 1, Attack: 380445, Defense: 84799, Current HP: 988, A Avg: 1011983, D Avg: 84799, [Neural Edge(190)[230, 230, 230], Superconducting Barrier(220)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 710: HP: 1064, STR: 292838, VIT: 608, SPD: 40, LUK: 1, Attack: 380499, Defense: 87409, Current HP: 1064, A Avg: 1012127, D Avg: 87409, [Neural Edge(190)[230, 230, 230], Riot(236)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 709: HP: 737, STR: 448604, VIT: 171, SPD: 40, LUK: 1, Attack: 532727, Defense: 84671, Current HP: 737, A Avg: 1012181, D Avg: 84671, [Pinpoint(112)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 708: HP: 1178, STR: 296765, VIT: 1020, SPD: 40, LUK: 1, Attack: 380641, Defense: 88588, Current HP: 1178, A Avg: 1012505, D Avg: 88588, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 707: HP: 1083, STR: 296765, VIT: 1004, SPD: 40, LUK: 1, Attack: 380641, Defense: 88572, Current HP: 1083, A Avg: 1012505, D Avg: 88572, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 706: HP: 1178, STR: 296765, VIT: 1097, SPD: 40, LUK: 1, Attack: 380641, Defense: 88665, Current HP: 1178, A Avg: 1012505, D Avg: 88665, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 705: HP: 1178, STR: 296765, VIT: 1020, SPD: 40, LUK: 1, Attack: 380641, Defense: 88588, Current HP: 1178, A Avg: 1012505, D Avg: 88588, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 704: HP: 1178, STR: 448868, VIT: 982, SPD: 40, LUK: 1, Attack: 532991, Defense: 88550, Current HP: 1178, A Avg: 1012682, D Avg: 88550, [Pinpoint(112)[230, 230, 230], Storm Wall(242)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 703: HP: 627, STR: 448876, VIT: 132, SPD: 40, LUK: 1, Attack: 532999, Defense: 83995, Current HP: 627, A Avg: 1012698, D Avg: 83995, [Pinpoint(112)[230, 230, 230], Small Sword(218)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 702: HP: 779, STR: 293076, VIT: 448, SPD: 40, LUK: 1, Attack: 380737, Defense: 85039, Current HP: 779, A Avg: 1012760, D Avg: 85039, [Neural Edge(190)[230, 230, 230], Black Hole(229)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 701: HP: 1007, STR: 293076, VIT: 486, SPD: 40, LUK: 1, Attack: 380737, Defense: 87404, Current HP: 1007, A Avg: 1012760, D Avg: 87404, [Neural Edge(190)[230, 230, 230], White Hole(230)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 700: HP: 1083, STR: 296913, VIT: 1068, SPD: 40, LUK: 1, Attack: 380789, Defense: 88636, Current HP: 1083, A Avg: 1012898, D Avg: 88636, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 699: HP: 1083, STR: 296913, VIT: 1068, SPD: 40, LUK: 1, Attack: 380789, Defense: 88636, Current HP: 1083, A Avg: 1012898, D Avg: 88636, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 698: HP: 1500, STR: 293169, VIT: 496, SPD: 40, LUK: 1, Attack: 380830, Defense: 86608, Current HP: 1500, A Avg: 1013007, D Avg: 86608, [Neural Edge(190)[230, 230, 230], Goblin Hand(250)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 697: HP: 1311, STR: 296958, VIT: 1104, SPD: 40, LUK: 1, Attack: 380834, Defense: 88672, Current HP: 1311, A Avg: 1013018, D Avg: 88672, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 696: HP: 893, STR: 449068, VIT: 171, SPD: 40, LUK: 1, Attack: 533191, Defense: 84060, Current HP: 893, A Avg: 1013062, D Avg: 84060, [Pinpoint(112)[230, 230, 230], Small Lion(219)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 695: HP: 1121, STR: 293205, VIT: 639, SPD: 40, LUK: 1, Attack: 380866, Defense: 85633, Current HP: 1121, A Avg: 1013103, D Avg: 85633, [Neural Edge(190)[230, 230, 230], Metalization(228)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 694: HP: 801, STR: 449104, VIT: 179, SPD: 40, LUK: 1, Attack: 533227, Defense: 84185, Current HP: 801, A Avg: 1013131, D Avg: 84185, [Pinpoint(112)[230, 230, 230], Small Dragon Sword(224)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 693: HP: 1444, STR: 288712, VIT: 403, SPD: 40, LUK: 1, Attack: 380898, Defense: 87321, Current HP: 1444, A Avg: 1013188, D Avg: 87321, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 692: HP: 1349, STR: 288712, VIT: 387, SPD: 40, LUK: 1, Attack: 380898, Defense: 87305, Current HP: 1349, A Avg: 1013188, D Avg: 87305, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 691: HP: 1444, STR: 288712, VIT: 480, SPD: 40, LUK: 1, Attack: 380898, Defense: 87398, Current HP: 1444, A Avg: 1013188, D Avg: 87398, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 690: HP: 1444, STR: 288712, VIT: 403, SPD: 40, LUK: 1, Attack: 380898, Defense: 87321, Current HP: 1444, A Avg: 1013188, D Avg: 87321, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 689: HP: 1083, STR: 415313, VIT: 1068, SPD: 40, LUK: 1, Attack: 499189, Defense: 88636, Current HP: 1083, A Avg: 1013353, D Avg: 88636, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 688: HP: 1178, STR: 296873, VIT: 1020, SPD: 40, LUK: 1, Attack: 381022, Defense: 88588, Current HP: 1178, A Avg: 1013518, D Avg: 88588, [Giant Tornado(114)[230, 230, 230], Storm Wall(242)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 687: HP: 1083, STR: 296873, VIT: 1004, SPD: 40, LUK: 1, Attack: 381022, Defense: 88572, Current HP: 1083, A Avg: 1013518, D Avg: 88572, [Giant Tornado(114)[230, 230, 230], Storm Wall(242)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 686: HP: 1178, STR: 296873, VIT: 1097, SPD: 40, LUK: 1, Attack: 381022, Defense: 88665, Current HP: 1178, A Avg: 1013518, D Avg: 88665, [Giant Tornado(114)[230, 230, 230], Storm Wall(242)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 685: HP: 1178, STR: 296873, VIT: 1020, SPD: 40, LUK: 1, Attack: 381022, Defense: 88588, Current HP: 1178, A Avg: 1013518, D Avg: 88588, [Giant Tornado(114)[230, 230, 230], Storm Wall(242)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 684: HP: 1349, STR: 288856, VIT: 451, SPD: 40, LUK: 1, Attack: 381042, Defense: 87369, Current HP: 1349, A Avg: 1013571, D Avg: 87369, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 683: HP: 1349, STR: 288856, VIT: 451, SPD: 40, LUK: 1, Attack: 381042, Defense: 87369, Current HP: 1349, A Avg: 1013571, D Avg: 87369, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 682: HP: 1577, STR: 288900, VIT: 486, SPD: 40, LUK: 1, Attack: 381086, Defense: 87404, Current HP: 1577, A Avg: 1013688, D Avg: 87404, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 681: HP: 1083, STR: 297021, VIT: 1068, SPD: 40, LUK: 1, Attack: 381170, Defense: 88636, Current HP: 1083, A Avg: 1013912, D Avg: 88636, [Giant Tornado(114)[230, 230, 230], Storm Wall(242)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 680: HP: 1083, STR: 297021, VIT: 1068, SPD: 40, LUK: 1, Attack: 381170, Defense: 88636, Current HP: 1083, A Avg: 1013912, D Avg: 88636, [Giant Tornado(114)[230, 230, 230], Storm Wall(242)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 679: HP: 1349, STR: 289000, VIT: 371, SPD: 40, LUK: 1, Attack: 381186, Defense: 87289, Current HP: 1349, A Avg: 1013954, D Avg: 87289, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 67], Ring of power(314)[68, 803, 807]]
Rank 678: HP: 1311, STR: 297065, VIT: 1104, SPD: 40, LUK: 1, Attack: 381214, Defense: 88672, Current HP: 1311, A Avg: 1014029, D Avg: 88672, [Giant Tornado(114)[230, 230, 230], Storm Wall(242)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 677: HP: 1083, STR: 415421, VIT: 1068, SPD: 40, LUK: 1, Attack: 499570, Defense: 88636, Current HP: 1083, A Avg: 1014127, D Avg: 88636, [Giant Tornado(114)[230, 230, 230], Storm Wall(242)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 676: HP: 627, STR: 415010, VIT: 708, SPD: 40, LUK: 1, Attack: 499798, Defense: 84714, Current HP: 627, A Avg: 1014589, D Avg: 84714, [Pulse Knife(165)[230, 230, 230], Wings of Beast(210)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 675: HP: 608, STR: 415010, VIT: 2544, SPD: 40, LUK: 1, Attack: 499798, Defense: 88214, Current HP: 608, A Avg: 1014589, D Avg: 88214, [Pulse Knife(165)[230, 230, 230], Shield of Thousand(246)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 674: HP: 1539, STR: 297579, VIT: 1372, SPD: 47, LUK: 1, Attack: 381455, Defense: 88940, Current HP: 1539, A Avg: 1014670, D Avg: 88940, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 673: HP: 1254, STR: 297387, VIT: 646, SPD: 47, LUK: 1, Attack: 381497, Defense: 84652, Current HP: 1254, A Avg: 1014782, D Avg: 84652, [Serpent(144)[230, 230, 230], Wings of Beast(210)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 672: HP: 1235, STR: 297387, VIT: 2481, SPD: 47, LUK: 1, Attack: 381497, Defense: 88151, Current HP: 1235, A Avg: 1014782, D Avg: 88151, [Serpent(144)[230, 230, 230], Shield of Thousand(246)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 671: HP: 608, STR: 450012, VIT: 86, SPD: 40, LUK: 1, Attack: 534135, Defense: 84274, Current HP: 608, A Avg: 1014856, D Avg: 84274, [Pinpoint(112)[230, 230, 230], Dragon Sword(225)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 670: HP: 737, STR: 415156, VIT: 708, SPD: 40, LUK: 1, Attack: 499944, Defense: 85208, Current HP: 737, A Avg: 1014886, D Avg: 85208, [Pulse Knife(165)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 669: HP: 741, STR: 293882, VIT: 169, SPD: 42, LUK: 1, Attack: 381543, Defense: 84305, Current HP: 741, A Avg: 1014904, D Avg: 84305, [Neural Edge(190)[230, 230, 230], Magnum(237)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 668: HP: 1364, STR: 297513, VIT: 646, SPD: 47, LUK: 1, Attack: 381623, Defense: 85146, Current HP: 1364, A Avg: 1015117, D Avg: 85146, [Serpent(144)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 667: HP: 1208, STR: 414485, VIT: 569, SPD: 40, LUK: 1, Attack: 500129, Defense: 85069, Current HP: 1208, A Avg: 1015261, D Avg: 85069, [Gladius(162)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 666: HP: 1805, STR: 289504, VIT: 755, SPD: 47, LUK: 1, Attack: 381690, Defense: 87673, Current HP: 1805, A Avg: 1015295, D Avg: 87673, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 665: HP: 1178, STR: 415440, VIT: 1520, SPD: 40, LUK: 1, Attack: 500228, Defense: 89088, Current HP: 1178, A Avg: 1015462, D Avg: 89088, [Pulse Knife(165)[230, 230, 230], Storm Wall(242)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 664: HP: 627, STR: 415448, VIT: 670, SPD: 40, LUK: 1, Attack: 500236, Defense: 84533, Current HP: 627, A Avg: 1015479, D Avg: 84533, [Pulse Knife(165)[230, 230, 230], Small Sword(218)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
