Rank 1000: HP: 950, STR: 5437, VIT: 193, SPD: 76, LUK: 1, Attack: 89336, Defense: 88021, Current HP: 950, A Avg: 111670, D Avg: 88021, [Sylph(119)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 770: HP: 2020, STR: 5221, VIT: 1074, SPD: 81, LUK: 1, Attack: 90009, Defense: 87862, Current HP: 2020, A Avg: 112511, D Avg: 87862, [Pulse Knife(165)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 769: HP: 1480, STR: 5432, VIT: 928, SPD: 76, LUK: 1, Attack: 90010, Defense: 87729, Current HP: 1480, A Avg: 112512, D Avg: 87729, [Magical(187)[0, 0, 0], Riot(236)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 768: HP: 1936, STR: 2825, VIT: 2464, SPD: 72, LUK: 1, Attack: 89314, Defense: 87692, Current HP: 1936, A Avg: 112535, D Avg: 87692, [Cuttlefish(178)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 767: HP: 940, STR: 5191, VIT: 176, SPD: 76, LUK: 1, Attack: 90032, Defense: 88004, Current HP: 940, A Avg: 112540, D Avg: 88004, [Grand Slam(163)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 766: HP: 6974, STR: 3505, VIT: 1240, SPD: 72, LUK: 1, Attack: 89318, Defense: 85129, Current HP: 6974, A Avg: 112540, D Avg: 85129, [Spear of Regression(182)[0, 0, 0], Small Lion(219)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 765: HP: 1144, STR: 3449, VIT: 1195, SPD: 76, LUK: 1, Attack: 89327, Defense: 85331, Current HP: 1144, A Avg: 112552, D Avg: 85331, [Blue Sword(180)[0, 0, 0], Magnum(237)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 764: HP: 940, STR: 5119, VIT: 176, SPD: 81, LUK: 1, Attack: 90048, Defense: 84520, Current HP: 940, A Avg: 112560, D Avg: 84520, [Jack Knife(185)[0, 0, 0], V Magnum(238)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 763: HP: 2596, STR: 2851, VIT: 1975, SPD: 76, LUK: 1, Attack: 89340, Defense: 88763, Current HP: 2596, A Avg: 112568, D Avg: 88763, [Cuttlefish(178)[0, 0, 0], C Magnum(239)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 762: HP: 1672, STR: 4773, VIT: 769, SPD: 72, LUK: 1, Attack: 89351, Defense: 85997, Current HP: 1672, A Avg: 112582, D Avg: 85997, [Magical(187)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 761: HP: 1420, STR: 4429, VIT: 1992, SPD: 76, LUK: 1, Attack: 90073, Defense: 87220, Current HP: 1420, A Avg: 112591, D Avg: 87220, [Portal Sword(176)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 760: HP: 6780, STR: 3554, VIT: 1253, SPD: 72, LUK: 1, Attack: 89367, Defense: 85259, Current HP: 6780, A Avg: 112602, D Avg: 85259, [Spear of Regression(182)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 759: HP: 1804, STR: 3141, VIT: 280, SPD: 72, LUK: 1, Attack: 89383, Defense: 88108, Current HP: 1804, A Avg: 112622, D Avg: 88108, [Droid Hammer(177)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 758: HP: 1540, STR: 5527, VIT: 1638, SPD: 76, LUK: 1, Attack: 90105, Defense: 89206, Current HP: 1540, A Avg: 112631, D Avg: 89206, [Magical(187)[0, 0, 0], Storm Wall(242)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 757: HP: 2880, STR: 4267, VIT: 1295, SPD: 76, LUK: 1, Attack: 90119, Defense: 86523, Current HP: 2880, A Avg: 112648, D Avg: 86523, [Santoku(159)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 756: HP: 1188, STR: 1240, VIT: 319, SPD: 76, LUK: 1, Attack: 89407, Defense: 84663, Current HP: 1188, A Avg: 112652, D Avg: 84663, [Basic(169)[0, 0, 0], V Magnum(238)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 755: HP: 1180, STR: 4584, VIT: 1424, SPD: 76, LUK: 1, Attack: 90124, Defense: 86015, Current HP: 1180, A Avg: 112655, D Avg: 86015, [Zodiac(184)[0, 0, 0], Black Hole(229)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 754: HP: 1620, STR: 4584, VIT: 1499, SPD: 76, LUK: 1, Attack: 90124, Defense: 88417, Current HP: 1620, A Avg: 112655, D Avg: 88417, [Zodiac(184)[0, 0, 0], White Hole(230)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 753: HP: 940, STR: 3080, VIT: 176, SPD: 76, LUK: 1, Attack: 90131, Defense: 84364, Current HP: 940, A Avg: 112663, D Avg: 84364, [Tekken(188)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 752: HP: 1636, STR: 3672, VIT: 634, SPD: 72, LUK: 1, Attack: 89420, Defense: 88462, Current HP: 1636, A Avg: 112669, D Avg: 88462, [Scythe of the Grim Reaper(148)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 751: HP: 2373, STR: 4600, VIT: 1475, SPD: 76, LUK: 1, Attack: 90140, Defense: 87587, Current HP: 2373, A Avg: 112675, D Avg: 87587, [Zodiac(184)[0, 0, 0], Goblin Hand(250)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 750: HP: 1540, STR: 5644, VIT: 979, SPD: 76, LUK: 1, Attack: 90144, Defense: 85167, Current HP: 1540, A Avg: 112680, D Avg: 85167, [Divine Dragon Sword(181)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 749: HP: 2332, STR: 2380, VIT: 280, SPD: 76, LUK: 1, Attack: 89431, Defense: 87068, Current HP: 2332, A Avg: 112683, D Avg: 87068, [Tekken(188)[0, 0, 0], C Magnum(239)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 748: HP: 1311, STR: 4856, VIT: 522, SPD: 72, LUK: 1, Attack: 89434, Defense: 84541, Current HP: 1311, A Avg: 112686, D Avg: 84541, [Magical(187)[0, 0, 0], Prism Shield(212)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 747: HP: 1144, STR: 3889, VIT: 1913, SPD: 72, LUK: 1, Attack: 89442, Defense: 89741, Current HP: 1144, A Avg: 112696, D Avg: 89741, [Hammer of Justice(186)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 746: HP: 1140, STR: 5191, VIT: 176, SPD: 76, LUK: 1, Attack: 90159, Defense: 88004, Current HP: 1140, A Avg: 112698, D Avg: 88004, [Cluster Bomb(170)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 745: HP: 1540, STR: 4627, VIT: 1645, SPD: 76, LUK: 1, Attack: 90167, Defense: 86639, Current HP: 1540, A Avg: 112708, D Avg: 86639, [Zodiac(184)[0, 0, 0], Metalization(228)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 744: HP: 2606, STR: 5201, VIT: 388, SPD: 76, LUK: 1, Attack: 90167, Defense: 87176, Current HP: 2606, A Avg: 112708, D Avg: 87176, [Red Shark(134)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 743: HP: 2327, STR: 3828, VIT: 1552, SPD: 72, LUK: 1, Attack: 89472, Defense: 89380, Current HP: 2327, A Avg: 112734, D Avg: 89380, [Gladius(162)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 742: HP: 1672, STR: 3522, VIT: 751, SPD: 72, LUK: 1, Attack: 89491, Defense: 88579, Current HP: 1672, A Avg: 112758, D Avg: 88579, [Fire Chariot(138)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 741: HP: 1420, STR: 5698, VIT: 334, SPD: 76, LUK: 1, Attack: 90211, Defense: 88162, Current HP: 1420, A Avg: 112763, D Avg: 88162, [Maximum Iron Mass(123)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 740: HP: 1180, STR: 3726, VIT: 1285, SPD: 81, LUK: 1, Attack: 90215, Defense: 85629, Current HP: 1180, A Avg: 112768, D Avg: 85629, [Cuttlefish(178)[0, 0, 0], V Magnum(238)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 739: HP: 1188, STR: 1341, VIT: 319, SPD: 72, LUK: 1, Attack: 89508, Defense: 84507, Current HP: 1188, A Avg: 112780, D Avg: 84507, [Basic(169)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 738: HP: 2552, STR: 3980, VIT: 1424, SPD: 76, LUK: 1, Attack: 89520, Defense: 88212, Current HP: 2552, A Avg: 112795, D Avg: 88212, [Zodiac(184)[0, 0, 0], C Magnum(239)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 737: HP: 2020, STR: 4595, VIT: 1672, SPD: 81, LUK: 1, Attack: 90239, Defense: 88460, Current HP: 2020, A Avg: 112798, D Avg: 88460, [Portal Sword(176)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 736: HP: 6424, STR: 3712, VIT: 998, SPD: 76, LUK: 1, Attack: 89525, Defense: 85134, Current HP: 6424, A Avg: 112801, D Avg: 85134, [Spear of Regression(182)[0, 0, 0], Magnum(237)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 735: HP: 6220, STR: 5191, VIT: 176, SPD: 76, LUK: 1, Attack: 90244, Defense: 88004, Current HP: 6220, A Avg: 112805, D Avg: 88004, [Common Key(174)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 734: HP: 1640, STR: 4715, VIT: 1082, SPD: 76, LUK: 1, Attack: 90255, Defense: 84971, Current HP: 1640, A Avg: 112818, D Avg: 84971, [Zodiac(184)[0, 0, 0], Small Lion(219)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 733: HP: 1144, STR: 3680, VIT: 1195, SPD: 76, LUK: 1, Attack: 89558, Defense: 85539, Current HP: 1144, A Avg: 112843, D Avg: 85539, [Blue Sword(180)[0, 0, 0], V Magnum(238)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 732: HP: 980, STR: 2108, VIT: 202, SPD: 81, LUK: 1, Attack: 90275, Defense: 84546, Current HP: 980, A Avg: 112843, D Avg: 84546, [Basic(169)[0, 0, 0], V Magnum(238)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 731: HP: 940, STR: 5348, VIT: 176, SPD: 76, LUK: 1, Attack: 90277, Defense: 84364, Current HP: 940, A Avg: 112846, D Avg: 84364, [Jack Knife(185)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 730: HP: 960, STR: 5700, VIT: 260, SPD: 76, LUK: 1, Attack: 90278, Defense: 84123, Current HP: 960, A Avg: 112847, D Avg: 84123, [Magical(187)[0, 0, 0], Small Sword(218)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 729: HP: 1892, STR: 4025, VIT: 1913, SPD: 72, LUK: 1, Attack: 89565, Defense: 87141, Current HP: 1892, A Avg: 112851, D Avg: 87141, [Zodiac(184)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 728: HP: 3480, STR: 4438, VIT: 975, SPD: 81, LUK: 1, Attack: 90290, Defense: 87763, Current HP: 3480, A Avg: 112862, D Avg: 87763, [Santoku(159)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 727: HP: 1180, STR: 4444, VIT: 924, SPD: 81, LUK: 1, Attack: 90322, Defense: 85268, Current HP: 1180, A Avg: 112902, D Avg: 85268, [God Hand(179)[0, 0, 0], V Magnum(238)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 726: HP: 1464, STR: 4796, VIT: 1091, SPD: 76, LUK: 1, Attack: 90336, Defense: 85097, Current HP: 1464, A Avg: 112920, D Avg: 85097, [Zodiac(184)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 725: HP: 1400, STR: 5824, VIT: 482, SPD: 76, LUK: 1, Attack: 90337, Defense: 88310, Current HP: 1400, A Avg: 112921, D Avg: 88310, [Volcano(142)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 724: HP: 987, STR: 4465, VIT: 775, SPD: 76, LUK: 1, Attack: 90343, Defense: 84498, Current HP: 987, A Avg: 112928, D Avg: 84498, [Blue Sword(180)[0, 0, 0], Pot Lid(201)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 723: HP: 987, STR: 4465, VIT: 775, SPD: 76, LUK: 1, Attack: 90343, Defense: 84508, Current HP: 987, A Avg: 112928, D Avg: 84508, [Blue Sword(180)[0, 0, 0], High Pot Lid(202)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 722: HP: 940, STR: 4465, VIT: 829, SPD: 76, LUK: 1, Attack: 90343, Defense: 84698, Current HP: 940, A Avg: 112928, D Avg: 84698, [Blue Sword(180)[0, 0, 0], Wooden Shield(203)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 721: HP: 940, STR: 4465, VIT: 835, SPD: 76, LUK: 1, Attack: 90343, Defense: 84639, Current HP: 940, A Avg: 112928, D Avg: 84639, [Blue Sword(180)[0, 0, 0], Iron Shield(204)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 720: HP: 940, STR: 4465, VIT: 900, SPD: 76, LUK: 1, Attack: 90343, Defense: 84763, Current HP: 940, A Avg: 112928, D Avg: 84763, [Blue Sword(180)[0, 0, 0], Titanium Shield(205)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 719: HP: 940, STR: 4465, VIT: 918, SPD: 76, LUK: 1, Attack: 90343, Defense: 84807, Current HP: 940, A Avg: 112928, D Avg: 84807, [Blue Sword(180)[0, 0, 0], Large iron Shield(206)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 718: HP: 987, STR: 4465, VIT: 933, SPD: 76, LUK: 1, Attack: 90343, Defense: 84809, Current HP: 987, A Avg: 112928, D Avg: 84809, [Blue Sword(180)[0, 0, 0], Magic Shield(207)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 717: HP: 1400, STR: 4465, VIT: 1058, SPD: 76, LUK: 1, Attack: 90343, Defense: 84895, Current HP: 1400, A Avg: 112928, D Avg: 84895, [Blue Sword(180)[0, 0, 0], Emerald Shield(209)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 716: HP: 1050, STR: 4465, VIT: 858, SPD: 76, LUK: 1, Attack: 90343, Defense: 84630, Current HP: 1050, A Avg: 112928, D Avg: 84630, [Blue Sword(180)[0, 0, 0], Clear Shield(211)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 715: HP: 1092, STR: 4465, VIT: 933, SPD: 76, LUK: 1, Attack: 90343, Defense: 84952, Current HP: 1092, A Avg: 112928, D Avg: 84952, [Blue Sword(180)[0, 0, 0], Prism Shield(212)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 714: HP: 1020, STR: 4465, VIT: 909, SPD: 76, LUK: 1, Attack: 90343, Defense: 84837, Current HP: 1020, A Avg: 112928, D Avg: 84837, [Blue Sword(180)[0, 0, 0], Tower Shield(213)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 713: HP: 1738, STR: 4465, VIT: 1166, SPD: 76, LUK: 1, Attack: 90343, Defense: 85728, Current HP: 1738, A Avg: 112928, D Avg: 85728, [Blue Sword(180)[0, 0, 0], Slime Shield(221)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 712: HP: 1684, STR: 4465, VIT: 900, SPD: 76, LUK: 1, Attack: 90343, Defense: 84828, Current HP: 1684, A Avg: 112928, D Avg: 84828, [Blue Sword(180)[0, 0, 0], Hardwood Shield(223)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 711: HP: 987, STR: 4465, VIT: 1553, SPD: 76, LUK: 1, Attack: 90343, Defense: 88341, Current HP: 987, A Avg: 112928, D Avg: 88341, [Blue Sword(180)[0, 0, 0], Energy Shield(227)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 710: HP: 3260, STR: 4465, VIT: 820, SPD: 76, LUK: 1, Attack: 90343, Defense: 86737, Current HP: 3260, A Avg: 112928, D Avg: 86737, [Blue Sword(180)[0, 0, 0], Frying Pan(231)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 709: HP: 1596, STR: 4465, VIT: 1166, SPD: 76, LUK: 1, Attack: 90343, Defense: 86641, Current HP: 1596, A Avg: 112928, D Avg: 86641, [Blue Sword(180)[0, 0, 0], Mist Shield(233)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 708: HP: 1140, STR: 4465, VIT: 1612, SPD: 76, LUK: 1, Attack: 90343, Defense: 86580, Current HP: 1140, A Avg: 112928, D Avg: 86580, [Blue Sword(180)[0, 0, 0], Huge Shield(234)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 707: HP: 1060, STR: 4465, VIT: 1642, SPD: 76, LUK: 1, Attack: 90343, Defense: 88482, Current HP: 1060, A Avg: 112928, D Avg: 88482, [Blue Sword(180)[0, 0, 0], Aurora Shield(240)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 706: HP: 2373, STR: 4465, VIT: 1448, SPD: 76, LUK: 1, Attack: 90343, Defense: 88873, Current HP: 2373, A Avg: 112928, D Avg: 88873, [Blue Sword(180)[0, 0, 0], Cloud Shield(241)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 705: HP: 940, STR: 4465, VIT: 775, SPD: 76, LUK: 1, Attack: 90343, Defense: 87564, Current HP: 940, A Avg: 112928, D Avg: 87564, [Blue Sword(180)[0, 0, 0], Graffiti(243)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 704: HP: 940, STR: 4465, VIT: 2271, SPD: 76, LUK: 1, Attack: 90343, Defense: 92049, Current HP: 940, A Avg: 112928, D Avg: 92049, [Blue Sword(180)[0, 0, 0], Blank Shield(244)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 703: HP: 1440, STR: 4465, VIT: 2980, SPD: 76, LUK: 1, Attack: 90343, Defense: 89768, Current HP: 1440, A Avg: 112928, D Avg: 89768, [Blue Sword(180)[0, 0, 0], Golem Shield(245)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 702: HP: 1240, STR: 4465, VIT: 1390, SPD: 81, LUK: 1, Attack: 90343, Defense: 87268, Current HP: 1240, A Avg: 112928, D Avg: 87268, [Blue Sword(180)[0, 0, 0], Sticky thread shield(247)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 701: HP: 2236, STR: 4465, VIT: 1386, SPD: 76, LUK: 1, Attack: 90343, Defense: 87602, Current HP: 2236, A Avg: 112928, D Avg: 87602, [Blue Sword(180)[0, 0, 0], King Shield(248)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 700: HP: 1407, STR: 4465, VIT: 1414, SPD: 76, LUK: 1, Attack: 90343, Defense: 88449, Current HP: 1407, A Avg: 112928, D Avg: 88449, [Blue Sword(180)[0, 0, 0], Warrior's Shield(249)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 699: HP: 987, STR: 4465, VIT: 1672, SPD: 76, LUK: 1, Attack: 90343, Defense: 88720, Current HP: 987, A Avg: 112928, D Avg: 88720, [Blue Sword(180)[0, 0, 0], Ghost shield(251)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 698: HP: 980, STR: 5772, VIT: 676, SPD: 76, LUK: 1, Attack: 90350, Defense: 85267, Current HP: 980, A Avg: 112937, D Avg: 85267, [Magical(187)[0, 0, 0], Black Hole(229)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 697: HP: 1420, STR: 5772, VIT: 751, SPD: 76, LUK: 1, Attack: 90350, Defense: 87669, Current HP: 1420, A Avg: 112937, D Avg: 87669, [Magical(187)[0, 0, 0], White Hole(230)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 696: HP: 2163, STR: 5788, VIT: 727, SPD: 76, LUK: 1, Attack: 90366, Defense: 86839, Current HP: 2163, A Avg: 112957, D Avg: 86839, [Magical(187)[0, 0, 0], Goblin Hand(250)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 695: HP: 1284, STR: 4492, VIT: 1067, SPD: 76, LUK: 1, Attack: 90370, Defense: 85008, Current HP: 1284, A Avg: 112962, D Avg: 85008, [Blue Sword(180)[0, 0, 0], Dragon's Scales(215)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 694: HP: 1180, STR: 3903, VIT: 1285, SPD: 76, LUK: 1, Attack: 90392, Defense: 85473, Current HP: 1180, A Avg: 112990, D Avg: 85473, [Cuttlefish(178)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 693: HP: 1340, STR: 5815, VIT: 853, SPD: 76, LUK: 1, Attack: 90393, Defense: 85847, Current HP: 1340, A Avg: 112991, D Avg: 85847, [Magical(187)[0, 0, 0], Metalization(228)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 692: HP: 980, STR: 2226, VIT: 202, SPD: 76, LUK: 1, Attack: 90393, Defense: 84390, Current HP: 980, A Avg: 112991, D Avg: 84390, [Basic(169)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 691: HP: 1400, STR: 5712, VIT: 268, SPD: 76, LUK: 1, Attack: 90394, Defense: 88096, Current HP: 1400, A Avg: 112992, D Avg: 88096, [Thunder Whip(143)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 690: HP: 1144, STR: 4039, VIT: 2568, SPD: 72, LUK: 1, Attack: 89683, Defense: 90396, Current HP: 1144, A Avg: 113000, D Avg: 90396, [Portal Sword(176)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 689: HP: 1804, STR: 5242, VIT: 1507, SPD: 72, LUK: 1, Attack: 89742, Defense: 89335, Current HP: 1804, A Avg: 113074, D Avg: 89335, [Divine Dragon Sword(181)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 688: HP: 2420, STR: 5135, VIT: 1519, SPD: 76, LUK: 1, Attack: 90469, Defense: 86747, Current HP: 2420, A Avg: 113086, D Avg: 86747, [Impulse(166)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 687: HP: 6424, STR: 3942, VIT: 998, SPD: 76, LUK: 1, Attack: 89755, Defense: 85342, Current HP: 6424, A Avg: 113091, D Avg: 85342, [Spear of Regression(182)[0, 0, 0], V Magnum(238)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 686: HP: 940, STR: 4598, VIT: 933, SPD: 81, LUK: 1, Attack: 90476, Defense: 84958, Current HP: 940, A Avg: 113095, D Avg: 84958, [Blue Sword(180)[0, 0, 0], Conductive Barrier(208)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 685: HP: 1480, STR: 4611, VIT: 1069, SPD: 76, LUK: 1, Attack: 90489, Defense: 85309, Current HP: 1480, A Avg: 113111, D Avg: 85309, [Blue Sword(180)[0, 0, 0], Dragon's Wings(216)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 684: HP: 960, STR: 4631, VIT: 933, SPD: 76, LUK: 1, Attack: 90509, Defense: 84939, Current HP: 960, A Avg: 113136, D Avg: 84939, [Blue Sword(180)[0, 0, 0], Wings of Beast(210)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 683: HP: 940, STR: 4631, VIT: 4515, SPD: 76, LUK: 1, Attack: 90509, Defense: 90185, Current HP: 940, A Avg: 113136, D Avg: 90185, [Blue Sword(180)[0, 0, 0], Shield of Thousand(246)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 682: HP: 2750, STR: 3940, VIT: 1502, SPD: 72, LUK: 1, Attack: 89792, Defense: 89330, Current HP: 2750, A Avg: 113137, D Avg: 89330, [Santoku(159)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 681: HP: 2244, STR: 4467, VIT: 1845, SPD: 72, LUK: 1, Attack: 89801, Defense: 89673, Current HP: 2244, A Avg: 113149, D Avg: 89673, [Impulse(166)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 680: HP: 1440, STR: 5947, VIT: 334, SPD: 76, LUK: 1, Attack: 90525, Defense: 84223, Current HP: 1440, A Avg: 113156, D Avg: 84223, [Magical(187)[0, 0, 0], Small Lion(219)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 679: HP: 1180, STR: 4648, VIT: 924, SPD: 76, LUK: 1, Attack: 90526, Defense: 85112, Current HP: 1180, A Avg: 113157, D Avg: 85112, [God Hand(179)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 678: HP: 2400, STR: 5821, VIT: 958, SPD: 76, LUK: 1, Attack: 90529, Defense: 88786, Current HP: 2400, A Avg: 113161, D Avg: 88786, [Thin Blade(158)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 677: HP: 1144, STR: 3933, VIT: 1195, SPD: 72, LUK: 1, Attack: 89811, Defense: 85383, Current HP: 1144, A Avg: 113161, D Avg: 85383, [Blue Sword(180)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 676: HP: 7268, STR: 1932, VIT: 2568, SPD: 72, LUK: 1, Attack: 89814, Defense: 86291, Current HP: 7268, A Avg: 113165, D Avg: 86291, [Wild Card(175)[0, 0, 0], Pot Lid(201)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 675: HP: 7268, STR: 1932, VIT: 2568, SPD: 72, LUK: 1, Attack: 89814, Defense: 86301, Current HP: 7268, A Avg: 113165, D Avg: 86301, [Wild Card(175)[0, 0, 0], High Pot Lid(202)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 674: HP: 6952, STR: 1932, VIT: 2681, SPD: 72, LUK: 1, Attack: 89814, Defense: 86550, Current HP: 6952, A Avg: 113165, D Avg: 86550, [Wild Card(175)[0, 0, 0], Wooden Shield(203)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
