Rank 1000: HP: 1155, STR: 540554, VIT: 806, SPD: 56, LUK: 1, Attack: 624976, Defense: 87646, Current HP: 1155, A Avg: 1268701, D Avg: 87646, [Dreaming Sword(128)[630, 630, 630], Aurora Shield(240)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 783: HP: 1396, STR: 391960, VIT: 566, SPD: 56, LUK: 1, Attack: 479621, Defense: 86184, Current HP: 1396, A Avg: 1275791, D Avg: 86184, [Neural Edge(190)[630, 630, 630], Mask of the Grim Reaper(214)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 782: HP: 1189, STR: 391964, VIT: 754, SPD: 56, LUK: 1, Attack: 479625, Defense: 85592, Current HP: 1189, A Avg: 1275802, D Avg: 85592, [Neural Edge(190)[630, 630, 630], Bulletproof Shield(235)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 781: HP: 1976, STR: 543152, VIT: 1591, SPD: 56, LUK: 1, Attack: 628486, Defense: 88392, Current HP: 1976, A Avg: 1275826, D Avg: 88392, [Impulse(166)[630, 630, 630], Riot(236)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 780: HP: 1349, STR: 392000, VIT: 489, SPD: 56, LUK: 1, Attack: 479661, Defense: 85353, Current HP: 1349, A Avg: 1275898, D Avg: 85353, [Neural Edge(190)[630, 630, 630], Dragon's Head(217)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 779: HP: 1273, STR: 392000, VIT: 521, SPD: 59, LUK: 1, Attack: 479661, Defense: 84943, Current HP: 1273, A Avg: 1275898, D Avg: 84943, [Neural Edge(190)[630, 630, 630], Superconducting Barrier(220)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 778: HP: 1349, STR: 392090, VIT: 812, SPD: 56, LUK: 1, Attack: 479751, Defense: 87613, Current HP: 1349, A Avg: 1276137, D Avg: 87613, [Neural Edge(190)[630, 630, 630], Riot(236)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 777: HP: 798, STR: 587570, VIT: 102, SPD: 59, LUK: 1, Attack: 671693, Defense: 84446, Current HP: 798, A Avg: 1276216, D Avg: 84446, [Pinpoint(112)[630, 630, 630], V Magnum(238)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 776: HP: 1691, STR: 544222, VIT: 1067, SPD: 56, LUK: 1, Attack: 628722, Defense: 85931, Current HP: 1691, A Avg: 1276305, D Avg: 85931, [Divine Dragon Sword(181)[630, 630, 630], Dragon's Head(217)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 775: HP: 1273, STR: 542271, VIT: 1273, SPD: 59, LUK: 1, Attack: 628760, Defense: 85695, Current HP: 1273, A Avg: 1276382, D Avg: 85695, [Cuttlefish(178)[630, 630, 630], Superconducting Barrier(220)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 774: HP: 1539, STR: 544781, VIT: 240, SPD: 59, LUK: 1, Attack: 628781, Defense: 87028, Current HP: 1539, A Avg: 1276425, D Avg: 87028, [Kirisame(129)[630, 630, 630], C Magnum(239)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 773: HP: 2280, STR: 387676, VIT: 1043, SPD: 66, LUK: 1, Attack: 479862, Defense: 87961, Current HP: 2280, A Avg: 1276432, D Avg: 87961, [Big Bang(171)[630, 630, 630], White Hole(230)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 772: HP: 1801, STR: 543958, VIT: 656, SPD: 56, LUK: 1, Attack: 628887, Defense: 86872, Current HP: 1801, A Avg: 1276640, D Avg: 86872, [Jack Knife(185)[630, 630, 630], King Shield(248)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 771: HP: 1596, STR: 543555, VIT: 1340, SPD: 56, LUK: 1, Attack: 628889, Defense: 85931, Current HP: 1596, A Avg: 1276644, D Avg: 85931, [Impulse(166)[630, 630, 630], Black Hole(229)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 770: HP: 1919, STR: 543555, VIT: 1395, SPD: 56, LUK: 1, Attack: 628889, Defense: 88313, Current HP: 1919, A Avg: 1276644, D Avg: 88313, [Impulse(166)[630, 630, 630], White Hole(230)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 769: HP: 1881, STR: 544802, VIT: 240, SPD: 59, LUK: 1, Attack: 628923, Defense: 87028, Current HP: 1881, A Avg: 1276713, D Avg: 87028, [Black Kirisame(130)[630, 630, 630], C Magnum(239)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 768: HP: 2560, STR: 543622, VIT: 1388, SPD: 56, LUK: 1, Attack: 628956, Defense: 87500, Current HP: 2560, A Avg: 1276780, D Avg: 87500, [Impulse(166)[630, 630, 630], Goblin Hand(250)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 767: HP: 1938, STR: 543664, VIT: 1570, SPD: 56, LUK: 1, Attack: 628998, Defense: 86564, Current HP: 1938, A Avg: 1276865, D Avg: 86564, [Impulse(166)[630, 630, 630], Metalization(228)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 766: HP: 1368, STR: 542518, VIT: 1334, SPD: 59, LUK: 1, Attack: 629007, Defense: 85756, Current HP: 1368, A Avg: 1276884, D Avg: 85756, [Cuttlefish(178)[630, 630, 630], Superconducting Barrier(220)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 765: HP: 969, STR: 392435, VIT: 608, SPD: 56, LUK: 1, Attack: 480096, Defense: 85199, Current HP: 969, A Avg: 1277055, D Avg: 85199, [Neural Edge(190)[630, 630, 630], Black Hole(229)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 764: HP: 1292, STR: 392435, VIT: 662, SPD: 56, LUK: 1, Attack: 480096, Defense: 87580, Current HP: 1292, A Avg: 1277055, D Avg: 87580, [Neural Edge(190)[630, 630, 630], White Hole(230)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 763: HP: 2074, STR: 544194, VIT: 324, SPD: 59, LUK: 1, Attack: 629160, Defense: 87112, Current HP: 2074, A Avg: 1277194, D Avg: 87112, [Red Shark(134)[630, 630, 630], C Magnum(239)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 762: HP: 1900, STR: 392493, VIT: 656, SPD: 56, LUK: 1, Attack: 480154, Defense: 86768, Current HP: 1900, A Avg: 1277209, D Avg: 86768, [Neural Edge(190)[630, 630, 630], Goblin Hand(250)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 761: HP: 1311, STR: 392529, VIT: 792, SPD: 56, LUK: 1, Attack: 480190, Defense: 85786, Current HP: 1311, A Avg: 1277305, D Avg: 85786, [Neural Edge(190)[630, 630, 630], Metalization(228)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 760: HP: 798, STR: 544454, VIT: 864, SPD: 59, LUK: 1, Attack: 629242, Defense: 85000, Current HP: 798, A Avg: 1277361, D Avg: 85000, [Pulse Knife(165)[630, 630, 630], Magnum(237)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 759: HP: 1691, STR: 545130, VIT: 982, SPD: 56, LUK: 1, Attack: 629630, Defense: 85846, Current HP: 1691, A Avg: 1278148, D Avg: 85846, [Divine Dragon Sword(181)[630, 630, 630], Dragon's Head(217)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 758: HP: 840, STR: 545054, VIT: 267, SPD: 56, LUK: 1, Attack: 629632, Defense: 84286, Current HP: 840, A Avg: 1278152, D Avg: 84286, [Magical(187)[630, 630, 630], Prism Shield(212)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 757: HP: 860, STR: 586193, VIT: 1158, SPD: 56, LUK: 1, Attack: 672721, Defense: 87946, Current HP: 860, A Avg: 1278169, D Avg: 87946, [Moon Knuckle(153)[630, 630, 630], Energy Shield(227)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 756: HP: 798, STR: 545017, VIT: 864, SPD: 59, LUK: 1, Attack: 629805, Defense: 85208, Current HP: 798, A Avg: 1278504, D Avg: 85208, [Pulse Knife(165)[630, 630, 630], V Magnum(238)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 755: HP: 1558, STR: 544538, VIT: 966, SPD: 59, LUK: 1, Attack: 629872, Defense: 85102, Current HP: 1558, A Avg: 1278640, D Avg: 85102, [Impulse(166)[630, 630, 630], Magnum(237)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 754: HP: 1634, STR: 588888, VIT: 102, SPD: 59, LUK: 1, Attack: 673011, Defense: 86890, Current HP: 1634, A Avg: 1278720, D Avg: 86890, [Pinpoint(112)[630, 630, 630], C Magnum(239)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 753: HP: 2074, STR: 545096, VIT: 244, SPD: 59, LUK: 1, Attack: 630062, Defense: 87032, Current HP: 2074, A Avg: 1279025, D Avg: 87032, [Red Shark(134)[630, 630, 630], C Magnum(239)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 752: HP: 931, STR: 393278, VIT: 233, SPD: 59, LUK: 1, Attack: 480939, Defense: 84369, Current HP: 931, A Avg: 1279297, D Avg: 84369, [Neural Edge(190)[630, 630, 630], Magnum(237)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 751: HP: 940, STR: 544672, VIT: 614, SPD: 56, LUK: 1, Attack: 630212, Defense: 84337, Current HP: 940, A Avg: 1279330, D Avg: 84337, [Zodiac(184)[630, 630, 630], Pot Lid(201)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 750: HP: 940, STR: 544672, VIT: 614, SPD: 56, LUK: 1, Attack: 630212, Defense: 84347, Current HP: 940, A Avg: 1279330, D Avg: 84347, [Zodiac(184)[630, 630, 630], High Pot Lid(202)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 749: HP: 893, STR: 544672, VIT: 661, SPD: 56, LUK: 1, Attack: 630212, Defense: 84530, Current HP: 893, A Avg: 1279330, D Avg: 84530, [Zodiac(184)[630, 630, 630], Wooden Shield(203)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 748: HP: 893, STR: 544672, VIT: 666, SPD: 56, LUK: 1, Attack: 630212, Defense: 84470, Current HP: 893, A Avg: 1279330, D Avg: 84470, [Zodiac(184)[630, 630, 630], Iron Shield(204)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 747: HP: 893, STR: 544672, VIT: 710, SPD: 56, LUK: 1, Attack: 630212, Defense: 84573, Current HP: 893, A Avg: 1279330, D Avg: 84573, [Zodiac(184)[630, 630, 630], Titanium Shield(205)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 746: HP: 893, STR: 544672, VIT: 727, SPD: 56, LUK: 1, Attack: 630212, Defense: 84616, Current HP: 893, A Avg: 1279330, D Avg: 84616, [Zodiac(184)[630, 630, 630], Large iron Shield(206)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 745: HP: 940, STR: 544672, VIT: 731, SPD: 56, LUK: 1, Attack: 630212, Defense: 84607, Current HP: 940, A Avg: 1279330, D Avg: 84607, [Zodiac(184)[630, 630, 630], Magic Shield(207)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 744: HP: 1235, STR: 544672, VIT: 826, SPD: 56, LUK: 1, Attack: 630212, Defense: 84663, Current HP: 1235, A Avg: 1279330, D Avg: 84663, [Zodiac(184)[630, 630, 630], Emerald Shield(209)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 743: HP: 1000, STR: 544672, VIT: 676, SPD: 56, LUK: 1, Attack: 630212, Defense: 84448, Current HP: 1000, A Avg: 1279330, D Avg: 84448, [Zodiac(184)[630, 630, 630], Clear Shield(211)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 742: HP: 1040, STR: 544672, VIT: 731, SPD: 56, LUK: 1, Attack: 630212, Defense: 84750, Current HP: 1040, A Avg: 1279330, D Avg: 84750, [Zodiac(184)[630, 630, 630], Prism Shield(212)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 741: HP: 969, STR: 544672, VIT: 719, SPD: 56, LUK: 1, Attack: 630212, Defense: 84647, Current HP: 969, A Avg: 1279330, D Avg: 84647, [Zodiac(184)[630, 630, 630], Tower Shield(213)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 740: HP: 1516, STR: 544672, VIT: 902, SPD: 56, LUK: 1, Attack: 630212, Defense: 85464, Current HP: 1516, A Avg: 1279330, D Avg: 85464, [Zodiac(184)[630, 630, 630], Slime Shield(221)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 739: HP: 1447, STR: 544672, VIT: 710, SPD: 56, LUK: 1, Attack: 630212, Defense: 84638, Current HP: 1447, A Avg: 1279330, D Avg: 84638, [Zodiac(184)[630, 630, 630], Hardwood Shield(223)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 738: HP: 940, STR: 544672, VIT: 1235, SPD: 56, LUK: 1, Attack: 630212, Defense: 88023, Current HP: 940, A Avg: 1279330, D Avg: 88023, [Zodiac(184)[630, 630, 630], Energy Shield(227)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 737: HP: 2812, STR: 544672, VIT: 652, SPD: 56, LUK: 1, Attack: 630212, Defense: 86569, Current HP: 2812, A Avg: 1279330, D Avg: 86569, [Zodiac(184)[630, 630, 630], Frying Pan(231)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 736: HP: 1724, STR: 544672, VIT: 972, SPD: 56, LUK: 1, Attack: 630212, Defense: 85706, Current HP: 1724, A Avg: 1279330, D Avg: 85706, [Zodiac(184)[630, 630, 630], Slafield(232)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 735: HP: 1420, STR: 544672, VIT: 902, SPD: 56, LUK: 1, Attack: 630212, Defense: 86377, Current HP: 1420, A Avg: 1279330, D Avg: 86377, [Zodiac(184)[630, 630, 630], Mist Shield(233)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 734: HP: 1083, STR: 544672, VIT: 1230, SPD: 56, LUK: 1, Attack: 630212, Defense: 86198, Current HP: 1083, A Avg: 1279330, D Avg: 86198, [Zodiac(184)[630, 630, 630], Huge Shield(234)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 733: HP: 1007, STR: 544672, VIT: 1270, SPD: 56, LUK: 1, Attack: 630212, Defense: 88110, Current HP: 1007, A Avg: 1279330, D Avg: 88110, [Zodiac(184)[630, 630, 630], Aurora Shield(240)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 732: HP: 1960, STR: 544672, VIT: 1104, SPD: 56, LUK: 1, Attack: 630212, Defense: 88529, Current HP: 1960, A Avg: 1279330, D Avg: 88529, [Zodiac(184)[630, 630, 630], Cloud Shield(241)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 731: HP: 893, STR: 544672, VIT: 614, SPD: 56, LUK: 1, Attack: 630212, Defense: 87403, Current HP: 893, A Avg: 1279330, D Avg: 87403, [Zodiac(184)[630, 630, 630], Graffiti(243)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 730: HP: 893, STR: 544672, VIT: 1702, SPD: 56, LUK: 1, Attack: 630212, Defense: 91480, Current HP: 893, A Avg: 1279330, D Avg: 91480, [Zodiac(184)[630, 630, 630], Blank Shield(244)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 729: HP: 1368, STR: 544672, VIT: 2267, SPD: 56, LUK: 1, Attack: 630212, Defense: 89055, Current HP: 1368, A Avg: 1279330, D Avg: 89055, [Zodiac(184)[630, 630, 630], Golem Shield(245)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 728: HP: 1178, STR: 544672, VIT: 1065, SPD: 59, LUK: 1, Attack: 630212, Defense: 86943, Current HP: 1178, A Avg: 1279330, D Avg: 86943, [Zodiac(184)[630, 630, 630], Sticky thread shield(247)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 727: HP: 1896, STR: 544672, VIT: 1084, SPD: 56, LUK: 1, Attack: 630212, Defense: 87300, Current HP: 1896, A Avg: 1279330, D Avg: 87300, [Zodiac(184)[630, 630, 630], King Shield(248)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 726: HP: 1340, STR: 544672, VIT: 1152, SPD: 56, LUK: 1, Attack: 630212, Defense: 88187, Current HP: 1340, A Avg: 1279330, D Avg: 88187, [Zodiac(184)[630, 630, 630], Warrior's Shield(249)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 725: HP: 940, STR: 544672, VIT: 1267, SPD: 56, LUK: 1, Attack: 630212, Defense: 88315, Current HP: 940, A Avg: 1279330, D Avg: 88315, [Zodiac(184)[630, 630, 630], Ghost shield(251)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 724: HP: 1162, STR: 544714, VIT: 834, SPD: 56, LUK: 1, Attack: 630254, Defense: 84775, Current HP: 1162, A Avg: 1279415, D Avg: 84775, [Zodiac(184)[630, 630, 630], Dragon's Scales(215)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 723: HP: 1368, STR: 397146, VIT: 1292, SPD: 56, LUK: 1, Attack: 481022, Defense: 88860, Current HP: 1368, A Avg: 1279518, D Avg: 88860, [Tornado(111)[630, 630, 630], Storm Wall(242)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 722: HP: 1273, STR: 397146, VIT: 1276, SPD: 56, LUK: 1, Attack: 481022, Defense: 88844, Current HP: 1273, A Avg: 1279518, D Avg: 88844, [Tornado(111)[630, 630, 630], Storm Wall(242)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 721: HP: 1368, STR: 397146, VIT: 1401, SPD: 56, LUK: 1, Attack: 481022, Defense: 88969, Current HP: 1368, A Avg: 1279518, D Avg: 88969, [Tornado(111)[630, 630, 630], Storm Wall(242)[630, 630, 67], Mobius Ring(316)[68, 803, 807]]
Rank 720: HP: 1368, STR: 397146, VIT: 1292, SPD: 56, LUK: 1, Attack: 481022, Defense: 88860, Current HP: 1368, A Avg: 1279518, D Avg: 88860, [Tornado(111)[630, 630, 630], Storm Wall(242)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 719: HP: 1524, STR: 544442, VIT: 944, SPD: 56, LUK: 1, Attack: 630320, Defense: 85678, Current HP: 1524, A Avg: 1279549, D Avg: 85678, [Blue Sword(180)[630, 630, 630], Slafield(232)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 718: HP: 893, STR: 544836, VIT: 731, SPD: 59, LUK: 1, Attack: 630376, Defense: 84756, Current HP: 893, A Avg: 1279663, D Avg: 84756, [Zodiac(184)[630, 630, 630], Conductive Barrier(208)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 717: HP: 1311, STR: 544857, VIT: 836, SPD: 56, LUK: 1, Attack: 630397, Defense: 85076, Current HP: 1311, A Avg: 1279705, D Avg: 85076, [Zodiac(184)[630, 630, 630], Dragon's Wings(216)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 716: HP: 1558, STR: 545101, VIT: 966, SPD: 59, LUK: 1, Attack: 630435, Defense: 85310, Current HP: 1558, A Avg: 1279783, D Avg: 85310, [Impulse(166)[630, 630, 630], V Magnum(238)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 715: HP: 1273, STR: 397294, VIT: 1340, SPD: 56, LUK: 1, Attack: 481170, Defense: 88908, Current HP: 1273, A Avg: 1279912, D Avg: 88908, [Tornado(111)[630, 630, 630], Storm Wall(242)[630, 630, 66], Oculus Ring(315)[67, 803, 807]]
Rank 714: HP: 1273, STR: 397294, VIT: 1340, SPD: 56, LUK: 1, Attack: 481170, Defense: 88908, Current HP: 1273, A Avg: 1279912, D Avg: 88908, [Tornado(111)[630, 630, 630], Storm Wall(242)[630, 630, 67], Oculus Ring(315)[68, 803, 807]]
Rank 713: HP: 1356, STR: 544975, VIT: 947, SPD: 56, LUK: 1, Attack: 630515, Defense: 86565, Current HP: 1356, A Avg: 1279945, D Avg: 86565, [Zodiac(184)[630, 630, 630], Mask of the Grim Reaper(214)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 712: HP: 1151, STR: 544979, VIT: 1159, SPD: 56, LUK: 1, Attack: 630519, Defense: 85997, Current HP: 1151, A Avg: 1279953, D Avg: 85997, [Zodiac(184)[630, 630, 630], Bulletproof Shield(235)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 711: HP: 1311, STR: 545021, VIT: 894, SPD: 56, LUK: 1, Attack: 630561, Defense: 85758, Current HP: 1311, A Avg: 1280038, D Avg: 85758, [Zodiac(184)[630, 630, 630], Dragon's Head(217)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 710: HP: 1235, STR: 545021, VIT: 902, SPD: 59, LUK: 1, Attack: 630561, Defense: 85324, Current HP: 1235, A Avg: 1280038, D Avg: 85324, [Zodiac(184)[630, 630, 630], Superconducting Barrier(220)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 709: HP: 1311, STR: 545126, VIT: 1217, SPD: 56, LUK: 1, Attack: 630666, Defense: 88018, Current HP: 1311, A Avg: 1280251, D Avg: 88018, [Zodiac(184)[630, 630, 630], Riot(236)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 708: HP: 1501, STR: 397450, VIT: 1424, SPD: 56, LUK: 1, Attack: 481326, Defense: 88992, Current HP: 1501, A Avg: 1280327, D Avg: 88992, [Tornado(111)[630, 630, 630], Storm Wall(242)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 707: HP: 931, STR: 393760, VIT: 233, SPD: 59, LUK: 1, Attack: 481421, Defense: 84577, Current HP: 931, A Avg: 1280579, D Avg: 84577, [Neural Edge(190)[630, 630, 630], V Magnum(238)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 706: HP: 1368, STR: 397291, VIT: 1292, SPD: 56, LUK: 1, Attack: 481440, Defense: 88860, Current HP: 1368, A Avg: 1280630, D Avg: 88860, [Giant Tornado(114)[630, 630, 630], Storm Wall(242)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 705: HP: 1273, STR: 397291, VIT: 1276, SPD: 56, LUK: 1, Attack: 481440, Defense: 88844, Current HP: 1273, A Avg: 1280630, D Avg: 88844, [Giant Tornado(114)[630, 630, 630], Storm Wall(242)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 704: HP: 1368, STR: 397291, VIT: 1401, SPD: 56, LUK: 1, Attack: 481440, Defense: 88969, Current HP: 1368, A Avg: 1280630, D Avg: 88969, [Giant Tornado(114)[630, 630, 630], Storm Wall(242)[630, 630, 67], Mobius Ring(316)[68, 803, 807]]
Rank 703: HP: 1368, STR: 397291, VIT: 1292, SPD: 56, LUK: 1, Attack: 481440, Defense: 88860, Current HP: 1368, A Avg: 1280630, D Avg: 88860, [Giant Tornado(114)[630, 630, 630], Storm Wall(242)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 702: HP: 1273, STR: 397439, VIT: 1340, SPD: 56, LUK: 1, Attack: 481588, Defense: 88908, Current HP: 1273, A Avg: 1281024, D Avg: 88908, [Giant Tornado(114)[630, 630, 630], Storm Wall(242)[630, 630, 66], Oculus Ring(315)[67, 803, 807]]
Rank 701: HP: 1273, STR: 397439, VIT: 1340, SPD: 56, LUK: 1, Attack: 481588, Defense: 88908, Current HP: 1273, A Avg: 1281024, D Avg: 88908, [Giant Tornado(114)[630, 630, 630], Storm Wall(242)[630, 630, 67], Oculus Ring(315)[68, 803, 807]]
Rank 700: HP: 931, STR: 545529, VIT: 988, SPD: 56, LUK: 1, Attack: 631069, Defense: 85579, Current HP: 931, A Avg: 1281070, D Avg: 85579, [Zodiac(184)[630, 630, 630], Black Hole(229)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 699: HP: 1254, STR: 545529, VIT: 1043, SPD: 56, LUK: 1, Attack: 631069, Defense: 87961, Current HP: 1254, A Avg: 1281070, D Avg: 87961, [Zodiac(184)[630, 630, 630], White Hole(230)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 698: HP: 1860, STR: 545596, VIT: 1036, SPD: 56, LUK: 1, Attack: 631136, Defense: 87148, Current HP: 1860, A Avg: 1281206, D Avg: 87148, [Zodiac(184)[630, 630, 630], Goblin Hand(250)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 697: HP: 1273, STR: 545638, VIT: 1196, SPD: 56, LUK: 1, Attack: 631178, Defense: 86190, Current HP: 1273, A Avg: 1281291, D Avg: 86190, [Zodiac(184)[630, 630, 630], Metalization(228)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 696: HP: 1634, STR: 546436, VIT: 864, SPD: 59, LUK: 1, Attack: 631224, Defense: 87652, Current HP: 1634, A Avg: 1281384, D Avg: 87652, [Pulse Knife(165)[630, 630, 630], C Magnum(239)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 695: HP: 1501, STR: 397594, VIT: 1424, SPD: 56, LUK: 1, Attack: 481743, Defense: 88992, Current HP: 1501, A Avg: 1281436, D Avg: 88992, [Giant Tornado(114)[630, 630, 630], Storm Wall(242)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 694: HP: 1524, STR: 545386, VIT: 864, SPD: 56, LUK: 1, Attack: 631264, Defense: 85598, Current HP: 1524, A Avg: 1281465, D Avg: 85598, [Blue Sword(180)[630, 630, 630], Slafield(232)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 693: HP: 3720, STR: 543636, VIT: 2137, SPD: 56, LUK: 1, Attack: 631464, Defense: 89562, Current HP: 3720, A Avg: 1281871, D Avg: 89562, [Stargazer(183)[630, 630, 630], Cloud Shield(241)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 692: HP: 4313, STR: 545716, VIT: 1616, SPD: 56, LUK: 1, Attack: 631529, Defense: 91394, Current HP: 4313, A Avg: 1282003, D Avg: 91394, [Spear of Regression(182)[630, 630, 630], Blank Shield(244)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 691: HP: 2394, STR: 546520, VIT: 966, SPD: 59, LUK: 1, Attack: 631854, Defense: 87754, Current HP: 2394, A Avg: 1282663, D Avg: 87754, [Impulse(166)[630, 630, 630], C Magnum(239)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 690: HP: 1919, STR: 398330, VIT: 1804, SPD: 66, LUK: 1, Attack: 482206, Defense: 89372, Current HP: 1919, A Avg: 1282667, D Avg: 89372, [Tornado(111)[630, 630, 630], Storm Wall(242)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 689: HP: 1729, STR: 398212, VIT: 902, SPD: 66, LUK: 1, Attack: 482322, Defense: 84908, Current HP: 1729, A Avg: 1282976, D Avg: 84908, [Serpent(144)[630, 630, 630], Wings of Beast(210)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 688: HP: 1710, STR: 398212, VIT: 3505, SPD: 66, LUK: 1, Attack: 482322, Defense: 89175, Current HP: 1710, A Avg: 1282976, D Avg: 89175, [Serpent(144)[630, 630, 630], Shield of Thousand(246)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 687: HP: 893, STR: 546512, VIT: 614, SPD: 59, LUK: 1, Attack: 632052, Defense: 84750, Current HP: 893, A Avg: 1283065, D Avg: 84750, [Zodiac(184)[630, 630, 630], Magnum(237)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 686: HP: 1877, STR: 398375, VIT: 902, SPD: 66, LUK: 1, Attack: 482485, Defense: 85402, Current HP: 1877, A Avg: 1283410, D Avg: 85402, [Serpent(144)[630, 630, 630], Hard Wings of Beast(222)[630, 630, 67], Black Box(323)[68, 803, 807]]
