Rank 1000: HP: 1560, STR: 500046, VIT: 468, SPD: 48, LUK: 1, Attack: 584169, Defense: 86580, Current HP: 1560, A Avg: 1109921, D Avg: 86580, [Pinpoint(112)[630, 630, 630], Goblin Hand(250)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 781: HP: 1018, STR: 464906, VIT: 1006, SPD: 48, LUK: 1, Attack: 550446, Defense: 85844, Current HP: 1018, A Avg: 1117405, D Avg: 85844, [Zodiac(184)[630, 630, 630], Bulletproof Shield(235)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 780: HP: 3270, STR: 332261, VIT: 1865, SPD: 48, LUK: 1, Attack: 420089, Defense: 89290, Current HP: 3270, A Avg: 1117436, D Avg: 89290, [Stargazer(183)[630, 630, 630], Cloud Shield(241)[630, 630, 66], Oculus Ring(315)[67, 803, 807]]
Rank 779: HP: 3270, STR: 332261, VIT: 1865, SPD: 48, LUK: 1, Attack: 420089, Defense: 89290, Current HP: 3270, A Avg: 1117436, D Avg: 89290, [Stargazer(183)[630, 630, 630], Cloud Shield(241)[630, 630, 67], Oculus Ring(315)[68, 803, 807]]
Rank 778: HP: 1168, STR: 464948, VIT: 766, SPD: 48, LUK: 1, Attack: 550488, Defense: 85630, Current HP: 1168, A Avg: 1117490, D Avg: 85630, [Zodiac(184)[630, 630, 630], Dragon's Head(217)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 777: HP: 1092, STR: 464948, VIT: 774, SPD: 51, LUK: 1, Attack: 550488, Defense: 85196, Current HP: 1092, A Avg: 1117490, D Avg: 85196, [Zodiac(184)[630, 630, 630], Superconducting Barrier(220)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 776: HP: 3838, STR: 334342, VIT: 1368, SPD: 48, LUK: 1, Attack: 420155, Defense: 91146, Current HP: 3838, A Avg: 1117612, D Avg: 91146, [Spear of Regression(182)[630, 630, 630], Blank Shield(244)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 775: HP: 3838, STR: 334342, VIT: 1368, SPD: 48, LUK: 1, Attack: 420155, Defense: 91146, Current HP: 3838, A Avg: 1117612, D Avg: 91146, [Spear of Regression(182)[630, 630, 630], Blank Shield(244)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 774: HP: 1368, STR: 465217, VIT: 838, SPD: 51, LUK: 1, Attack: 550551, Defense: 85182, Current HP: 1368, A Avg: 1117618, D Avg: 85182, [Impulse(166)[630, 630, 630], V Magnum(238)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 773: HP: 1168, STR: 465032, VIT: 1055, SPD: 48, LUK: 1, Attack: 550572, Defense: 87856, Current HP: 1168, A Avg: 1117661, D Avg: 87856, [Zodiac(184)[630, 630, 630], Riot(236)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 772: HP: 3510, STR: 332359, VIT: 1924, SPD: 48, LUK: 1, Attack: 420187, Defense: 89349, Current HP: 3510, A Avg: 1117697, D Avg: 89349, [Stargazer(183)[630, 630, 630], Cloud Shield(241)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 771: HP: 3743, STR: 334486, VIT: 1416, SPD: 48, LUK: 1, Attack: 420299, Defense: 91194, Current HP: 3743, A Avg: 1117995, D Avg: 91194, [Spear of Regression(182)[630, 630, 630], Blank Shield(244)[630, 630, 66], Oculus Ring(315)[67, 803, 807]]
Rank 770: HP: 3743, STR: 334486, VIT: 1416, SPD: 48, LUK: 1, Attack: 420299, Defense: 91194, Current HP: 3743, A Avg: 1117995, D Avg: 91194, [Spear of Regression(182)[630, 630, 630], Blank Shield(244)[630, 630, 67], Oculus Ring(315)[68, 803, 807]]
Rank 769: HP: 931, STR: 334422, VIT: 558, SPD: 48, LUK: 1, Attack: 420300, Defense: 88386, Current HP: 931, A Avg: 1117997, D Avg: 88386, [God Hand(179)[630, 630, 630], Black Sword Breath(252)[630, 630, 630], The Third Eye(322)[67, 68, 807]]
Rank 768: HP: 3971, STR: 334583, VIT: 1475, SPD: 48, LUK: 1, Attack: 420396, Defense: 91253, Current HP: 3971, A Avg: 1118253, D Avg: 91253, [Spear of Regression(182)[630, 630, 630], Blank Shield(244)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 767: HP: 836, STR: 465372, VIT: 852, SPD: 48, LUK: 1, Attack: 550912, Defense: 85443, Current HP: 836, A Avg: 1118351, D Avg: 85443, [Zodiac(184)[630, 630, 630], Black Hole(229)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 766: HP: 1111, STR: 465372, VIT: 899, SPD: 48, LUK: 1, Attack: 550912, Defense: 87817, Current HP: 1111, A Avg: 1118351, D Avg: 87817, [Zodiac(184)[630, 630, 630], White Hole(230)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 765: HP: 3743, STR: 334630, VIT: 1336, SPD: 48, LUK: 1, Attack: 420443, Defense: 91114, Current HP: 3743, A Avg: 1118378, D Avg: 91114, [Spear of Regression(182)[630, 630, 630], Blank Shield(244)[630, 630, 67], Ring of power(314)[68, 803, 807]]
Rank 764: HP: 703, STR: 333417, VIT: 94, SPD: 48, LUK: 1, Attack: 420468, Defense: 87922, Current HP: 703, A Avg: 1118444, D Avg: 87922, [Tekken(188)[630, 630, 630], Black Sword Breath(252)[630, 630, 630], The Third Eye(322)[67, 68, 807]]
Rank 763: HP: 1660, STR: 465460, VIT: 900, SPD: 48, LUK: 1, Attack: 551000, Defense: 87012, Current HP: 1660, A Avg: 1118530, D Avg: 87012, [Zodiac(184)[630, 630, 630], Goblin Hand(250)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 762: HP: 1178, STR: 465502, VIT: 1060, SPD: 48, LUK: 1, Attack: 551042, Defense: 86054, Current HP: 1178, A Avg: 1118615, D Avg: 86054, [Zodiac(184)[630, 630, 630], Metalization(228)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 761: HP: 1344, STR: 465250, VIT: 744, SPD: 48, LUK: 1, Attack: 551128, Defense: 85478, Current HP: 1344, A Avg: 1118789, D Avg: 85478, [Blue Sword(180)[630, 630, 630], Slafield(232)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 760: HP: 1444, STR: 466405, VIT: 744, SPD: 51, LUK: 1, Attack: 551193, Defense: 87532, Current HP: 1444, A Avg: 1118921, D Avg: 87532, [Pulse Knife(165)[630, 630, 630], C Magnum(239)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 759: HP: 3850, STR: 333089, VIT: 2249, SPD: 57, LUK: 1, Attack: 420917, Defense: 89674, Current HP: 3850, A Avg: 1119639, D Avg: 89674, [Stargazer(183)[630, 630, 630], Cloud Shield(241)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 758: HP: 3270, STR: 463805, VIT: 1865, SPD: 48, LUK: 1, Attack: 551633, Defense: 89290, Current HP: 3270, A Avg: 1119814, D Avg: 89290, [Stargazer(183)[630, 630, 630], Cloud Shield(241)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 757: HP: 4294, STR: 335314, VIT: 1800, SPD: 57, LUK: 1, Attack: 421127, Defense: 91578, Current HP: 4294, A Avg: 1120197, D Avg: 91578, [Spear of Regression(182)[630, 630, 630], Blank Shield(244)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 756: HP: 2109, STR: 466489, VIT: 838, SPD: 51, LUK: 1, Attack: 551823, Defense: 87626, Current HP: 2109, A Avg: 1120200, D Avg: 87626, [Impulse(166)[630, 630, 630], C Magnum(239)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 755: HP: 3743, STR: 466030, VIT: 1416, SPD: 48, LUK: 1, Attack: 551843, Defense: 91194, Current HP: 3743, A Avg: 1120241, D Avg: 91194, [Spear of Regression(182)[630, 630, 630], Blank Shield(244)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 754: HP: 798, STR: 466334, VIT: 526, SPD: 51, LUK: 1, Attack: 551874, Defense: 84662, Current HP: 798, A Avg: 1120304, D Avg: 84662, [Zodiac(184)[630, 630, 630], Magnum(237)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 753: HP: 3270, STR: 464540, VIT: 1785, SPD: 48, LUK: 1, Attack: 552368, Defense: 89210, Current HP: 3270, A Avg: 1121307, D Avg: 89210, [Stargazer(183)[630, 630, 630], Cloud Shield(241)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 752: HP: 798, STR: 466876, VIT: 526, SPD: 51, LUK: 1, Attack: 552416, Defense: 84870, Current HP: 798, A Avg: 1121404, D Avg: 84870, [Zodiac(184)[630, 630, 630], V Magnum(238)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 751: HP: 3838, STR: 466800, VIT: 1460, SPD: 48, LUK: 1, Attack: 552613, Defense: 91238, Current HP: 3838, A Avg: 1121804, D Avg: 91238, [Spear of Regression(182)[630, 630, 630], Blank Shield(244)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 750: HP: 880, STR: 334209, VIT: 201, SPD: 48, LUK: 1, Attack: 421870, Defense: 83924, Current HP: 880, A Avg: 1122174, D Avg: 83924, [Neural Edge(190)[630, 630, 630], Pot Lid(201)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 749: HP: 880, STR: 334209, VIT: 201, SPD: 48, LUK: 1, Attack: 421870, Defense: 83934, Current HP: 880, A Avg: 1122174, D Avg: 83934, [Neural Edge(190)[630, 630, 630], High Pot Lid(202)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 748: HP: 836, STR: 334209, VIT: 222, SPD: 48, LUK: 1, Attack: 421870, Defense: 84091, Current HP: 836, A Avg: 1122174, D Avg: 84091, [Neural Edge(190)[630, 630, 630], Wooden Shield(203)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 747: HP: 836, STR: 334209, VIT: 227, SPD: 48, LUK: 1, Attack: 421870, Defense: 84031, Current HP: 836, A Avg: 1122174, D Avg: 84031, [Neural Edge(190)[630, 630, 630], Iron Shield(204)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 746: HP: 836, STR: 334209, VIT: 263, SPD: 48, LUK: 1, Attack: 421870, Defense: 84126, Current HP: 836, A Avg: 1122174, D Avg: 84126, [Neural Edge(190)[630, 630, 630], Titanium Shield(205)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 745: HP: 836, STR: 334209, VIT: 280, SPD: 48, LUK: 1, Attack: 421870, Defense: 84169, Current HP: 836, A Avg: 1122174, D Avg: 84169, [Neural Edge(190)[630, 630, 630], Large iron Shield(206)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 744: HP: 880, STR: 334209, VIT: 302, SPD: 48, LUK: 1, Attack: 421870, Defense: 84178, Current HP: 880, A Avg: 1122174, D Avg: 84178, [Neural Edge(190)[630, 630, 630], Magic Shield(207)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 743: HP: 1130, STR: 334209, VIT: 362, SPD: 48, LUK: 1, Attack: 421870, Defense: 84199, Current HP: 1130, A Avg: 1122174, D Avg: 84199, [Neural Edge(190)[630, 630, 630], Emerald Shield(209)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 742: HP: 940, STR: 334209, VIT: 256, SPD: 48, LUK: 1, Attack: 421870, Defense: 84028, Current HP: 940, A Avg: 1122174, D Avg: 84028, [Neural Edge(190)[630, 630, 630], Clear Shield(211)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 741: HP: 980, STR: 334209, VIT: 302, SPD: 48, LUK: 1, Attack: 421870, Defense: 84321, Current HP: 980, A Avg: 1122174, D Avg: 84321, [Neural Edge(190)[630, 630, 630], Prism Shield(212)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 740: HP: 912, STR: 334209, VIT: 272, SPD: 48, LUK: 1, Attack: 421870, Defense: 84200, Current HP: 912, A Avg: 1122174, D Avg: 84200, [Neural Edge(190)[630, 630, 630], Tower Shield(213)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 739: HP: 1386, STR: 334209, VIT: 449, SPD: 48, LUK: 1, Attack: 421870, Defense: 85011, Current HP: 1386, A Avg: 1122174, D Avg: 85011, [Neural Edge(190)[630, 630, 630], Slime Shield(221)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 738: HP: 1314, STR: 334209, VIT: 263, SPD: 48, LUK: 1, Attack: 421870, Defense: 84191, Current HP: 1314, A Avg: 1122174, D Avg: 84191, [Neural Edge(190)[630, 630, 630], Hardwood Shield(223)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 737: HP: 880, STR: 334209, VIT: 766, SPD: 48, LUK: 1, Attack: 421870, Defense: 87554, Current HP: 880, A Avg: 1122174, D Avg: 87554, [Neural Edge(190)[630, 630, 630], Energy Shield(227)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 736: HP: 2612, STR: 334209, VIT: 214, SPD: 48, LUK: 1, Attack: 421870, Defense: 86131, Current HP: 2612, A Avg: 1122174, D Avg: 86131, [Neural Edge(190)[630, 630, 630], Frying Pan(231)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 735: HP: 1584, STR: 334209, VIT: 512, SPD: 48, LUK: 1, Attack: 421870, Defense: 85246, Current HP: 1584, A Avg: 1122174, D Avg: 85246, [Neural Edge(190)[630, 630, 630], Slafield(232)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 734: HP: 1310, STR: 334209, VIT: 449, SPD: 48, LUK: 1, Attack: 421870, Defense: 85924, Current HP: 1310, A Avg: 1122174, D Avg: 85924, [Neural Edge(190)[630, 630, 630], Mist Shield(233)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 733: HP: 1026, STR: 334209, VIT: 707, SPD: 48, LUK: 1, Attack: 421870, Defense: 85675, Current HP: 1026, A Avg: 1122174, D Avg: 85675, [Neural Edge(190)[630, 630, 630], Huge Shield(234)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 732: HP: 950, STR: 334209, VIT: 777, SPD: 48, LUK: 1, Attack: 421870, Defense: 87617, Current HP: 950, A Avg: 1122174, D Avg: 87617, [Neural Edge(190)[630, 630, 630], Aurora Shield(240)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 731: HP: 1750, STR: 334209, VIT: 619, SPD: 48, LUK: 1, Attack: 421870, Defense: 88044, Current HP: 1750, A Avg: 1122174, D Avg: 88044, [Neural Edge(190)[630, 630, 630], Cloud Shield(241)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 730: HP: 836, STR: 334209, VIT: 201, SPD: 48, LUK: 1, Attack: 421870, Defense: 86990, Current HP: 836, A Avg: 1122174, D Avg: 86990, [Neural Edge(190)[630, 630, 630], Graffiti(243)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 729: HP: 836, STR: 334209, VIT: 1129, SPD: 48, LUK: 1, Attack: 421870, Defense: 90907, Current HP: 836, A Avg: 1122174, D Avg: 90907, [Neural Edge(190)[630, 630, 630], Blank Shield(244)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 728: HP: 1311, STR: 334209, VIT: 1616, SPD: 48, LUK: 1, Attack: 421870, Defense: 88404, Current HP: 1311, A Avg: 1122174, D Avg: 88404, [Neural Edge(190)[630, 630, 630], Golem Shield(245)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 727: HP: 1121, STR: 334209, VIT: 588, SPD: 51, LUK: 1, Attack: 421870, Defense: 86466, Current HP: 1121, A Avg: 1122174, D Avg: 86466, [Neural Edge(190)[630, 630, 630], Sticky thread shield(247)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 726: HP: 1725, STR: 334209, VIT: 595, SPD: 48, LUK: 1, Attack: 421870, Defense: 86811, Current HP: 1725, A Avg: 1122174, D Avg: 86811, [Neural Edge(190)[630, 630, 630], King Shield(248)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 725: HP: 1280, STR: 334209, VIT: 707, SPD: 48, LUK: 1, Attack: 421870, Defense: 87742, Current HP: 1280, A Avg: 1122174, D Avg: 87742, [Neural Edge(190)[630, 630, 630], Warrior's Shield(249)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 724: HP: 880, STR: 334209, VIT: 758, SPD: 48, LUK: 1, Attack: 421870, Defense: 87806, Current HP: 880, A Avg: 1122174, D Avg: 87806, [Neural Edge(190)[630, 630, 630], Ghost shield(251)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 723: HP: 1586, STR: 329698, VIT: 467, SPD: 48, LUK: 1, Attack: 421884, Defense: 87385, Current HP: 1586, A Avg: 1122211, D Avg: 87385, [Big Bang(171)[630, 630, 630], White Hole(230)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 722: HP: 1491, STR: 329698, VIT: 451, SPD: 48, LUK: 1, Attack: 421884, Defense: 87369, Current HP: 1491, A Avg: 1122211, D Avg: 87369, [Big Bang(171)[630, 630, 630], White Hole(230)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 721: HP: 1586, STR: 329698, VIT: 560, SPD: 48, LUK: 1, Attack: 421884, Defense: 87478, Current HP: 1586, A Avg: 1122211, D Avg: 87478, [Big Bang(171)[630, 630, 630], White Hole(230)[630, 630, 67], Mobius Ring(316)[68, 803, 807]]
Rank 720: HP: 1586, STR: 329698, VIT: 467, SPD: 48, LUK: 1, Attack: 421884, Defense: 87385, Current HP: 1586, A Avg: 1122211, D Avg: 87385, [Big Bang(171)[630, 630, 630], White Hole(230)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 719: HP: 1077, STR: 334245, VIT: 370, SPD: 48, LUK: 1, Attack: 421906, Defense: 84311, Current HP: 1077, A Avg: 1122269, D Avg: 84311, [Neural Edge(190)[630, 630, 630], Dragon's Scales(215)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 718: HP: 836, STR: 334331, VIT: 302, SPD: 51, LUK: 1, Attack: 421992, Defense: 84327, Current HP: 836, A Avg: 1122498, D Avg: 84327, [Neural Edge(190)[630, 630, 630], Conductive Barrier(208)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 717: HP: 1206, STR: 334349, VIT: 372, SPD: 48, LUK: 1, Attack: 422010, Defense: 84612, Current HP: 1206, A Avg: 1122546, D Avg: 84612, [Neural Edge(190)[630, 630, 630], Dragon's Wings(216)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 716: HP: 1491, STR: 329842, VIT: 515, SPD: 48, LUK: 1, Attack: 422028, Defense: 87433, Current HP: 1491, A Avg: 1122594, D Avg: 87433, [Big Bang(171)[630, 630, 630], White Hole(230)[630, 630, 66], Oculus Ring(315)[67, 803, 807]]
Rank 715: HP: 1491, STR: 329842, VIT: 515, SPD: 48, LUK: 1, Attack: 422028, Defense: 87433, Current HP: 1491, A Avg: 1122594, D Avg: 87433, [Big Bang(171)[630, 630, 630], White Hole(230)[630, 630, 67], Oculus Ring(315)[68, 803, 807]]
Rank 714: HP: 1236, STR: 334432, VIT: 486, SPD: 48, LUK: 1, Attack: 422093, Defense: 86104, Current HP: 1236, A Avg: 1122767, D Avg: 86104, [Neural Edge(190)[630, 630, 630], Mask of the Grim Reaper(214)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 713: HP: 1056, STR: 334436, VIT: 661, SPD: 48, LUK: 1, Attack: 422097, Defense: 85499, Current HP: 1056, A Avg: 1122778, D Avg: 85499, [Neural Edge(190)[630, 630, 630], Bulletproof Shield(235)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 712: HP: 1719, STR: 329939, VIT: 574, SPD: 48, LUK: 1, Attack: 422125, Defense: 87492, Current HP: 1719, A Avg: 1122852, D Avg: 87492, [Big Bang(171)[630, 630, 630], White Hole(230)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 711: HP: 1206, STR: 334472, VIT: 421, SPD: 48, LUK: 1, Attack: 422133, Defense: 85285, Current HP: 1206, A Avg: 1122873, D Avg: 85285, [Neural Edge(190)[630, 630, 630], Dragon's Head(217)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 710: HP: 1130, STR: 334472, VIT: 449, SPD: 51, LUK: 1, Attack: 422133, Defense: 84871, Current HP: 1130, A Avg: 1122873, D Avg: 84871, [Neural Edge(190)[630, 630, 630], Superconducting Barrier(220)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 709: HP: 1491, STR: 329986, VIT: 435, SPD: 48, LUK: 1, Attack: 422172, Defense: 87353, Current HP: 1491, A Avg: 1122977, D Avg: 87353, [Big Bang(171)[630, 630, 630], White Hole(230)[630, 630, 67], Ring of power(314)[68, 803, 807]]
Rank 708: HP: 1206, STR: 334544, VIT: 710, SPD: 48, LUK: 1, Attack: 422205, Defense: 87511, Current HP: 1206, A Avg: 1123065, D Avg: 87511, [Neural Edge(190)[630, 630, 630], Riot(236)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 707: HP: 1491, STR: 461386, VIT: 515, SPD: 48, LUK: 1, Attack: 553572, Defense: 87433, Current HP: 1491, A Avg: 1123751, D Avg: 87433, [Big Bang(171)[630, 630, 630], White Hole(230)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 706: HP: 874, STR: 334835, VIT: 528, SPD: 48, LUK: 1, Attack: 422496, Defense: 85119, Current HP: 874, A Avg: 1123839, D Avg: 85119, [Neural Edge(190)[630, 630, 630], Black Hole(229)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 705: HP: 1149, STR: 334835, VIT: 574, SPD: 48, LUK: 1, Attack: 422496, Defense: 87492, Current HP: 1149, A Avg: 1123839, D Avg: 87492, [Neural Edge(190)[630, 630, 630], White Hole(230)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 704: HP: 1539, STR: 468148, VIT: 526, SPD: 51, LUK: 1, Attack: 553688, Defense: 87314, Current HP: 1539, A Avg: 1123986, D Avg: 87314, [Zodiac(184)[630, 630, 630], C Magnum(239)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 703: HP: 1700, STR: 334911, VIT: 576, SPD: 48, LUK: 1, Attack: 422572, Defense: 86688, Current HP: 1700, A Avg: 1124041, D Avg: 86688, [Neural Edge(190)[630, 630, 630], Goblin Hand(250)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 702: HP: 1216, STR: 334947, VIT: 715, SPD: 48, LUK: 1, Attack: 422608, Defense: 85709, Current HP: 1216, A Avg: 1124137, D Avg: 85709, [Neural Edge(190)[630, 630, 630], Metalization(228)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 701: HP: 1273, STR: 338816, VIT: 1156, SPD: 48, LUK: 1, Attack: 422692, Defense: 88724, Current HP: 1273, A Avg: 1124360, D Avg: 88724, [Tornado(111)[630, 630, 630], Storm Wall(242)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 700: HP: 1178, STR: 338816, VIT: 1140, SPD: 48, LUK: 1, Attack: 422692, Defense: 88708, Current HP: 1178, A Avg: 1124360, D Avg: 88708, [Tornado(111)[630, 630, 630], Storm Wall(242)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 699: HP: 1273, STR: 338816, VIT: 1249, SPD: 48, LUK: 1, Attack: 422692, Defense: 88817, Current HP: 1273, A Avg: 1124360, D Avg: 88817, [Tornado(111)[630, 630, 630], Storm Wall(242)[630, 630, 67], Mobius Ring(316)[68, 803, 807]]
Rank 698: HP: 1273, STR: 338816, VIT: 1156, SPD: 48, LUK: 1, Attack: 422692, Defense: 88724, Current HP: 1273, A Avg: 1124360, D Avg: 88724, [Tornado(111)[630, 630, 630], Storm Wall(242)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 697: HP: 1178, STR: 338964, VIT: 1204, SPD: 48, LUK: 1, Attack: 422840, Defense: 88772, Current HP: 1178, A Avg: 1124754, D Avg: 88772, [Tornado(111)[630, 630, 630], Storm Wall(242)[630, 630, 66], Oculus Ring(315)[67, 803, 807]]
Rank 696: HP: 1178, STR: 338964, VIT: 1204, SPD: 48, LUK: 1, Attack: 422840, Defense: 88772, Current HP: 1178, A Avg: 1124754, D Avg: 88772, [Tornado(111)[630, 630, 630], Storm Wall(242)[630, 630, 67], Oculus Ring(315)[68, 803, 807]]
Rank 695: HP: 2042, STR: 330670, VIT: 899, SPD: 57, LUK: 1, Attack: 422856, Defense: 87817, Current HP: 2042, A Avg: 1124796, D Avg: 87817, [Big Bang(171)[630, 630, 630], White Hole(230)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 694: HP: 1406, STR: 339064, VIT: 1264, SPD: 48, LUK: 1, Attack: 422940, Defense: 88832, Current HP: 1406, A Avg: 1125020, D Avg: 88832, [Tornado(111)[630, 630, 630], Storm Wall(242)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 693: HP: 1273, STR: 338942, VIT: 1156, SPD: 48, LUK: 1, Attack: 423091, Defense: 88724, Current HP: 1273, A Avg: 1125422, D Avg: 88724, [Giant Tornado(114)[630, 630, 630], Storm Wall(242)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 692: HP: 1178, STR: 338942, VIT: 1140, SPD: 48, LUK: 1, Attack: 423091, Defense: 88708, Current HP: 1178, A Avg: 1125422, D Avg: 88708, [Giant Tornado(114)[630, 630, 630], Storm Wall(242)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 691: HP: 1273, STR: 338942, VIT: 1249, SPD: 48, LUK: 1, Attack: 423091, Defense: 88817, Current HP: 1273, A Avg: 1125422, D Avg: 88817, [Giant Tornado(114)[630, 630, 630], Storm Wall(242)[630, 630, 67], Mobius Ring(316)[68, 803, 807]]
Rank 690: HP: 1273, STR: 338942, VIT: 1156, SPD: 48, LUK: 1, Attack: 423091, Defense: 88724, Current HP: 1273, A Avg: 1125422, D Avg: 88724, [Giant Tornado(114)[630, 630, 630], Storm Wall(242)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 689: HP: 1178, STR: 339090, VIT: 1204, SPD: 48, LUK: 1, Attack: 423239, Defense: 88772, Current HP: 1178, A Avg: 1125815, D Avg: 88772, [Giant Tornado(114)[630, 630, 630], Storm Wall(242)[630, 630, 66], Oculus Ring(315)[67, 803, 807]]
Rank 688: HP: 1178, STR: 339090, VIT: 1204, SPD: 48, LUK: 1, Attack: 423239, Defense: 88772, Current HP: 1178, A Avg: 1125815, D Avg: 88772, [Giant Tornado(114)[630, 630, 630], Storm Wall(242)[630, 630, 67], Oculus Ring(315)[68, 803, 807]]
Rank 687: HP: 836, STR: 335660, VIT: 201, SPD: 51, LUK: 1, Attack: 423321, Defense: 84337, Current HP: 836, A Avg: 1126033, D Avg: 84337, [Neural Edge(190)[630, 630, 630], Magnum(237)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 686: HP: 1406, STR: 339190, VIT: 1264, SPD: 48, LUK: 1, Attack: 423339, Defense: 88832, Current HP: 1406, A Avg: 1126081, D Avg: 88832, [Giant Tornado(114)[630, 630, 630], Storm Wall(242)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 685: HP: 1729, STR: 339815, VIT: 1588, SPD: 57, LUK: 1, Attack: 423691, Defense: 89156, Current HP: 1729, A Avg: 1127018, D Avg: 89156, [Tornado(111)[630, 630, 630], Storm Wall(242)[630, 630, 67], Black Box(323)[68, 803, 807]]
