Rank 1000: HP: 380, STR: 288330, VIT: 123, SPD: 8, LUK: 1, Attack: 373662, Defense: 83986, Current HP: 380, A Avg: 993940, D Avg: 83986, [Tower(149)[230, 230, 230], Small Sword(218)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 733: HP: 380, STR: 289389, VIT: 118, SPD: 8, LUK: 1, Attack: 377050, Defense: 87166, Current HP: 380, A Avg: 1002952, D Avg: 87166, [Neural Edge(190)[230, 230, 230], Ghost shield(251)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 732: HP: 361, STR: 289422, VIT: 62, SPD: 8, LUK: 1, Attack: 377083, Defense: 84087, Current HP: 361, A Avg: 1003040, D Avg: 84087, [Neural Edge(190)[230, 230, 230], Conductive Barrier(208)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 731: HP: 459, STR: 289425, VIT: 73, SPD: 8, LUK: 1, Attack: 377086, Defense: 84014, Current HP: 459, A Avg: 1003048, D Avg: 84014, [Neural Edge(190)[230, 230, 230], Dragon's Scales(215)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 730: HP: 436, STR: 289432, VIT: 86, SPD: 8, LUK: 1, Attack: 377093, Defense: 85704, Current HP: 436, A Avg: 1003067, D Avg: 85704, [Neural Edge(190)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 729: HP: 391, STR: 289436, VIT: 193, SPD: 8, LUK: 1, Attack: 377097, Defense: 85031, Current HP: 391, A Avg: 1003078, D Avg: 85031, [Neural Edge(190)[230, 230, 230], Bulletproof Shield(235)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 728: HP: 494, STR: 289440, VIT: 74, SPD: 8, LUK: 1, Attack: 377101, Defense: 84314, Current HP: 494, A Avg: 1003088, D Avg: 84314, [Neural Edge(190)[230, 230, 230], Dragon's Wings(216)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 727: HP: 494, STR: 289454, VIT: 200, SPD: 8, LUK: 1, Attack: 377115, Defense: 87001, Current HP: 494, A Avg: 1003125, D Avg: 87001, [Neural Edge(190)[230, 230, 230], Riot(236)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 726: HP: 494, STR: 289472, VIT: 81, SPD: 8, LUK: 1, Attack: 377133, Defense: 84945, Current HP: 494, A Avg: 1003173, D Avg: 84945, [Neural Edge(190)[230, 230, 230], Dragon's Head(217)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 725: HP: 418, STR: 289472, VIT: 89, SPD: 8, LUK: 1, Attack: 377133, Defense: 84511, Current HP: 418, A Avg: 1003173, D Avg: 84511, [Neural Edge(190)[230, 230, 230], Superconducting Barrier(220)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 724: HP: 399, STR: 289476, VIT: 128, SPD: 8, LUK: 1, Attack: 377137, Defense: 84719, Current HP: 399, A Avg: 1003184, D Avg: 84719, [Neural Edge(190)[230, 230, 230], Black Hole(229)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 723: HP: 437, STR: 289476, VIT: 134, SPD: 8, LUK: 1, Attack: 377137, Defense: 87052, Current HP: 437, A Avg: 1003184, D Avg: 87052, [Neural Edge(190)[230, 230, 230], White Hole(230)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 722: HP: 700, STR: 289641, VIT: 176, SPD: 8, LUK: 1, Attack: 377302, Defense: 86288, Current HP: 700, A Avg: 1003623, D Avg: 86288, [Neural Edge(190)[230, 230, 230], Goblin Hand(250)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 721: HP: 741, STR: 289677, VIT: 333, SPD: 8, LUK: 1, Attack: 377338, Defense: 85327, Current HP: 741, A Avg: 1003719, D Avg: 85327, [Neural Edge(190)[230, 230, 230], Metalization(228)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 720: HP: 1121, STR: 291924, VIT: 355, SPD: 8, LUK: 1, Attack: 377737, Defense: 90133, Current HP: 1121, A Avg: 1004780, D Avg: 90133, [Spear of Regression(182)[230, 230, 230], Blank Shield(244)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 719: HP: 988, STR: 291952, VIT: 368, SPD: 8, LUK: 1, Attack: 377765, Defense: 90146, Current HP: 988, A Avg: 1004854, D Avg: 90146, [Spear of Regression(182)[230, 230, 230], Blank Shield(244)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 718: HP: 988, STR: 291952, VIT: 368, SPD: 8, LUK: 1, Attack: 377765, Defense: 90146, Current HP: 988, A Avg: 1004854, D Avg: 90146, [Spear of Regression(182)[230, 230, 230], Blank Shield(244)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 717: HP: 969, STR: 292024, VIT: 400, SPD: 9, LUK: 1, Attack: 377837, Defense: 90178, Current HP: 969, A Avg: 1005046, D Avg: 90178, [Spear of Regression(182)[230, 230, 230], Blank Shield(244)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 716: HP: 361, STR: 290210, VIT: 41, SPD: 8, LUK: 1, Attack: 377871, Defense: 84177, Current HP: 361, A Avg: 1005136, D Avg: 84177, [Neural Edge(190)[230, 230, 230], Magnum(237)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 715: HP: 893, STR: 292096, VIT: 416, SPD: 8, LUK: 1, Attack: 377909, Defense: 90194, Current HP: 893, A Avg: 1005237, D Avg: 90194, [Spear of Regression(182)[230, 230, 230], Blank Shield(244)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 714: HP: 893, STR: 292096, VIT: 416, SPD: 8, LUK: 1, Attack: 377909, Defense: 90194, Current HP: 893, A Avg: 1005237, D Avg: 90194, [Spear of Regression(182)[230, 230, 230], Blank Shield(244)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 713: HP: 893, STR: 292240, VIT: 336, SPD: 8, LUK: 1, Attack: 378053, Defense: 90114, Current HP: 893, A Avg: 1005620, D Avg: 90114, [Spear of Regression(182)[230, 230, 230], Blank Shield(244)[230, 230, 67], Ring of power(314)[68, 803, 807]]
Rank 712: HP: 361, STR: 290584, VIT: 41, SPD: 8, LUK: 1, Attack: 378245, Defense: 84385, Current HP: 361, A Avg: 1006131, D Avg: 84385, [Neural Edge(190)[230, 230, 230], V Magnum(238)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 711: HP: 779, STR: 403552, VIT: 195, SPD: 8, LUK: 1, Attack: 495738, Defense: 87113, Current HP: 779, A Avg: 1006348, D Avg: 87113, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 710: HP: 627, STR: 291045, VIT: 41, SPD: 8, LUK: 1, Attack: 378706, Defense: 86829, Current HP: 627, A Avg: 1007357, D Avg: 86829, [Neural Edge(190)[230, 230, 230], C Magnum(239)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 709: HP: 703, STR: 413776, VIT: 444, SPD: 8, LUK: 1, Attack: 497652, Defense: 88012, Current HP: 703, A Avg: 1010233, D Avg: 88012, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 708: HP: 703, STR: 413814, VIT: 444, SPD: 8, LUK: 1, Attack: 497963, Defense: 88012, Current HP: 703, A Avg: 1010864, D Avg: 88012, [Giant Tornado(114)[230, 230, 230], Storm Wall(242)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 707: HP: 247, STR: 448228, VIT: 75, SPD: 8, LUK: 1, Attack: 532351, Defense: 84081, Current HP: 247, A Avg: 1011466, D Avg: 84081, [Pinpoint(112)[230, 230, 230], Wings of Beast(210)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 706: HP: 228, STR: 448228, VIT: 374, SPD: 8, LUK: 1, Attack: 532351, Defense: 86044, Current HP: 228, A Avg: 1011466, D Avg: 86044, [Pinpoint(112)[230, 230, 230], Shield of Thousand(246)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 705: HP: 281, STR: 448284, VIT: 75, SPD: 8, LUK: 1, Attack: 532407, Defense: 84575, Current HP: 281, A Avg: 1011573, D Avg: 84575, [Pinpoint(112)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 704: HP: 307, STR: 448384, VIT: 83, SPD: 8, LUK: 1, Attack: 532507, Defense: 84089, Current HP: 307, A Avg: 1011763, D Avg: 84089, [Pinpoint(112)[230, 230, 230], Small Dragon Sword(224)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 703: HP: 1007, STR: 288180, VIT: 134, SPD: 8, LUK: 1, Attack: 380366, Defense: 87052, Current HP: 1007, A Avg: 1011773, D Avg: 87052, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 702: HP: 247, STR: 448396, VIT: 68, SPD: 8, LUK: 1, Attack: 532519, Defense: 83931, Current HP: 247, A Avg: 1011786, D Avg: 83931, [Pinpoint(112)[230, 230, 230], Small Sword(218)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 701: HP: 247, STR: 413634, VIT: 164, SPD: 8, LUK: 1, Attack: 498422, Defense: 84170, Current HP: 247, A Avg: 1011796, D Avg: 84170, [Pulse Knife(165)[230, 230, 230], Wings of Beast(210)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 700: HP: 228, STR: 413634, VIT: 464, SPD: 8, LUK: 1, Attack: 498422, Defense: 86134, Current HP: 228, A Avg: 1011796, D Avg: 86134, [Pulse Knife(165)[230, 230, 230], Shield of Thousand(246)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 699: HP: 304, STR: 296277, VIT: 134, SPD: 9, LUK: 1, Attack: 380387, Defense: 84140, Current HP: 304, A Avg: 1011829, D Avg: 84140, [Serpent(144)[230, 230, 230], Wings of Beast(210)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 698: HP: 285, STR: 296277, VIT: 433, SPD: 9, LUK: 1, Attack: 380387, Defense: 86103, Current HP: 285, A Avg: 1011829, D Avg: 86103, [Serpent(144)[230, 230, 230], Shield of Thousand(246)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 697: HP: 931, STR: 296514, VIT: 464, SPD: 8, LUK: 1, Attack: 380390, Defense: 88032, Current HP: 931, A Avg: 1011837, D Avg: 88032, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 696: HP: 323, STR: 448428, VIT: 75, SPD: 8, LUK: 1, Attack: 532551, Defense: 83964, Current HP: 323, A Avg: 1011846, D Avg: 83964, [Pinpoint(112)[230, 230, 230], Small Lion(219)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 695: HP: 874, STR: 288208, VIT: 147, SPD: 8, LUK: 1, Attack: 380394, Defense: 87065, Current HP: 874, A Avg: 1011848, D Avg: 87065, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 694: HP: 779, STR: 288208, VIT: 131, SPD: 8, LUK: 1, Attack: 380394, Defense: 87049, Current HP: 779, A Avg: 1011848, D Avg: 87049, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 693: HP: 874, STR: 288208, VIT: 160, SPD: 8, LUK: 1, Attack: 380394, Defense: 87078, Current HP: 874, A Avg: 1011848, D Avg: 87078, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 692: HP: 874, STR: 288208, VIT: 147, SPD: 8, LUK: 1, Attack: 380394, Defense: 87065, Current HP: 874, A Avg: 1011848, D Avg: 87065, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 691: HP: 798, STR: 296543, VIT: 476, SPD: 8, LUK: 1, Attack: 380419, Defense: 88044, Current HP: 798, A Avg: 1011914, D Avg: 88044, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 690: HP: 703, STR: 296543, VIT: 460, SPD: 8, LUK: 1, Attack: 380419, Defense: 88028, Current HP: 703, A Avg: 1011914, D Avg: 88028, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 689: HP: 798, STR: 296543, VIT: 489, SPD: 8, LUK: 1, Attack: 380419, Defense: 88057, Current HP: 798, A Avg: 1011914, D Avg: 88057, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 688: HP: 798, STR: 296543, VIT: 476, SPD: 8, LUK: 1, Attack: 380419, Defense: 88044, Current HP: 798, A Avg: 1011914, D Avg: 88044, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 687: HP: 281, STR: 413694, VIT: 164, SPD: 8, LUK: 1, Attack: 498482, Defense: 84664, Current HP: 281, A Avg: 1011918, D Avg: 84664, [Pulse Knife(165)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 686: HP: 338, STR: 296329, VIT: 134, SPD: 9, LUK: 1, Attack: 380439, Defense: 84634, Current HP: 338, A Avg: 1011967, D Avg: 84634, [Serpent(144)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 685: HP: 855, STR: 288280, VIT: 179, SPD: 9, LUK: 1, Attack: 380466, Defense: 87097, Current HP: 855, A Avg: 1012039, D Avg: 87097, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 684: HP: 779, STR: 296617, VIT: 508, SPD: 9, LUK: 1, Attack: 380493, Defense: 88076, Current HP: 779, A Avg: 1012111, D Avg: 88076, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 683: HP: 307, STR: 413801, VIT: 172, SPD: 8, LUK: 1, Attack: 498589, Defense: 84178, Current HP: 307, A Avg: 1012135, D Avg: 84178, [Pulse Knife(165)[230, 230, 230], Small Dragon Sword(224)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 682: HP: 247, STR: 413814, VIT: 158, SPD: 8, LUK: 1, Attack: 498602, Defense: 84021, Current HP: 247, A Avg: 1012162, D Avg: 84021, [Pulse Knife(165)[230, 230, 230], Small Sword(218)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 681: HP: 364, STR: 296421, VIT: 142, SPD: 9, LUK: 1, Attack: 380531, Defense: 84148, Current HP: 364, A Avg: 1012212, D Avg: 84148, [Serpent(144)[230, 230, 230], Small Dragon Sword(224)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 680: HP: 798, STR: 448628, VIT: 470, SPD: 8, LUK: 1, Attack: 532751, Defense: 88038, Current HP: 798, A Avg: 1012226, D Avg: 88038, [Pinpoint(112)[230, 230, 230], Storm Wall(242)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 679: HP: 779, STR: 288352, VIT: 195, SPD: 8, LUK: 1, Attack: 380538, Defense: 87113, Current HP: 779, A Avg: 1012231, D Avg: 87113, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 678: HP: 779, STR: 288352, VIT: 195, SPD: 8, LUK: 1, Attack: 380538, Defense: 87113, Current HP: 779, A Avg: 1012231, D Avg: 87113, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 677: HP: 323, STR: 413849, VIT: 164, SPD: 8, LUK: 1, Attack: 498637, Defense: 84053, Current HP: 323, A Avg: 1012233, D Avg: 84053, [Pulse Knife(165)[230, 230, 230], Small Lion(219)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 676: HP: 304, STR: 296432, VIT: 128, SPD: 9, LUK: 1, Attack: 380542, Defense: 83991, Current HP: 304, A Avg: 1012241, D Avg: 83991, [Serpent(144)[230, 230, 230], Small Sword(218)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 675: HP: 228, STR: 448652, VIT: 54, SPD: 8, LUK: 1, Attack: 532775, Defense: 84242, Current HP: 228, A Avg: 1012272, D Avg: 84242, [Pinpoint(112)[230, 230, 230], Dragon Sword(225)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 674: HP: 703, STR: 296691, VIT: 524, SPD: 8, LUK: 1, Attack: 380567, Defense: 88092, Current HP: 703, A Avg: 1012308, D Avg: 88092, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 673: HP: 703, STR: 296691, VIT: 524, SPD: 8, LUK: 1, Attack: 380567, Defense: 88092, Current HP: 703, A Avg: 1012308, D Avg: 88092, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 672: HP: 380, STR: 296462, VIT: 134, SPD: 9, LUK: 1, Attack: 380572, Defense: 84023, Current HP: 380, A Avg: 1012321, D Avg: 84023, [Serpent(144)[230, 230, 230], Small Lion(219)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 671: HP: 304, STR: 448788, VIT: 99, SPD: 8, LUK: 1, Attack: 532911, Defense: 85327, Current HP: 304, A Avg: 1012530, D Avg: 85327, [Pinpoint(112)[230, 230, 230], Wave Motion Sword(226)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 670: HP: 779, STR: 288496, VIT: 115, SPD: 8, LUK: 1, Attack: 380682, Defense: 87033, Current HP: 779, A Avg: 1012614, D Avg: 87033, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 67], Ring of power(314)[68, 803, 807]]
Rank 669: HP: 931, STR: 296547, VIT: 464, SPD: 8, LUK: 1, Attack: 380696, Defense: 88032, Current HP: 931, A Avg: 1012651, D Avg: 88032, [Giant Tornado(114)[230, 230, 230], Storm Wall(242)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 668: HP: 798, STR: 414064, VIT: 560, SPD: 8, LUK: 1, Attack: 498852, Defense: 88128, Current HP: 798, A Avg: 1012669, D Avg: 88128, [Pulse Knife(165)[230, 230, 230], Storm Wall(242)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 667: HP: 228, STR: 414090, VIT: 144, SPD: 8, LUK: 1, Attack: 498878, Defense: 84332, Current HP: 228, A Avg: 1012722, D Avg: 84332, [Pulse Knife(165)[230, 230, 230], Dragon Sword(225)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 666: HP: 798, STR: 296577, VIT: 476, SPD: 8, LUK: 1, Attack: 380726, Defense: 88044, Current HP: 798, A Avg: 1012731, D Avg: 88044, [Giant Tornado(114)[230, 230, 230], Storm Wall(242)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 665: HP: 703, STR: 296577, VIT: 460, SPD: 8, LUK: 1, Attack: 380726, Defense: 88028, Current HP: 703, A Avg: 1012731, D Avg: 88028, [Giant Tornado(114)[230, 230, 230], Storm Wall(242)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 664: HP: 798, STR: 296577, VIT: 489, SPD: 8, LUK: 1, Attack: 380726, Defense: 88057, Current HP: 798, A Avg: 1012731, D Avg: 88057, [Giant Tornado(114)[230, 230, 230], Storm Wall(242)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 663: HP: 798, STR: 296577, VIT: 476, SPD: 8, LUK: 1, Attack: 380726, Defense: 88044, Current HP: 798, A Avg: 1012731, D Avg: 88044, [Giant Tornado(114)[230, 230, 230], Storm Wall(242)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 662: HP: 855, STR: 296647, VIT: 529, SPD: 9, LUK: 1, Attack: 380757, Defense: 88097, Current HP: 855, A Avg: 1012813, D Avg: 88097, [Serpent(144)[230, 230, 230], Storm Wall(242)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 661: HP: 285, STR: 296669, VIT: 113, SPD: 9, LUK: 1, Attack: 380779, Defense: 84301, Current HP: 285, A Avg: 1012872, D Avg: 84301, [Serpent(144)[230, 230, 230], Dragon Sword(225)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 660: HP: 703, STR: 415091, VIT: 524, SPD: 8, LUK: 1, Attack: 498967, Defense: 88092, Current HP: 703, A Avg: 1012903, D Avg: 88092, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 659: HP: 779, STR: 296651, VIT: 508, SPD: 9, LUK: 1, Attack: 380800, Defense: 88076, Current HP: 779, A Avg: 1012927, D Avg: 88076, [Giant Tornado(114)[230, 230, 230], Storm Wall(242)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 658: HP: 304, STR: 414236, VIT: 188, SPD: 8, LUK: 1, Attack: 499024, Defense: 85416, Current HP: 304, A Avg: 1013018, D Avg: 85416, [Pulse Knife(165)[230, 230, 230], Wave Motion Sword(226)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 657: HP: 437, STR: 413720, VIT: 219, SPD: 8, LUK: 1, Attack: 499054, Defense: 84225, Current HP: 437, A Avg: 1013079, D Avg: 84225, [Impulse(166)[230, 230, 230], Wings of Beast(210)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 656: HP: 418, STR: 413720, VIT: 518, SPD: 8, LUK: 1, Attack: 499054, Defense: 86188, Current HP: 418, A Avg: 1013079, D Avg: 86188, [Impulse(166)[230, 230, 230], Shield of Thousand(246)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 655: HP: 703, STR: 296725, VIT: 524, SPD: 8, LUK: 1, Attack: 380874, Defense: 88092, Current HP: 703, A Avg: 1013124, D Avg: 88092, [Giant Tornado(114)[230, 230, 230], Storm Wall(242)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 654: HP: 703, STR: 296725, VIT: 524, SPD: 8, LUK: 1, Attack: 380874, Defense: 88092, Current HP: 703, A Avg: 1013124, D Avg: 88092, [Giant Tornado(114)[230, 230, 230], Storm Wall(242)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 653: HP: 471, STR: 413780, VIT: 219, SPD: 8, LUK: 1, Attack: 499114, Defense: 84719, Current HP: 471, A Avg: 1013201, D Avg: 84719, [Impulse(166)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 652: HP: 361, STR: 296795, VIT: 158, SPD: 9, LUK: 1, Attack: 380905, Defense: 85386, Current HP: 361, A Avg: 1013207, D Avg: 85386, [Serpent(144)[230, 230, 230], Wave Motion Sword(226)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 651: HP: 296, STR: 413539, VIT: 121, SPD: 8, LUK: 1, Attack: 499183, Defense: 84621, Current HP: 296, A Avg: 1013341, D Avg: 84621, [Gladius(162)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 650: HP: 497, STR: 413887, VIT: 227, SPD: 8, LUK: 1, Attack: 499221, Defense: 84233, Current HP: 497, A Avg: 1013418, D Avg: 84233, [Impulse(166)[230, 230, 230], Small Dragon Sword(224)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 649: HP: 437, STR: 413900, VIT: 212, SPD: 8, LUK: 1, Attack: 499234, Defense: 84075, Current HP: 437, A Avg: 1013445, D Avg: 84075, [Impulse(166)[230, 230, 230], Small Sword(218)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 648: HP: 513, STR: 413935, VIT: 219, SPD: 8, LUK: 1, Attack: 499269, Defense: 84108, Current HP: 513, A Avg: 1013516, D Avg: 84108, [Impulse(166)[230, 230, 230], Small Lion(219)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 647: HP: 703, STR: 415125, VIT: 524, SPD: 8, LUK: 1, Attack: 499274, Defense: 88092, Current HP: 703, A Avg: 1013526, D Avg: 88092, [Giant Tornado(114)[230, 230, 230], Storm Wall(242)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 646: HP: 342, STR: 413806, VIT: 107, SPD: 8, LUK: 1, Attack: 499346, Defense: 84113, Current HP: 342, A Avg: 1013672, D Avg: 84113, [Zodiac(184)[230, 230, 230], Wings of Beast(210)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 645: HP: 323, STR: 413806, VIT: 406, SPD: 8, LUK: 1, Attack: 499346, Defense: 86076, Current HP: 323, A Avg: 1013672, D Avg: 86076, [Zodiac(184)[230, 230, 230], Shield of Thousand(246)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 644: HP: 376, STR: 413866, VIT: 107, SPD: 8, LUK: 1, Attack: 499406, Defense: 84607, Current HP: 376, A Avg: 1013794, D Avg: 84607, [Zodiac(184)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 643: HP: 285, STR: 296336, VIT: 148, SPD: 9, LUK: 1, Attack: 381161, Defense: 84154, Current HP: 285, A Avg: 1013888, D Avg: 84154, [Kraken(145)[230, 230, 230], Wings of Beast(210)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 642: HP: 266, STR: 296336, VIT: 448, SPD: 9, LUK: 1, Attack: 381161, Defense: 86118, Current HP: 266, A Avg: 1013888, D Avg: 86118, [Kraken(145)[230, 230, 230], Shield of Thousand(246)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 641: HP: 988, STR: 414150, VIT: 614, SPD: 8, LUK: 1, Attack: 499484, Defense: 88182, Current HP: 988, A Avg: 1013952, D Avg: 88182, [Impulse(166)[230, 230, 230], Storm Wall(242)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 640: HP: 418, STR: 414176, VIT: 198, SPD: 8, LUK: 1, Attack: 499510, Defense: 84386, Current HP: 418, A Avg: 1014005, D Avg: 84386, [Impulse(166)[230, 230, 230], Dragon Sword(225)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 639: HP: 402, STR: 413973, VIT: 115, SPD: 8, LUK: 1, Attack: 499513, Defense: 84121, Current HP: 402, A Avg: 1014011, D Avg: 84121, [Zodiac(184)[230, 230, 230], Small Dragon Sword(224)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 638: HP: 319, STR: 296388, VIT: 148, SPD: 9, LUK: 1, Attack: 381213, Defense: 84648, Current HP: 319, A Avg: 1014026, D Avg: 84648, [Kraken(145)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 637: HP: 342, STR: 413986, VIT: 100, SPD: 8, LUK: 1, Attack: 499526, Defense: 83963, Current HP: 342, A Avg: 1014037, D Avg: 83963, [Zodiac(184)[230, 230, 230], Small Sword(218)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 636: HP: 228, STR: 449588, VIT: 54, SPD: 8, LUK: 1, Attack: 533711, Defense: 87882, Current HP: 228, A Avg: 1014050, D Avg: 87882, [Pinpoint(112)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
