Rank 1000: HP: 1121, STR: 506685, VIT: 329, SPD: 72, LUK: 1, Attack: 594346, Defense: 84133, Current HP: 1121, A Avg: 1580960, D Avg: 84133, [Neural Edge(190)[630, 630, 630], Iron Shield(204)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 791: HP: 1938, STR: 702336, VIT: 1371, SPD: 76, LUK: 1, Attack: 787670, Defense: 85396, Current HP: 1938, A Avg: 1598970, D Avg: 85396, [Impulse(166)[630, 630, 630], Conductive Barrier(208)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 790: HP: 1040, STR: 757446, VIT: 118, SPD: 72, LUK: 1, Attack: 841569, Defense: 83841, Current HP: 1040, A Avg: 1598981, D Avg: 83841, [Pinpoint(112)[630, 630, 630], Pot Lid(201)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 789: HP: 1040, STR: 757446, VIT: 118, SPD: 72, LUK: 1, Attack: 841569, Defense: 83851, Current HP: 1040, A Avg: 1598981, D Avg: 83851, [Pinpoint(112)[630, 630, 630], High Pot Lid(202)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 788: HP: 988, STR: 757446, VIT: 134, SPD: 72, LUK: 1, Attack: 841569, Defense: 84003, Current HP: 988, A Avg: 1598981, D Avg: 84003, [Pinpoint(112)[630, 630, 630], Wooden Shield(203)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 787: HP: 988, STR: 757446, VIT: 139, SPD: 72, LUK: 1, Attack: 841569, Defense: 83943, Current HP: 988, A Avg: 1598981, D Avg: 83943, [Pinpoint(112)[630, 630, 630], Iron Shield(204)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 786: HP: 988, STR: 757446, VIT: 200, SPD: 72, LUK: 1, Attack: 841569, Defense: 84063, Current HP: 988, A Avg: 1598981, D Avg: 84063, [Pinpoint(112)[630, 630, 630], Titanium Shield(205)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 785: HP: 988, STR: 757446, VIT: 217, SPD: 72, LUK: 1, Attack: 841569, Defense: 84106, Current HP: 988, A Avg: 1598981, D Avg: 84106, [Pinpoint(112)[630, 630, 630], Large iron Shield(206)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 784: HP: 1040, STR: 757446, VIT: 267, SPD: 72, LUK: 1, Attack: 841569, Defense: 84143, Current HP: 1040, A Avg: 1598981, D Avg: 84143, [Pinpoint(112)[630, 630, 630], Magic Shield(207)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 783: HP: 1425, STR: 757446, VIT: 350, SPD: 72, LUK: 1, Attack: 841569, Defense: 84187, Current HP: 1425, A Avg: 1598981, D Avg: 84187, [Pinpoint(112)[630, 630, 630], Emerald Shield(209)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 782: HP: 1100, STR: 757446, VIT: 196, SPD: 72, LUK: 1, Attack: 841569, Defense: 83968, Current HP: 1100, A Avg: 1598981, D Avg: 83968, [Pinpoint(112)[630, 630, 630], Clear Shield(211)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 781: HP: 1140, STR: 757446, VIT: 267, SPD: 72, LUK: 1, Attack: 841569, Defense: 84286, Current HP: 1140, A Avg: 1598981, D Avg: 84286, [Pinpoint(112)[630, 630, 630], Prism Shield(212)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 780: HP: 1064, STR: 757446, VIT: 209, SPD: 72, LUK: 1, Attack: 841569, Defense: 84137, Current HP: 1064, A Avg: 1598981, D Avg: 84137, [Pinpoint(112)[630, 630, 630], Tower Shield(213)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 779: HP: 1756, STR: 757446, VIT: 486, SPD: 72, LUK: 1, Attack: 841569, Defense: 85048, Current HP: 1756, A Avg: 1598981, D Avg: 85048, [Pinpoint(112)[630, 630, 630], Slime Shield(221)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 778: HP: 1694, STR: 757446, VIT: 200, SPD: 72, LUK: 1, Attack: 841569, Defense: 84128, Current HP: 1694, A Avg: 1598981, D Avg: 84128, [Pinpoint(112)[630, 630, 630], Hardwood Shield(223)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 777: HP: 1040, STR: 757446, VIT: 851, SPD: 72, LUK: 1, Attack: 841569, Defense: 87639, Current HP: 1040, A Avg: 1598981, D Avg: 87639, [Pinpoint(112)[630, 630, 630], Energy Shield(227)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 776: HP: 3192, STR: 757446, VIT: 125, SPD: 72, LUK: 1, Attack: 841569, Defense: 86042, Current HP: 3192, A Avg: 1598981, D Avg: 86042, [Pinpoint(112)[630, 630, 630], Frying Pan(231)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 775: HP: 1984, STR: 757446, VIT: 572, SPD: 72, LUK: 1, Attack: 841569, Defense: 85306, Current HP: 1984, A Avg: 1598981, D Avg: 85306, [Pinpoint(112)[630, 630, 630], Slafield(232)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 774: HP: 1620, STR: 757446, VIT: 486, SPD: 72, LUK: 1, Attack: 841569, Defense: 85961, Current HP: 1620, A Avg: 1598981, D Avg: 85961, [Pinpoint(112)[630, 630, 630], Mist Shield(233)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 773: HP: 1178, STR: 757446, VIT: 873, SPD: 72, LUK: 1, Attack: 841569, Defense: 85841, Current HP: 1178, A Avg: 1598981, D Avg: 85841, [Pinpoint(112)[630, 630, 630], Huge Shield(234)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 772: HP: 1102, STR: 757446, VIT: 934, SPD: 72, LUK: 1, Attack: 841569, Defense: 87774, Current HP: 1102, A Avg: 1598981, D Avg: 87774, [Pinpoint(112)[630, 630, 630], Aurora Shield(240)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 771: HP: 2360, STR: 757446, VIT: 752, SPD: 72, LUK: 1, Attack: 841569, Defense: 88177, Current HP: 2360, A Avg: 1598981, D Avg: 88177, [Pinpoint(112)[630, 630, 630], Cloud Shield(241)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 770: HP: 988, STR: 757446, VIT: 118, SPD: 72, LUK: 1, Attack: 841569, Defense: 86907, Current HP: 988, A Avg: 1598981, D Avg: 86907, [Pinpoint(112)[630, 630, 630], Graffiti(243)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 769: HP: 988, STR: 757446, VIT: 1526, SPD: 72, LUK: 1, Attack: 841569, Defense: 91304, Current HP: 988, A Avg: 1598981, D Avg: 91304, [Pinpoint(112)[630, 630, 630], Blank Shield(244)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 768: HP: 1463, STR: 757446, VIT: 2165, SPD: 72, LUK: 1, Attack: 841569, Defense: 88953, Current HP: 1463, A Avg: 1598981, D Avg: 88953, [Pinpoint(112)[630, 630, 630], Golem Shield(245)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 767: HP: 1273, STR: 757446, VIT: 697, SPD: 76, LUK: 1, Attack: 841569, Defense: 86575, Current HP: 1273, A Avg: 1598981, D Avg: 86575, [Pinpoint(112)[630, 630, 630], Sticky thread shield(247)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 766: HP: 2219, STR: 757446, VIT: 659, SPD: 72, LUK: 1, Attack: 841569, Defense: 86875, Current HP: 2219, A Avg: 1598981, D Avg: 86875, [Pinpoint(112)[630, 630, 630], King Shield(248)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 765: HP: 1440, STR: 757446, VIT: 720, SPD: 72, LUK: 1, Attack: 841569, Defense: 87755, Current HP: 1440, A Avg: 1598981, D Avg: 87755, [Pinpoint(112)[630, 630, 630], Warrior's Shield(249)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 764: HP: 1040, STR: 757446, VIT: 963, SPD: 72, LUK: 1, Attack: 841569, Defense: 88011, Current HP: 1040, A Avg: 1598981, D Avg: 88011, [Pinpoint(112)[630, 630, 630], Ghost shield(251)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 763: HP: 1460, STR: 757578, VIT: 720, SPD: 72, LUK: 1, Attack: 841584, Defense: 87755, Current HP: 1460, A Avg: 1599009, D Avg: 87755, [Great Iron Mass(122)[630, 630, 630], Warrior's Shield(249)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 762: HP: 2451, STR: 702357, VIT: 1533, SPD: 72, LUK: 1, Attack: 787691, Defense: 85773, Current HP: 2451, A Avg: 1599012, D Avg: 85773, [Impulse(166)[630, 630, 630], Dragon's Wings(216)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 761: HP: 1314, STR: 757485, VIT: 358, SPD: 72, LUK: 1, Attack: 841608, Defense: 84299, Current HP: 1314, A Avg: 1599055, D Avg: 84299, [Pinpoint(112)[630, 630, 630], Dragon's Scales(215)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 760: HP: 2960, STR: 516183, VIT: 2670, SPD: 85, LUK: 1, Attack: 601226, Defense: 90238, Current HP: 2960, A Avg: 1599261, D Avg: 90238, [White Snake(160)[630, 630, 630], Storm Wall(242)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 759: HP: 2576, STR: 702517, VIT: 1651, SPD: 72, LUK: 1, Attack: 787851, Defense: 87269, Current HP: 2576, A Avg: 1599337, D Avg: 87269, [Impulse(166)[630, 630, 630], Mask of the Grim Reaper(214)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 758: HP: 988, STR: 757637, VIT: 267, SPD: 76, LUK: 1, Attack: 841760, Defense: 84292, Current HP: 988, A Avg: 1599344, D Avg: 84292, [Pinpoint(112)[630, 630, 630], Conductive Barrier(208)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 757: HP: 2272, STR: 702521, VIT: 1924, SPD: 72, LUK: 1, Attack: 787855, Defense: 86762, Current HP: 2272, A Avg: 1599345, D Avg: 86762, [Impulse(166)[630, 630, 630], Bulletproof Shield(235)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 756: HP: 1501, STR: 757656, VIT: 360, SPD: 72, LUK: 1, Attack: 841779, Defense: 84600, Current HP: 1501, A Avg: 1599380, D Avg: 84600, [Pinpoint(112)[630, 630, 630], Dragon's Wings(216)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 755: HP: 2451, STR: 702563, VIT: 1608, SPD: 72, LUK: 1, Attack: 787897, Defense: 86472, Current HP: 2451, A Avg: 1599430, D Avg: 86472, [Impulse(166)[630, 630, 630], Dragon's Head(217)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 754: HP: 2375, STR: 702563, VIT: 1590, SPD: 76, LUK: 1, Attack: 787897, Defense: 86012, Current HP: 2375, A Avg: 1599430, D Avg: 86012, [Impulse(166)[630, 630, 630], Superconducting Barrier(220)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 753: HP: 1026, STR: 703155, VIT: 1574, SPD: 72, LUK: 1, Attack: 787943, Defense: 86165, Current HP: 1026, A Avg: 1599524, D Avg: 86165, [Pulse Knife(165)[630, 630, 630], Black Hole(229)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 752: HP: 1444, STR: 703155, VIT: 1644, SPD: 72, LUK: 1, Attack: 787943, Defense: 88562, Current HP: 1444, A Avg: 1599524, D Avg: 88562, [Pulse Knife(165)[630, 630, 630], White Hole(230)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 751: HP: 2124, STR: 703022, VIT: 710, SPD: 72, LUK: 1, Attack: 787951, Defense: 86926, Current HP: 2124, A Avg: 1599540, D Avg: 86926, [Jack Knife(185)[630, 630, 630], King Shield(248)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 750: HP: 2160, STR: 703180, VIT: 1622, SPD: 72, LUK: 1, Attack: 787968, Defense: 87734, Current HP: 2160, A Avg: 1599575, D Avg: 87734, [Pulse Knife(165)[630, 630, 630], Goblin Hand(250)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 749: HP: 1368, STR: 703222, VIT: 1802, SPD: 72, LUK: 1, Attack: 788010, Defense: 86796, Current HP: 1368, A Avg: 1599660, D Avg: 86796, [Pulse Knife(165)[630, 630, 630], Metalization(228)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 748: HP: 1576, STR: 757805, VIT: 547, SPD: 72, LUK: 1, Attack: 841928, Defense: 86165, Current HP: 1576, A Avg: 1599663, D Avg: 86165, [Pinpoint(112)[630, 630, 630], Mask of the Grim Reaper(214)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 747: HP: 1322, STR: 757809, VIT: 751, SPD: 72, LUK: 1, Attack: 841932, Defense: 85589, Current HP: 1322, A Avg: 1599670, D Avg: 85589, [Pinpoint(112)[630, 630, 630], Bulletproof Shield(235)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 746: HP: 1558, STR: 701535, VIT: 1577, SPD: 76, LUK: 1, Attack: 788024, Defense: 85999, Current HP: 1558, A Avg: 1599688, D Avg: 85999, [Cuttlefish(178)[630, 630, 630], Superconducting Barrier(220)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 745: HP: 2451, STR: 702710, VIT: 1999, SPD: 72, LUK: 1, Attack: 788044, Defense: 88800, Current HP: 2451, A Avg: 1599729, D Avg: 88800, [Impulse(166)[630, 630, 630], Riot(236)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 744: HP: 1501, STR: 757848, VIT: 435, SPD: 72, LUK: 1, Attack: 841971, Defense: 85299, Current HP: 1501, A Avg: 1599744, D Avg: 85299, [Pinpoint(112)[630, 630, 630], Dragon's Head(217)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 743: HP: 1425, STR: 757848, VIT: 486, SPD: 76, LUK: 1, Attack: 841971, Defense: 84908, Current HP: 1425, A Avg: 1599744, D Avg: 84908, [Pinpoint(112)[630, 630, 630], Superconducting Barrier(220)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 742: HP: 2641, STR: 516597, VIT: 1236, SPD: 85, LUK: 1, Attack: 601422, Defense: 85125, Current HP: 2641, A Avg: 1599782, D Avg: 85125, [Kraken(145)[630, 630, 630], Small Lion(219)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 741: HP: 1455, STR: 757918, VIT: 515, SPD: 72, LUK: 1, Attack: 842028, Defense: 84443, Current HP: 1455, A Avg: 1599853, D Avg: 84443, [Dragon Killer(139)[630, 630, 630], Tower Shield(213)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 740: HP: 2409, STR: 516412, VIT: 1372, SPD: 85, LUK: 1, Attack: 601455, Defense: 85235, Current HP: 2409, A Avg: 1599870, D Avg: 85235, [White Snake(160)[630, 630, 630], Small Sword(218)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 739: HP: 1920, STR: 757731, VIT: 1078, SPD: 72, LUK: 1, Attack: 842049, Defense: 87866, Current HP: 1920, A Avg: 1599893, D Avg: 87866, [Ruby Knuckle(151)[630, 630, 630], Energy Shield(227)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 738: HP: 2160, STR: 758269, VIT: 636, SPD: 72, LUK: 1, Attack: 842093, Defense: 86748, Current HP: 2160, A Avg: 1599976, D Avg: 86748, [Stun Knuckle(106)[630, 630, 630], Goblin Hand(250)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 737: HP: 1501, STR: 757984, VIT: 826, SPD: 72, LUK: 1, Attack: 842107, Defense: 87627, Current HP: 1501, A Avg: 1600003, D Avg: 87627, [Pinpoint(112)[630, 630, 630], Riot(236)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 736: HP: 2473, STR: 516705, VIT: 1244, SPD: 85, LUK: 1, Attack: 601530, Defense: 85250, Current HP: 2473, A Avg: 1600069, D Avg: 85250, [Kraken(145)[630, 630, 630], Small Dragon Sword(224)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 735: HP: 1976, STR: 703774, VIT: 1288, SPD: 72, LUK: 1, Attack: 788274, Defense: 86152, Current HP: 1976, A Avg: 1600196, D Avg: 86152, [Divine Dragon Sword(181)[630, 630, 630], Dragon's Head(217)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 734: HP: 1920, STR: 757750, VIT: 868, SPD: 72, LUK: 1, Attack: 842263, Defense: 87903, Current HP: 1920, A Avg: 1600299, D Avg: 87903, [Maximum Iron Mass(123)[630, 630, 630], Warrior's Shield(249)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 733: HP: 1653, STR: 701866, VIT: 1670, SPD: 76, LUK: 1, Attack: 788355, Defense: 86092, Current HP: 1653, A Avg: 1600360, D Avg: 86092, [Cuttlefish(178)[630, 630, 630], Superconducting Barrier(220)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 732: HP: 1919, STR: 704381, VIT: 304, SPD: 76, LUK: 1, Attack: 788381, Defense: 87092, Current HP: 1919, A Avg: 1600413, D Avg: 87092, [Kirisame(129)[630, 630, 630], C Magnum(239)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 731: HP: 2356, STR: 704402, VIT: 304, SPD: 76, LUK: 1, Attack: 788523, Defense: 87092, Current HP: 2356, A Avg: 1600701, D Avg: 87092, [Black Kirisame(130)[630, 630, 630], C Magnum(239)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 730: HP: 2219, STR: 703600, VIT: 809, SPD: 72, LUK: 1, Attack: 788529, Defense: 87025, Current HP: 2219, A Avg: 1600713, D Avg: 87025, [Jack Knife(185)[630, 630, 630], King Shield(248)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 729: HP: 2865, STR: 516738, VIT: 1443, SPD: 85, LUK: 1, Attack: 601781, Defense: 85332, Current HP: 2865, A Avg: 1600737, D Avg: 85332, [White Snake(160)[630, 630, 630], Small Lion(219)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 728: HP: 1976, STR: 703239, VIT: 1692, SPD: 72, LUK: 1, Attack: 788573, Defense: 86283, Current HP: 1976, A Avg: 1600803, D Avg: 86283, [Impulse(166)[630, 630, 630], Black Hole(229)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 727: HP: 2394, STR: 703239, VIT: 1763, SPD: 72, LUK: 1, Attack: 788573, Defense: 88681, Current HP: 2394, A Avg: 1600803, D Avg: 88681, [Impulse(166)[630, 630, 630], White Hole(230)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 726: HP: 3160, STR: 703264, VIT: 1740, SPD: 72, LUK: 1, Attack: 788598, Defense: 87852, Current HP: 3160, A Avg: 1600853, D Avg: 87852, [Impulse(166)[630, 630, 630], Goblin Hand(250)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 725: HP: 1026, STR: 758475, VIT: 588, SPD: 72, LUK: 1, Attack: 842598, Defense: 85179, Current HP: 1026, A Avg: 1600936, D Avg: 85179, [Pinpoint(112)[630, 630, 630], Black Hole(229)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 724: HP: 1444, STR: 758475, VIT: 659, SPD: 72, LUK: 1, Attack: 842598, Defense: 87577, Current HP: 1444, A Avg: 1600936, D Avg: 87577, [Pinpoint(112)[630, 630, 630], White Hole(230)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 723: HP: 2318, STR: 703306, VIT: 1927, SPD: 72, LUK: 1, Attack: 788640, Defense: 86921, Current HP: 2318, A Avg: 1600939, D Avg: 86921, [Impulse(166)[630, 630, 630], Metalization(228)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 722: HP: 2160, STR: 758499, VIT: 636, SPD: 72, LUK: 1, Attack: 842622, Defense: 86748, Current HP: 2160, A Avg: 1600981, D Avg: 86748, [Pinpoint(112)[630, 630, 630], Goblin Hand(250)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 721: HP: 2698, STR: 516845, VIT: 1451, SPD: 85, LUK: 1, Attack: 601888, Defense: 85457, Current HP: 2698, A Avg: 1601022, D Avg: 85457, [White Snake(160)[630, 630, 630], Small Dragon Sword(224)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 720: HP: 2185, STR: 517781, VIT: 1009, SPD: 85, LUK: 1, Attack: 601891, Defense: 85197, Current HP: 2185, A Avg: 1601030, D Avg: 85197, [Serpent(144)[630, 630, 630], Dragon Sword(225)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 719: HP: 1368, STR: 758538, VIT: 754, SPD: 72, LUK: 1, Attack: 842661, Defense: 85748, Current HP: 1368, A Avg: 1601055, D Avg: 85748, [Pinpoint(112)[630, 630, 630], Metalization(228)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 718: HP: 2606, STR: 703745, VIT: 388, SPD: 76, LUK: 1, Attack: 788711, Defense: 87176, Current HP: 2606, A Avg: 1601083, D Avg: 87176, [Red Shark(134)[630, 630, 630], C Magnum(239)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 717: HP: 2956, STR: 516342, VIT: 1721, SPD: 85, LUK: 1, Attack: 601986, Defense: 86221, Current HP: 2956, A Avg: 1601282, D Avg: 86221, [Gladius(162)[630, 630, 630], Hard Wings of Beast(222)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 716: HP: 1940, STR: 758152, VIT: 1219, SPD: 72, LUK: 1, Attack: 842802, Defense: 88007, Current HP: 1940, A Avg: 1601323, D Avg: 88007, [Diamond Knuckle(152)[630, 630, 630], Energy Shield(227)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 715: HP: 988, STR: 704180, VIT: 1104, SPD: 76, LUK: 1, Attack: 788968, Defense: 85240, Current HP: 988, A Avg: 1601605, D Avg: 85240, [Pulse Knife(165)[630, 630, 630], Magnum(237)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 714: HP: 1368, STR: 758136, VIT: 754, SPD: 72, LUK: 1, Attack: 842977, Defense: 85748, Current HP: 1368, A Avg: 1601656, D Avg: 85748, [Grand Slam(163)[630, 630, 630], Metalization(228)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 713: HP: 1121, STR: 516349, VIT: 4326, SPD: 72, LUK: 1, Attack: 602227, Defense: 89996, Current HP: 1121, A Avg: 1601923, D Avg: 89996, [God Hand(179)[630, 630, 630], Shield of Thousand(246)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 712: HP: 1216, STR: 516349, VIT: 4483, SPD: 72, LUK: 1, Attack: 602227, Defense: 90153, Current HP: 1216, A Avg: 1601923, D Avg: 90153, [God Hand(179)[630, 630, 630], Shield of Thousand(246)[630, 630, 67], Mobius Ring(316)[68, 803, 807]]
Rank 711: HP: 1976, STR: 704814, VIT: 1203, SPD: 72, LUK: 1, Attack: 789314, Defense: 86067, Current HP: 1976, A Avg: 1602307, D Avg: 86067, [Divine Dragon Sword(181)[630, 630, 630], Dragon's Head(217)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 710: HP: 1121, STR: 516497, VIT: 4390, SPD: 72, LUK: 1, Attack: 602375, Defense: 90060, Current HP: 1121, A Avg: 1602317, D Avg: 90060, [God Hand(179)[630, 630, 630], Shield of Thousand(246)[630, 630, 66], Oculus Ring(315)[67, 803, 807]]
Rank 709: HP: 1121, STR: 516497, VIT: 4390, SPD: 72, LUK: 1, Attack: 602375, Defense: 90060, Current HP: 1121, A Avg: 1602317, D Avg: 90060, [God Hand(179)[630, 630, 630], Shield of Thousand(246)[630, 630, 67], Oculus Ring(315)[68, 803, 807]]
Rank 708: HP: 1577, STR: 758113, VIT: 674, SPD: 72, LUK: 1, Attack: 843445, Defense: 84602, Current HP: 1577, A Avg: 1602545, D Avg: 84602, [Tower(149)[630, 630, 630], Tower Shield(213)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 707: HP: 1121, STR: 516645, VIT: 4310, SPD: 72, LUK: 1, Attack: 602523, Defense: 89980, Current HP: 1121, A Avg: 1602711, D Avg: 89980, [God Hand(179)[630, 630, 630], Shield of Thousand(246)[630, 630, 67], Ring of power(314)[68, 803, 807]]
Rank 706: HP: 988, STR: 759427, VIT: 118, SPD: 76, LUK: 1, Attack: 843550, Defense: 84254, Current HP: 988, A Avg: 1602745, D Avg: 84254, [Pinpoint(112)[630, 630, 630], Magnum(237)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 705: HP: 988, STR: 704785, VIT: 1104, SPD: 76, LUK: 1, Attack: 789573, Defense: 85448, Current HP: 988, A Avg: 1602833, D Avg: 85448, [Pulse Knife(165)[630, 630, 630], V Magnum(238)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 704: HP: 1938, STR: 704264, VIT: 1222, SPD: 76, LUK: 1, Attack: 789598, Defense: 85358, Current HP: 1938, A Avg: 1602883, D Avg: 85358, [Impulse(166)[630, 630, 630], Magnum(237)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 703: HP: 1349, STR: 516764, VIT: 4521, SPD: 72, LUK: 1, Attack: 602642, Defense: 90191, Current HP: 1349, A Avg: 1603027, D Avg: 90191, [God Hand(179)[630, 630, 630], Shield of Thousand(246)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 702: HP: 2606, STR: 704780, VIT: 308, SPD: 76, LUK: 1, Attack: 789746, Defense: 87096, Current HP: 2606, A Avg: 1603184, D Avg: 87096, [Red Shark(134)[630, 630, 630], C Magnum(239)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 701: HP: 1040, STR: 705290, VIT: 315, SPD: 72, LUK: 1, Attack: 789868, Defense: 84334, Current HP: 1040, A Avg: 1603432, D Avg: 84334, [Magical(187)[630, 630, 630], Prism Shield(212)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 700: HP: 2641, STR: 518795, VIT: 1310, SPD: 85, LUK: 1, Attack: 602905, Defense: 86538, Current HP: 2641, A Avg: 1603727, D Avg: 86538, [Serpent(144)[630, 630, 630], Wave Motion Sword(226)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 699: HP: 988, STR: 759989, VIT: 118, SPD: 76, LUK: 1, Attack: 844112, Defense: 84462, Current HP: 988, A Avg: 1603812, D Avg: 84462, [Pinpoint(112)[630, 630, 630], V Magnum(238)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 698: HP: 2166, STR: 518136, VIT: 1088, SPD: 85, LUK: 1, Attack: 602961, Defense: 85276, Current HP: 2166, A Avg: 1603876, D Avg: 85276, [Kraken(145)[630, 630, 630], Dragon Sword(225)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 697: HP: 1938, STR: 704869, VIT: 1222, SPD: 76, LUK: 1, Attack: 790203, Defense: 85566, Current HP: 1938, A Avg: 1604112, D Avg: 85566, [Impulse(166)[630, 630, 630], V Magnum(238)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 696: HP: 1140, STR: 704734, VIT: 790, SPD: 72, LUK: 1, Attack: 790274, Defense: 84513, Current HP: 1140, A Avg: 1604256, D Avg: 84513, [Zodiac(184)[630, 630, 630], Pot Lid(201)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 695: HP: 1140, STR: 704734, VIT: 790, SPD: 72, LUK: 1, Attack: 790274, Defense: 84523, Current HP: 1140, A Avg: 1604256, D Avg: 84523, [Zodiac(184)[630, 630, 630], High Pot Lid(202)[630, 630, 630], Ring of power(314)[67, 68, 807]]
