Rank 1000: HP: 988, STR: 288132, VIT: 1190, SPD: 24, LUK: 1, Attack: 374374, Defense: 86860, Current HP: 988, A Avg: 995834, D Avg: 86860, [Droid Hammer(177)[230, 230, 230], Shield of Thousand(246)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 743: HP: 680, STR: 290973, VIT: 158, SPD: 24, LUK: 1, Attack: 378634, Defense: 84177, Current HP: 680, A Avg: 1007166, D Avg: 84177, [Neural Edge(190)[230, 230, 230], Prism Shield(212)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 742: HP: 627, STR: 290973, VIT: 144, SPD: 24, LUK: 1, Attack: 378634, Defense: 84072, Current HP: 627, A Avg: 1007166, D Avg: 84072, [Neural Edge(190)[230, 230, 230], Tower Shield(213)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 741: HP: 876, STR: 290973, VIT: 233, SPD: 24, LUK: 1, Attack: 378634, Defense: 84795, Current HP: 876, A Avg: 1007166, D Avg: 84795, [Neural Edge(190)[230, 230, 230], Slime Shield(221)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 740: HP: 801, STR: 290973, VIT: 136, SPD: 24, LUK: 1, Attack: 378634, Defense: 84064, Current HP: 801, A Avg: 1007166, D Avg: 84064, [Neural Edge(190)[230, 230, 230], Hardwood Shield(223)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 739: HP: 580, STR: 290973, VIT: 502, SPD: 24, LUK: 1, Attack: 378634, Defense: 87290, Current HP: 580, A Avg: 1007166, D Avg: 87290, [Neural Edge(190)[230, 230, 230], Energy Shield(227)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 738: HP: 1900, STR: 290973, VIT: 112, SPD: 24, LUK: 1, Attack: 378634, Defense: 86029, Current HP: 1900, A Avg: 1007166, D Avg: 86029, [Neural Edge(190)[230, 230, 230], Frying Pan(231)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 737: HP: 1044, STR: 290973, VIT: 272, SPD: 24, LUK: 1, Attack: 378634, Defense: 85006, Current HP: 1044, A Avg: 1007166, D Avg: 85006, [Neural Edge(190)[230, 230, 230], Slafield(232)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 736: HP: 860, STR: 290973, VIT: 233, SPD: 24, LUK: 1, Attack: 378634, Defense: 85708, Current HP: 860, A Avg: 1007166, D Avg: 85708, [Neural Edge(190)[230, 230, 230], Mist Shield(233)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 735: HP: 741, STR: 290973, VIT: 350, SPD: 24, LUK: 1, Attack: 378634, Defense: 85318, Current HP: 741, A Avg: 1007166, D Avg: 85318, [Neural Edge(190)[230, 230, 230], Huge Shield(234)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 734: HP: 665, STR: 290973, VIT: 441, SPD: 24, LUK: 1, Attack: 378634, Defense: 87281, Current HP: 665, A Avg: 1007166, D Avg: 87281, [Neural Edge(190)[230, 230, 230], Aurora Shield(240)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 733: HP: 1000, STR: 290973, VIT: 307, SPD: 24, LUK: 1, Attack: 378634, Defense: 87732, Current HP: 1000, A Avg: 1007166, D Avg: 87732, [Neural Edge(190)[230, 230, 230], Cloud Shield(241)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 732: HP: 551, STR: 290973, VIT: 105, SPD: 24, LUK: 1, Attack: 378634, Defense: 86894, Current HP: 551, A Avg: 1007166, D Avg: 86894, [Neural Edge(190)[230, 230, 230], Graffiti(243)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 731: HP: 551, STR: 290973, VIT: 553, SPD: 24, LUK: 1, Attack: 378634, Defense: 90331, Current HP: 551, A Avg: 1007166, D Avg: 90331, [Neural Edge(190)[230, 230, 230], Blank Shield(244)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 730: HP: 1026, STR: 290973, VIT: 877, SPD: 24, LUK: 1, Attack: 378634, Defense: 87665, Current HP: 1026, A Avg: 1007166, D Avg: 87665, [Neural Edge(190)[230, 230, 230], Golem Shield(245)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 729: HP: 836, STR: 290973, VIT: 300, SPD: 25, LUK: 1, Attack: 378634, Defense: 86178, Current HP: 836, A Avg: 1007166, D Avg: 86178, [Neural Edge(190)[230, 230, 230], Sticky thread shield(247)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 728: HP: 1098, STR: 290973, VIT: 340, SPD: 24, LUK: 1, Attack: 378634, Defense: 86556, Current HP: 1098, A Avg: 1007166, D Avg: 86556, [Neural Edge(190)[230, 230, 230], King Shield(248)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 727: HP: 980, STR: 290973, VIT: 515, SPD: 24, LUK: 1, Attack: 378634, Defense: 87550, Current HP: 980, A Avg: 1007166, D Avg: 87550, [Neural Edge(190)[230, 230, 230], Warrior's Shield(249)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 726: HP: 580, STR: 290973, VIT: 374, SPD: 24, LUK: 1, Attack: 378634, Defense: 87422, Current HP: 580, A Avg: 1007166, D Avg: 87422, [Neural Edge(190)[230, 230, 230], Ghost shield(251)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 725: HP: 2033, STR: 292852, VIT: 736, SPD: 24, LUK: 1, Attack: 378665, Defense: 90514, Current HP: 2033, A Avg: 1007248, D Avg: 90514, [Spear of Regression(182)[230, 230, 230], Blank Shield(244)[230, 230, 67], Ring of power(314)[68, 803, 807]]
Rank 724: HP: 706, STR: 291009, VIT: 192, SPD: 24, LUK: 1, Attack: 378670, Defense: 84133, Current HP: 706, A Avg: 1007262, D Avg: 84133, [Neural Edge(190)[230, 230, 230], Dragon's Scales(215)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 723: HP: 551, STR: 291042, VIT: 158, SPD: 25, LUK: 1, Attack: 378703, Defense: 84183, Current HP: 551, A Avg: 1007349, D Avg: 84183, [Neural Edge(190)[230, 230, 230], Conductive Barrier(208)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 722: HP: 779, STR: 291060, VIT: 193, SPD: 24, LUK: 1, Attack: 378721, Defense: 84433, Current HP: 779, A Avg: 1007397, D Avg: 84433, [Neural Edge(190)[230, 230, 230], Dragon's Wings(216)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 721: HP: 756, STR: 291088, VIT: 246, SPD: 24, LUK: 1, Attack: 378749, Defense: 85864, Current HP: 756, A Avg: 1007472, D Avg: 85864, [Neural Edge(190)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 720: HP: 657, STR: 291092, VIT: 380, SPD: 24, LUK: 1, Attack: 378753, Defense: 85218, Current HP: 657, A Avg: 1007482, D Avg: 85218, [Neural Edge(190)[230, 230, 230], Bulletproof Shield(235)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 719: HP: 779, STR: 291128, VIT: 217, SPD: 24, LUK: 1, Attack: 378789, Defense: 85081, Current HP: 779, A Avg: 1007578, D Avg: 85081, [Neural Edge(190)[230, 230, 230], Dragon's Head(217)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 718: HP: 703, STR: 291128, VIT: 233, SPD: 25, LUK: 1, Attack: 378789, Defense: 84655, Current HP: 703, A Avg: 1007578, D Avg: 84655, [Neural Edge(190)[230, 230, 230], Superconducting Barrier(220)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 717: HP: 779, STR: 291146, VIT: 404, SPD: 24, LUK: 1, Attack: 378807, Defense: 87205, Current HP: 779, A Avg: 1007626, D Avg: 87205, [Neural Edge(190)[230, 230, 230], Riot(236)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 716: HP: 2299, STR: 292996, VIT: 960, SPD: 28, LUK: 1, Attack: 378809, Defense: 90738, Current HP: 2299, A Avg: 1007631, D Avg: 90738, [Spear of Regression(182)[230, 230, 230], Blank Shield(244)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 715: HP: 589, STR: 291276, VIT: 288, SPD: 24, LUK: 1, Attack: 378937, Defense: 84879, Current HP: 589, A Avg: 1007972, D Avg: 84879, [Neural Edge(190)[230, 230, 230], Black Hole(229)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 714: HP: 722, STR: 291276, VIT: 310, SPD: 24, LUK: 1, Attack: 378937, Defense: 87228, Current HP: 722, A Avg: 1007972, D Avg: 87228, [Neural Edge(190)[230, 230, 230], White Hole(230)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 713: HP: 1100, STR: 291405, VIT: 336, SPD: 24, LUK: 1, Attack: 379066, Defense: 86448, Current HP: 1100, A Avg: 1008315, D Avg: 86448, [Neural Edge(190)[230, 230, 230], Goblin Hand(250)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 712: HP: 931, STR: 291441, VIT: 486, SPD: 24, LUK: 1, Attack: 379102, Defense: 85480, Current HP: 931, A Avg: 1008411, D Avg: 85480, [Neural Edge(190)[230, 230, 230], Metalization(228)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 711: HP: 551, STR: 292046, VIT: 105, SPD: 25, LUK: 1, Attack: 379707, Defense: 84241, Current HP: 551, A Avg: 1010020, D Avg: 84241, [Neural Edge(190)[230, 230, 230], Magnum(237)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 710: HP: 893, STR: 413905, VIT: 716, SPD: 24, LUK: 1, Attack: 497781, Defense: 88284, Current HP: 893, A Avg: 1010495, D Avg: 88284, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 709: HP: 551, STR: 292456, VIT: 105, SPD: 25, LUK: 1, Attack: 380117, Defense: 84449, Current HP: 551, A Avg: 1011111, D Avg: 84449, [Neural Edge(190)[230, 230, 230], V Magnum(238)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 708: HP: 893, STR: 413986, VIT: 716, SPD: 24, LUK: 1, Attack: 498135, Defense: 88284, Current HP: 893, A Avg: 1011214, D Avg: 88284, [Giant Tornado(114)[230, 230, 230], Storm Wall(242)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 707: HP: 437, STR: 448348, VIT: 123, SPD: 24, LUK: 1, Attack: 532471, Defense: 84129, Current HP: 437, A Avg: 1011694, D Avg: 84129, [Pinpoint(112)[230, 230, 230], Wings of Beast(210)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 706: HP: 418, STR: 448348, VIT: 1190, SPD: 24, LUK: 1, Attack: 532471, Defense: 86860, Current HP: 418, A Avg: 1011694, D Avg: 86860, [Pinpoint(112)[230, 230, 230], Shield of Thousand(246)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 705: HP: 509, STR: 448444, VIT: 123, SPD: 24, LUK: 1, Attack: 532567, Defense: 84623, Current HP: 509, A Avg: 1011877, D Avg: 84623, [Pinpoint(112)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 704: HP: 988, STR: 296654, VIT: 748, SPD: 24, LUK: 1, Attack: 380530, Defense: 88316, Current HP: 988, A Avg: 1012209, D Avg: 88316, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 703: HP: 893, STR: 296654, VIT: 732, SPD: 24, LUK: 1, Attack: 380530, Defense: 88300, Current HP: 893, A Avg: 1012209, D Avg: 88300, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 702: HP: 988, STR: 296654, VIT: 793, SPD: 24, LUK: 1, Attack: 380530, Defense: 88361, Current HP: 988, A Avg: 1012209, D Avg: 88361, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 701: HP: 988, STR: 296654, VIT: 748, SPD: 24, LUK: 1, Attack: 380530, Defense: 88316, Current HP: 988, A Avg: 1012209, D Avg: 88316, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 700: HP: 437, STR: 448636, VIT: 100, SPD: 24, LUK: 1, Attack: 532759, Defense: 83963, Current HP: 437, A Avg: 1012242, D Avg: 83963, [Pinpoint(112)[230, 230, 230], Small Sword(218)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 699: HP: 1121, STR: 296736, VIT: 784, SPD: 24, LUK: 1, Attack: 380612, Defense: 88352, Current HP: 1121, A Avg: 1012427, D Avg: 88352, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 698: HP: 554, STR: 448744, VIT: 131, SPD: 24, LUK: 1, Attack: 532867, Defense: 84137, Current HP: 554, A Avg: 1012447, D Avg: 84137, [Pinpoint(112)[230, 230, 230], Small Dragon Sword(224)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 697: HP: 608, STR: 448748, VIT: 123, SPD: 24, LUK: 1, Attack: 532871, Defense: 84012, Current HP: 608, A Avg: 1012454, D Avg: 84012, [Pinpoint(112)[230, 230, 230], Small Lion(219)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 696: HP: 988, STR: 448748, VIT: 726, SPD: 24, LUK: 1, Attack: 532871, Defense: 88294, Current HP: 988, A Avg: 1012454, D Avg: 88294, [Pinpoint(112)[230, 230, 230], Storm Wall(242)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 695: HP: 1159, STR: 288460, VIT: 275, SPD: 24, LUK: 1, Attack: 380646, Defense: 87193, Current HP: 1159, A Avg: 1012518, D Avg: 87193, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 694: HP: 1064, STR: 288460, VIT: 259, SPD: 24, LUK: 1, Attack: 380646, Defense: 87177, Current HP: 1064, A Avg: 1012518, D Avg: 87177, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 693: HP: 1159, STR: 288460, VIT: 320, SPD: 24, LUK: 1, Attack: 380646, Defense: 87238, Current HP: 1159, A Avg: 1012518, D Avg: 87238, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 692: HP: 1159, STR: 288460, VIT: 275, SPD: 24, LUK: 1, Attack: 380646, Defense: 87193, Current HP: 1159, A Avg: 1012518, D Avg: 87193, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 691: HP: 893, STR: 296802, VIT: 796, SPD: 24, LUK: 1, Attack: 380678, Defense: 88364, Current HP: 893, A Avg: 1012603, D Avg: 88364, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 690: HP: 893, STR: 296802, VIT: 796, SPD: 24, LUK: 1, Attack: 380678, Defense: 88364, Current HP: 893, A Avg: 1012603, D Avg: 88364, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 689: HP: 1292, STR: 288540, VIT: 310, SPD: 24, LUK: 1, Attack: 380726, Defense: 87228, Current HP: 1292, A Avg: 1012731, D Avg: 87228, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 688: HP: 1064, STR: 288604, VIT: 323, SPD: 24, LUK: 1, Attack: 380790, Defense: 87241, Current HP: 1064, A Avg: 1012901, D Avg: 87241, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 687: HP: 1064, STR: 288604, VIT: 323, SPD: 24, LUK: 1, Attack: 380790, Defense: 87241, Current HP: 1064, A Avg: 1012901, D Avg: 87241, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 686: HP: 1007, STR: 293169, VIT: 105, SPD: 25, LUK: 1, Attack: 380830, Defense: 86893, Current HP: 1007, A Avg: 1013007, D Avg: 86893, [Neural Edge(190)[230, 230, 230], C Magnum(239)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 685: HP: 988, STR: 296725, VIT: 748, SPD: 24, LUK: 1, Attack: 380874, Defense: 88316, Current HP: 988, A Avg: 1013124, D Avg: 88316, [Giant Tornado(114)[230, 230, 230], Storm Wall(242)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 684: HP: 893, STR: 296725, VIT: 732, SPD: 24, LUK: 1, Attack: 380874, Defense: 88300, Current HP: 893, A Avg: 1013124, D Avg: 88300, [Giant Tornado(114)[230, 230, 230], Storm Wall(242)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 683: HP: 988, STR: 296725, VIT: 793, SPD: 24, LUK: 1, Attack: 380874, Defense: 88361, Current HP: 988, A Avg: 1013124, D Avg: 88361, [Giant Tornado(114)[230, 230, 230], Storm Wall(242)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 682: HP: 988, STR: 296725, VIT: 748, SPD: 24, LUK: 1, Attack: 380874, Defense: 88316, Current HP: 988, A Avg: 1013124, D Avg: 88316, [Giant Tornado(114)[230, 230, 230], Storm Wall(242)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 681: HP: 893, STR: 415202, VIT: 796, SPD: 24, LUK: 1, Attack: 499078, Defense: 88364, Current HP: 893, A Avg: 1013128, D Avg: 88364, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 680: HP: 437, STR: 414322, VIT: 436, SPD: 24, LUK: 1, Attack: 499110, Defense: 84442, Current HP: 437, A Avg: 1013193, D Avg: 84442, [Pulse Knife(165)[230, 230, 230], Wings of Beast(210)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 679: HP: 418, STR: 414322, VIT: 1504, SPD: 24, LUK: 1, Attack: 499110, Defense: 87174, Current HP: 418, A Avg: 1013193, D Avg: 87174, [Pulse Knife(165)[230, 230, 230], Shield of Thousand(246)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 678: HP: 1064, STR: 288748, VIT: 243, SPD: 24, LUK: 1, Attack: 380934, Defense: 87161, Current HP: 1064, A Avg: 1013284, D Avg: 87161, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 67], Ring of power(314)[68, 803, 807]]
Rank 677: HP: 779, STR: 296832, VIT: 390, SPD: 28, LUK: 1, Attack: 380942, Defense: 84396, Current HP: 779, A Avg: 1013305, D Avg: 84396, [Serpent(144)[230, 230, 230], Wings of Beast(210)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 676: HP: 760, STR: 296832, VIT: 1457, SPD: 28, LUK: 1, Attack: 380942, Defense: 87127, Current HP: 760, A Avg: 1013305, D Avg: 87127, [Serpent(144)[230, 230, 230], Shield of Thousand(246)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 675: HP: 1121, STR: 296806, VIT: 784, SPD: 24, LUK: 1, Attack: 380955, Defense: 88352, Current HP: 1121, A Avg: 1013340, D Avg: 88352, [Giant Tornado(114)[230, 230, 230], Storm Wall(242)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 674: HP: 1159, STR: 297098, VIT: 940, SPD: 28, LUK: 1, Attack: 380974, Defense: 88508, Current HP: 1159, A Avg: 1013390, D Avg: 88508, [Tornado(111)[230, 230, 230], Storm Wall(242)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 673: HP: 509, STR: 414425, VIT: 436, SPD: 24, LUK: 1, Attack: 499213, Defense: 84936, Current HP: 509, A Avg: 1013402, D Avg: 84936, [Pulse Knife(165)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 672: HP: 893, STR: 296873, VIT: 796, SPD: 24, LUK: 1, Attack: 381022, Defense: 88364, Current HP: 893, A Avg: 1013518, D Avg: 88364, [Giant Tornado(114)[230, 230, 230], Storm Wall(242)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 671: HP: 893, STR: 296873, VIT: 796, SPD: 24, LUK: 1, Attack: 381022, Defense: 88364, Current HP: 893, A Avg: 1013518, D Avg: 88364, [Giant Tornado(114)[230, 230, 230], Storm Wall(242)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 670: HP: 851, STR: 296921, VIT: 390, SPD: 28, LUK: 1, Attack: 381031, Defense: 84890, Current HP: 851, A Avg: 1013542, D Avg: 84890, [Serpent(144)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 669: HP: 418, STR: 449332, VIT: 70, SPD: 24, LUK: 1, Attack: 533455, Defense: 84258, Current HP: 418, A Avg: 1013564, D Avg: 84258, [Pinpoint(112)[230, 230, 230], Dragon Sword(225)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 668: HP: 1330, STR: 288892, VIT: 467, SPD: 28, LUK: 1, Attack: 381078, Defense: 87385, Current HP: 1330, A Avg: 1013667, D Avg: 87385, [Big Bang(171)[230, 230, 230], White Hole(230)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 667: HP: 437, STR: 414631, VIT: 414, SPD: 24, LUK: 1, Attack: 499419, Defense: 84277, Current HP: 437, A Avg: 1013820, D Avg: 84277, [Pulse Knife(165)[230, 230, 230], Small Sword(218)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 666: HP: 893, STR: 415273, VIT: 796, SPD: 24, LUK: 1, Attack: 499422, Defense: 88364, Current HP: 893, A Avg: 1013826, D Avg: 88364, [Giant Tornado(114)[230, 230, 230], Storm Wall(242)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 665: HP: 779, STR: 297098, VIT: 368, SPD: 28, LUK: 1, Attack: 381208, Defense: 84231, Current HP: 779, A Avg: 1014013, D Avg: 84231, [Serpent(144)[230, 230, 230], Small Sword(218)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 664: HP: 554, STR: 414747, VIT: 444, SPD: 24, LUK: 1, Attack: 499535, Defense: 84450, Current HP: 554, A Avg: 1014056, D Avg: 84450, [Pulse Knife(165)[230, 230, 230], Small Dragon Sword(224)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 663: HP: 608, STR: 414752, VIT: 436, SPD: 24, LUK: 1, Attack: 499540, Defense: 84325, Current HP: 608, A Avg: 1014066, D Avg: 84325, [Pulse Knife(165)[230, 230, 230], Small Lion(219)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 662: HP: 988, STR: 414752, VIT: 1040, SPD: 24, LUK: 1, Attack: 499540, Defense: 88608, Current HP: 988, A Avg: 1014066, D Avg: 88608, [Pulse Knife(165)[230, 230, 230], Storm Wall(242)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 661: HP: 589, STR: 449708, VIT: 179, SPD: 24, LUK: 1, Attack: 533831, Defense: 85407, Current HP: 589, A Avg: 1014278, D Avg: 85407, [Pinpoint(112)[230, 230, 230], Wave Motion Sword(226)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 660: HP: 896, STR: 297198, VIT: 398, SPD: 28, LUK: 1, Attack: 381308, Defense: 84404, Current HP: 896, A Avg: 1014279, D Avg: 84404, [Serpent(144)[230, 230, 230], Small Dragon Sword(224)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 659: HP: 950, STR: 297202, VIT: 390, SPD: 28, LUK: 1, Attack: 381312, Defense: 84279, Current HP: 950, A Avg: 1014289, D Avg: 84279, [Serpent(144)[230, 230, 230], Small Lion(219)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 658: HP: 1330, STR: 297202, VIT: 993, SPD: 28, LUK: 1, Attack: 381312, Defense: 88561, Current HP: 1330, A Avg: 1014289, D Avg: 88561, [Serpent(144)[230, 230, 230], Storm Wall(242)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 657: HP: 752, STR: 414012, VIT: 345, SPD: 24, LUK: 1, Attack: 499656, Defense: 84845, Current HP: 752, A Avg: 1014301, D Avg: 84845, [Gladius(162)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 656: HP: 1159, STR: 297169, VIT: 940, SPD: 28, LUK: 1, Attack: 381318, Defense: 88508, Current HP: 1159, A Avg: 1014305, D Avg: 88508, [Giant Tornado(114)[230, 230, 230], Storm Wall(242)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 655: HP: 817, STR: 414408, VIT: 507, SPD: 24, LUK: 1, Attack: 499742, Defense: 84513, Current HP: 817, A Avg: 1014476, D Avg: 84513, [Impulse(166)[230, 230, 230], Wings of Beast(210)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 654: HP: 798, STR: 414408, VIT: 1574, SPD: 24, LUK: 1, Attack: 499742, Defense: 87244, Current HP: 798, A Avg: 1014476, D Avg: 87244, [Impulse(166)[230, 230, 230], Shield of Thousand(246)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 653: HP: 889, STR: 414511, VIT: 507, SPD: 24, LUK: 1, Attack: 499845, Defense: 85007, Current HP: 889, A Avg: 1014685, D Avg: 85007, [Impulse(166)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 652: HP: 817, STR: 414717, VIT: 484, SPD: 24, LUK: 1, Attack: 500051, Defense: 84347, Current HP: 817, A Avg: 1015103, D Avg: 84347, [Impulse(166)[230, 230, 230], Small Sword(218)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 651: HP: 934, STR: 414833, VIT: 515, SPD: 24, LUK: 1, Attack: 500167, Defense: 84521, Current HP: 934, A Avg: 1015339, D Avg: 84521, [Impulse(166)[230, 230, 230], Small Dragon Sword(224)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 650: HP: 418, STR: 415380, VIT: 384, SPD: 24, LUK: 1, Attack: 500168, Defense: 84572, Current HP: 418, A Avg: 1015341, D Avg: 84572, [Pulse Knife(165)[230, 230, 230], Dragon Sword(225)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 649: HP: 988, STR: 414838, VIT: 507, SPD: 24, LUK: 1, Attack: 500172, Defense: 84396, Current HP: 988, A Avg: 1015349, D Avg: 84396, [Impulse(166)[230, 230, 230], Small Lion(219)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 648: HP: 1368, STR: 414838, VIT: 1110, SPD: 24, LUK: 1, Attack: 500172, Defense: 88678, Current HP: 1368, A Avg: 1015349, D Avg: 88678, [Impulse(166)[230, 230, 230], Storm Wall(242)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 647: HP: 760, STR: 296965, VIT: 420, SPD: 28, LUK: 1, Attack: 381790, Defense: 84426, Current HP: 760, A Avg: 1015561, D Avg: 84426, [Kraken(145)[230, 230, 230], Wings of Beast(210)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 646: HP: 741, STR: 296965, VIT: 1488, SPD: 28, LUK: 1, Attack: 381790, Defense: 87158, Current HP: 741, A Avg: 1015561, D Avg: 87158, [Kraken(145)[230, 230, 230], Shield of Thousand(246)[230, 230, 67], Black Box(323)[68, 803, 807]]
