Rank 1000: HP: 988, STR: 603357, VIT: 922, SPD: 23, LUK: 1, Attack: 1033037, Defense: 85890, Current HP: 988, A Avg: 8605198, D Avg: 120245, [Impulse[166, 230, 230, 230], Huge Shield[234, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 737: HP: 540, STR: 604156, VIT: 408, SPD: 23, LUK: 1, Attack: 1034544, Defense: 84284, Current HP: 540, A Avg: 8617751, D Avg: 117997, [Zodiac[184, 230, 230, 230], Magic Shield[207, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 736: HP: 665, STR: 604156, VIT: 448, SPD: 23, LUK: 1, Attack: 1034544, Defense: 84285, Current HP: 665, A Avg: 8617751, D Avg: 117998, [Zodiac[184, 230, 230, 230], Emerald Shield[209, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 735: HP: 600, STR: 604156, VIT: 379, SPD: 23, LUK: 1, Attack: 1034544, Defense: 84151, Current HP: 600, A Avg: 8617751, D Avg: 117811, [Zodiac[184, 230, 230, 230], Clear Shield[211, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 734: HP: 640, STR: 604156, VIT: 408, SPD: 23, LUK: 1, Attack: 1034544, Defense: 84427, Current HP: 640, A Avg: 8617751, D Avg: 118197, [Zodiac[184, 230, 230, 230], Prism Shield[212, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 733: HP: 589, STR: 604156, VIT: 398, SPD: 23, LUK: 1, Attack: 1034544, Defense: 84326, Current HP: 589, A Avg: 8617751, D Avg: 118056, [Zodiac[184, 230, 230, 230], Tower Shield[213, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 732: HP: 836, STR: 604156, VIT: 506, SPD: 23, LUK: 1, Attack: 1034544, Defense: 85068, Current HP: 836, A Avg: 8617751, D Avg: 119095, [Zodiac[184, 230, 230, 230], Slime Shield[221, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 731: HP: 763, STR: 604156, VIT: 387, SPD: 23, LUK: 1, Attack: 1034544, Defense: 84315, Current HP: 763, A Avg: 8617751, D Avg: 118040, [Zodiac[184, 230, 230, 230], Hardwood Shield[223, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 730: HP: 540, STR: 604156, VIT: 854, SPD: 23, LUK: 1, Attack: 1034544, Defense: 87642, Current HP: 540, A Avg: 8617751, D Avg: 122698, [Zodiac[184, 230, 230, 230], Energy Shield[227, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 729: HP: 1862, STR: 604156, VIT: 356, SPD: 23, LUK: 1, Attack: 1034544, Defense: 86273, Current HP: 1862, A Avg: 8617751, D Avg: 120782, [Zodiac[184, 230, 230, 230], Frying Pan[231, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 728: HP: 1004, STR: 604156, VIT: 556, SPD: 23, LUK: 1, Attack: 1034544, Defense: 85290, Current HP: 1004, A Avg: 8617751, D Avg: 119405, [Zodiac[184, 230, 230, 230], Slafield[232, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 727: HP: 820, STR: 604156, VIT: 506, SPD: 23, LUK: 1, Attack: 1034544, Defense: 85981, Current HP: 820, A Avg: 8617751, D Avg: 120373, [Zodiac[184, 230, 230, 230], Mist Shield[233, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 726: HP: 703, STR: 604156, VIT: 661, SPD: 23, LUK: 1, Attack: 1034544, Defense: 85629, Current HP: 703, A Avg: 8617751, D Avg: 119880, [Zodiac[184, 230, 230, 230], Huge Shield[234, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 725: HP: 627, STR: 604156, VIT: 776, SPD: 23, LUK: 1, Attack: 1034544, Defense: 87616, Current HP: 627, A Avg: 8617751, D Avg: 122662, [Zodiac[184, 230, 230, 230], Aurora Shield[240, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 724: HP: 960, STR: 604156, VIT: 601, SPD: 23, LUK: 1, Attack: 1034544, Defense: 88026, Current HP: 960, A Avg: 8617751, D Avg: 123236, [Zodiac[184, 230, 230, 230], Cloud Shield[241, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 723: HP: 513, STR: 604156, VIT: 340, SPD: 23, LUK: 1, Attack: 1034544, Defense: 87129, Current HP: 513, A Avg: 8617751, D Avg: 121980, [Zodiac[184, 230, 230, 230], Graffiti[243, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 722: HP: 513, STR: 604156, VIT: 921, SPD: 23, LUK: 1, Attack: 1034544, Defense: 90699, Current HP: 513, A Avg: 8617751, D Avg: 126978, [Zodiac[184, 230, 230, 230], Blank Shield[244, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 721: HP: 988, STR: 604156, VIT: 1335, SPD: 23, LUK: 1, Attack: 1034544, Defense: 88123, Current HP: 988, A Avg: 8617751, D Avg: 123372, [Zodiac[184, 230, 230, 230], Golem Shield[245, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 720: HP: 798, STR: 604156, VIT: 593, SPD: 25, LUK: 1, Attack: 1034544, Defense: 86471, Current HP: 798, A Avg: 8617751, D Avg: 121059, [Zodiac[184, 230, 230, 230], Sticky thread shield[247, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 719: HP: 1060, STR: 604156, VIT: 648, SPD: 23, LUK: 1, Attack: 1034544, Defense: 86864, Current HP: 1060, A Avg: 8617751, D Avg: 121609, [Zodiac[184, 230, 230, 230], King Shield[248, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 718: HP: 940, STR: 604156, VIT: 871, SPD: 23, LUK: 1, Attack: 1034544, Defense: 87906, Current HP: 940, A Avg: 8617751, D Avg: 123068, [Zodiac[184, 230, 230, 230], Warrior's Shield[249, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 717: HP: 540, STR: 604156, VIT: 688, SPD: 23, LUK: 1, Attack: 1034544, Defense: 87736, Current HP: 540, A Avg: 8617751, D Avg: 122830, [Zodiac[184, 230, 230, 230], Ghost shield[251, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 716: HP: 540, STR: 604156, VIT: 340, SPD: 23, LUK: 1, Attack: 1034544, Defense: 84063, Current HP: 540, A Avg: 8617751, D Avg: 117688, [Zodiac[184, 230, 230, 230], Pot Lid[201, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 715: HP: 540, STR: 604156, VIT: 340, SPD: 23, LUK: 1, Attack: 1034544, Defense: 84073, Current HP: 540, A Avg: 8617751, D Avg: 117702, [Zodiac[184, 230, 230, 230], High Pot Lid[202, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 714: HP: 513, STR: 604156, VIT: 367, SPD: 23, LUK: 1, Attack: 1034544, Defense: 84236, Current HP: 513, A Avg: 8617751, D Avg: 117930, [Zodiac[184, 230, 230, 230], Wooden Shield[203, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 713: HP: 513, STR: 604156, VIT: 374, SPD: 23, LUK: 1, Attack: 1034544, Defense: 84178, Current HP: 513, A Avg: 8617751, D Avg: 117849, [Zodiac[184, 230, 230, 230], Iron Shield[204, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 712: HP: 513, STR: 604156, VIT: 387, SPD: 23, LUK: 1, Attack: 1034544, Defense: 84250, Current HP: 513, A Avg: 8617751, D Avg: 117949, [Zodiac[184, 230, 230, 230], Titanium Shield[205, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 711: HP: 513, STR: 604156, VIT: 408, SPD: 23, LUK: 1, Attack: 1034544, Defense: 84297, Current HP: 513, A Avg: 8617751, D Avg: 118015, [Zodiac[184, 230, 230, 230], Large iron Shield[206, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 710: HP: 540, STR: 604156, VIT: 408, SPD: 23, LUK: 1, Attack: 1034544, Defense: 84284, Current HP: 540, A Avg: 8617751, D Avg: 117997, [Zodiac[184, 230, 230, 230], Magic Shield[207, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 709: HP: 665, STR: 604156, VIT: 448, SPD: 23, LUK: 1, Attack: 1034544, Defense: 84285, Current HP: 665, A Avg: 8617751, D Avg: 117998, [Zodiac[184, 230, 230, 230], Emerald Shield[209, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 708: HP: 600, STR: 604156, VIT: 379, SPD: 23, LUK: 1, Attack: 1034544, Defense: 84151, Current HP: 600, A Avg: 8617751, D Avg: 117811, [Zodiac[184, 230, 230, 230], Clear Shield[211, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 707: HP: 640, STR: 604156, VIT: 408, SPD: 23, LUK: 1, Attack: 1034544, Defense: 84427, Current HP: 640, A Avg: 8617751, D Avg: 118197, [Zodiac[184, 230, 230, 230], Prism Shield[212, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 706: HP: 589, STR: 604156, VIT: 398, SPD: 23, LUK: 1, Attack: 1034544, Defense: 84326, Current HP: 589, A Avg: 8617751, D Avg: 118056, [Zodiac[184, 230, 230, 230], Tower Shield[213, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 705: HP: 836, STR: 604156, VIT: 506, SPD: 23, LUK: 1, Attack: 1034544, Defense: 85068, Current HP: 836, A Avg: 8617751, D Avg: 119095, [Zodiac[184, 230, 230, 230], Slime Shield[221, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 704: HP: 763, STR: 604156, VIT: 387, SPD: 23, LUK: 1, Attack: 1034544, Defense: 84315, Current HP: 763, A Avg: 8617751, D Avg: 118040, [Zodiac[184, 230, 230, 230], Hardwood Shield[223, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 703: HP: 540, STR: 604156, VIT: 854, SPD: 23, LUK: 1, Attack: 1034544, Defense: 87642, Current HP: 540, A Avg: 8617751, D Avg: 122698, [Zodiac[184, 230, 230, 230], Energy Shield[227, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 702: HP: 1862, STR: 604156, VIT: 356, SPD: 23, LUK: 1, Attack: 1034544, Defense: 86273, Current HP: 1862, A Avg: 8617751, D Avg: 120782, [Zodiac[184, 230, 230, 230], Frying Pan[231, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 701: HP: 1004, STR: 604156, VIT: 556, SPD: 23, LUK: 1, Attack: 1034544, Defense: 85290, Current HP: 1004, A Avg: 8617751, D Avg: 119405, [Zodiac[184, 230, 230, 230], Slafield[232, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 700: HP: 820, STR: 604156, VIT: 506, SPD: 23, LUK: 1, Attack: 1034544, Defense: 85981, Current HP: 820, A Avg: 8617751, D Avg: 120373, [Zodiac[184, 230, 230, 230], Mist Shield[233, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 699: HP: 703, STR: 604156, VIT: 661, SPD: 23, LUK: 1, Attack: 1034544, Defense: 85629, Current HP: 703, A Avg: 8617751, D Avg: 119880, [Zodiac[184, 230, 230, 230], Huge Shield[234, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 698: HP: 627, STR: 604156, VIT: 776, SPD: 23, LUK: 1, Attack: 1034544, Defense: 87616, Current HP: 627, A Avg: 8617751, D Avg: 122662, [Zodiac[184, 230, 230, 230], Aurora Shield[240, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 697: HP: 960, STR: 604156, VIT: 601, SPD: 23, LUK: 1, Attack: 1034544, Defense: 88026, Current HP: 960, A Avg: 8617751, D Avg: 123236, [Zodiac[184, 230, 230, 230], Cloud Shield[241, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 696: HP: 513, STR: 604156, VIT: 340, SPD: 23, LUK: 1, Attack: 1034544, Defense: 87129, Current HP: 513, A Avg: 8617751, D Avg: 121980, [Zodiac[184, 230, 230, 230], Graffiti[243, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 695: HP: 513, STR: 604156, VIT: 921, SPD: 23, LUK: 1, Attack: 1034544, Defense: 90699, Current HP: 513, A Avg: 8617751, D Avg: 126978, [Zodiac[184, 230, 230, 230], Blank Shield[244, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 694: HP: 988, STR: 604156, VIT: 1335, SPD: 23, LUK: 1, Attack: 1034544, Defense: 88123, Current HP: 988, A Avg: 8617751, D Avg: 123372, [Zodiac[184, 230, 230, 230], Golem Shield[245, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 693: HP: 798, STR: 604156, VIT: 593, SPD: 25, LUK: 1, Attack: 1034544, Defense: 86471, Current HP: 798, A Avg: 8617751, D Avg: 121059, [Zodiac[184, 230, 230, 230], Sticky thread shield[247, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 692: HP: 1060, STR: 604156, VIT: 648, SPD: 23, LUK: 1, Attack: 1034544, Defense: 86864, Current HP: 1060, A Avg: 8617751, D Avg: 121609, [Zodiac[184, 230, 230, 230], King Shield[248, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 691: HP: 940, STR: 604156, VIT: 871, SPD: 23, LUK: 1, Attack: 1034544, Defense: 87906, Current HP: 940, A Avg: 8617751, D Avg: 123068, [Zodiac[184, 230, 230, 230], Warrior's Shield[249, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 690: HP: 540, STR: 604156, VIT: 688, SPD: 23, LUK: 1, Attack: 1034544, Defense: 87736, Current HP: 540, A Avg: 8617751, D Avg: 122830, [Zodiac[184, 230, 230, 230], Ghost shield[251, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 689: HP: 668, STR: 604203, VIT: 458, SPD: 23, LUK: 1, Attack: 1034614, Defense: 84399, Current HP: 668, A Avg: 8618334, D Avg: 118158, [Zodiac[184, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 688: HP: 668, STR: 604203, VIT: 458, SPD: 23, LUK: 1, Attack: 1034614, Defense: 84399, Current HP: 668, A Avg: 8618334, D Avg: 118158, [Zodiac[184, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Ring of power[314, 230, 230, 67]]
Rank 687: HP: 668, STR: 604203, VIT: 458, SPD: 23, LUK: 1, Attack: 1034614, Defense: 84399, Current HP: 668, A Avg: 8618334, D Avg: 118158, [Zodiac[184, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Ring of power[314, 230, 230, 68]]
Rank 686: HP: 668, STR: 604203, VIT: 458, SPD: 23, LUK: 1, Attack: 1034614, Defense: 84399, Current HP: 668, A Avg: 8618334, D Avg: 118158, [Zodiac[184, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 685: HP: 668, STR: 604203, VIT: 458, SPD: 23, LUK: 1, Attack: 1034614, Defense: 84399, Current HP: 668, A Avg: 8618334, D Avg: 118158, [Zodiac[184, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 684: HP: 893, STR: 605623, VIT: 950, SPD: 23, LUK: 1, Attack: 1034658, Defense: 88518, Current HP: 893, A Avg: 8618701, D Avg: 123925, [Giant Tornado[114, 230, 230, 230], Storm Wall[242, 230, 230, 230], Petit Magic Circle[308, 230, 230, 230]]
Rank 683: HP: 988, STR: 605623, VIT: 1029, SPD: 23, LUK: 1, Attack: 1034658, Defense: 88597, Current HP: 988, A Avg: 8618701, D Avg: 124035, [Giant Tornado[114, 230, 230, 230], Storm Wall[242, 230, 230, 230], Mobius Ring[316, 230, 230, 230]]
Rank 682: HP: 988, STR: 605623, VIT: 971, SPD: 23, LUK: 1, Attack: 1034658, Defense: 88539, Current HP: 988, A Avg: 8618701, D Avg: 123954, [Giant Tornado[114, 230, 230, 230], Storm Wall[242, 230, 230, 230], The Third Eye[322, 230, 230, 230]]
Rank 681: HP: 513, STR: 604246, VIT: 408, SPD: 25, LUK: 1, Attack: 1034679, Defense: 84433, Current HP: 513, A Avg: 8618876, D Avg: 118206, [Zodiac[184, 230, 230, 230], Conductive Barrier[208, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 680: HP: 513, STR: 604246, VIT: 408, SPD: 25, LUK: 1, Attack: 1034679, Defense: 84433, Current HP: 513, A Avg: 8618876, D Avg: 118206, [Zodiac[184, 230, 230, 230], Conductive Barrier[208, 230, 230, 230], Ring of power[314, 230, 230, 67]]
Rank 679: HP: 513, STR: 604246, VIT: 408, SPD: 25, LUK: 1, Attack: 1034679, Defense: 84433, Current HP: 513, A Avg: 8618876, D Avg: 118206, [Zodiac[184, 230, 230, 230], Conductive Barrier[208, 230, 230, 230], Ring of power[314, 230, 230, 68]]
Rank 678: HP: 513, STR: 604246, VIT: 408, SPD: 25, LUK: 1, Attack: 1034679, Defense: 84433, Current HP: 513, A Avg: 8618876, D Avg: 118206, [Zodiac[184, 230, 230, 230], Conductive Barrier[208, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 677: HP: 513, STR: 604246, VIT: 408, SPD: 25, LUK: 1, Attack: 1034679, Defense: 84433, Current HP: 513, A Avg: 8618876, D Avg: 118206, [Zodiac[184, 230, 230, 230], Conductive Barrier[208, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 676: HP: 741, STR: 604269, VIT: 461, SPD: 23, LUK: 1, Attack: 1034713, Defense: 84701, Current HP: 741, A Avg: 8619159, D Avg: 118581, [Zodiac[184, 230, 230, 230], Dragon's Wings[216, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 675: HP: 741, STR: 604269, VIT: 461, SPD: 23, LUK: 1, Attack: 1034713, Defense: 84701, Current HP: 741, A Avg: 8619159, D Avg: 118581, [Zodiac[184, 230, 230, 230], Dragon's Wings[216, 230, 230, 230], Ring of power[314, 230, 230, 67]]
Rank 674: HP: 741, STR: 604269, VIT: 461, SPD: 23, LUK: 1, Attack: 1034713, Defense: 84701, Current HP: 741, A Avg: 8619159, D Avg: 118581, [Zodiac[184, 230, 230, 230], Dragon's Wings[216, 230, 230, 230], Ring of power[314, 230, 230, 68]]
Rank 673: HP: 741, STR: 604269, VIT: 461, SPD: 23, LUK: 1, Attack: 1034713, Defense: 84701, Current HP: 741, A Avg: 8619159, D Avg: 118581, [Zodiac[184, 230, 230, 230], Dragon's Wings[216, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 672: HP: 741, STR: 604269, VIT: 461, SPD: 23, LUK: 1, Attack: 1034713, Defense: 84701, Current HP: 741, A Avg: 8619159, D Avg: 118581, [Zodiac[184, 230, 230, 230], Dragon's Wings[216, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 671: HP: 798, STR: 603343, VIT: 859, SPD: 25, LUK: 1, Attack: 1034748, Defense: 85281, Current HP: 798, A Avg: 8619450, D Avg: 119393, [Cuttlefish[178, 230, 230, 230], Superconducting Barrier[220, 230, 230, 230], Mobius Ring[316, 230, 230, 66]]
Rank 670: HP: 798, STR: 603343, VIT: 859, SPD: 25, LUK: 1, Attack: 1034748, Defense: 85281, Current HP: 798, A Avg: 8619450, D Avg: 119393, [Cuttlefish[178, 230, 230, 230], Superconducting Barrier[220, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 669: HP: 798, STR: 603343, VIT: 859, SPD: 25, LUK: 1, Attack: 1034748, Defense: 85281, Current HP: 798, A Avg: 8619450, D Avg: 119393, [Cuttlefish[178, 230, 230, 230], Superconducting Barrier[220, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 668: HP: 798, STR: 603343, VIT: 859, SPD: 25, LUK: 1, Attack: 1034748, Defense: 85281, Current HP: 798, A Avg: 8619450, D Avg: 119393, [Cuttlefish[178, 230, 230, 230], Superconducting Barrier[220, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 667: HP: 798, STR: 603343, VIT: 859, SPD: 25, LUK: 1, Attack: 1034748, Defense: 85281, Current HP: 798, A Avg: 8619450, D Avg: 119393, [Cuttlefish[178, 230, 230, 230], Superconducting Barrier[220, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 666: HP: 716, STR: 604307, VIT: 522, SPD: 23, LUK: 1, Attack: 1034770, Defense: 86140, Current HP: 716, A Avg: 8619634, D Avg: 120595, [Zodiac[184, 230, 230, 230], Mask of the Grim Reaper[214, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 665: HP: 716, STR: 604307, VIT: 522, SPD: 23, LUK: 1, Attack: 1034770, Defense: 86140, Current HP: 716, A Avg: 8619634, D Avg: 120595, [Zodiac[184, 230, 230, 230], Mask of the Grim Reaper[214, 230, 230, 230], Ring of power[314, 230, 230, 67]]
Rank 664: HP: 716, STR: 604307, VIT: 522, SPD: 23, LUK: 1, Attack: 1034770, Defense: 86140, Current HP: 716, A Avg: 8619634, D Avg: 120595, [Zodiac[184, 230, 230, 230], Mask of the Grim Reaper[214, 230, 230, 230], Ring of power[314, 230, 230, 68]]
Rank 663: HP: 716, STR: 604307, VIT: 522, SPD: 23, LUK: 1, Attack: 1034770, Defense: 86140, Current HP: 716, A Avg: 8619634, D Avg: 120595, [Zodiac[184, 230, 230, 230], Mask of the Grim Reaper[214, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 662: HP: 716, STR: 604307, VIT: 522, SPD: 23, LUK: 1, Attack: 1034770, Defense: 86140, Current HP: 716, A Avg: 8619634, D Avg: 120595, [Zodiac[184, 230, 230, 230], Mask of the Grim Reaper[214, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 661: HP: 619, STR: 604311, VIT: 700, SPD: 23, LUK: 1, Attack: 1034776, Defense: 85538, Current HP: 619, A Avg: 8619684, D Avg: 119753, [Zodiac[184, 230, 230, 230], Bulletproof Shield[235, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 660: HP: 619, STR: 604311, VIT: 700, SPD: 23, LUK: 1, Attack: 1034776, Defense: 85538, Current HP: 619, A Avg: 8619684, D Avg: 119753, [Zodiac[184, 230, 230, 230], Bulletproof Shield[235, 230, 230, 230], Ring of power[314, 230, 230, 67]]
Rank 659: HP: 619, STR: 604311, VIT: 700, SPD: 23, LUK: 1, Attack: 1034776, Defense: 85538, Current HP: 619, A Avg: 8619684, D Avg: 119753, [Zodiac[184, 230, 230, 230], Bulletproof Shield[235, 230, 230, 230], Ring of power[314, 230, 230, 68]]
Rank 658: HP: 619, STR: 604311, VIT: 700, SPD: 23, LUK: 1, Attack: 1034776, Defense: 85538, Current HP: 619, A Avg: 8619684, D Avg: 119753, [Zodiac[184, 230, 230, 230], Bulletproof Shield[235, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 657: HP: 619, STR: 604311, VIT: 700, SPD: 23, LUK: 1, Attack: 1034776, Defense: 85538, Current HP: 619, A Avg: 8619684, D Avg: 119753, [Zodiac[184, 230, 230, 230], Bulletproof Shield[235, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 656: HP: 779, STR: 605745, VIT: 506, SPD: 28, LUK: 1, Attack: 1034782, Defense: 84512, Current HP: 779, A Avg: 8619734, D Avg: 118316, [Serpent[144, 230, 230, 230], Wings of Beast[210, 230, 230, 230], Black Box[323, 230, 230, 230]]
Rank 655: HP: 760, STR: 605745, VIT: 1890, SPD: 28, LUK: 1, Attack: 1034782, Defense: 87560, Current HP: 760, A Avg: 8619734, D Avg: 122583, [Serpent[144, 230, 230, 230], Shield of Thousand[246, 230, 230, 230], Black Box[323, 230, 230, 230]]
Rank 654: HP: 1121, STR: 605715, VIT: 1016, SPD: 23, LUK: 1, Attack: 1034796, Defense: 88584, Current HP: 1121, A Avg: 8619850, D Avg: 124017, [Giant Tornado[114, 230, 230, 230], Storm Wall[242, 230, 230, 230], Seal of the High King[319, 230, 230, 230]]
Rank 653: HP: 741, STR: 604358, VIT: 491, SPD: 23, LUK: 1, Attack: 1034847, Defense: 85355, Current HP: 741, A Avg: 8620275, D Avg: 119496, [Zodiac[184, 230, 230, 230], Dragon's Head[217, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 652: HP: 665, STR: 604358, VIT: 506, SPD: 25, LUK: 1, Attack: 1034847, Defense: 84928, Current HP: 665, A Avg: 8620275, D Avg: 118899, [Zodiac[184, 230, 230, 230], Superconducting Barrier[220, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 651: HP: 741, STR: 604358, VIT: 491, SPD: 23, LUK: 1, Attack: 1034847, Defense: 85355, Current HP: 741, A Avg: 8620275, D Avg: 119496, [Zodiac[184, 230, 230, 230], Dragon's Head[217, 230, 230, 230], Ring of power[314, 230, 230, 67]]
Rank 650: HP: 665, STR: 604358, VIT: 506, SPD: 25, LUK: 1, Attack: 1034847, Defense: 84928, Current HP: 665, A Avg: 8620275, D Avg: 118899, [Zodiac[184, 230, 230, 230], Superconducting Barrier[220, 230, 230, 230], Ring of power[314, 230, 230, 67]]
Rank 649: HP: 741, STR: 604358, VIT: 491, SPD: 23, LUK: 1, Attack: 1034847, Defense: 85355, Current HP: 741, A Avg: 8620275, D Avg: 119496, [Zodiac[184, 230, 230, 230], Dragon's Head[217, 230, 230, 230], Ring of power[314, 230, 230, 68]]
Rank 648: HP: 665, STR: 604358, VIT: 506, SPD: 25, LUK: 1, Attack: 1034847, Defense: 84928, Current HP: 665, A Avg: 8620275, D Avg: 118899, [Zodiac[184, 230, 230, 230], Superconducting Barrier[220, 230, 230, 230], Ring of power[314, 230, 230, 68]]
Rank 647: HP: 741, STR: 604358, VIT: 491, SPD: 23, LUK: 1, Attack: 1034847, Defense: 85355, Current HP: 741, A Avg: 8620275, D Avg: 119496, [Zodiac[184, 230, 230, 230], Dragon's Head[217, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 646: HP: 665, STR: 604358, VIT: 506, SPD: 25, LUK: 1, Attack: 1034847, Defense: 84928, Current HP: 665, A Avg: 8620275, D Avg: 118899, [Zodiac[184, 230, 230, 230], Superconducting Barrier[220, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 645: HP: 741, STR: 604358, VIT: 491, SPD: 23, LUK: 1, Attack: 1034847, Defense: 85355, Current HP: 741, A Avg: 8620275, D Avg: 119496, [Zodiac[184, 230, 230, 230], Dragon's Head[217, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 644: HP: 665, STR: 604358, VIT: 506, SPD: 25, LUK: 1, Attack: 1034847, Defense: 84928, Current HP: 665, A Avg: 8620275, D Avg: 118899, [Zodiac[184, 230, 230, 230], Superconducting Barrier[220, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 643: HP: 741, STR: 604382, VIT: 730, SPD: 23, LUK: 1, Attack: 1034883, Defense: 87531, Current HP: 741, A Avg: 8620575, D Avg: 122543, [Zodiac[184, 230, 230, 230], Riot[236, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 642: HP: 741, STR: 604382, VIT: 730, SPD: 23, LUK: 1, Attack: 1034883, Defense: 87531, Current HP: 741, A Avg: 8620575, D Avg: 122543, [Zodiac[184, 230, 230, 230], Riot[236, 230, 230, 230], Ring of power[314, 230, 230, 67]]
Rank 641: HP: 741, STR: 604382, VIT: 730, SPD: 23, LUK: 1, Attack: 1034883, Defense: 87531, Current HP: 741, A Avg: 8620575, D Avg: 122543, [Zodiac[184, 230, 230, 230], Riot[236, 230, 230, 230], Ring of power[314, 230, 230, 68]]
Rank 640: HP: 741, STR: 604382, VIT: 730, SPD: 23, LUK: 1, Attack: 1034883, Defense: 87531, Current HP: 741, A Avg: 8620575, D Avg: 122543, [Zodiac[184, 230, 230, 230], Riot[236, 230, 230, 230], Ring of power[314, 230, 230, 803]]
