Rank 1000: HP: 285, STR: 602304, VIT: 130, SPD: 1, LUK: 1, Attack: 1031457, Defense: 83967, Current HP: 285, A Avg: 8592036, D Avg: 117553, [Impulse[166, 230, 230, 230], Emerald Shield[209, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 793: HP: 360, STR: 602116, VIT: 41, SPD: 1, LUK: 1, Attack: 1031484, Defense: 84603, Current HP: 360, A Avg: 8592261, D Avg: 118444, [Zodiac[184, 230, 230, 230], Slime Shield[221, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 792: HP: 285, STR: 602116, VIT: 21, SPD: 1, LUK: 1, Attack: 1031484, Defense: 83949, Current HP: 285, A Avg: 8592261, D Avg: 117528, [Zodiac[184, 230, 230, 230], Hardwood Shield[223, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 791: HP: 260, STR: 602116, VIT: 332, SPD: 1, LUK: 1, Attack: 1031484, Defense: 87120, Current HP: 260, A Avg: 8592261, D Avg: 121967, [Zodiac[184, 230, 230, 230], Energy Shield[227, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 790: HP: 285, STR: 602116, VIT: 83, SPD: 1, LUK: 1, Attack: 1031484, Defense: 84674, Current HP: 285, A Avg: 8592261, D Avg: 118543, [Zodiac[184, 230, 230, 230], Black Hole[229, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 789: HP: 285, STR: 602116, VIT: 83, SPD: 1, LUK: 1, Attack: 1031484, Defense: 87001, Current HP: 285, A Avg: 8592261, D Avg: 121801, [Zodiac[184, 230, 230, 230], White Hole[230, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 788: HP: 1197, STR: 602116, VIT: 21, SPD: 1, LUK: 1, Attack: 1031484, Defense: 85938, Current HP: 1197, A Avg: 8592261, D Avg: 120313, [Zodiac[184, 230, 230, 230], Frying Pan[231, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 787: HP: 500, STR: 602116, VIT: 62, SPD: 1, LUK: 1, Attack: 1031484, Defense: 84796, Current HP: 500, A Avg: 8592261, D Avg: 118714, [Zodiac[184, 230, 230, 230], Slafield[232, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 786: HP: 400, STR: 602116, VIT: 41, SPD: 1, LUK: 1, Attack: 1031484, Defense: 85516, Current HP: 400, A Avg: 8592261, D Avg: 119722, [Zodiac[184, 230, 230, 230], Mist Shield[233, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 785: HP: 437, STR: 602116, VIT: 21, SPD: 1, LUK: 1, Attack: 1031484, Defense: 84989, Current HP: 437, A Avg: 8592261, D Avg: 118984, [Zodiac[184, 230, 230, 230], Huge Shield[234, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 784: HP: 361, STR: 602116, VIT: 166, SPD: 1, LUK: 1, Attack: 1031484, Defense: 87006, Current HP: 361, A Avg: 8592261, D Avg: 121808, [Zodiac[184, 230, 230, 230], Aurora Shield[240, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 783: HP: 260, STR: 602116, VIT: 20, SPD: 1, LUK: 1, Attack: 1031484, Defense: 87445, Current HP: 260, A Avg: 8592261, D Avg: 122422, [Zodiac[184, 230, 230, 230], Cloud Shield[241, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 782: HP: 247, STR: 602116, VIT: 20, SPD: 1, LUK: 1, Attack: 1031484, Defense: 86809, Current HP: 247, A Avg: 8592261, D Avg: 121532, [Zodiac[184, 230, 230, 230], Graffiti[243, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 781: HP: 247, STR: 602116, VIT: 20, SPD: 1, LUK: 1, Attack: 1031484, Defense: 89798, Current HP: 247, A Avg: 8592261, D Avg: 125717, [Zodiac[184, 230, 230, 230], Blank Shield[244, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 780: HP: 722, STR: 602116, VIT: 239, SPD: 1, LUK: 1, Attack: 1031484, Defense: 87027, Current HP: 722, A Avg: 8592261, D Avg: 121837, [Zodiac[184, 230, 230, 230], Golem Shield[245, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 779: HP: 532, STR: 602116, VIT: 41, SPD: 1, LUK: 1, Attack: 1031484, Defense: 85919, Current HP: 532, A Avg: 8592261, D Avg: 120286, [Zodiac[184, 230, 230, 230], Sticky thread shield[247, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 778: HP: 475, STR: 602116, VIT: 130, SPD: 1, LUK: 1, Attack: 1031484, Defense: 86346, Current HP: 475, A Avg: 8592261, D Avg: 120884, [Zodiac[184, 230, 230, 230], King Shield[248, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 777: HP: 660, STR: 602116, VIT: 435, SPD: 1, LUK: 1, Attack: 1031484, Defense: 87470, Current HP: 660, A Avg: 8592261, D Avg: 122457, [Zodiac[184, 230, 230, 230], Warrior's Shield[249, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 776: HP: 260, STR: 602116, VIT: 20, SPD: 1, LUK: 1, Attack: 1031484, Defense: 87068, Current HP: 260, A Avg: 8592261, D Avg: 121895, [Zodiac[184, 230, 230, 230], Ghost shield[251, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 775: HP: 288, STR: 602323, VIT: 132, SPD: 1, LUK: 1, Attack: 1031486, Defense: 85750, Current HP: 288, A Avg: 8592278, D Avg: 120049, [Impulse[166, 230, 230, 230], Mask of the Grim Reaper[214, 230, 230, 230], Mobius Ring[316, 230, 230, 66]]
Rank 774: HP: 288, STR: 602323, VIT: 132, SPD: 1, LUK: 1, Attack: 1031486, Defense: 85750, Current HP: 288, A Avg: 8592278, D Avg: 120049, [Impulse[166, 230, 230, 230], Mask of the Grim Reaper[214, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 773: HP: 288, STR: 602323, VIT: 132, SPD: 1, LUK: 1, Attack: 1031486, Defense: 85750, Current HP: 288, A Avg: 8592278, D Avg: 120049, [Impulse[166, 230, 230, 230], Mask of the Grim Reaper[214, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 772: HP: 288, STR: 602323, VIT: 132, SPD: 1, LUK: 1, Attack: 1031486, Defense: 85750, Current HP: 288, A Avg: 8592278, D Avg: 120049, [Impulse[166, 230, 230, 230], Mask of the Grim Reaper[214, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 771: HP: 288, STR: 602323, VIT: 132, SPD: 1, LUK: 1, Attack: 1031486, Defense: 85750, Current HP: 288, A Avg: 8592278, D Avg: 120049, [Impulse[166, 230, 230, 230], Mask of the Grim Reaper[214, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 770: HP: 266, STR: 602328, VIT: 134, SPD: 1, LUK: 1, Attack: 1031493, Defense: 84159, Current HP: 266, A Avg: 8592336, D Avg: 117822, [Impulse[166, 230, 230, 230], Conductive Barrier[208, 230, 230, 230], Mobius Ring[316, 230, 230, 66]]
Rank 769: HP: 266, STR: 602328, VIT: 261, SPD: 1, LUK: 1, Attack: 1031493, Defense: 85099, Current HP: 266, A Avg: 8592336, D Avg: 119138, [Impulse[166, 230, 230, 230], Bulletproof Shield[235, 230, 230, 230], Mobius Ring[316, 230, 230, 66]]
Rank 768: HP: 266, STR: 602328, VIT: 134, SPD: 1, LUK: 1, Attack: 1031493, Defense: 84159, Current HP: 266, A Avg: 8592336, D Avg: 117822, [Impulse[166, 230, 230, 230], Conductive Barrier[208, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 767: HP: 266, STR: 602328, VIT: 261, SPD: 1, LUK: 1, Attack: 1031493, Defense: 85099, Current HP: 266, A Avg: 8592336, D Avg: 119138, [Impulse[166, 230, 230, 230], Bulletproof Shield[235, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 766: HP: 266, STR: 602328, VIT: 134, SPD: 1, LUK: 1, Attack: 1031493, Defense: 84159, Current HP: 266, A Avg: 8592336, D Avg: 117822, [Impulse[166, 230, 230, 230], Conductive Barrier[208, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 765: HP: 266, STR: 602328, VIT: 261, SPD: 1, LUK: 1, Attack: 1031493, Defense: 85099, Current HP: 266, A Avg: 8592336, D Avg: 119138, [Impulse[166, 230, 230, 230], Bulletproof Shield[235, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 764: HP: 266, STR: 602328, VIT: 134, SPD: 1, LUK: 1, Attack: 1031493, Defense: 84159, Current HP: 266, A Avg: 8592336, D Avg: 117822, [Impulse[166, 230, 230, 230], Conductive Barrier[208, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 763: HP: 266, STR: 602328, VIT: 261, SPD: 1, LUK: 1, Attack: 1031493, Defense: 85099, Current HP: 266, A Avg: 8592336, D Avg: 119138, [Impulse[166, 230, 230, 230], Bulletproof Shield[235, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 762: HP: 266, STR: 602328, VIT: 134, SPD: 1, LUK: 1, Attack: 1031493, Defense: 84159, Current HP: 266, A Avg: 8592336, D Avg: 117822, [Impulse[166, 230, 230, 230], Conductive Barrier[208, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 761: HP: 266, STR: 602328, VIT: 261, SPD: 1, LUK: 1, Attack: 1031493, Defense: 85099, Current HP: 266, A Avg: 8592336, D Avg: 119138, [Impulse[166, 230, 230, 230], Bulletproof Shield[235, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 760: HP: 361, STR: 602333, VIT: 261, SPD: 1, LUK: 1, Attack: 1031501, Defense: 87062, Current HP: 361, A Avg: 8592403, D Avg: 121886, [Impulse[166, 230, 230, 230], Riot[236, 230, 230, 230], Mobius Ring[316, 230, 230, 66]]
Rank 759: HP: 361, STR: 602333, VIT: 261, SPD: 1, LUK: 1, Attack: 1031501, Defense: 87062, Current HP: 361, A Avg: 8592403, D Avg: 121886, [Impulse[166, 230, 230, 230], Riot[236, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 758: HP: 361, STR: 602333, VIT: 261, SPD: 1, LUK: 1, Attack: 1031501, Defense: 87062, Current HP: 361, A Avg: 8592403, D Avg: 121886, [Impulse[166, 230, 230, 230], Riot[236, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 757: HP: 361, STR: 602333, VIT: 261, SPD: 1, LUK: 1, Attack: 1031501, Defense: 87062, Current HP: 361, A Avg: 8592403, D Avg: 121886, [Impulse[166, 230, 230, 230], Riot[236, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 756: HP: 361, STR: 602333, VIT: 261, SPD: 1, LUK: 1, Attack: 1031501, Defense: 87062, Current HP: 361, A Avg: 8592403, D Avg: 121886, [Impulse[166, 230, 230, 230], Riot[236, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 755: HP: 268, STR: 602135, VIT: 29, SPD: 1, LUK: 1, Attack: 1031512, Defense: 85647, Current HP: 268, A Avg: 8592494, D Avg: 119905, [Zodiac[184, 230, 230, 230], Mask of the Grim Reaper[214, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 754: HP: 268, STR: 602135, VIT: 29, SPD: 1, LUK: 1, Attack: 1031512, Defense: 85647, Current HP: 268, A Avg: 8592494, D Avg: 119905, [Zodiac[184, 230, 230, 230], Mask of the Grim Reaper[214, 230, 230, 230], Ring of power[314, 230, 230, 67]]
Rank 753: HP: 268, STR: 602135, VIT: 29, SPD: 1, LUK: 1, Attack: 1031512, Defense: 85647, Current HP: 268, A Avg: 8592494, D Avg: 119905, [Zodiac[184, 230, 230, 230], Mask of the Grim Reaper[214, 230, 230, 230], Ring of power[314, 230, 230, 68]]
Rank 752: HP: 268, STR: 602135, VIT: 29, SPD: 1, LUK: 1, Attack: 1031512, Defense: 85647, Current HP: 268, A Avg: 8592494, D Avg: 119905, [Zodiac[184, 230, 230, 230], Mask of the Grim Reaper[214, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 751: HP: 268, STR: 602135, VIT: 29, SPD: 1, LUK: 1, Attack: 1031512, Defense: 85647, Current HP: 268, A Avg: 8592494, D Avg: 119905, [Zodiac[184, 230, 230, 230], Mask of the Grim Reaper[214, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 750: HP: 247, STR: 602140, VIT: 31, SPD: 1, LUK: 1, Attack: 1031520, Defense: 84056, Current HP: 247, A Avg: 8592561, D Avg: 117678, [Zodiac[184, 230, 230, 230], Conductive Barrier[208, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 749: HP: 247, STR: 602140, VIT: 152, SPD: 1, LUK: 1, Attack: 1031520, Defense: 84990, Current HP: 247, A Avg: 8592561, D Avg: 118985, [Zodiac[184, 230, 230, 230], Bulletproof Shield[235, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 748: HP: 247, STR: 602140, VIT: 31, SPD: 1, LUK: 1, Attack: 1031520, Defense: 84056, Current HP: 247, A Avg: 8592561, D Avg: 117678, [Zodiac[184, 230, 230, 230], Conductive Barrier[208, 230, 230, 230], Ring of power[314, 230, 230, 67]]
Rank 747: HP: 247, STR: 602140, VIT: 152, SPD: 1, LUK: 1, Attack: 1031520, Defense: 84990, Current HP: 247, A Avg: 8592561, D Avg: 118985, [Zodiac[184, 230, 230, 230], Bulletproof Shield[235, 230, 230, 230], Ring of power[314, 230, 230, 67]]
Rank 746: HP: 247, STR: 602140, VIT: 31, SPD: 1, LUK: 1, Attack: 1031520, Defense: 84056, Current HP: 247, A Avg: 8592561, D Avg: 117678, [Zodiac[184, 230, 230, 230], Conductive Barrier[208, 230, 230, 230], Ring of power[314, 230, 230, 68]]
Rank 745: HP: 247, STR: 602140, VIT: 152, SPD: 1, LUK: 1, Attack: 1031520, Defense: 84990, Current HP: 247, A Avg: 8592561, D Avg: 118985, [Zodiac[184, 230, 230, 230], Bulletproof Shield[235, 230, 230, 230], Ring of power[314, 230, 230, 68]]
Rank 744: HP: 247, STR: 602140, VIT: 31, SPD: 1, LUK: 1, Attack: 1031520, Defense: 84056, Current HP: 247, A Avg: 8592561, D Avg: 117678, [Zodiac[184, 230, 230, 230], Conductive Barrier[208, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 743: HP: 247, STR: 602140, VIT: 152, SPD: 1, LUK: 1, Attack: 1031520, Defense: 84990, Current HP: 247, A Avg: 8592561, D Avg: 118985, [Zodiac[184, 230, 230, 230], Bulletproof Shield[235, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 742: HP: 247, STR: 602140, VIT: 31, SPD: 1, LUK: 1, Attack: 1031520, Defense: 84056, Current HP: 247, A Avg: 8592561, D Avg: 117678, [Zodiac[184, 230, 230, 230], Conductive Barrier[208, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 741: HP: 247, STR: 602140, VIT: 152, SPD: 1, LUK: 1, Attack: 1031520, Defense: 84990, Current HP: 247, A Avg: 8592561, D Avg: 118985, [Zodiac[184, 230, 230, 230], Bulletproof Shield[235, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 740: HP: 342, STR: 602145, VIT: 152, SPD: 1, LUK: 1, Attack: 1031527, Defense: 86953, Current HP: 342, A Avg: 8592619, D Avg: 121734, [Zodiac[184, 230, 230, 230], Riot[236, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 739: HP: 342, STR: 602145, VIT: 152, SPD: 1, LUK: 1, Attack: 1031527, Defense: 86953, Current HP: 342, A Avg: 8592619, D Avg: 121734, [Zodiac[184, 230, 230, 230], Riot[236, 230, 230, 230], Ring of power[314, 230, 230, 67]]
Rank 738: HP: 342, STR: 602145, VIT: 152, SPD: 1, LUK: 1, Attack: 1031527, Defense: 86953, Current HP: 342, A Avg: 8592619, D Avg: 121734, [Zodiac[184, 230, 230, 230], Riot[236, 230, 230, 230], Ring of power[314, 230, 230, 68]]
Rank 737: HP: 342, STR: 602145, VIT: 152, SPD: 1, LUK: 1, Attack: 1031527, Defense: 86953, Current HP: 342, A Avg: 8592619, D Avg: 121734, [Zodiac[184, 230, 230, 230], Riot[236, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 736: HP: 342, STR: 602145, VIT: 152, SPD: 1, LUK: 1, Attack: 1031527, Defense: 86953, Current HP: 342, A Avg: 8592619, D Avg: 121734, [Zodiac[184, 230, 230, 230], Riot[236, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 735: HP: 342, STR: 602351, VIT: 141, SPD: 1, LUK: 1, Attack: 1031528, Defense: 84082, Current HP: 342, A Avg: 8592628, D Avg: 117714, [Impulse[166, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Mobius Ring[316, 230, 230, 66]]
Rank 734: HP: 361, STR: 602351, VIT: 143, SPD: 1, LUK: 1, Attack: 1031528, Defense: 84383, Current HP: 361, A Avg: 8592628, D Avg: 118136, [Impulse[166, 230, 230, 230], Dragon's Wings[216, 230, 230, 230], Mobius Ring[316, 230, 230, 66]]
Rank 733: HP: 342, STR: 602351, VIT: 141, SPD: 1, LUK: 1, Attack: 1031528, Defense: 84082, Current HP: 342, A Avg: 8592628, D Avg: 117714, [Impulse[166, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 732: HP: 361, STR: 602351, VIT: 143, SPD: 1, LUK: 1, Attack: 1031528, Defense: 84383, Current HP: 361, A Avg: 8592628, D Avg: 118136, [Impulse[166, 230, 230, 230], Dragon's Wings[216, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 731: HP: 342, STR: 602351, VIT: 141, SPD: 1, LUK: 1, Attack: 1031528, Defense: 84082, Current HP: 342, A Avg: 8592628, D Avg: 117714, [Impulse[166, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 730: HP: 361, STR: 602351, VIT: 143, SPD: 1, LUK: 1, Attack: 1031528, Defense: 84383, Current HP: 361, A Avg: 8592628, D Avg: 118136, [Impulse[166, 230, 230, 230], Dragon's Wings[216, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 729: HP: 342, STR: 602351, VIT: 141, SPD: 1, LUK: 1, Attack: 1031528, Defense: 84082, Current HP: 342, A Avg: 8592628, D Avg: 117714, [Impulse[166, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 728: HP: 361, STR: 602351, VIT: 143, SPD: 1, LUK: 1, Attack: 1031528, Defense: 84383, Current HP: 361, A Avg: 8592628, D Avg: 118136, [Impulse[166, 230, 230, 230], Dragon's Wings[216, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 727: HP: 342, STR: 602351, VIT: 141, SPD: 1, LUK: 1, Attack: 1031528, Defense: 84082, Current HP: 342, A Avg: 8592628, D Avg: 117714, [Impulse[166, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 726: HP: 361, STR: 602351, VIT: 143, SPD: 1, LUK: 1, Attack: 1031528, Defense: 84383, Current HP: 361, A Avg: 8592628, D Avg: 118136, [Impulse[166, 230, 230, 230], Dragon's Wings[216, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 725: HP: 323, STR: 602163, VIT: 32, SPD: 1, LUK: 1, Attack: 1031554, Defense: 83973, Current HP: 323, A Avg: 8592844, D Avg: 117562, [Zodiac[184, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 724: HP: 342, STR: 602163, VIT: 34, SPD: 1, LUK: 1, Attack: 1031554, Defense: 84274, Current HP: 342, A Avg: 8592844, D Avg: 117983, [Zodiac[184, 230, 230, 230], Dragon's Wings[216, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 723: HP: 323, STR: 602163, VIT: 32, SPD: 1, LUK: 1, Attack: 1031554, Defense: 83973, Current HP: 323, A Avg: 8592844, D Avg: 117562, [Zodiac[184, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Ring of power[314, 230, 230, 67]]
Rank 722: HP: 342, STR: 602163, VIT: 34, SPD: 1, LUK: 1, Attack: 1031554, Defense: 84274, Current HP: 342, A Avg: 8592844, D Avg: 117983, [Zodiac[184, 230, 230, 230], Dragon's Wings[216, 230, 230, 230], Ring of power[314, 230, 230, 67]]
Rank 721: HP: 323, STR: 602163, VIT: 32, SPD: 1, LUK: 1, Attack: 1031554, Defense: 83973, Current HP: 323, A Avg: 8592844, D Avg: 117562, [Zodiac[184, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Ring of power[314, 230, 230, 68]]
Rank 720: HP: 342, STR: 602163, VIT: 34, SPD: 1, LUK: 1, Attack: 1031554, Defense: 84274, Current HP: 342, A Avg: 8592844, D Avg: 117983, [Zodiac[184, 230, 230, 230], Dragon's Wings[216, 230, 230, 230], Ring of power[314, 230, 230, 68]]
Rank 719: HP: 323, STR: 602163, VIT: 32, SPD: 1, LUK: 1, Attack: 1031554, Defense: 83973, Current HP: 323, A Avg: 8592844, D Avg: 117562, [Zodiac[184, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 718: HP: 342, STR: 602163, VIT: 34, SPD: 1, LUK: 1, Attack: 1031554, Defense: 84274, Current HP: 342, A Avg: 8592844, D Avg: 117983, [Zodiac[184, 230, 230, 230], Dragon's Wings[216, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 717: HP: 323, STR: 602163, VIT: 32, SPD: 1, LUK: 1, Attack: 1031554, Defense: 83973, Current HP: 323, A Avg: 8592844, D Avg: 117562, [Zodiac[184, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 716: HP: 342, STR: 602163, VIT: 34, SPD: 1, LUK: 1, Attack: 1031554, Defense: 84274, Current HP: 342, A Avg: 8592844, D Avg: 117983, [Zodiac[184, 230, 230, 230], Dragon's Wings[216, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 715: HP: 361, STR: 602375, VIT: 143, SPD: 1, LUK: 1, Attack: 1031564, Defense: 85007, Current HP: 361, A Avg: 8592928, D Avg: 119009, [Impulse[166, 230, 230, 230], Dragon's Head[217, 230, 230, 230], Mobius Ring[316, 230, 230, 66]]
Rank 714: HP: 285, STR: 602375, VIT: 145, SPD: 1, LUK: 1, Attack: 1031564, Defense: 84567, Current HP: 285, A Avg: 8592928, D Avg: 118393, [Impulse[166, 230, 230, 230], Superconducting Barrier[220, 230, 230, 230], Mobius Ring[316, 230, 230, 66]]
Rank 713: HP: 361, STR: 602375, VIT: 143, SPD: 1, LUK: 1, Attack: 1031564, Defense: 85007, Current HP: 361, A Avg: 8592928, D Avg: 119009, [Impulse[166, 230, 230, 230], Dragon's Head[217, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 712: HP: 285, STR: 602375, VIT: 145, SPD: 1, LUK: 1, Attack: 1031564, Defense: 84567, Current HP: 285, A Avg: 8592928, D Avg: 118393, [Impulse[166, 230, 230, 230], Superconducting Barrier[220, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 711: HP: 361, STR: 602375, VIT: 143, SPD: 1, LUK: 1, Attack: 1031564, Defense: 85007, Current HP: 361, A Avg: 8592928, D Avg: 119009, [Impulse[166, 230, 230, 230], Dragon's Head[217, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 710: HP: 285, STR: 602375, VIT: 145, SPD: 1, LUK: 1, Attack: 1031564, Defense: 84567, Current HP: 285, A Avg: 8592928, D Avg: 118393, [Impulse[166, 230, 230, 230], Superconducting Barrier[220, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 709: HP: 361, STR: 602375, VIT: 143, SPD: 1, LUK: 1, Attack: 1031564, Defense: 85007, Current HP: 361, A Avg: 8592928, D Avg: 119009, [Impulse[166, 230, 230, 230], Dragon's Head[217, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 708: HP: 285, STR: 602375, VIT: 145, SPD: 1, LUK: 1, Attack: 1031564, Defense: 84567, Current HP: 285, A Avg: 8592928, D Avg: 118393, [Impulse[166, 230, 230, 230], Superconducting Barrier[220, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 707: HP: 361, STR: 602375, VIT: 143, SPD: 1, LUK: 1, Attack: 1031564, Defense: 85007, Current HP: 361, A Avg: 8592928, D Avg: 119009, [Impulse[166, 230, 230, 230], Dragon's Head[217, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 706: HP: 285, STR: 602375, VIT: 145, SPD: 1, LUK: 1, Attack: 1031564, Defense: 84567, Current HP: 285, A Avg: 8592928, D Avg: 118393, [Impulse[166, 230, 230, 230], Superconducting Barrier[220, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 705: HP: 342, STR: 602187, VIT: 34, SPD: 1, LUK: 1, Attack: 1031590, Defense: 84898, Current HP: 342, A Avg: 8593144, D Avg: 118857, [Zodiac[184, 230, 230, 230], Dragon's Head[217, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 704: HP: 266, STR: 602187, VIT: 41, SPD: 1, LUK: 1, Attack: 1031590, Defense: 84463, Current HP: 266, A Avg: 8593144, D Avg: 118248, [Zodiac[184, 230, 230, 230], Superconducting Barrier[220, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 703: HP: 342, STR: 602187, VIT: 34, SPD: 1, LUK: 1, Attack: 1031590, Defense: 84898, Current HP: 342, A Avg: 8593144, D Avg: 118857, [Zodiac[184, 230, 230, 230], Dragon's Head[217, 230, 230, 230], Ring of power[314, 230, 230, 67]]
Rank 702: HP: 266, STR: 602187, VIT: 41, SPD: 1, LUK: 1, Attack: 1031590, Defense: 84463, Current HP: 266, A Avg: 8593144, D Avg: 118248, [Zodiac[184, 230, 230, 230], Superconducting Barrier[220, 230, 230, 230], Ring of power[314, 230, 230, 67]]
Rank 701: HP: 342, STR: 602187, VIT: 34, SPD: 1, LUK: 1, Attack: 1031590, Defense: 84898, Current HP: 342, A Avg: 8593144, D Avg: 118857, [Zodiac[184, 230, 230, 230], Dragon's Head[217, 230, 230, 230], Ring of power[314, 230, 230, 68]]
Rank 700: HP: 266, STR: 602187, VIT: 41, SPD: 1, LUK: 1, Attack: 1031590, Defense: 84463, Current HP: 266, A Avg: 8593144, D Avg: 118248, [Zodiac[184, 230, 230, 230], Superconducting Barrier[220, 230, 230, 230], Ring of power[314, 230, 230, 68]]
Rank 699: HP: 342, STR: 602187, VIT: 34, SPD: 1, LUK: 1, Attack: 1031590, Defense: 84898, Current HP: 342, A Avg: 8593144, D Avg: 118857, [Zodiac[184, 230, 230, 230], Dragon's Head[217, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 698: HP: 266, STR: 602187, VIT: 41, SPD: 1, LUK: 1, Attack: 1031590, Defense: 84463, Current HP: 266, A Avg: 8593144, D Avg: 118248, [Zodiac[184, 230, 230, 230], Superconducting Barrier[220, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 697: HP: 342, STR: 602187, VIT: 34, SPD: 1, LUK: 1, Attack: 1031590, Defense: 84898, Current HP: 342, A Avg: 8593144, D Avg: 118857, [Zodiac[184, 230, 230, 230], Dragon's Head[217, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 696: HP: 266, STR: 602187, VIT: 41, SPD: 1, LUK: 1, Attack: 1031590, Defense: 84463, Current HP: 266, A Avg: 8593144, D Avg: 118248, [Zodiac[184, 230, 230, 230], Superconducting Barrier[220, 230, 230, 230], Ring of power[314, 230, 230, 807]]
