Rank 1000: HP: 1083, STR: 602981, VIT: 1150, SPD: 15, LUK: 1, Attack: 1032473, Defense: 87938, Current HP: 1083, A Avg: 8600500, D Avg: 123113, [Impulse[166, 230, 230, 230], Golem Shield[245, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 751: HP: 418, STR: 603428, VIT: 247, SPD: 15, LUK: 1, Attack: 1033452, Defense: 84116, Current HP: 418, A Avg: 8608655, D Avg: 117762, [Zodiac[184, 230, 230, 230], Wooden Shield[203, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 750: HP: 418, STR: 603428, VIT: 254, SPD: 15, LUK: 1, Attack: 1033452, Defense: 84058, Current HP: 418, A Avg: 8608655, D Avg: 117681, [Zodiac[184, 230, 230, 230], Iron Shield[204, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 749: HP: 418, STR: 603428, VIT: 256, SPD: 15, LUK: 1, Attack: 1033452, Defense: 84119, Current HP: 418, A Avg: 8608655, D Avg: 117766, [Zodiac[184, 230, 230, 230], Titanium Shield[205, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 748: HP: 418, STR: 603428, VIT: 278, SPD: 15, LUK: 1, Attack: 1033452, Defense: 84167, Current HP: 418, A Avg: 8608655, D Avg: 117833, [Zodiac[184, 230, 230, 230], Large iron Shield[206, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 747: HP: 440, STR: 603428, VIT: 273, SPD: 15, LUK: 1, Attack: 1033452, Defense: 84149, Current HP: 440, A Avg: 8608655, D Avg: 117808, [Zodiac[184, 230, 230, 230], Magic Shield[207, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 746: HP: 522, STR: 603428, VIT: 295, SPD: 15, LUK: 1, Attack: 1033452, Defense: 84132, Current HP: 522, A Avg: 8608655, D Avg: 117784, [Zodiac[184, 230, 230, 230], Emerald Shield[209, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 745: HP: 500, STR: 603428, VIT: 255, SPD: 15, LUK: 1, Attack: 1033452, Defense: 84027, Current HP: 500, A Avg: 8608655, D Avg: 117637, [Zodiac[184, 230, 230, 230], Clear Shield[211, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 744: HP: 540, STR: 603428, VIT: 273, SPD: 15, LUK: 1, Attack: 1033452, Defense: 84292, Current HP: 540, A Avg: 8608655, D Avg: 118008, [Zodiac[184, 230, 230, 230], Prism Shield[212, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 743: HP: 494, STR: 603428, VIT: 267, SPD: 15, LUK: 1, Attack: 1033452, Defense: 84195, Current HP: 494, A Avg: 8608655, D Avg: 117872, [Zodiac[184, 230, 230, 230], Tower Shield[213, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 742: HP: 666, STR: 603428, VIT: 340, SPD: 15, LUK: 1, Attack: 1033452, Defense: 84902, Current HP: 666, A Avg: 8608655, D Avg: 118862, [Zodiac[184, 230, 230, 230], Slime Shield[221, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 741: HP: 592, STR: 603428, VIT: 256, SPD: 15, LUK: 1, Attack: 1033452, Defense: 84184, Current HP: 592, A Avg: 8608655, D Avg: 117857, [Zodiac[184, 230, 230, 230], Hardwood Shield[223, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 740: HP: 440, STR: 603428, VIT: 668, SPD: 15, LUK: 1, Attack: 1033452, Defense: 87456, Current HP: 440, A Avg: 8608655, D Avg: 122438, [Zodiac[184, 230, 230, 230], Energy Shield[227, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 739: HP: 1624, STR: 603428, VIT: 237, SPD: 15, LUK: 1, Attack: 1033452, Defense: 86154, Current HP: 1624, A Avg: 8608655, D Avg: 120615, [Zodiac[184, 230, 230, 230], Frying Pan[231, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 738: HP: 824, STR: 603428, VIT: 379, SPD: 15, LUK: 1, Attack: 1033452, Defense: 85113, Current HP: 824, A Avg: 8608655, D Avg: 119158, [Zodiac[184, 230, 230, 230], Slafield[232, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 737: HP: 670, STR: 603428, VIT: 340, SPD: 15, LUK: 1, Attack: 1033452, Defense: 85815, Current HP: 670, A Avg: 8608655, D Avg: 120140, [Zodiac[184, 230, 230, 230], Mist Shield[233, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 736: HP: 608, STR: 603428, VIT: 432, SPD: 15, LUK: 1, Attack: 1033452, Defense: 85400, Current HP: 608, A Avg: 8608655, D Avg: 119559, [Zodiac[184, 230, 230, 230], Huge Shield[234, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 735: HP: 532, STR: 603428, VIT: 558, SPD: 15, LUK: 1, Attack: 1033452, Defense: 87398, Current HP: 532, A Avg: 8608655, D Avg: 122357, [Zodiac[184, 230, 230, 230], Aurora Shield[240, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 734: HP: 710, STR: 603428, VIT: 394, SPD: 15, LUK: 1, Attack: 1033452, Defense: 87819, Current HP: 710, A Avg: 8608655, D Avg: 122946, [Zodiac[184, 230, 230, 230], Cloud Shield[241, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 733: HP: 418, STR: 603428, VIT: 226, SPD: 15, LUK: 1, Attack: 1033452, Defense: 87015, Current HP: 418, A Avg: 8608655, D Avg: 121820, [Zodiac[184, 230, 230, 230], Graffiti[243, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 732: HP: 418, STR: 603428, VIT: 599, SPD: 15, LUK: 1, Attack: 1033452, Defense: 90377, Current HP: 418, A Avg: 8608655, D Avg: 126527, [Zodiac[184, 230, 230, 230], Blank Shield[244, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 731: HP: 893, STR: 603428, VIT: 943, SPD: 15, LUK: 1, Attack: 1033452, Defense: 87731, Current HP: 893, A Avg: 8608655, D Avg: 122823, [Zodiac[184, 230, 230, 230], Golem Shield[245, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 730: HP: 703, STR: 603428, VIT: 396, SPD: 17, LUK: 1, Attack: 1033452, Defense: 86274, Current HP: 703, A Avg: 8608655, D Avg: 120783, [Zodiac[184, 230, 230, 230], Sticky thread shield[247, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 729: HP: 851, STR: 603428, VIT: 463, SPD: 15, LUK: 1, Attack: 1033452, Defense: 86679, Current HP: 851, A Avg: 8608655, D Avg: 121350, [Zodiac[184, 230, 230, 230], King Shield[248, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 728: HP: 840, STR: 603428, VIT: 715, SPD: 15, LUK: 1, Attack: 1033452, Defense: 87750, Current HP: 840, A Avg: 8608655, D Avg: 122849, [Zodiac[184, 230, 230, 230], Warrior's Shield[249, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 727: HP: 440, STR: 603428, VIT: 450, SPD: 15, LUK: 1, Attack: 1033452, Defense: 87498, Current HP: 440, A Avg: 8608655, D Avg: 122497, [Zodiac[184, 230, 230, 230], Ghost shield[251, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 726: HP: 440, STR: 603428, VIT: 226, SPD: 15, LUK: 1, Attack: 1033452, Defense: 83949, Current HP: 440, A Avg: 8608655, D Avg: 117528, [Zodiac[184, 230, 230, 230], Pot Lid[201, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 725: HP: 440, STR: 603428, VIT: 226, SPD: 15, LUK: 1, Attack: 1033452, Defense: 83959, Current HP: 440, A Avg: 8608655, D Avg: 117542, [Zodiac[184, 230, 230, 230], High Pot Lid[202, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 724: HP: 418, STR: 603428, VIT: 247, SPD: 15, LUK: 1, Attack: 1033452, Defense: 84116, Current HP: 418, A Avg: 8608655, D Avg: 117762, [Zodiac[184, 230, 230, 230], Wooden Shield[203, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 723: HP: 418, STR: 603428, VIT: 254, SPD: 15, LUK: 1, Attack: 1033452, Defense: 84058, Current HP: 418, A Avg: 8608655, D Avg: 117681, [Zodiac[184, 230, 230, 230], Iron Shield[204, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 722: HP: 418, STR: 603428, VIT: 256, SPD: 15, LUK: 1, Attack: 1033452, Defense: 84119, Current HP: 418, A Avg: 8608655, D Avg: 117766, [Zodiac[184, 230, 230, 230], Titanium Shield[205, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 721: HP: 418, STR: 603428, VIT: 278, SPD: 15, LUK: 1, Attack: 1033452, Defense: 84167, Current HP: 418, A Avg: 8608655, D Avg: 117833, [Zodiac[184, 230, 230, 230], Large iron Shield[206, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 720: HP: 440, STR: 603428, VIT: 273, SPD: 15, LUK: 1, Attack: 1033452, Defense: 84149, Current HP: 440, A Avg: 8608655, D Avg: 117808, [Zodiac[184, 230, 230, 230], Magic Shield[207, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 719: HP: 522, STR: 603428, VIT: 295, SPD: 15, LUK: 1, Attack: 1033452, Defense: 84132, Current HP: 522, A Avg: 8608655, D Avg: 117784, [Zodiac[184, 230, 230, 230], Emerald Shield[209, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 718: HP: 500, STR: 603428, VIT: 255, SPD: 15, LUK: 1, Attack: 1033452, Defense: 84027, Current HP: 500, A Avg: 8608655, D Avg: 117637, [Zodiac[184, 230, 230, 230], Clear Shield[211, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 717: HP: 540, STR: 603428, VIT: 273, SPD: 15, LUK: 1, Attack: 1033452, Defense: 84292, Current HP: 540, A Avg: 8608655, D Avg: 118008, [Zodiac[184, 230, 230, 230], Prism Shield[212, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 716: HP: 494, STR: 603428, VIT: 267, SPD: 15, LUK: 1, Attack: 1033452, Defense: 84195, Current HP: 494, A Avg: 8608655, D Avg: 117872, [Zodiac[184, 230, 230, 230], Tower Shield[213, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 715: HP: 666, STR: 603428, VIT: 340, SPD: 15, LUK: 1, Attack: 1033452, Defense: 84902, Current HP: 666, A Avg: 8608655, D Avg: 118862, [Zodiac[184, 230, 230, 230], Slime Shield[221, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 714: HP: 592, STR: 603428, VIT: 256, SPD: 15, LUK: 1, Attack: 1033452, Defense: 84184, Current HP: 592, A Avg: 8608655, D Avg: 117857, [Zodiac[184, 230, 230, 230], Hardwood Shield[223, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 713: HP: 440, STR: 603428, VIT: 668, SPD: 15, LUK: 1, Attack: 1033452, Defense: 87456, Current HP: 440, A Avg: 8608655, D Avg: 122438, [Zodiac[184, 230, 230, 230], Energy Shield[227, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 712: HP: 1624, STR: 603428, VIT: 237, SPD: 15, LUK: 1, Attack: 1033452, Defense: 86154, Current HP: 1624, A Avg: 8608655, D Avg: 120615, [Zodiac[184, 230, 230, 230], Frying Pan[231, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 711: HP: 824, STR: 603428, VIT: 379, SPD: 15, LUK: 1, Attack: 1033452, Defense: 85113, Current HP: 824, A Avg: 8608655, D Avg: 119158, [Zodiac[184, 230, 230, 230], Slafield[232, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 710: HP: 670, STR: 603428, VIT: 340, SPD: 15, LUK: 1, Attack: 1033452, Defense: 85815, Current HP: 670, A Avg: 8608655, D Avg: 120140, [Zodiac[184, 230, 230, 230], Mist Shield[233, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 709: HP: 608, STR: 603428, VIT: 432, SPD: 15, LUK: 1, Attack: 1033452, Defense: 85400, Current HP: 608, A Avg: 8608655, D Avg: 119559, [Zodiac[184, 230, 230, 230], Huge Shield[234, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 708: HP: 532, STR: 603428, VIT: 558, SPD: 15, LUK: 1, Attack: 1033452, Defense: 87398, Current HP: 532, A Avg: 8608655, D Avg: 122357, [Zodiac[184, 230, 230, 230], Aurora Shield[240, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 707: HP: 710, STR: 603428, VIT: 394, SPD: 15, LUK: 1, Attack: 1033452, Defense: 87819, Current HP: 710, A Avg: 8608655, D Avg: 122946, [Zodiac[184, 230, 230, 230], Cloud Shield[241, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 706: HP: 418, STR: 603428, VIT: 226, SPD: 15, LUK: 1, Attack: 1033452, Defense: 87015, Current HP: 418, A Avg: 8608655, D Avg: 121820, [Zodiac[184, 230, 230, 230], Graffiti[243, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 705: HP: 418, STR: 603428, VIT: 599, SPD: 15, LUK: 1, Attack: 1033452, Defense: 90377, Current HP: 418, A Avg: 8608655, D Avg: 126527, [Zodiac[184, 230, 230, 230], Blank Shield[244, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 704: HP: 893, STR: 603428, VIT: 943, SPD: 15, LUK: 1, Attack: 1033452, Defense: 87731, Current HP: 893, A Avg: 8608655, D Avg: 122823, [Zodiac[184, 230, 230, 230], Golem Shield[245, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 703: HP: 703, STR: 603428, VIT: 396, SPD: 17, LUK: 1, Attack: 1033452, Defense: 86274, Current HP: 703, A Avg: 8608655, D Avg: 120783, [Zodiac[184, 230, 230, 230], Sticky thread shield[247, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 702: HP: 851, STR: 603428, VIT: 463, SPD: 15, LUK: 1, Attack: 1033452, Defense: 86679, Current HP: 851, A Avg: 8608655, D Avg: 121350, [Zodiac[184, 230, 230, 230], King Shield[248, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 701: HP: 840, STR: 603428, VIT: 715, SPD: 15, LUK: 1, Attack: 1033452, Defense: 87750, Current HP: 840, A Avg: 8608655, D Avg: 122849, [Zodiac[184, 230, 230, 230], Warrior's Shield[249, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 700: HP: 440, STR: 603428, VIT: 450, SPD: 15, LUK: 1, Attack: 1033452, Defense: 87498, Current HP: 440, A Avg: 8608655, D Avg: 122497, [Zodiac[184, 230, 230, 230], Ghost shield[251, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 699: HP: 693, STR: 604866, VIT: 103, SPD: 17, LUK: 1, Attack: 1033481, Defense: 86891, Current HP: 693, A Avg: 8608896, D Avg: 121647, [Black Kirisame[130, 230, 230, 230], C Magnum[239, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 698: HP: 693, STR: 604866, VIT: 103, SPD: 17, LUK: 1, Attack: 1033481, Defense: 86891, Current HP: 693, A Avg: 8608896, D Avg: 121647, [Black Kirisame[130, 230, 230, 230], C Magnum[239, 230, 230, 230], Ring of power[314, 230, 230, 67]]
Rank 697: HP: 693, STR: 604866, VIT: 103, SPD: 17, LUK: 1, Attack: 1033481, Defense: 86891, Current HP: 693, A Avg: 8608896, D Avg: 121647, [Black Kirisame[130, 230, 230, 230], C Magnum[239, 230, 230, 230], Ring of power[314, 230, 230, 68]]
Rank 696: HP: 693, STR: 604866, VIT: 103, SPD: 17, LUK: 1, Attack: 1033481, Defense: 86891, Current HP: 693, A Avg: 8608896, D Avg: 121647, [Black Kirisame[130, 230, 230, 230], C Magnum[239, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 695: HP: 693, STR: 604866, VIT: 103, SPD: 17, LUK: 1, Attack: 1033481, Defense: 86891, Current HP: 693, A Avg: 8608896, D Avg: 121647, [Black Kirisame[130, 230, 230, 230], C Magnum[239, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 694: HP: 545, STR: 603475, VIT: 306, SPD: 15, LUK: 1, Attack: 1033522, Defense: 84247, Current HP: 545, A Avg: 8609238, D Avg: 117945, [Zodiac[184, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 693: HP: 545, STR: 603475, VIT: 306, SPD: 15, LUK: 1, Attack: 1033522, Defense: 84247, Current HP: 545, A Avg: 8609238, D Avg: 117945, [Zodiac[184, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Ring of power[314, 230, 230, 67]]
Rank 692: HP: 545, STR: 603475, VIT: 306, SPD: 15, LUK: 1, Attack: 1033522, Defense: 84247, Current HP: 545, A Avg: 8609238, D Avg: 117945, [Zodiac[184, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Ring of power[314, 230, 230, 68]]
Rank 691: HP: 545, STR: 603475, VIT: 306, SPD: 15, LUK: 1, Attack: 1033522, Defense: 84247, Current HP: 545, A Avg: 8609238, D Avg: 117945, [Zodiac[184, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 690: HP: 545, STR: 603475, VIT: 306, SPD: 15, LUK: 1, Attack: 1033522, Defense: 84247, Current HP: 545, A Avg: 8609238, D Avg: 117945, [Zodiac[184, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 689: HP: 418, STR: 603494, VIT: 273, SPD: 17, LUK: 1, Attack: 1033551, Defense: 84298, Current HP: 418, A Avg: 8609479, D Avg: 118017, [Zodiac[184, 230, 230, 230], Conductive Barrier[208, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 688: HP: 418, STR: 603494, VIT: 273, SPD: 17, LUK: 1, Attack: 1033551, Defense: 84298, Current HP: 418, A Avg: 8609479, D Avg: 118017, [Zodiac[184, 230, 230, 230], Conductive Barrier[208, 230, 230, 230], Ring of power[314, 230, 230, 67]]
Rank 687: HP: 418, STR: 603494, VIT: 273, SPD: 17, LUK: 1, Attack: 1033551, Defense: 84298, Current HP: 418, A Avg: 8609479, D Avg: 118017, [Zodiac[184, 230, 230, 230], Conductive Barrier[208, 230, 230, 230], Ring of power[314, 230, 230, 68]]
Rank 686: HP: 418, STR: 603494, VIT: 273, SPD: 17, LUK: 1, Attack: 1033551, Defense: 84298, Current HP: 418, A Avg: 8609479, D Avg: 118017, [Zodiac[184, 230, 230, 230], Conductive Barrier[208, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 685: HP: 418, STR: 603494, VIT: 273, SPD: 17, LUK: 1, Attack: 1033551, Defense: 84298, Current HP: 418, A Avg: 8609479, D Avg: 118017, [Zodiac[184, 230, 230, 230], Conductive Barrier[208, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 684: HP: 598, STR: 603517, VIT: 308, SPD: 15, LUK: 1, Attack: 1033585, Defense: 84548, Current HP: 598, A Avg: 8609763, D Avg: 118367, [Zodiac[184, 230, 230, 230], Dragon's Wings[216, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 683: HP: 598, STR: 603517, VIT: 308, SPD: 15, LUK: 1, Attack: 1033585, Defense: 84548, Current HP: 598, A Avg: 8609763, D Avg: 118367, [Zodiac[184, 230, 230, 230], Dragon's Wings[216, 230, 230, 230], Ring of power[314, 230, 230, 67]]
Rank 682: HP: 598, STR: 603517, VIT: 308, SPD: 15, LUK: 1, Attack: 1033585, Defense: 84548, Current HP: 598, A Avg: 8609763, D Avg: 118367, [Zodiac[184, 230, 230, 230], Dragon's Wings[216, 230, 230, 230], Ring of power[314, 230, 230, 68]]
Rank 681: HP: 598, STR: 603517, VIT: 308, SPD: 15, LUK: 1, Attack: 1033585, Defense: 84548, Current HP: 598, A Avg: 8609763, D Avg: 118367, [Zodiac[184, 230, 230, 230], Dragon's Wings[216, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 680: HP: 598, STR: 603517, VIT: 308, SPD: 15, LUK: 1, Attack: 1033585, Defense: 84548, Current HP: 598, A Avg: 8609763, D Avg: 118367, [Zodiac[184, 230, 230, 230], Dragon's Wings[216, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 679: HP: 556, STR: 603531, VIT: 346, SPD: 15, LUK: 1, Attack: 1033606, Defense: 85964, Current HP: 556, A Avg: 8609937, D Avg: 120349, [Zodiac[184, 230, 230, 230], Mask of the Grim Reaper[214, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 678: HP: 556, STR: 603531, VIT: 346, SPD: 15, LUK: 1, Attack: 1033606, Defense: 85964, Current HP: 556, A Avg: 8609937, D Avg: 120349, [Zodiac[184, 230, 230, 230], Mask of the Grim Reaper[214, 230, 230, 230], Ring of power[314, 230, 230, 67]]
Rank 677: HP: 556, STR: 603531, VIT: 346, SPD: 15, LUK: 1, Attack: 1033606, Defense: 85964, Current HP: 556, A Avg: 8609937, D Avg: 120349, [Zodiac[184, 230, 230, 230], Mask of the Grim Reaper[214, 230, 230, 230], Ring of power[314, 230, 230, 68]]
Rank 676: HP: 556, STR: 603531, VIT: 346, SPD: 15, LUK: 1, Attack: 1033606, Defense: 85964, Current HP: 556, A Avg: 8609937, D Avg: 120349, [Zodiac[184, 230, 230, 230], Mask of the Grim Reaper[214, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 675: HP: 556, STR: 603531, VIT: 346, SPD: 15, LUK: 1, Attack: 1033606, Defense: 85964, Current HP: 556, A Avg: 8609937, D Avg: 120349, [Zodiac[184, 230, 230, 230], Mask of the Grim Reaper[214, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 674: HP: 486, STR: 603536, VIT: 504, SPD: 15, LUK: 1, Attack: 1033614, Defense: 85342, Current HP: 486, A Avg: 8610004, D Avg: 119478, [Zodiac[184, 230, 230, 230], Bulletproof Shield[235, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 673: HP: 486, STR: 603536, VIT: 504, SPD: 15, LUK: 1, Attack: 1033614, Defense: 85342, Current HP: 486, A Avg: 8610004, D Avg: 119478, [Zodiac[184, 230, 230, 230], Bulletproof Shield[235, 230, 230, 230], Ring of power[314, 230, 230, 67]]
Rank 672: HP: 486, STR: 603536, VIT: 504, SPD: 15, LUK: 1, Attack: 1033614, Defense: 85342, Current HP: 486, A Avg: 8610004, D Avg: 119478, [Zodiac[184, 230, 230, 230], Bulletproof Shield[235, 230, 230, 230], Ring of power[314, 230, 230, 68]]
Rank 671: HP: 486, STR: 603536, VIT: 504, SPD: 15, LUK: 1, Attack: 1033614, Defense: 85342, Current HP: 486, A Avg: 8610004, D Avg: 119478, [Zodiac[184, 230, 230, 230], Bulletproof Shield[235, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 670: HP: 486, STR: 603536, VIT: 504, SPD: 15, LUK: 1, Attack: 1033614, Defense: 85342, Current HP: 486, A Avg: 8610004, D Avg: 119478, [Zodiac[184, 230, 230, 230], Bulletproof Shield[235, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 669: HP: 598, STR: 603583, VIT: 524, SPD: 15, LUK: 1, Attack: 1033684, Defense: 87325, Current HP: 598, A Avg: 8610587, D Avg: 122254, [Zodiac[184, 230, 230, 230], Riot[236, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 668: HP: 598, STR: 603583, VIT: 524, SPD: 15, LUK: 1, Attack: 1033684, Defense: 87325, Current HP: 598, A Avg: 8610587, D Avg: 122254, [Zodiac[184, 230, 230, 230], Riot[236, 230, 230, 230], Ring of power[314, 230, 230, 67]]
Rank 667: HP: 598, STR: 603583, VIT: 524, SPD: 15, LUK: 1, Attack: 1033684, Defense: 87325, Current HP: 598, A Avg: 8610587, D Avg: 122254, [Zodiac[184, 230, 230, 230], Riot[236, 230, 230, 230], Ring of power[314, 230, 230, 68]]
Rank 666: HP: 598, STR: 603583, VIT: 524, SPD: 15, LUK: 1, Attack: 1033684, Defense: 87325, Current HP: 598, A Avg: 8610587, D Avg: 122254, [Zodiac[184, 230, 230, 230], Riot[236, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 665: HP: 598, STR: 603583, VIT: 524, SPD: 15, LUK: 1, Attack: 1033684, Defense: 87325, Current HP: 598, A Avg: 8610587, D Avg: 122254, [Zodiac[184, 230, 230, 230], Riot[236, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 664: HP: 598, STR: 603583, VIT: 328, SPD: 15, LUK: 1, Attack: 1033684, Defense: 85192, Current HP: 598, A Avg: 8610587, D Avg: 119268, [Zodiac[184, 230, 230, 230], Dragon's Head[217, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 663: HP: 522, STR: 603583, VIT: 340, SPD: 17, LUK: 1, Attack: 1033684, Defense: 84762, Current HP: 522, A Avg: 8610587, D Avg: 118666, [Zodiac[184, 230, 230, 230], Superconducting Barrier[220, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 662: HP: 598, STR: 603583, VIT: 328, SPD: 15, LUK: 1, Attack: 1033684, Defense: 85192, Current HP: 598, A Avg: 8610587, D Avg: 119268, [Zodiac[184, 230, 230, 230], Dragon's Head[217, 230, 230, 230], Ring of power[314, 230, 230, 67]]
Rank 661: HP: 522, STR: 603583, VIT: 340, SPD: 17, LUK: 1, Attack: 1033684, Defense: 84762, Current HP: 522, A Avg: 8610587, D Avg: 118666, [Zodiac[184, 230, 230, 230], Superconducting Barrier[220, 230, 230, 230], Ring of power[314, 230, 230, 67]]
Rank 660: HP: 598, STR: 603583, VIT: 328, SPD: 15, LUK: 1, Attack: 1033684, Defense: 85192, Current HP: 598, A Avg: 8610587, D Avg: 119268, [Zodiac[184, 230, 230, 230], Dragon's Head[217, 230, 230, 230], Ring of power[314, 230, 230, 68]]
Rank 659: HP: 522, STR: 603583, VIT: 340, SPD: 17, LUK: 1, Attack: 1033684, Defense: 84762, Current HP: 522, A Avg: 8610587, D Avg: 118666, [Zodiac[184, 230, 230, 230], Superconducting Barrier[220, 230, 230, 230], Ring of power[314, 230, 230, 68]]
Rank 658: HP: 598, STR: 603583, VIT: 328, SPD: 15, LUK: 1, Attack: 1033684, Defense: 85192, Current HP: 598, A Avg: 8610587, D Avg: 119268, [Zodiac[184, 230, 230, 230], Dragon's Head[217, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 657: HP: 522, STR: 603583, VIT: 340, SPD: 17, LUK: 1, Attack: 1033684, Defense: 84762, Current HP: 522, A Avg: 8610587, D Avg: 118666, [Zodiac[184, 230, 230, 230], Superconducting Barrier[220, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 656: HP: 598, STR: 603583, VIT: 328, SPD: 15, LUK: 1, Attack: 1033684, Defense: 85192, Current HP: 598, A Avg: 8610587, D Avg: 119268, [Zodiac[184, 230, 230, 230], Dragon's Head[217, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 655: HP: 522, STR: 603583, VIT: 340, SPD: 17, LUK: 1, Attack: 1033684, Defense: 84762, Current HP: 522, A Avg: 8610587, D Avg: 118666, [Zodiac[184, 230, 230, 230], Superconducting Barrier[220, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 654: HP: 456, STR: 603682, VIT: 400, SPD: 15, LUK: 1, Attack: 1033833, Defense: 84991, Current HP: 456, A Avg: 8611828, D Avg: 118987, [Zodiac[184, 230, 230, 230], Black Hole[229, 230, 230, 230], Ring of power[314, 230, 230, 66]]
