Rank 1000: HP: 874, STR: 180, VIT: 71, SPD: 15, LUK: 2, Attack: 138550, Defense: 83999, Current HP: 874, A Avg: 1154121, D Avg: 117598, [Big Bang[171, 0, 0, 0], Tower Shield[213, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 752: HP: 1402, STR: 2581, VIT: 892, SPD: 15, LUK: 1, Attack: 138735, Defense: 87108, Current HP: 1402, A Avg: 1155662, D Avg: 121951, [Spectral Sword Shigure[172, 0, 0, 0], King Shield[248, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 751: HP: 1420, STR: 2581, VIT: 1269, SPD: 15, LUK: 1, Attack: 138735, Defense: 88304, Current HP: 1420, A Avg: 1155662, D Avg: 123625, [Spectral Sword Shigure[172, 0, 0, 0], Warrior's Shield[249, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 750: HP: 1020, STR: 2581, VIT: 876, SPD: 15, LUK: 1, Attack: 138735, Defense: 87924, Current HP: 1020, A Avg: 1155662, D Avg: 123093, [Spectral Sword Shigure[172, 0, 0, 0], Ghost shield[251, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 749: HP: 817, STR: 307, VIT: 89, SPD: 15, LUK: 1, Attack: 138740, Defense: 83952, Current HP: 817, A Avg: 1155704, D Avg: 117532, [Big Bang[171, 0, 0, 0], Small Sword[218, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 748: HP: 912, STR: 307, VIT: 147, SPD: 15, LUK: 1, Attack: 138740, Defense: 84010, Current HP: 912, A Avg: 1155704, D Avg: 117613, [Big Bang[171, 0, 0, 0], Small Sword[218, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 747: HP: 912, STR: 307, VIT: 109, SPD: 15, LUK: 1, Attack: 138740, Defense: 83972, Current HP: 912, A Avg: 1155704, D Avg: 117560, [Big Bang[171, 0, 0, 0], Small Sword[218, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 746: HP: 1286, STR: 308, VIT: 536, SPD: 15, LUK: 1, Attack: 138742, Defense: 84477, Current HP: 1286, A Avg: 1155720, D Avg: 118267, [Big Bang[171, 0, 0, 0], Dragon's Scales[215, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 745: HP: 1030, STR: 313, VIT: 232, SPD: 17, LUK: 1, Attack: 138749, Defense: 84472, Current HP: 1030, A Avg: 1155779, D Avg: 118260, [Big Bang[171, 0, 0, 0], Dragon's Wings[216, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 744: HP: 1159, STR: 317, VIT: 491, SPD: 17, LUK: 1, Attack: 138755, Defense: 84516, Current HP: 1159, A Avg: 1155829, D Avg: 118322, [Big Bang[171, 0, 0, 0], Conductive Barrier[208, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 743: HP: 1583, STR: 319, VIT: 242, SPD: 15, LUK: 1, Attack: 138758, Defense: 87160, Current HP: 1583, A Avg: 1155854, D Avg: 122023, [Big Bang[171, 0, 0, 0], White Hole[230, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 742: HP: 1199, STR: 319, VIT: 232, SPD: 15, LUK: 2, Attack: 138758, Defense: 87150, Current HP: 1199, A Avg: 1155854, D Avg: 122009, [Big Bang[171, 0, 0, 0], White Hole[230, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 741: HP: 1260, STR: 321, VIT: 408, SPD: 15, LUK: 1, Attack: 138761, Defense: 86520, Current HP: 1260, A Avg: 1155879, D Avg: 121127, [Big Bang[171, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 740: HP: 1197, STR: 321, VIT: 487, SPD: 15, LUK: 2, Attack: 138761, Defense: 85481, Current HP: 1197, A Avg: 1155879, D Avg: 119673, [Big Bang[171, 0, 0, 0], Metalization[228, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 739: HP: 1387, STR: 322, VIT: 755, SPD: 15, LUK: 2, Attack: 138763, Defense: 88323, Current HP: 1387, A Avg: 1155895, D Avg: 123652, [Big Bang[171, 0, 0, 0], Storm Wall[242, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 738: HP: 2015, STR: 323, VIT: 476, SPD: 15, LUK: 1, Attack: 138764, Defense: 85470, Current HP: 2015, A Avg: 1155904, D Avg: 119657, [Big Bang[171, 0, 0, 0], Metalization[228, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 737: HP: 1496, STR: 323, VIT: 465, SPD: 15, LUK: 2, Attack: 138764, Defense: 85459, Current HP: 1496, A Avg: 1155904, D Avg: 119642, [Big Bang[171, 0, 0, 0], Metalization[228, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 736: HP: 1003, STR: 323, VIT: 276, SPD: 17, LUK: 1, Attack: 138764, Defense: 85894, Current HP: 1003, A Avg: 1155904, D Avg: 120251, [Big Bang[171, 0, 0, 0], Mask of the Grim Reaper[214, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 735: HP: 916, STR: 323, VIT: 200, SPD: 17, LUK: 1, Attack: 138764, Defense: 84700, Current HP: 916, A Avg: 1155904, D Avg: 118579, [Big Bang[171, 0, 0, 0], Hard Wings of Beast[222, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 734: HP: 1055, STR: 2603, VIT: 132, SPD: 17, LUK: 1, Attack: 138768, Defense: 84476, Current HP: 1055, A Avg: 1155937, D Avg: 118266, [Spectral Sword Shigure[172, 0, 0, 0], V Magnum[238, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 733: HP: 836, STR: 2603, VIT: 122, SPD: 17, LUK: 2, Attack: 138768, Defense: 84466, Current HP: 836, A Avg: 1155937, D Avg: 118252, [Spectral Sword Shigure[172, 0, 0, 0], V Magnum[238, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 732: HP: 836, STR: 326, VIT: 213, SPD: 15, LUK: 2, Attack: 138769, Defense: 84804, Current HP: 836, A Avg: 1155945, D Avg: 118725, [Big Bang[171, 0, 0, 0], Black Hole[229, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 731: HP: 912, STR: 326, VIT: 436, SPD: 17, LUK: 1, Attack: 138769, Defense: 85274, Current HP: 912, A Avg: 1155945, D Avg: 119383, [Big Bang[171, 0, 0, 0], Bulletproof Shield[235, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 730: HP: 1339, STR: 327, VIT: 539, SPD: 15, LUK: 1, Attack: 138770, Defense: 84779, Current HP: 1339, A Avg: 1155954, D Avg: 118690, [Big Bang[171, 0, 0, 0], Dragon's Wings[216, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 729: HP: 2335, STR: 327, VIT: 744, SPD: 15, LUK: 1, Attack: 138770, Defense: 88312, Current HP: 2335, A Avg: 1155954, D Avg: 123636, [Big Bang[171, 0, 0, 0], Storm Wall[242, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 728: HP: 1716, STR: 327, VIT: 734, SPD: 15, LUK: 2, Attack: 138770, Defense: 88302, Current HP: 1716, A Avg: 1155954, D Avg: 123622, [Big Bang[171, 0, 0, 0], Storm Wall[242, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 727: HP: 1096, STR: 2608, VIT: 663, SPD: 15, LUK: 1, Attack: 138775, Defense: 84604, Current HP: 1096, A Avg: 1155995, D Avg: 118445, [Spectral Sword Shigure[172, 0, 0, 0], Dragon's Scales[215, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 726: HP: 1175, STR: 330, VIT: 295, SPD: 18, LUK: 1, Attack: 138775, Defense: 84886, Current HP: 1175, A Avg: 1155995, D Avg: 118840, [Big Bang[171, 0, 0, 0], Black Hole[229, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 725: HP: 1211, STR: 331, VIT: 350, SPD: 18, LUK: 1, Attack: 138776, Defense: 84356, Current HP: 1211, A Avg: 1156004, D Avg: 118098, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 724: HP: 1336, STR: 333, VIT: 599, SPD: 15, LUK: 1, Attack: 138779, Defense: 86217, Current HP: 1336, A Avg: 1156029, D Avg: 120703, [Big Bang[171, 0, 0, 0], Mask of the Grim Reaper[214, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 723: HP: 1227, STR: 335, VIT: 825, SPD: 15, LUK: 1, Attack: 138782, Defense: 85663, Current HP: 1227, A Avg: 1156054, D Avg: 119928, [Big Bang[171, 0, 0, 0], Bulletproof Shield[235, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 722: HP: 1020, STR: 337, VIT: 226, SPD: 19, LUK: 1, Attack: 138785, Defense: 83949, Current HP: 1020, A Avg: 1156079, D Avg: 117528, [Big Bang[171, 0, 0, 0], Pot Lid[201, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 721: HP: 1020, STR: 337, VIT: 226, SPD: 19, LUK: 1, Attack: 138785, Defense: 83959, Current HP: 1020, A Avg: 1156079, D Avg: 117542, [Big Bang[171, 0, 0, 0], High Pot Lid[202, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 720: HP: 969, STR: 337, VIT: 247, SPD: 19, LUK: 1, Attack: 138785, Defense: 84116, Current HP: 969, A Avg: 1156079, D Avg: 117762, [Big Bang[171, 0, 0, 0], Wooden Shield[203, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 719: HP: 969, STR: 337, VIT: 254, SPD: 19, LUK: 1, Attack: 138785, Defense: 84058, Current HP: 969, A Avg: 1156079, D Avg: 117681, [Big Bang[171, 0, 0, 0], Iron Shield[204, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 718: HP: 969, STR: 337, VIT: 256, SPD: 19, LUK: 1, Attack: 138785, Defense: 84119, Current HP: 969, A Avg: 1156079, D Avg: 117766, [Big Bang[171, 0, 0, 0], Titanium Shield[205, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 717: HP: 969, STR: 337, VIT: 278, SPD: 19, LUK: 1, Attack: 138785, Defense: 84167, Current HP: 969, A Avg: 1156079, D Avg: 117833, [Big Bang[171, 0, 0, 0], Large iron Shield[206, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 716: HP: 1020, STR: 337, VIT: 273, SPD: 19, LUK: 1, Attack: 138785, Defense: 84149, Current HP: 1020, A Avg: 1156079, D Avg: 117808, [Big Bang[171, 0, 0, 0], Magic Shield[207, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 715: HP: 1073, STR: 337, VIT: 295, SPD: 19, LUK: 1, Attack: 138785, Defense: 84132, Current HP: 1073, A Avg: 1156079, D Avg: 117784, [Big Bang[171, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 714: HP: 1080, STR: 337, VIT: 255, SPD: 19, LUK: 1, Attack: 138785, Defense: 84027, Current HP: 1080, A Avg: 1156079, D Avg: 117637, [Big Bang[171, 0, 0, 0], Clear Shield[211, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 713: HP: 1120, STR: 337, VIT: 273, SPD: 19, LUK: 1, Attack: 138785, Defense: 84292, Current HP: 1120, A Avg: 1156079, D Avg: 118008, [Big Bang[171, 0, 0, 0], Prism Shield[212, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 712: HP: 1045, STR: 337, VIT: 267, SPD: 19, LUK: 1, Attack: 138785, Defense: 84195, Current HP: 1045, A Avg: 1156079, D Avg: 117872, [Big Bang[171, 0, 0, 0], Tower Shield[213, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 711: HP: 1246, STR: 337, VIT: 340, SPD: 19, LUK: 1, Attack: 138785, Defense: 84902, Current HP: 1246, A Avg: 1156079, D Avg: 118862, [Big Bang[171, 0, 0, 0], Slime Shield[221, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 710: HP: 1143, STR: 337, VIT: 256, SPD: 19, LUK: 1, Attack: 138785, Defense: 84184, Current HP: 1143, A Avg: 1156079, D Avg: 117857, [Big Bang[171, 0, 0, 0], Hardwood Shield[223, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 709: HP: 1020, STR: 337, VIT: 668, SPD: 19, LUK: 1, Attack: 138785, Defense: 87456, Current HP: 1020, A Avg: 1156079, D Avg: 122438, [Big Bang[171, 0, 0, 0], Energy Shield[227, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 708: HP: 2175, STR: 337, VIT: 237, SPD: 19, LUK: 1, Attack: 138785, Defense: 86154, Current HP: 2175, A Avg: 1156079, D Avg: 120615, [Big Bang[171, 0, 0, 0], Frying Pan[231, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 707: HP: 1404, STR: 337, VIT: 379, SPD: 19, LUK: 1, Attack: 138785, Defense: 85113, Current HP: 1404, A Avg: 1156079, D Avg: 119158, [Big Bang[171, 0, 0, 0], Slafield[232, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 706: HP: 1250, STR: 337, VIT: 340, SPD: 19, LUK: 1, Attack: 138785, Defense: 85815, Current HP: 1250, A Avg: 1156079, D Avg: 120140, [Big Bang[171, 0, 0, 0], Mist Shield[233, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 705: HP: 1159, STR: 337, VIT: 432, SPD: 19, LUK: 1, Attack: 138785, Defense: 85400, Current HP: 1159, A Avg: 1156079, D Avg: 119559, [Big Bang[171, 0, 0, 0], Huge Shield[234, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 704: HP: 1083, STR: 337, VIT: 558, SPD: 19, LUK: 1, Attack: 138785, Defense: 87398, Current HP: 1083, A Avg: 1156079, D Avg: 122357, [Big Bang[171, 0, 0, 0], Aurora Shield[240, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 703: HP: 1290, STR: 337, VIT: 394, SPD: 19, LUK: 1, Attack: 138785, Defense: 87819, Current HP: 1290, A Avg: 1156079, D Avg: 122946, [Big Bang[171, 0, 0, 0], Cloud Shield[241, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 702: HP: 969, STR: 337, VIT: 226, SPD: 19, LUK: 1, Attack: 138785, Defense: 87015, Current HP: 969, A Avg: 1156079, D Avg: 121820, [Big Bang[171, 0, 0, 0], Graffiti[243, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 701: HP: 969, STR: 337, VIT: 599, SPD: 19, LUK: 1, Attack: 138785, Defense: 90377, Current HP: 969, A Avg: 1156079, D Avg: 126527, [Big Bang[171, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 700: HP: 1444, STR: 337, VIT: 943, SPD: 19, LUK: 1, Attack: 138785, Defense: 87731, Current HP: 1444, A Avg: 1156079, D Avg: 122823, [Big Bang[171, 0, 0, 0], Golem Shield[245, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 699: HP: 1254, STR: 337, VIT: 396, SPD: 20, LUK: 1, Attack: 138785, Defense: 86274, Current HP: 1254, A Avg: 1156079, D Avg: 120783, [Big Bang[171, 0, 0, 0], Sticky thread shield[247, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 698: HP: 1402, STR: 337, VIT: 463, SPD: 19, LUK: 1, Attack: 138785, Defense: 86679, Current HP: 1402, A Avg: 1156079, D Avg: 121350, [Big Bang[171, 0, 0, 0], King Shield[248, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 697: HP: 1420, STR: 337, VIT: 715, SPD: 19, LUK: 1, Attack: 138785, Defense: 87750, Current HP: 1420, A Avg: 1156079, D Avg: 122849, [Big Bang[171, 0, 0, 0], Warrior's Shield[249, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 696: HP: 1020, STR: 337, VIT: 450, SPD: 19, LUK: 1, Attack: 138785, Defense: 87498, Current HP: 1020, A Avg: 1156079, D Avg: 122497, [Big Bang[171, 0, 0, 0], Ghost shield[251, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 695: HP: 969, STR: 2619, VIT: 614, SPD: 17, LUK: 1, Attack: 138792, Defense: 84639, Current HP: 969, A Avg: 1156137, D Avg: 118494, [Spectral Sword Shigure[172, 0, 0, 0], Conductive Barrier[208, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 694: HP: 1231, STR: 343, VIT: 491, SPD: 15, LUK: 1, Attack: 138794, Defense: 84991, Current HP: 1231, A Avg: 1156154, D Avg: 118987, [Big Bang[171, 0, 0, 0], Hard Wings of Beast[222, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 693: HP: 906, STR: 345, VIT: 118, SPD: 15, LUK: 1, Attack: 138797, Defense: 84124, Current HP: 906, A Avg: 1156179, D Avg: 117773, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 692: HP: 1001, STR: 345, VIT: 176, SPD: 15, LUK: 1, Attack: 138797, Defense: 84182, Current HP: 1001, A Avg: 1156179, D Avg: 117854, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 691: HP: 1001, STR: 345, VIT: 139, SPD: 15, LUK: 1, Attack: 138797, Defense: 84145, Current HP: 1001, A Avg: 1156179, D Avg: 117802, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 690: HP: 1249, STR: 345, VIT: 334, SPD: 18, LUK: 1, Attack: 138797, Defense: 84223, Current HP: 1249, A Avg: 1156179, D Avg: 117912, [Big Bang[171, 0, 0, 0], Small Lion[219, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 689: HP: 817, STR: 347, VIT: 68, SPD: 15, LUK: 2, Attack: 138800, Defense: 83931, Current HP: 817, A Avg: 1156203, D Avg: 117503, [Big Bang[171, 0, 0, 0], Small Sword[218, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 688: HP: 1368, STR: 347, VIT: 1088, SPD: 15, LUK: 1, Attack: 138800, Defense: 88656, Current HP: 1368, A Avg: 1156203, D Avg: 124118, [Big Bang[171, 0, 0, 0], Storm Wall[242, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 687: HP: 1197, STR: 2626, VIT: 838, SPD: 25, LUK: 1, Attack: 138802, Defense: 88406, Current HP: 1197, A Avg: 1156220, D Avg: 123768, [Spectral Sword Shigure[172, 0, 0, 0], Storm Wall[242, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 686: HP: 988, STR: 348, VIT: 273, SPD: 19, LUK: 1, Attack: 138802, Defense: 84279, Current HP: 988, A Avg: 1156220, D Avg: 117990, [Big Bang[171, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 685: HP: 969, STR: 348, VIT: 1159, SPD: 19, LUK: 1, Attack: 138802, Defense: 86829, Current HP: 969, A Avg: 1156220, D Avg: 121560, [Big Bang[171, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 684: HP: 1178, STR: 348, VIT: 679, SPD: 15, LUK: 1, Attack: 138802, Defense: 85673, Current HP: 1178, A Avg: 1156220, D Avg: 119942, [Big Bang[171, 0, 0, 0], Metalization[228, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 683: HP: 1154, STR: 350, VIT: 136, SPD: 18, LUK: 1, Attack: 138805, Defense: 83999, Current HP: 1154, A Avg: 1156245, D Avg: 117598, [Big Bang[171, 0, 0, 0], Small Sword[218, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 682: HP: 1149, STR: 2632, VIT: 666, SPD: 15, LUK: 1, Attack: 138811, Defense: 84906, Current HP: 1149, A Avg: 1156295, D Avg: 118868, [Spectral Sword Shigure[172, 0, 0, 0], Dragon's Wings[216, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 681: HP: 1339, STR: 356, VIT: 854, SPD: 15, LUK: 1, Attack: 138814, Defense: 87655, Current HP: 1339, A Avg: 1156320, D Avg: 122716, [Big Bang[171, 0, 0, 0], Riot[236, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 680: HP: 1339, STR: 356, VIT: 568, SPD: 15, LUK: 1, Attack: 138814, Defense: 85432, Current HP: 1339, A Avg: 1156320, D Avg: 119604, [Big Bang[171, 0, 0, 0], Dragon's Head[217, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 679: HP: 1263, STR: 356, VIT: 590, SPD: 17, LUK: 1, Attack: 138814, Defense: 85012, Current HP: 1263, A Avg: 1156320, D Avg: 119016, [Big Bang[171, 0, 0, 0], Superconducting Barrier[220, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 678: HP: 1030, STR: 358, VIT: 457, SPD: 17, LUK: 1, Attack: 138817, Defense: 87258, Current HP: 1030, A Avg: 1156345, D Avg: 122161, [Big Bang[171, 0, 0, 0], Riot[236, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 677: HP: 1030, STR: 358, VIT: 252, SPD: 17, LUK: 1, Attack: 138817, Defense: 85116, Current HP: 1030, A Avg: 1156345, D Avg: 119162, [Big Bang[171, 0, 0, 0], Dragon's Head[217, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 676: HP: 950, STR: 358, VIT: 269, SPD: 18, LUK: 1, Attack: 138817, Defense: 84691, Current HP: 950, A Avg: 1156345, D Avg: 118567, [Big Bang[171, 0, 0, 0], Superconducting Barrier[220, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 675: HP: 1136, STR: 2640, VIT: 722, SPD: 15, LUK: 1, Attack: 138823, Defense: 86340, Current HP: 1136, A Avg: 1156395, D Avg: 120875, [Spectral Sword Shigure[172, 0, 0, 0], Mask of the Grim Reaper[214, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 674: HP: 608, STR: 2641, VIT: 122, SPD: 17, LUK: 2, Attack: 138825, Defense: 84466, Current HP: 608, A Avg: 1156412, D Avg: 118252, [Spectral Sword Shigure[172, 0, 0, 0], V Magnum[238, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 673: HP: 665, STR: 2642, VIT: 163, SPD: 27, LUK: 1, Attack: 138826, Defense: 84299, Current HP: 665, A Avg: 1156420, D Avg: 118018, [Spectral Sword Shigure[172, 0, 0, 0], Magnum[237, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 672: HP: 940, STR: 364, VIT: 107, SPD: 15, LUK: 1, Attack: 138826, Defense: 83996, Current HP: 940, A Avg: 1156420, D Avg: 117594, [Big Bang[171, 0, 0, 0], Small Lion[219, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 671: HP: 1035, STR: 364, VIT: 166, SPD: 15, LUK: 1, Attack: 138826, Defense: 84055, Current HP: 1035, A Avg: 1156420, D Avg: 117676, [Big Bang[171, 0, 0, 0], Small Lion[219, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 670: HP: 1035, STR: 364, VIT: 128, SPD: 15, LUK: 1, Attack: 138826, Defense: 84017, Current HP: 1035, A Avg: 1156420, D Avg: 117623, [Big Bang[171, 0, 0, 0], Small Lion[219, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 669: HP: 1037, STR: 2643, VIT: 952, SPD: 15, LUK: 1, Attack: 138828, Defense: 85790, Current HP: 1037, A Avg: 1156437, D Avg: 120105, [Spectral Sword Shigure[172, 0, 0, 0], Bulletproof Shield[235, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 668: HP: 1096, STR: 368, VIT: 306, SPD: 19, LUK: 1, Attack: 138832, Defense: 84247, Current HP: 1096, A Avg: 1156470, D Avg: 117945, [Big Bang[171, 0, 0, 0], Dragon's Scales[215, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 667: HP: 840, STR: 368, VIT: 39, SPD: 15, LUK: 1, Attack: 138832, Defense: 83762, Current HP: 840, A Avg: 1156470, D Avg: 117266, [Big Bang[171, 0, 0, 0], Pot Lid[201, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 666: HP: 840, STR: 368, VIT: 39, SPD: 15, LUK: 1, Attack: 138832, Defense: 83772, Current HP: 840, A Avg: 1156470, D Avg: 117280, [Big Bang[171, 0, 0, 0], High Pot Lid[202, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 665: HP: 798, STR: 368, VIT: 52, SPD: 15, LUK: 1, Attack: 138832, Defense: 83921, Current HP: 798, A Avg: 1156470, D Avg: 117489, [Big Bang[171, 0, 0, 0], Wooden Shield[203, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 664: HP: 798, STR: 368, VIT: 58, SPD: 15, LUK: 1, Attack: 138832, Defense: 83862, Current HP: 798, A Avg: 1156470, D Avg: 117406, [Big Bang[171, 0, 0, 0], Iron Shield[204, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 663: HP: 798, STR: 368, VIT: 60, SPD: 15, LUK: 1, Attack: 138832, Defense: 83923, Current HP: 798, A Avg: 1156470, D Avg: 117492, [Big Bang[171, 0, 0, 0], Titanium Shield[205, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 662: HP: 798, STR: 368, VIT: 82, SPD: 15, LUK: 1, Attack: 138832, Defense: 83971, Current HP: 798, A Avg: 1156470, D Avg: 117559, [Big Bang[171, 0, 0, 0], Large iron Shield[206, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 661: HP: 840, STR: 368, VIT: 87, SPD: 15, LUK: 1, Attack: 138832, Defense: 83963, Current HP: 840, A Avg: 1156470, D Avg: 117548, [Big Bang[171, 0, 0, 0], Magic Shield[207, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 660: HP: 902, STR: 368, VIT: 100, SPD: 15, LUK: 1, Attack: 138832, Defense: 83937, Current HP: 902, A Avg: 1156470, D Avg: 117511, [Big Bang[171, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 659: HP: 900, STR: 368, VIT: 68, SPD: 15, LUK: 1, Attack: 138832, Defense: 83840, Current HP: 900, A Avg: 1156470, D Avg: 117375, [Big Bang[171, 0, 0, 0], Clear Shield[211, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 658: HP: 940, STR: 368, VIT: 87, SPD: 15, LUK: 1, Attack: 138832, Defense: 84106, Current HP: 940, A Avg: 1156470, D Avg: 117748, [Big Bang[171, 0, 0, 0], Prism Shield[212, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 657: HP: 874, STR: 368, VIT: 71, SPD: 15, LUK: 1, Attack: 138832, Defense: 83999, Current HP: 874, A Avg: 1156470, D Avg: 117598, [Big Bang[171, 0, 0, 0], Tower Shield[213, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 656: HP: 1066, STR: 368, VIT: 153, SPD: 15, LUK: 1, Attack: 138832, Defense: 84715, Current HP: 1066, A Avg: 1156470, D Avg: 118600, [Big Bang[171, 0, 0, 0], Slime Shield[221, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 655: HP: 972, STR: 368, VIT: 60, SPD: 15, LUK: 1, Attack: 138832, Defense: 83988, Current HP: 972, A Avg: 1156470, D Avg: 117583, [Big Bang[171, 0, 0, 0], Hardwood Shield[223, 0, 0, 0], Ring of power[314, 0, 0, 0]]
