Rank 38249: 8005 - [10330, 7259, 710] - HP: 1292, STR: 128248, VIT: 77254, SPD: 8, LUK: 2, Attack: 220434, Defense: 164822, Current HP: 1292, A Avg: 275542, D Avg: 197786, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 330, 330], Tears of the Dragon[307, 330, 68, 806]]
Rank 39434: 1518 - [11471, 5021, 1807] - HP: 145710, STR: 102422, VIT: 25976, SPD: 8, LUK: 1, Attack: 194608, Defense: 113011, Current HP: 145710, A Avg: 204338, D Avg: 113011, [Big Bang[171, 130, 130, 130], Warrior's Shield[249, 230, 230, 230], Gold Ring[303, 230, 330, 66]]
Rank 39434: 1568 - [11471, 5021, 1807] - HP: 145710, STR: 102422, VIT: 25976, SPD: 8, LUK: 1, Attack: 194608, Defense: 113011, Current HP: 145710, A Avg: 204338, D Avg: 113011, [Big Bang[171, 130, 130, 130], Warrior's Shield[249, 230, 230, 230], Gold Ring[303, 230, 330, 807]]
Rank 39507: 1571 - [11426, 5229, 1644] - HP: 139403, STR: 70428, VIT: 51358, SPD: 8, LUK: 1, Attack: 169694, Defense: 141136, Current HP: 139403, A Avg: 178178, D Avg: 141136, [Sword of Evil[189, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 66]]
Rank 39507: 1621 - [11426, 5229, 1644] - HP: 139403, STR: 70428, VIT: 51358, SPD: 8, LUK: 1, Attack: 169694, Defense: 141136, Current HP: 139403, A Avg: 178178, D Avg: 141136, [Sword of Evil[189, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 807]]
Rank 39531: 5792 - [11376, 5403, 1520] - HP: 94453, STR: 110241, VIT: 26110, SPD: 8, LUK: 1, Attack: 200150, Defense: 113678, Current HP: 94453, A Avg: 210157, D Avg: 159149, [Spectral Sword Shigure[172, 130, 130, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 806, 807]]
Rank 39557: 1604 - [11471, 5144, 1684] - HP: 140273, STR: 76822, VIT: 51358, SPD: 8, LUK: 1, Attack: 169008, Defense: 141136, Current HP: 140273, A Avg: 181683, D Avg: 141136, [Big Bang[171, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 803]]
Rank 39565: 339 - [10735, 7360, 204] - HP: 61902, STR: 55858, VIT: 128518, SPD: 8, LUK: 2, Attack: 145767, Defense: 216086, Current HP: 61902, A Avg: 153055, D Avg: 216086, [Spectral Sword Shigure[172, 130, 130, 230], Storm Wall[242, 230, 330, 330], Tears of the Dragon[307, 330, 330, 330]]
Rank 39580: 1172 - [12126, 3202, 2971] - HP: 187253, STR: 110241, VIT: 510, SPD: 8, LUK: 1, Attack: 200150, Defense: 88078, Current HP: 187253, A Avg: 250187, D Avg: 88078, [Spectral Sword Shigure[172, 130, 130, 130], Storm Wall[242, 130, 230, 230], Gold Ring[303, 230, 230, 68]]
Rank 39594: 330 - [10752, 7338, 209] - HP: 60952, STR: 44844, VIT: 128166, SPD: 8, LUK: 2, Attack: 144110, Defense: 217944, Current HP: 60952, A Avg: 151315, D Avg: 217944, [Sword of Evil[189, 130, 130, 230], Blank Shield[244, 230, 330, 330], Tears of the Dragon[307, 330, 330, 330]]
Rank 39594: 1486 - [11317, 5643, 1339] - HP: 141143, STR: 136193, VIT: 446, SPD: 8, LUK: 1, Attack: 228379, Defense: 88014, Current HP: 141143, A Avg: 245507, D Avg: 88014, [Big Bang[171, 130, 130, 130], Storm Wall[242, 230, 230, 230], Gold Ring[303, 230, 230, 803]]
Rank 39600: 1953 - [10924, 6828, 547] - HP: 61522, STR: 121645, VIT: 51366, SPD: 8, LUK: 2, Attack: 213831, Defense: 141144, Current HP: 61522, A Avg: 267288, D Avg: 141144, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 330, 330, 68]]
Rank 39613: 1913 - [10857, 7042, 400] - HP: 61522, STR: 152045, VIT: 25766, SPD: 8, LUK: 2, Attack: 244231, Defense: 115544, Current HP: 61522, A Avg: 256442, D Avg: 138652, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 230, 330, 806]]
Rank 39635: 1943 - [10937, 6824, 538] - HP: 61522, STR: 121645, VIT: 51366, SPD: 8, LUK: 2, Attack: 213831, Defense: 141144, Current HP: 61522, A Avg: 269427, D Avg: 141144, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 330, 330, 67]]
Rank 39638: 1487 - [11337, 5627, 1335] - HP: 140273, STR: 129400, VIT: 446, SPD: 8, LUK: 1, Attack: 228666, Defense: 88014, Current HP: 140273, A Avg: 245815, D Avg: 88014, [Sword of Evil[189, 130, 130, 130], Storm Wall[242, 230, 230, 230], Gold Ring[303, 230, 230, 803]]
Rank 39654: 1601 - [11494, 5172, 1633] - HP: 139403, STR: 70428, VIT: 51358, SPD: 8, LUK: 1, Attack: 169694, Defense: 141136, Current HP: 139403, A Avg: 182421, D Avg: 141136, [Sword of Evil[189, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 803]]
Rank 39659: 5797 - [11419, 5402, 1478] - HP: 93873, STR: 102200, VIT: 26046, SPD: 8, LUK: 1, Attack: 201466, Defense: 113614, Current HP: 93873, A Avg: 211539, D Avg: 159059, [Sword of Evil[189, 130, 130, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 806, 807]]
Rank 39661: 2015 - [10931, 6868, 500] - HP: 62092, STR: 96248, VIT: 77254, SPD: 8, LUK: 2, Attack: 188434, Defense: 164822, Current HP: 62092, A Avg: 235542, D Avg: 164822, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 39672: 2358 - [11035, 6567, 697] - HP: 49710, STR: 128022, VIT: 51576, SPD: 8, LUK: 1, Attack: 220208, Defense: 138611, Current HP: 49710, A Avg: 231218, D Avg: 138611, [Big Bang[171, 130, 230, 230], Warrior's Shield[249, 230, 230, 230], Gold Ring[303, 330, 330, 66]]
Rank 39672: 2408 - [11035, 6567, 697] - HP: 49710, STR: 128022, VIT: 51576, SPD: 8, LUK: 1, Attack: 220208, Defense: 138611, Current HP: 49710, A Avg: 231218, D Avg: 138611, [Big Bang[171, 130, 230, 230], Warrior's Shield[249, 230, 230, 230], Gold Ring[303, 330, 330, 807]]
Rank 39674: 295 - [10745, 7439, 115] - HP: 62092, STR: 192248, VIT: 26054, SPD: 8, LUK: 2, Attack: 284434, Defense: 113622, Current HP: 62092, A Avg: 298655, D Avg: 113622, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 230], Tears of the Dragon[307, 230, 230, 330]]
Rank 39693: 5796 - [11439, 5376, 1484] - HP: 94743, STR: 108993, VIT: 26046, SPD: 8, LUK: 1, Attack: 201179, Defense: 113614, Current HP: 94743, A Avg: 211237, D Avg: 159059, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 806, 807]]
Rank 39694: 258 - [11002, 6688, 609] - HP: 145710, STR: 51222, VIT: 102776, SPD: 8, LUK: 1, Attack: 143408, Defense: 189811, Current HP: 145710, A Avg: 150578, D Avg: 189811, [Big Bang[171, 130, 130, 130], Warrior's Shield[249, 230, 230, 330], Gold Ring[303, 330, 330, 330]]
Rank 39709: 220 - [11093, 6430, 776] - HP: 91352, STR: 121644, VIT: 25766, SPD: 8, LUK: 2, Attack: 220910, Defense: 115544, Current HP: 91352, A Avg: 231955, D Avg: 115544, [Sword of Evil[189, 130, 130, 130], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 230, 230, 330]]
Rank 39712: 2005 - [10952, 6856, 491] - HP: 62092, STR: 96248, VIT: 77254, SPD: 8, LUK: 2, Attack: 188434, Defense: 164822, Current HP: 62092, A Avg: 237426, D Avg: 164822, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 330, 67]]
Rank 39723: 112 - [12253, 2964, 3082] - HP: 233653, STR: 83041, VIT: 26110, SPD: 8, LUK: 1, Attack: 172950, Defense: 113678, Current HP: 233653, A Avg: 181597, D Avg: 113678, [Spectral Sword Shigure[172, 130, 130, 130], Storm Wall[242, 130, 130, 230], Gold Ring[303, 230, 230, 330]]
Rank 39731: 2893 - [11040, 6611, 648] - HP: 722, STR: 152045, VIT: 76966, SPD: 8, LUK: 2, Attack: 244231, Defense: 166744, Current HP: 722, A Avg: 256442, D Avg: 166744, [Big Bang[171, 230, 230, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 39731: 2933 - [11040, 6611, 648] - HP: 722, STR: 152045, VIT: 76966, SPD: 8, LUK: 2, Attack: 244231, Defense: 166744, Current HP: 722, A Avg: 256442, D Avg: 200092, [Big Bang[171, 230, 230, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 806]]
Rank 39731: 2943 - [11040, 6611, 648] - HP: 722, STR: 152045, VIT: 76966, SPD: 8, LUK: 2, Attack: 244231, Defense: 166744, Current HP: 722, A Avg: 256442, D Avg: 166744, [Big Bang[171, 230, 230, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 39740: 484 - [11040, 6620, 639] - HP: 1073, STR: 153622, VIT: 76958, SPD: 8, LUK: 1, Attack: 245808, Defense: 166736, Current HP: 1073, A Avg: 258098, D Avg: 166736, [Big Bang[171, 230, 230, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 330]]
Rank 39740: 488 - [11040, 6620, 639] - HP: 1710, STR: 153622, VIT: 77176, SPD: 8, LUK: 1, Attack: 245808, Defense: 164211, Current HP: 1710, A Avg: 258098, D Avg: 164211, [Big Bang[171, 230, 230, 230], Warrior's Shield[249, 230, 230, 230], Gold Ring[303, 330, 330, 330]]
Rank 39743: 481 - [11040, 6623, 636] - HP: 203, STR: 147228, VIT: 76958, SPD: 8, LUK: 1, Attack: 246494, Defense: 166736, Current HP: 203, A Avg: 258818, D Avg: 166736, [Sword of Evil[189, 230, 230, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 330]]
Rank 39745: 2013 - [10991, 6772, 536] - HP: 61522, STR: 91245, VIT: 76966, SPD: 8, LUK: 2, Attack: 183431, Defense: 166744, Current HP: 61522, A Avg: 229288, D Avg: 166744, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 39748: 480 - [11040, 6628, 631] - HP: 152, STR: 147244, VIT: 76966, SPD: 8, LUK: 2, Attack: 246510, Defense: 166744, Current HP: 152, A Avg: 258835, D Avg: 166744, [Sword of Evil[189, 230, 230, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 330, 330, 330]]
Rank 39749: 2003 - [10993, 6770, 536] - HP: 61522, STR: 91245, VIT: 76966, SPD: 8, LUK: 2, Attack: 183431, Defense: 166744, Current HP: 61522, A Avg: 231123, D Avg: 166744, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 67]]
Rank 39759: 2923 - [11040, 6639, 620] - HP: 722, STR: 152045, VIT: 76966, SPD: 8, LUK: 2, Attack: 244231, Defense: 166744, Current HP: 722, A Avg: 262548, D Avg: 166744, [Big Bang[171, 230, 230, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 39779: 335 - [10815, 7334, 150] - HP: 62092, STR: 64248, VIT: 128454, SPD: 8, LUK: 2, Attack: 156434, Defense: 216022, Current HP: 62092, A Avg: 164255, D Avg: 216022, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 330, 330], Tears of the Dragon[307, 330, 330, 330]]
Rank 39791: 1514 - [11583, 5042, 1674] - HP: 140273, STR: 102422, VIT: 25758, SPD: 8, LUK: 1, Attack: 194608, Defense: 115536, Current HP: 140273, A Avg: 204338, D Avg: 115536, [Big Bang[171, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 330, 66]]
Rank 39791: 1564 - [11583, 5042, 1674] - HP: 140273, STR: 102422, VIT: 25758, SPD: 8, LUK: 1, Attack: 194608, Defense: 115536, Current HP: 140273, A Avg: 204338, D Avg: 115536, [Big Bang[171, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 330, 807]]
Rank 39814: 1162 - [12242, 3088, 2969] - HP: 187253, STR: 110241, VIT: 510, SPD: 8, LUK: 1, Attack: 200150, Defense: 88078, Current HP: 187253, A Avg: 252189, D Avg: 88078, [Spectral Sword Shigure[172, 130, 130, 130], Storm Wall[242, 130, 230, 230], Gold Ring[303, 230, 230, 67]]
Rank 39817: 2355 - [10963, 6928, 408] - HP: 31692, STR: 160248, VIT: 51654, SPD: 8, LUK: 2, Attack: 252434, Defense: 139222, Current HP: 31692, A Avg: 265055, D Avg: 139222, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 230], Tears of the Dragon[307, 330, 330, 66]]
Rank 39817: 2405 - [10963, 6928, 408] - HP: 31692, STR: 160248, VIT: 51654, SPD: 8, LUK: 2, Attack: 252434, Defense: 139222, Current HP: 31692, A Avg: 265055, D Avg: 139222, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 230], Tears of the Dragon[307, 330, 330, 807]]
Rank 39838: 333 - [10848, 7294, 157] - HP: 61522, STR: 60845, VIT: 128166, SPD: 8, LUK: 2, Attack: 153031, Defense: 217944, Current HP: 61522, A Avg: 160682, D Avg: 217944, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 330, 330], Tears of the Dragon[307, 330, 330, 330]]
Rank 39841: 254 - [11048, 6697, 554] - HP: 140273, STR: 51222, VIT: 102558, SPD: 8, LUK: 1, Attack: 143408, Defense: 192336, Current HP: 140273, A Avg: 150578, D Avg: 192336, [Big Bang[171, 130, 130, 130], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 330]]
Rank 39843: 1572 - [11543, 5214, 1542] - HP: 140853, STR: 83041, VIT: 51710, SPD: 8, LUK: 1, Attack: 172950, Defense: 139278, Current HP: 140853, A Avg: 181597, D Avg: 139278, [Spectral Sword Shigure[172, 130, 130, 130], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 66]]
Rank 39843: 1622 - [11543, 5214, 1542] - HP: 140853, STR: 83041, VIT: 51710, SPD: 8, LUK: 1, Attack: 172950, Defense: 139278, Current HP: 140853, A Avg: 181597, D Avg: 139278, [Spectral Sword Shigure[172, 130, 130, 130], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 807]]
Rank 39846: 1548 - [11653, 4887, 1759] - HP: 145710, STR: 102422, VIT: 25976, SPD: 8, LUK: 1, Attack: 194608, Defense: 113011, Current HP: 145710, A Avg: 209203, D Avg: 113011, [Big Bang[171, 130, 130, 130], Warrior's Shield[249, 230, 230, 230], Gold Ring[303, 230, 330, 803]]
Rank 39849: 380 - [11043, 6720, 536] - HP: 30552, STR: 147244, VIT: 51366, SPD: 8, LUK: 2, Attack: 246510, Defense: 141144, Current HP: 30552, A Avg: 258835, D Avg: 141144, [Sword of Evil[189, 130, 230, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 230, 330, 330]]
Rank 39860: 1874 - [11183, 6311, 805] - HP: 93873, STR: 128022, VIT: 25758, SPD: 8, LUK: 1, Attack: 220208, Defense: 115536, Current HP: 93873, A Avg: 231218, D Avg: 115536, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 330, 66]]
Rank 39860: 1924 - [11183, 6311, 805] - HP: 93873, STR: 128022, VIT: 25758, SPD: 8, LUK: 1, Attack: 220208, Defense: 115536, Current HP: 93873, A Avg: 231218, D Avg: 115536, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 330, 807]]
Rank 39862: 116 - [12300, 2962, 3037] - HP: 233943, STR: 81793, VIT: 26046, SPD: 8, LUK: 1, Attack: 173979, Defense: 113614, Current HP: 233943, A Avg: 182677, D Avg: 113614, [Big Bang[171, 130, 130, 130], Storm Wall[242, 130, 130, 230], Gold Ring[303, 230, 230, 330]]
Rank 39873: 2385 - [10978, 6939, 382] - HP: 31692, STR: 160248, VIT: 51654, SPD: 8, LUK: 2, Attack: 252434, Defense: 139222, Current HP: 31692, A Avg: 271366, D Avg: 139222, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 230], Tears of the Dragon[307, 330, 330, 803]]
Rank 39874: 389 - [10978, 6940, 381] - HP: 31502, STR: 164658, VIT: 51718, SPD: 8, LUK: 2, Attack: 254567, Defense: 139286, Current HP: 31502, A Avg: 267295, D Avg: 139286, [Spectral Sword Shigure[172, 130, 230, 230], Storm Wall[242, 230, 230, 230], Tears of the Dragon[307, 230, 330, 330]]
Rank 39894: 1871 - [11178, 6360, 761] - HP: 93003, STR: 121628, VIT: 25758, SPD: 8, LUK: 1, Attack: 220894, Defense: 115536, Current HP: 93003, A Avg: 231938, D Avg: 115536, [Sword of Evil[189, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 330, 66]]
Rank 39894: 1921 - [11178, 6360, 761] - HP: 93003, STR: 121628, VIT: 25758, SPD: 8, LUK: 1, Attack: 220894, Defense: 115536, Current HP: 93003, A Avg: 231938, D Avg: 115536, [Sword of Evil[189, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 330, 807]]
Rank 39903: 1908 - [11189, 6336, 774] - HP: 97710, STR: 128022, VIT: 25976, SPD: 8, LUK: 1, Attack: 220208, Defense: 113011, Current HP: 97710, A Avg: 236723, D Avg: 113011, [Big Bang[171, 130, 130, 230], Warrior's Shield[249, 230, 230, 230], Gold Ring[303, 230, 330, 803]]
Rank 39929: 117 - [12312, 2993, 2994] - HP: 233073, STR: 75000, VIT: 26046, SPD: 8, LUK: 1, Attack: 174266, Defense: 113614, Current HP: 233073, A Avg: 182979, D Avg: 113614, [Sword of Evil[189, 130, 130, 130], Storm Wall[242, 130, 130, 230], Gold Ring[303, 230, 230, 330]]
Rank 39930: 2351 - [11139, 6513, 647] - HP: 46603, STR: 121628, VIT: 51358, SPD: 8, LUK: 1, Attack: 220894, Defense: 141136, Current HP: 46603, A Avg: 231938, D Avg: 141136, [Sword of Evil[189, 130, 230, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 66]]
Rank 39930: 2401 - [11139, 6513, 647] - HP: 46603, STR: 121628, VIT: 51358, SPD: 8, LUK: 1, Attack: 220894, Defense: 141136, Current HP: 46603, A Avg: 231938, D Avg: 141136, [Sword of Evil[189, 130, 230, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 807]]
Rank 39931: 2388 - [11093, 6652, 554] - HP: 49710, STR: 128022, VIT: 51576, SPD: 8, LUK: 1, Attack: 220208, Defense: 138611, Current HP: 49710, A Avg: 236723, D Avg: 138611, [Big Bang[171, 130, 230, 230], Warrior's Shield[249, 230, 230, 230], Gold Ring[303, 330, 330, 803]]
Rank 39934: 1176 - [12275, 3109, 2915] - HP: 187543, STR: 108993, VIT: 446, SPD: 8, LUK: 1, Attack: 201179, Defense: 88014, Current HP: 187543, A Avg: 251473, D Avg: 88014, [Big Bang[171, 130, 130, 130], Storm Wall[242, 130, 230, 230], Gold Ring[303, 230, 230, 68]]
Rank 39935: 2895 - [11040, 6815, 444] - HP: 1292, STR: 160248, VIT: 77254, SPD: 8, LUK: 2, Attack: 252434, Defense: 164822, Current HP: 1292, A Avg: 265055, D Avg: 164822, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 39935: 2935 - [11040, 6815, 444] - HP: 1292, STR: 160248, VIT: 77254, SPD: 8, LUK: 2, Attack: 252434, Defense: 164822, Current HP: 1292, A Avg: 265055, D Avg: 197786, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 330, 806]]
Rank 39935: 2945 - [11040, 6815, 444] - HP: 1292, STR: 160248, VIT: 77254, SPD: 8, LUK: 2, Attack: 252434, Defense: 164822, Current HP: 1292, A Avg: 265055, D Avg: 164822, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 39946: 1602 - [11590, 5176, 1533] - HP: 140853, STR: 83041, VIT: 51710, SPD: 8, LUK: 1, Attack: 172950, Defense: 139278, Current HP: 140853, A Avg: 185921, D Avg: 139278, [Spectral Sword Shigure[172, 130, 130, 130], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 803]]
Rank 39958: 251 - [11101, 6655, 543] - HP: 139403, STR: 44828, VIT: 102558, SPD: 8, LUK: 1, Attack: 144094, Defense: 192336, Current HP: 139403, A Avg: 151298, D Avg: 192336, [Sword of Evil[189, 130, 130, 130], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 330]]
Rank 39958: 1576 - [11584, 5206, 1509] - HP: 141143, STR: 81793, VIT: 51646, SPD: 8, LUK: 1, Attack: 173979, Defense: 139214, Current HP: 141143, A Avg: 182677, D Avg: 139214, [Big Bang[171, 130, 130, 130], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 66]]
Rank 39958: 1626 - [11584, 5206, 1509] - HP: 141143, STR: 81793, VIT: 51646, SPD: 8, LUK: 1, Attack: 173979, Defense: 139214, Current HP: 141143, A Avg: 182677, D Avg: 139214, [Big Bang[171, 130, 130, 130], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 807]]
Rank 39959: 482 - [11040, 6839, 420] - HP: 1653, STR: 164641, VIT: 77310, SPD: 8, LUK: 1, Attack: 254550, Defense: 164878, Current HP: 1653, A Avg: 267277, D Avg: 164878, [Spectral Sword Shigure[172, 230, 230, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 330]]
Rank 39959: 489 - [11040, 6839, 420] - HP: 1102, STR: 164658, VIT: 77318, SPD: 8, LUK: 2, Attack: 254567, Defense: 164886, Current HP: 1102, A Avg: 267295, D Avg: 164886, [Spectral Sword Shigure[172, 230, 230, 230], Storm Wall[242, 230, 230, 230], Tears of the Dragon[307, 330, 330, 330]]
Rank 39959: 1915 - [10962, 7073, 264] - HP: 62092, STR: 160248, VIT: 26054, SPD: 8, LUK: 2, Attack: 252434, Defense: 113622, Current HP: 62092, A Avg: 265055, D Avg: 136346, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 230], Tears of the Dragon[307, 230, 330, 806]]
Rank 39961: 2925 - [11040, 6841, 418] - HP: 1292, STR: 160248, VIT: 77254, SPD: 8, LUK: 2, Attack: 252434, Defense: 164822, Current HP: 1292, A Avg: 271366, D Avg: 164822, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 39965: 2353 - [11102, 6659, 538] - HP: 31122, STR: 152045, VIT: 51366, SPD: 8, LUK: 2, Attack: 244231, Defense: 141144, Current HP: 31122, A Avg: 256442, D Avg: 141144, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 330, 330, 66]]
Rank 39965: 2403 - [11102, 6659, 538] - HP: 31122, STR: 152045, VIT: 51366, SPD: 8, LUK: 2, Attack: 244231, Defense: 141144, Current HP: 31122, A Avg: 256442, D Avg: 141144, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 330, 330, 807]]
Rank 39978: 2354 - [11171, 6465, 663] - HP: 47473, STR: 128022, VIT: 51358, SPD: 8, LUK: 1, Attack: 220208, Defense: 141136, Current HP: 47473, A Avg: 231218, D Avg: 141136, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 66]]
Rank 39978: 2404 - [11171, 6465, 663] - HP: 47473, STR: 128022, VIT: 51358, SPD: 8, LUK: 1, Attack: 220208, Defense: 141136, Current HP: 47473, A Avg: 231218, D Avg: 141136, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 807]]
Rank 39979: 486 - [11040, 6859, 400] - HP: 1943, STR: 163393, VIT: 77246, SPD: 8, LUK: 1, Attack: 255579, Defense: 164814, Current HP: 1943, A Avg: 268357, D Avg: 164814, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 330]]
Rank 39979: 487 - [11040, 6859, 400] - HP: 1073, STR: 156600, VIT: 77246, SPD: 8, LUK: 1, Attack: 255866, Defense: 164814, Current HP: 1073, A Avg: 268659, D Avg: 164814, [Sword of Evil[189, 230, 230, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 330]]
Rank 39980: 252 - [11107, 6659, 533] - HP: 140853, STR: 55841, VIT: 102910, SPD: 8, LUK: 1, Attack: 145750, Defense: 190478, Current HP: 140853, A Avg: 153037, D Avg: 190478, [Spectral Sword Shigure[172, 130, 130, 130], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 330]]
Rank 39983: 429 - [10878, 7349, 072] - HP: 31502, STR: 55858, VIT: 154118, SPD: 8, LUK: 2, Attack: 145767, Defense: 241686, Current HP: 31502, A Avg: 153055, D Avg: 241686, [Spectral Sword Shigure[172, 130, 230, 230], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 330]]
Rank 39984: 1511 - [11648, 5040, 1611] - HP: 139403, STR: 96028, VIT: 25758, SPD: 8, LUK: 1, Attack: 195294, Defense: 115536, Current HP: 139403, A Avg: 205058, D Avg: 115536, [Sword of Evil[189, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 330, 66]]
Rank 39984: 1561 - [11648, 5040, 1611] - HP: 139403, STR: 96028, VIT: 25758, SPD: 8, LUK: 1, Attack: 195294, Defense: 115536, Current HP: 139403, A Avg: 205058, D Avg: 115536, [Sword of Evil[189, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 330, 807]]
Rank 39990: 1177 - [12296, 3102, 2901] - HP: 186673, STR: 102200, VIT: 446, SPD: 8, LUK: 1, Attack: 201466, Defense: 88014, Current HP: 186673, A Avg: 251832, D Avg: 88014, [Sword of Evil[189, 130, 130, 130], Storm Wall[242, 130, 230, 230], Gold Ring[303, 230, 230, 68]]
Rank 40002: 2383 - [11107, 6681, 511] - HP: 31122, STR: 152045, VIT: 51366, SPD: 8, LUK: 2, Attack: 244231, Defense: 141144, Current HP: 31122, A Avg: 262548, D Avg: 141144, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 330, 330, 803]]
Rank 40008: 1478 - [11634, 5106, 1559] - HP: 145710, STR: 128022, VIT: 376, SPD: 8, LUK: 1, Attack: 220208, Defense: 87411, Current HP: 145710, A Avg: 275260, D Avg: 87411, [Big Bang[171, 130, 130, 130], Warrior's Shield[249, 230, 230, 230], Gold Ring[303, 230, 230, 68]]
Rank 40018: 1577 - [11608, 5194, 1497] - HP: 140273, STR: 75000, VIT: 51646, SPD: 8, LUK: 1, Attack: 174266, Defense: 139214, Current HP: 140273, A Avg: 182979, D Avg: 139214, [Sword of Evil[189, 130, 130, 130], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 66]]
