Rank 38671: 1901 - [10534, 7069, 696] - HP: 61807, STR: 152074, VIT: 26270, SPD: 32, LUK: 2, Attack: 244260, Defense: 116048, Current HP: 61807, A Avg: 262579, D Avg: 116048, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 230, 330, 803]]
Rank 39741: 1540 - [11629, 4854, 1816] - HP: 140708, STR: 102446, VIT: 26262, SPD: 32, LUK: 1, Attack: 194632, Defense: 116040, Current HP: 140708, A Avg: 209229, D Avg: 116040, [Big Bang[171, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 330, 803]]
Rank 39758: 1494 - [11046, 6620, 633] - HP: 92777, STR: 160278, VIT: 838, SPD: 32, LUK: 2, Attack: 252464, Defense: 88406, Current HP: 92777, A Avg: 265087, D Avg: 106087, [Big Bang[171, 130, 130, 130], Storm Wall[242, 230, 230, 230], Tears of the Dragon[307, 230, 230, 806]]
Rank 39758: 6898 - [12542, 2132, 3625] - HP: 33364, STR: 178282, VIT: 78040, SPD: 38, LUK: 1, Attack: 264095, Defense: 167818, Current HP: 33364, A Avg: 277299, D Avg: 167818, [Spear of Regression[182, 130, 230, 230], Blank Shield[244, 230, 330, 330], Black Box[323, 330, 66, 807]]
Rank 39760: 1961 - [11108, 6436, 755] - HP: 61807, STR: 121674, VIT: 51870, SPD: 32, LUK: 2, Attack: 213860, Defense: 141648, Current HP: 61807, A Avg: 229899, D Avg: 141648, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 330, 330, 803]]
Rank 39763: 6844 - [11150, 6313, 836] - HP: 31977, STR: 128278, VIT: 52038, SPD: 32, LUK: 2, Attack: 220464, Defense: 139606, Current HP: 31977, A Avg: 231487, D Avg: 195448, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 806, 807]]
Rank 39775: 1477 - [11597, 4984, 1718] - HP: 141433, STR: 128046, VIT: 1035, SPD: 32, LUK: 1, Attack: 220232, Defense: 87823, Current HP: 141433, A Avg: 275290, D Avg: 87823, [Big Bang[171, 130, 130, 130], Golem Shield[245, 230, 230, 230], Gold Ring[303, 230, 230, 68]]
Rank 39784: 6878 - [12545, 2149, 3605] - HP: 33364, STR: 178282, VIT: 78040, SPD: 38, LUK: 1, Attack: 264095, Defense: 167818, Current HP: 33364, A Avg: 283902, D Avg: 167818, [Spear of Regression[182, 130, 230, 230], Blank Shield[244, 230, 330, 330], Black Box[323, 330, 66, 803]]
Rank 39788: 333 - [10932, 6992, 375] - HP: 95178, STR: 54619, VIT: 128830, SPD: 32, LUK: 1, Attack: 146805, Defense: 216398, Current HP: 95178, A Avg: 154145, D Avg: 216398, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 330]]
Rank 39793: 6058 - [11693, 4714, 1892] - HP: 63764, STR: 120682, VIT: 78040, SPD: 38, LUK: 1, Attack: 206495, Defense: 167818, Current HP: 63764, A Avg: 258118, D Avg: 201381, [Spear of Regression[182, 130, 130, 230], Blank Shield[244, 230, 330, 330], Black Box[323, 330, 68, 806]]
Rank 39794: 2419 - [11204, 6182, 913] - HP: 31217, STR: 104044, VIT: 77534, SPD: 32, LUK: 2, Attack: 193953, Defense: 167312, Current HP: 31217, A Avg: 203650, D Avg: 167312, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 39794: 2469 - [11204, 6182, 913] - HP: 31217, STR: 104044, VIT: 77534, SPD: 32, LUK: 2, Attack: 193953, Defense: 167312, Current HP: 31217, A Avg: 203650, D Avg: 167312, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 39794: 6988 - [12545, 2159, 3595] - HP: 33364, STR: 178282, VIT: 78040, SPD: 38, LUK: 1, Attack: 264095, Defense: 167818, Current HP: 33364, A Avg: 290504, D Avg: 167818, [Spear of Regression[182, 130, 230, 230], Blank Shield[244, 230, 330, 330], Black Box[323, 330, 803, 807]]
Rank 39800: 2519 - [11113, 6461, 725] - HP: 31217, STR: 78444, VIT: 103134, SPD: 32, LUK: 2, Attack: 168353, Defense: 192912, Current HP: 31217, A Avg: 176770, D Avg: 231494, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 330, 330], Tears of the Dragon[307, 330, 330, 806]]
Rank 39804: 337 - [10936, 6996, 367] - HP: 95033, STR: 51246, VIT: 137035, SPD: 32, LUK: 1, Attack: 143432, Defense: 223823, Current HP: 95033, A Avg: 150603, D Avg: 223823, [Big Bang[171, 130, 130, 230], Golem Shield[245, 230, 330, 330], Gold Ring[303, 330, 330, 330]]
Rank 39811: 5795 - [11513, 5272, 1514] - HP: 94308, STR: 110319, VIT: 25654, SPD: 32, LUK: 1, Attack: 202505, Defense: 113482, Current HP: 94308, A Avg: 212630, D Avg: 158874, [Big Bang[171, 130, 130, 230], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 330, 806, 807]]
Rank 39813: 6868 - [12545, 2178, 3576] - HP: 33364, STR: 178282, VIT: 78040, SPD: 38, LUK: 1, Attack: 264095, Defense: 167818, Current HP: 33364, A Avg: 330118, D Avg: 167818, [Spear of Regression[182, 130, 230, 230], Blank Shield[244, 230, 330, 330], Black Box[323, 330, 66, 68]]
Rank 39815: 6858 - [12545, 2180, 3574] - HP: 33364, STR: 178282, VIT: 78040, SPD: 38, LUK: 1, Attack: 264095, Defense: 167818, Current HP: 33364, A Avg: 332759, D Avg: 167818, [Spear of Regression[182, 130, 230, 230], Blank Shield[244, 230, 330, 330], Black Box[323, 330, 66, 67]]
Rank 39821: 1597 - [11708, 4697, 1894] - HP: 141433, STR: 76846, VIT: 55435, SPD: 32, LUK: 1, Attack: 169032, Defense: 142223, Current HP: 141433, A Avg: 211290, D Avg: 142223, [Big Bang[171, 130, 130, 130], Golem Shield[245, 230, 230, 230], Gold Ring[303, 330, 330, 68]]
Rank 39821: 1872 - [11251, 6068, 980] - HP: 94018, STR: 129628, VIT: 26326, SPD: 32, LUK: 1, Attack: 219537, Defense: 116104, Current HP: 94018, A Avg: 230513, D Avg: 116104, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 330, 66]]
Rank 39821: 1922 - [11251, 6068, 980] - HP: 94018, STR: 129628, VIT: 26326, SPD: 32, LUK: 1, Attack: 219537, Defense: 116104, Current HP: 94018, A Avg: 230513, D Avg: 116104, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 330, 807]]
Rank 39823: 6918 - [12545, 2188, 3566] - HP: 33364, STR: 178282, VIT: 78040, SPD: 38, LUK: 1, Attack: 264095, Defense: 167818, Current HP: 33364, A Avg: 340682, D Avg: 167818, [Spear of Regression[182, 130, 230, 230], Blank Shield[244, 230, 330, 330], Black Box[323, 330, 67, 803]]
Rank 39824: 6028 - [11705, 4709, 1885] - HP: 63764, STR: 120682, VIT: 78040, SPD: 38, LUK: 1, Attack: 206495, Defense: 167818, Current HP: 63764, A Avg: 260183, D Avg: 201381, [Spear of Regression[182, 130, 130, 230], Blank Shield[244, 230, 330, 330], Black Box[323, 330, 67, 806]]
Rank 39826: 521 - [10815, 7381, 103] - HP: 1007, STR: 60874, VIT: 179870, SPD: 32, LUK: 2, Attack: 153060, Defense: 269648, Current HP: 1007, A Avg: 160713, D Avg: 269648, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 330]]
Rank 39827: 1877 - [11236, 6119, 944] - HP: 95033, STR: 128046, VIT: 28235, SPD: 32, LUK: 1, Attack: 220232, Defense: 115023, Current HP: 95033, A Avg: 231243, D Avg: 115023, [Big Bang[171, 130, 130, 230], Golem Shield[245, 230, 230, 230], Gold Ring[303, 230, 330, 66]]
Rank 39827: 1927 - [11236, 6119, 944] - HP: 95033, STR: 128046, VIT: 28235, SPD: 32, LUK: 1, Attack: 220232, Defense: 115023, Current HP: 95033, A Avg: 231243, D Avg: 115023, [Big Bang[171, 130, 130, 230], Golem Shield[245, 230, 230, 230], Gold Ring[303, 230, 330, 807]]
Rank 39828: 1467 - [11622, 4962, 1715] - HP: 141433, STR: 128046, VIT: 1035, SPD: 32, LUK: 1, Attack: 220232, Defense: 87823, Current HP: 141433, A Avg: 277492, D Avg: 87823, [Big Bang[171, 130, 130, 130], Golem Shield[245, 230, 230, 230], Gold Ring[303, 230, 230, 67]]
Rank 39832: 3019 - [11099, 6535, 665] - HP: 817, STR: 78444, VIT: 128734, SPD: 32, LUK: 2, Attack: 168353, Defense: 218512, Current HP: 817, A Avg: 176770, D Avg: 218512, [Spectral Sword Shigure[172, 230, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 39832: 3049 - [11099, 6535, 665] - HP: 817, STR: 78444, VIT: 128734, SPD: 32, LUK: 2, Attack: 168353, Defense: 218512, Current HP: 817, A Avg: 180979, D Avg: 218512, [Spectral Sword Shigure[172, 230, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 39832: 3059 - [11099, 6535, 665] - HP: 817, STR: 78444, VIT: 128734, SPD: 32, LUK: 2, Attack: 168353, Defense: 218512, Current HP: 817, A Avg: 176770, D Avg: 262214, [Spectral Sword Shigure[172, 230, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 806]]
Rank 39832: 3069 - [11099, 6535, 665] - HP: 817, STR: 78444, VIT: 128734, SPD: 32, LUK: 2, Attack: 168353, Defense: 218512, Current HP: 817, A Avg: 176770, D Avg: 218512, [Spectral Sword Shigure[172, 230, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 39832: 6948 - [12545, 2197, 3557] - HP: 33364, STR: 178282, VIT: 78040, SPD: 38, LUK: 1, Attack: 264095, Defense: 167818, Current HP: 33364, A Avg: 363130, D Avg: 167818, [Spear of Regression[182, 130, 230, 230], Blank Shield[244, 230, 330, 330], Black Box[323, 330, 68, 803]]
Rank 39833: 6908 - [12545, 2198, 3556] - HP: 33364, STR: 178282, VIT: 78040, SPD: 38, LUK: 1, Attack: 264095, Defense: 167818, Current HP: 33364, A Avg: 396142, D Avg: 167818, [Spear of Regression[182, 130, 230, 230], Blank Shield[244, 230, 330, 330], Black Box[323, 330, 67, 68]]
Rank 39833: 6938 - [12545, 2198, 3556] - HP: 33364, STR: 178282, VIT: 78040, SPD: 38, LUK: 1, Attack: 264095, Defense: 167818, Current HP: 33364, A Avg: 388219, D Avg: 167818, [Spear of Regression[182, 130, 230, 230], Blank Shield[244, 230, 330, 330], Black Box[323, 330, 67, 807]]
Rank 39833: 6968 - [12545, 2198, 3556] - HP: 33364, STR: 178282, VIT: 78040, SPD: 38, LUK: 1, Attack: 264095, Defense: 167818, Current HP: 33364, A Avg: 382937, D Avg: 167818, [Spear of Regression[182, 130, 230, 230], Blank Shield[244, 230, 330, 330], Black Box[323, 330, 68, 807]]
Rank 39837: 335 - [10947, 6996, 356] - HP: 94308, STR: 55919, VIT: 128054, SPD: 32, LUK: 1, Attack: 148105, Defense: 215882, Current HP: 94308, A Avg: 155510, D Avg: 215882, [Big Bang[171, 130, 130, 230], Black Sword Breath[252, 230, 330, 330], Gold Ring[303, 330, 330, 330]]
Rank 39847: 423 - [10907, 7126, 266] - HP: 48778, STR: 54619, VIT: 154430, SPD: 32, LUK: 1, Attack: 146805, Defense: 241998, Current HP: 48778, A Avg: 154145, D Avg: 241998, [Big Bang[171, 130, 230, 230], Storm Wall[242, 330, 330, 330], Gold Ring[303, 330, 330, 330]]
Rank 39847: 3016 - [11099, 6550, 650] - HP: 2415, STR: 76846, VIT: 128328, SPD: 32, LUK: 1, Attack: 169032, Defense: 215753, Current HP: 2415, A Avg: 177483, D Avg: 215753, [Big Bang[171, 230, 230, 230], Cloud Shield[241, 330, 330, 330], Gold Ring[303, 330, 330, 66]]
Rank 39847: 3056 - [11099, 6550, 650] - HP: 2415, STR: 76846, VIT: 128328, SPD: 32, LUK: 1, Attack: 169032, Defense: 215753, Current HP: 2415, A Avg: 177483, D Avg: 258903, [Big Bang[171, 230, 230, 230], Cloud Shield[241, 330, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 39847: 3066 - [11099, 6550, 650] - HP: 2415, STR: 76846, VIT: 128328, SPD: 32, LUK: 1, Attack: 169032, Defense: 215753, Current HP: 2415, A Avg: 177483, D Avg: 215753, [Big Bang[171, 230, 230, 230], Cloud Shield[241, 330, 330, 330], Gold Ring[303, 330, 330, 807]]
Rank 39848: 1587 - [11719, 4691, 1889] - HP: 141433, STR: 76846, VIT: 55435, SPD: 32, LUK: 1, Attack: 169032, Defense: 142223, Current HP: 141433, A Avg: 212980, D Avg: 142223, [Big Bang[171, 130, 130, 130], Golem Shield[245, 230, 230, 230], Gold Ring[303, 330, 330, 67]]
Rank 39849: 524 - [10826, 7371, 102] - HP: 1577, STR: 64278, VIT: 180038, SPD: 32, LUK: 2, Attack: 156464, Defense: 267606, Current HP: 1577, A Avg: 164287, D Avg: 267606, [Big Bang[171, 230, 230, 330], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 330]]
Rank 39852: 3046 - [11099, 6555, 645] - HP: 2415, STR: 76846, VIT: 128328, SPD: 32, LUK: 1, Attack: 169032, Defense: 215753, Current HP: 2415, A Avg: 181709, D Avg: 215753, [Big Bang[171, 230, 230, 230], Cloud Shield[241, 330, 330, 330], Gold Ring[303, 330, 330, 803]]
Rank 39860: 425 - [10903, 7151, 245] - HP: 47908, STR: 55919, VIT: 153654, SPD: 32, LUK: 1, Attack: 148105, Defense: 241482, Current HP: 47908, A Avg: 155510, D Avg: 241482, [Big Bang[171, 130, 230, 230], Black Sword Breath[252, 330, 330, 330], Gold Ring[303, 330, 330, 330]]
Rank 39863: 249 - [11300, 5963, 1036] - HP: 92017, STR: 78444, VIT: 77534, SPD: 32, LUK: 2, Attack: 168353, Defense: 167312, Current HP: 92017, A Avg: 176770, D Avg: 167312, [Spectral Sword Shigure[172, 130, 130, 130], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 330, 330, 330]]
Rank 39871: 538 - [10930, 7081, 288] - HP: 2964, STR: 63082, VIT: 206040, SPD: 38, LUK: 1, Attack: 148895, Defense: 295818, Current HP: 2964, A Avg: 156339, D Avg: 295818, [Spear of Regression[182, 230, 330, 330], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 330, 330]]
Rank 39876: 1605 - [11622, 5010, 1667] - HP: 140708, STR: 83119, VIT: 51254, SPD: 32, LUK: 1, Attack: 175305, Defense: 139082, Current HP: 140708, A Avg: 188452, D Avg: 139082, [Big Bang[171, 130, 130, 130], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 330, 330, 803]]
Rank 39877: 2449 - [11225, 6202, 872] - HP: 31217, STR: 104044, VIT: 77534, SPD: 32, LUK: 2, Attack: 193953, Defense: 167312, Current HP: 31217, A Avg: 208499, D Avg: 167312, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 39883: 1850 - [11158, 6409, 732] - HP: 94308, STR: 153646, VIT: 662, SPD: 32, LUK: 1, Attack: 245832, Defense: 90440, Current HP: 94308, A Avg: 258123, D Avg: 108528, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 230, 806]]
Rank 39889: 6804 - [11087, 6628, 584] - HP: 31977, STR: 128278, VIT: 52038, SPD: 32, LUK: 2, Attack: 220464, Defense: 139606, Current HP: 31977, A Avg: 275580, D Avg: 167527, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 68, 806]]
Rank 39897: 286 - [10944, 7065, 290] - HP: 98415, STR: 179246, VIT: 328, SPD: 32, LUK: 1, Attack: 271432, Defense: 87753, Current HP: 98415, A Avg: 285003, D Avg: 87753, [Big Bang[171, 130, 130, 230], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 230, 230, 230]]
Rank 39898: 6774 - [11090, 6628, 581] - HP: 31977, STR: 128278, VIT: 52038, SPD: 32, LUK: 2, Attack: 220464, Defense: 139606, Current HP: 31977, A Avg: 277784, D Avg: 167527, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 67, 806]]
Rank 39931: 1996 - [11334, 5929, 1036] - HP: 98415, STR: 76846, VIT: 77128, SPD: 32, LUK: 1, Attack: 169032, Defense: 164553, Current HP: 98415, A Avg: 177483, D Avg: 164553, [Big Bang[171, 130, 130, 230], Cloud Shield[241, 230, 230, 330], Gold Ring[303, 330, 330, 66]]
Rank 39931: 2046 - [11334, 5929, 1036] - HP: 98415, STR: 76846, VIT: 77128, SPD: 32, LUK: 1, Attack: 169032, Defense: 164553, Current HP: 98415, A Avg: 177483, D Avg: 164553, [Big Bang[171, 130, 130, 230], Cloud Shield[241, 230, 230, 330], Gold Ring[303, 330, 330, 807]]
Rank 39934: 2499 - [11105, 6619, 575] - HP: 31217, STR: 78444, VIT: 103134, SPD: 32, LUK: 2, Attack: 168353, Defense: 192912, Current HP: 31217, A Avg: 210441, D Avg: 192912, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 330, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 39935: 2489 - [11105, 6620, 574] - HP: 31217, STR: 78444, VIT: 103134, SPD: 32, LUK: 2, Attack: 168353, Defense: 192912, Current HP: 31217, A Avg: 212124, D Avg: 192912, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 330, 330], Tears of the Dragon[307, 330, 330, 67]]
Rank 39943: 1891 - [11016, 6895, 388] - HP: 61807, STR: 152074, VIT: 26270, SPD: 32, LUK: 2, Attack: 244260, Defense: 116048, Current HP: 61807, A Avg: 305325, D Avg: 116048, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 230, 330, 68]]
Rank 39950: 427 - [10975, 7025, 299] - HP: 48633, STR: 51246, VIT: 164235, SPD: 32, LUK: 1, Attack: 143432, Defense: 251023, Current HP: 48633, A Avg: 150603, D Avg: 251023, [Big Bang[171, 130, 230, 230], Golem Shield[245, 330, 330, 330], Gold Ring[303, 330, 330, 330]]
Rank 39953: 1992 - [11341, 5930, 1028] - HP: 94018, STR: 78428, VIT: 77526, SPD: 32, LUK: 1, Attack: 168337, Defense: 167304, Current HP: 94018, A Avg: 176753, D Avg: 167304, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 66]]
Rank 39953: 2042 - [11341, 5930, 1028] - HP: 94018, STR: 78428, VIT: 77526, SPD: 32, LUK: 1, Attack: 168337, Defense: 167304, Current HP: 94018, A Avg: 176753, D Avg: 167304, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 807]]
Rank 39965: 3012 - [11147, 6524, 628] - HP: 1218, STR: 78428, VIT: 128726, SPD: 32, LUK: 1, Attack: 168337, Defense: 218504, Current HP: 1218, A Avg: 176753, D Avg: 218504, [Spectral Sword Shigure[172, 230, 230, 230], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 66]]
Rank 39965: 3062 - [11147, 6524, 628] - HP: 1218, STR: 78428, VIT: 128726, SPD: 32, LUK: 1, Attack: 168337, Defense: 218504, Current HP: 1218, A Avg: 176753, D Avg: 218504, [Spectral Sword Shigure[172, 230, 230, 230], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 807]]
Rank 39966: 3042 - [11147, 6525, 627] - HP: 1218, STR: 78428, VIT: 128726, SPD: 32, LUK: 1, Attack: 168337, Defense: 218504, Current HP: 1218, A Avg: 180962, D Avg: 218504, [Spectral Sword Shigure[172, 230, 230, 230], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 803]]
Rank 39984: 1881 - [11033, 6885, 381] - HP: 61807, STR: 152074, VIT: 26270, SPD: 32, LUK: 2, Attack: 244260, Defense: 116048, Current HP: 61807, A Avg: 307767, D Avg: 116048, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 230, 330, 67]]
Rank 39985: 1173 - [12343, 2956, 3000] - HP: 187978, STR: 109019, VIT: 830, SPD: 32, LUK: 1, Attack: 201205, Defense: 88398, Current HP: 187978, A Avg: 251506, D Avg: 88398, [Big Bang[171, 130, 130, 130], Storm Wall[242, 130, 230, 230], Gold Ring[303, 230, 230, 68]]
Rank 39999: 2011 - [11162, 6513, 624] - HP: 61807, STR: 91274, VIT: 77470, SPD: 32, LUK: 2, Attack: 183460, Defense: 167248, Current HP: 61807, A Avg: 229325, D Avg: 167248, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 40003: 527 - [10942, 7177, 180] - HP: 2233, STR: 51246, VIT: 191435, SPD: 32, LUK: 1, Attack: 143432, Defense: 278223, Current HP: 2233, A Avg: 150603, D Avg: 278223, [Big Bang[171, 230, 230, 330], Golem Shield[245, 330, 330, 330], Gold Ring[303, 330, 330, 330]]
Rank 40007: 1190 - [12560, 2327, 3412] - HP: 187108, STR: 102446, VIT: 662, SPD: 32, LUK: 1, Attack: 194632, Defense: 90440, Current HP: 187108, A Avg: 204363, D Avg: 108528, [Big Bang[171, 130, 130, 130], Blank Shield[244, 130, 230, 230], Gold Ring[303, 230, 230, 806]]
Rank 40012: 2022 - [11363, 5923, 1013] - HP: 94018, STR: 78428, VIT: 77526, SPD: 32, LUK: 1, Attack: 168337, Defense: 167304, Current HP: 94018, A Avg: 180962, D Avg: 167304, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 803]]
Rank 40014: 2001 - [11169, 6507, 623] - HP: 61807, STR: 91274, VIT: 77470, SPD: 32, LUK: 2, Attack: 183460, Defense: 167248, Current HP: 61807, A Avg: 231159, D Avg: 167248, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 67]]
Rank 40015: 1318 - [11515, 5470, 1314] - HP: 124564, STR: 120682, VIT: 52440, SPD: 38, LUK: 1, Attack: 206495, Defense: 142218, Current HP: 124564, A Avg: 216819, D Avg: 170661, [Spear of Regression[182, 130, 130, 130], Blank Shield[244, 130, 230, 230], Black Box[323, 330, 330, 806]]
Rank 40017: 1453 - [11555, 5352, 1392] - HP: 141578, STR: 136219, VIT: 830, SPD: 32, LUK: 1, Attack: 228405, Defense: 88398, Current HP: 141578, A Avg: 239825, D Avg: 88398, [Big Bang[171, 130, 130, 130], Storm Wall[242, 230, 230, 230], Gold Ring[303, 230, 230, 66]]
Rank 40017: 1503 - [11555, 5352, 1392] - HP: 141578, STR: 136219, VIT: 830, SPD: 32, LUK: 1, Attack: 228405, Defense: 88398, Current HP: 141578, A Avg: 239825, D Avg: 88398, [Big Bang[171, 130, 130, 130], Storm Wall[242, 230, 230, 230], Gold Ring[303, 230, 230, 807]]
Rank 40025: 2026 - [11373, 5906, 1020] - HP: 98415, STR: 76846, VIT: 77128, SPD: 32, LUK: 1, Attack: 169032, Defense: 164553, Current HP: 98415, A Avg: 181709, D Avg: 164553, [Big Bang[171, 130, 130, 230], Cloud Shield[241, 230, 230, 330], Gold Ring[303, 330, 330, 803]]
Rank 40033: 1258 - [11704, 4921, 1674] - HP: 124564, STR: 178282, VIT: 26840, SPD: 38, LUK: 1, Attack: 264095, Defense: 116618, Current HP: 124564, A Avg: 277299, D Avg: 139941, [Spear of Regression[182, 130, 130, 130], Blank Shield[244, 130, 230, 230], Black Box[323, 230, 330, 806]]
Rank 40033: 1616 - [11908, 4309, 2082] - HP: 146415, STR: 76846, VIT: 51528, SPD: 32, LUK: 1, Attack: 169032, Defense: 138953, Current HP: 146415, A Avg: 177483, D Avg: 166743, [Big Bang[171, 130, 130, 130], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 330, 330, 806]]
Rank 40037: 1612 - [11893, 4358, 2048] - HP: 140418, STR: 78428, VIT: 51926, SPD: 32, LUK: 1, Attack: 168337, Defense: 141704, Current HP: 140418, A Avg: 176753, D Avg: 170044, [Spectral Sword Shigure[172, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 806]]
Rank 40042: 282 - [11010, 7012, 277] - HP: 94018, STR: 180828, VIT: 726, SPD: 32, LUK: 1, Attack: 270737, Defense: 90504, Current HP: 94018, A Avg: 284273, D Avg: 90504, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 230, 230]]
Rank 40048: 1906 - [11332, 6052, 915] - HP: 98415, STR: 128046, VIT: 25928, SPD: 32, LUK: 1, Attack: 220232, Defense: 113353, Current HP: 98415, A Avg: 236749, D Avg: 113353, [Big Bang[171, 130, 130, 230], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 230, 330, 803]]
Rank 40054: 1870 - [11337, 6043, 919] - HP: 94308, STR: 128046, VIT: 26262, SPD: 32, LUK: 1, Attack: 220232, Defense: 116040, Current HP: 94308, A Avg: 231243, D Avg: 116040, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 330, 66]]
Rank 40054: 1920 - [11337, 6043, 919] - HP: 94308, STR: 128046, VIT: 26262, SPD: 32, LUK: 1, Attack: 220232, Defense: 116040, Current HP: 94308, A Avg: 231243, D Avg: 116040, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 330, 807]]
Rank 40064: 280 - [11016, 7016, 267] - HP: 94308, STR: 179246, VIT: 662, SPD: 32, LUK: 1, Attack: 271432, Defense: 90440, Current HP: 94308, A Avg: 285003, D Avg: 90440, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 230, 230]]
Rank 40072: 5793 - [11662, 5086, 1551] - HP: 95178, STR: 109019, VIT: 26430, SPD: 32, LUK: 1, Attack: 201205, Defense: 113998, Current HP: 95178, A Avg: 211265, D Avg: 159597, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 806, 807]]
Rank 40075: 171 - [11614, 5233, 1452] - HP: 122607, STR: 91274, VIT: 51870, SPD: 32, LUK: 2, Attack: 183460, Defense: 141648, Current HP: 122607, A Avg: 192633, D Avg: 141648, [Big Bang[171, 130, 130, 130], Blank Shield[244, 130, 230, 230], Tears of the Dragon[307, 230, 330, 330]]
Rank 40094: 3010 - [11196, 6506, 597] - HP: 1508, STR: 76846, VIT: 128662, SPD: 32, LUK: 1, Attack: 169032, Defense: 218440, Current HP: 1508, A Avg: 177483, D Avg: 218440, [Big Bang[171, 230, 230, 230], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 66]]
Rank 40094: 3060 - [11196, 6506, 597] - HP: 1508, STR: 76846, VIT: 128662, SPD: 32, LUK: 1, Attack: 169032, Defense: 218440, Current HP: 1508, A Avg: 177483, D Avg: 218440, [Big Bang[171, 230, 230, 230], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 807]]
