Rank 38334: 3078 - [10172, 7818, 309] - HP: 722, STR: 52700, VIT: 154166, SPD: 24, LUK: 2, Attack: 142609, Defense: 243944, Current HP: 722, A Avg: 149739, D Avg: 243944, [Spectral Sword Shigure[172, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 39377: 2021 - [10866, 6779, 654] - HP: 61712, STR: 91264, VIT: 77302, SPD: 24, LUK: 2, Attack: 183450, Defense: 167080, Current HP: 61712, A Avg: 197208, D Avg: 167080, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 39393: 3117 - [10617, 7542, 140] - HP: 2088, STR: 51238, VIT: 164014, SPD: 24, LUK: 1, Attack: 143424, Defense: 250802, Current HP: 2088, A Avg: 150595, D Avg: 300962, [Big Bang[171, 230, 230, 330], Golem Shield[245, 330, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 39397: 1911 - [10791, 7024, 484] - HP: 61712, STR: 152064, VIT: 26102, SPD: 24, LUK: 2, Attack: 244250, Defense: 115880, Current HP: 61712, A Avg: 256462, D Avg: 139056, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 230, 330, 806]]
Rank 39401: 3087 - [10597, 7610, 092] - HP: 2088, STR: 51238, VIT: 164014, SPD: 24, LUK: 1, Attack: 143424, Defense: 250802, Current HP: 2088, A Avg: 180714, D Avg: 250802, [Big Bang[171, 230, 230, 330], Golem Shield[245, 330, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 39401: 3097 - [10597, 7610, 092] - HP: 2088, STR: 51238, VIT: 164014, SPD: 24, LUK: 1, Attack: 143424, Defense: 250802, Current HP: 2088, A Avg: 179280, D Avg: 250802, [Big Bang[171, 230, 230, 330], Golem Shield[245, 330, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 39421: 2355 - [10950, 6571, 778] - HP: 50040, STR: 128038, VIT: 51448, SPD: 24, LUK: 1, Attack: 220224, Defense: 138873, Current HP: 50040, A Avg: 231235, D Avg: 138873, [Big Bang[171, 130, 230, 230], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 330, 330, 66]]
Rank 39421: 2405 - [10950, 6571, 778] - HP: 50040, STR: 128038, VIT: 51448, SPD: 24, LUK: 1, Attack: 220224, Defense: 138873, Current HP: 50040, A Avg: 231235, D Avg: 138873, [Big Bang[171, 130, 230, 230], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 330, 330, 807]]
Rank 39421: 2579 - [10668, 7417, 214] - HP: 48343, STR: 56147, VIT: 128766, SPD: 24, LUK: 1, Attack: 146056, Defense: 216334, Current HP: 48343, A Avg: 153358, D Avg: 259600, [Spectral Sword Shigure[172, 130, 230, 230], Storm Wall[242, 330, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 39422: 2570 - [10681, 7379, 239] - HP: 47763, STR: 51238, VIT: 128494, SPD: 24, LUK: 1, Attack: 143424, Defense: 218272, Current HP: 47763, A Avg: 150595, D Avg: 261926, [Big Bang[171, 130, 230, 230], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 39434: 2572 - [10674, 7412, 213] - HP: 48633, STR: 54610, VIT: 128702, SPD: 24, LUK: 1, Attack: 146796, Defense: 216270, Current HP: 48633, A Avg: 154135, D Avg: 259524, [Big Bang[171, 130, 230, 230], Storm Wall[242, 330, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 39439: 1195 - [12358, 2365, 3576] - HP: 194040, STR: 102438, VIT: 248, SPD: 24, LUK: 1, Attack: 194624, Defense: 87673, Current HP: 194040, A Avg: 204355, D Avg: 105207, [Big Bang[171, 130, 130, 130], Cloud Shield[241, 130, 230, 230], Gold Ring[303, 230, 230, 806]]
Rank 39443: 1169 - [12076, 3215, 3008] - HP: 187543, STR: 110547, VIT: 766, SPD: 24, LUK: 1, Attack: 200456, Defense: 88334, Current HP: 187543, A Avg: 252574, D Avg: 88334, [Spectral Sword Shigure[172, 130, 130, 130], Storm Wall[242, 130, 230, 230], Gold Ring[303, 230, 230, 67]]
Rank 39454: 2537 - [10661, 7471, 167] - HP: 48488, STR: 51238, VIT: 136814, SPD: 24, LUK: 1, Attack: 143424, Defense: 223602, Current HP: 48488, A Avg: 150595, D Avg: 223602, [Big Bang[171, 130, 230, 230], Golem Shield[245, 330, 330, 330], Gold Ring[303, 330, 330, 66]]
Rank 39454: 2587 - [10661, 7471, 167] - HP: 48488, STR: 51238, VIT: 136814, SPD: 24, LUK: 1, Attack: 143424, Defense: 223602, Current HP: 48488, A Avg: 150595, D Avg: 223602, [Big Bang[171, 130, 230, 230], Golem Shield[245, 330, 330, 330], Gold Ring[303, 330, 330, 807]]
Rank 39477: 1172 - [12073, 3258, 2968] - HP: 187833, STR: 109010, VIT: 702, SPD: 24, LUK: 1, Attack: 201196, Defense: 88270, Current HP: 187833, A Avg: 251495, D Avg: 88270, [Big Bang[171, 130, 130, 130], Storm Wall[242, 130, 230, 230], Gold Ring[303, 230, 230, 68]]
Rank 39488: 2567 - [10674, 7466, 159] - HP: 48488, STR: 51238, VIT: 136814, SPD: 24, LUK: 1, Attack: 143424, Defense: 223602, Current HP: 48488, A Avg: 154180, D Avg: 223602, [Big Bang[171, 130, 230, 230], Golem Shield[245, 330, 330, 330], Gold Ring[303, 330, 330, 803]]
Rank 39495: 2891 - [10969, 6588, 742] - HP: 912, STR: 152064, VIT: 77302, SPD: 24, LUK: 2, Attack: 244250, Defense: 167080, Current HP: 912, A Avg: 256462, D Avg: 167080, [Big Bang[171, 230, 230, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 39495: 2931 - [10969, 6588, 742] - HP: 912, STR: 152064, VIT: 77302, SPD: 24, LUK: 2, Attack: 244250, Defense: 167080, Current HP: 912, A Avg: 256462, D Avg: 200496, [Big Bang[171, 230, 230, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 806]]
Rank 39495: 2941 - [10969, 6588, 742] - HP: 912, STR: 152064, VIT: 77302, SPD: 24, LUK: 2, Attack: 244250, Defense: 167080, Current HP: 912, A Avg: 256462, D Avg: 167080, [Big Bang[171, 230, 230, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 39499: 486 - [10969, 6592, 738] - HP: 1073, STR: 155084, VIT: 77358, SPD: 24, LUK: 1, Attack: 244993, Defense: 167136, Current HP: 1073, A Avg: 257242, D Avg: 167136, [Spectral Sword Shigure[172, 230, 230, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 330]]
Rank 39499: 488 - [10969, 6592, 738] - HP: 722, STR: 155100, VIT: 77366, SPD: 24, LUK: 2, Attack: 245009, Defense: 167144, Current HP: 722, A Avg: 257259, D Avg: 167144, [Spectral Sword Shigure[172, 230, 230, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 330, 330, 330]]
Rank 39499: 1906 - [11047, 6358, 894] - HP: 93873, STR: 129484, VIT: 26158, SPD: 24, LUK: 1, Attack: 219393, Defense: 115936, Current HP: 93873, A Avg: 235847, D Avg: 115936, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 330, 803]]
Rank 39501: 485 - [10969, 6594, 736] - HP: 2040, STR: 153638, VIT: 77048, SPD: 24, LUK: 1, Attack: 245824, Defense: 164473, Current HP: 2040, A Avg: 258115, D Avg: 164473, [Big Bang[171, 230, 230, 230], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 330, 330, 330]]
Rank 39507: 1907 - [11018, 6453, 828] - HP: 94888, STR: 128038, VIT: 28014, SPD: 24, LUK: 1, Attack: 220224, Defense: 114802, Current HP: 94888, A Avg: 236740, D Avg: 114802, [Big Bang[171, 130, 130, 230], Golem Shield[245, 230, 230, 230], Gold Ring[303, 230, 330, 803]]
Rank 39508: 107 - [12394, 2326, 3579] - HP: 234088, STR: 102438, VIT: 814, SPD: 24, LUK: 1, Attack: 194624, Defense: 87602, Current HP: 234088, A Avg: 204355, D Avg: 87602, [Big Bang[171, 130, 130, 130], Golem Shield[245, 130, 130, 230], Gold Ring[303, 230, 230, 230]]
Rank 39515: 1475 - [11439, 5198, 1662] - HP: 146040, STR: 128038, VIT: 248, SPD: 24, LUK: 1, Attack: 220224, Defense: 87673, Current HP: 146040, A Avg: 275280, D Avg: 87673, [Big Bang[171, 130, 130, 130], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 230, 230, 68]]
Rank 39519: 338 - [10730, 7329, 240] - HP: 61522, STR: 52700, VIT: 128566, SPD: 24, LUK: 2, Attack: 142609, Defense: 218344, Current HP: 61522, A Avg: 149739, D Avg: 218344, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 330, 330], Tears of the Dragon[307, 330, 330, 330]]
Rank 39519: 2921 - [10969, 6612, 718] - HP: 912, STR: 152064, VIT: 77302, SPD: 24, LUK: 2, Attack: 244250, Defense: 167080, Current HP: 912, A Avg: 262568, D Avg: 167080, [Big Bang[171, 230, 230, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 39535: 2356 - [11003, 6526, 770] - HP: 47473, STR: 129484, VIT: 51758, SPD: 24, LUK: 1, Attack: 219393, Defense: 141536, Current HP: 47473, A Avg: 230362, D Avg: 141536, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 66]]
Rank 39535: 2406 - [11003, 6526, 770] - HP: 47473, STR: 129484, VIT: 51758, SPD: 24, LUK: 1, Attack: 219393, Defense: 141536, Current HP: 47473, A Avg: 230362, D Avg: 141536, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 807]]
Rank 39547: 119 - [12177, 3016, 3106] - HP: 233943, STR: 83347, VIT: 26366, SPD: 24, LUK: 1, Attack: 173256, Defense: 113934, Current HP: 233943, A Avg: 181918, D Avg: 113934, [Spectral Sword Shigure[172, 130, 130, 130], Storm Wall[242, 130, 130, 230], Gold Ring[303, 230, 230, 330]]
Rank 39552: 1174 - [12104, 3240, 2955] - HP: 186963, STR: 110013, VIT: 46, SPD: 24, LUK: 1, Attack: 202199, Defense: 87874, Current HP: 186963, A Avg: 252748, D Avg: 87874, [Big Bang[171, 130, 130, 130], Black Sword Breath[252, 130, 230, 230], Gold Ring[303, 230, 230, 68]]
Rank 39552: 1993 - [10909, 6825, 565] - HP: 62282, STR: 96268, VIT: 77510, SPD: 24, LUK: 2, Attack: 188454, Defense: 165078, Current HP: 62282, A Avg: 197876, D Avg: 165078, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 39552: 2043 - [10909, 6825, 565] - HP: 62282, STR: 96268, VIT: 77510, SPD: 24, LUK: 2, Attack: 188454, Defense: 165078, Current HP: 62282, A Avg: 197876, D Avg: 165078, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 39553: 2023 - [10909, 6826, 564] - HP: 62282, STR: 96268, VIT: 77510, SPD: 24, LUK: 2, Attack: 188454, Defense: 165078, Current HP: 62282, A Avg: 202588, D Avg: 165078, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 39569: 5792 - [11399, 5372, 1528] - HP: 95033, STR: 109010, VIT: 26302, SPD: 24, LUK: 1, Attack: 201196, Defense: 113870, Current HP: 95033, A Avg: 211255, D Avg: 159418, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 806, 807]]
Rank 39590: 1465 - [11475, 5165, 1659] - HP: 146040, STR: 128038, VIT: 248, SPD: 24, LUK: 1, Attack: 220224, Defense: 87673, Current HP: 146040, A Avg: 277482, D Avg: 87673, [Big Bang[171, 130, 130, 130], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 230, 230, 67]]
Rank 39594: 1476 - [11447, 5253, 1599] - HP: 140273, STR: 129484, VIT: 558, SPD: 24, LUK: 1, Attack: 219393, Defense: 90336, Current HP: 140273, A Avg: 274241, D Avg: 90336, [Spectral Sword Shigure[172, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 230, 68]]
Rank 39606: 1162 - [12136, 3198, 2965] - HP: 187833, STR: 109010, VIT: 702, SPD: 24, LUK: 1, Attack: 201196, Defense: 88270, Current HP: 187833, A Avg: 253506, D Avg: 88270, [Big Bang[171, 130, 130, 130], Storm Wall[242, 130, 230, 230], Gold Ring[303, 230, 230, 67]]
Rank 39614: 2097 - [10864, 7022, 413] - HP: 94888, STR: 51238, VIT: 109614, SPD: 24, LUK: 1, Attack: 143424, Defense: 196402, Current HP: 94888, A Avg: 150595, D Avg: 235682, [Big Bang[171, 130, 130, 230], Golem Shield[245, 230, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 39616: 2350 - [11029, 6529, 741] - HP: 47763, STR: 128038, VIT: 51694, SPD: 24, LUK: 1, Attack: 220224, Defense: 141472, Current HP: 47763, A Avg: 231235, D Avg: 141472, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 66]]
Rank 39616: 2400 - [11029, 6529, 741] - HP: 47763, STR: 128038, VIT: 51694, SPD: 24, LUK: 1, Attack: 220224, Defense: 141472, Current HP: 47763, A Avg: 231235, D Avg: 141472, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 807]]
Rank 39627: 256 - [10976, 6699, 624] - HP: 140273, STR: 52684, VIT: 102958, SPD: 24, LUK: 1, Attack: 142593, Defense: 192736, Current HP: 140273, A Avg: 149722, D Avg: 192736, [Spectral Sword Shigure[172, 130, 130, 130], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 330]]
Rank 39627: 1540 - [11533, 5028, 1738] - HP: 140563, STR: 102438, VIT: 26094, SPD: 24, LUK: 1, Attack: 194624, Defense: 115872, Current HP: 140563, A Avg: 209220, D Avg: 115872, [Big Bang[171, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 330, 803]]
Rank 39635: 255 - [10981, 6692, 626] - HP: 146040, STR: 51238, VIT: 102648, SPD: 24, LUK: 1, Attack: 143424, Defense: 190073, Current HP: 146040, A Avg: 150595, D Avg: 190073, [Big Bang[171, 130, 130, 130], Cloud Shield[241, 230, 230, 330], Gold Ring[303, 330, 330, 330]]
Rank 39636: 2547 - [10727, 7455, 117] - HP: 48488, STR: 51238, VIT: 136814, SPD: 24, LUK: 1, Attack: 143424, Defense: 223602, Current HP: 48488, A Avg: 180714, D Avg: 223602, [Big Bang[171, 130, 230, 230], Golem Shield[245, 330, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 39636: 2557 - [10727, 7455, 117] - HP: 48488, STR: 51238, VIT: 136814, SPD: 24, LUK: 1, Attack: 143424, Defense: 223602, Current HP: 48488, A Avg: 179280, D Avg: 223602, [Big Bang[171, 130, 230, 230], Golem Shield[245, 330, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 39638: 1466 - [11468, 5234, 1597] - HP: 140273, STR: 129484, VIT: 558, SPD: 24, LUK: 1, Attack: 219393, Defense: 90336, Current HP: 140273, A Avg: 276435, D Avg: 90336, [Spectral Sword Shigure[172, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 230, 67]]
Rank 39652: 1951 - [10958, 6778, 563] - HP: 61712, STR: 121664, VIT: 51702, SPD: 24, LUK: 2, Attack: 213850, Defense: 141480, Current HP: 61712, A Avg: 267312, D Avg: 141480, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 330, 330, 68]]
Rank 39653: 112 - [12219, 2996, 3084] - HP: 234233, STR: 81810, VIT: 26302, SPD: 24, LUK: 1, Attack: 173996, Defense: 113870, Current HP: 234233, A Avg: 182695, D Avg: 113870, [Big Bang[171, 130, 130, 130], Storm Wall[242, 130, 130, 230], Gold Ring[303, 230, 230, 330]]
Rank 39664: 2385 - [11006, 6646, 647] - HP: 50040, STR: 128038, VIT: 51448, SPD: 24, LUK: 1, Attack: 220224, Defense: 138873, Current HP: 50040, A Avg: 236740, D Avg: 138873, [Big Bang[171, 130, 230, 230], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 330, 330, 803]]
Rank 39680: 2386 - [11035, 6575, 689] - HP: 47473, STR: 129484, VIT: 51758, SPD: 24, LUK: 1, Attack: 219393, Defense: 141536, Current HP: 47473, A Avg: 235847, D Avg: 141536, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 803]]
Rank 39689: 1190 - [12397, 2498, 3404] - HP: 186963, STR: 102438, VIT: 494, SPD: 24, LUK: 1, Attack: 194624, Defense: 90272, Current HP: 186963, A Avg: 204355, D Avg: 108326, [Big Bang[171, 130, 130, 130], Blank Shield[244, 130, 230, 230], Gold Ring[303, 230, 230, 806]]
Rank 39692: 1941 - [10973, 6773, 553] - HP: 61712, STR: 121664, VIT: 51702, SPD: 24, LUK: 2, Attack: 213850, Defense: 141480, Current HP: 61712, A Avg: 269451, D Avg: 141480, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 330, 330, 67]]
Rank 39723: 1470 - [11498, 5229, 1572] - HP: 140563, STR: 128038, VIT: 494, SPD: 24, LUK: 1, Attack: 220224, Defense: 90272, Current HP: 140563, A Avg: 275280, D Avg: 90272, [Big Bang[171, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 230, 68]]
Rank 39743: 2357 - [11079, 6506, 714] - HP: 48488, STR: 128038, VIT: 55214, SPD: 24, LUK: 1, Attack: 220224, Defense: 142002, Current HP: 48488, A Avg: 231235, D Avg: 142002, [Big Bang[171, 130, 230, 230], Golem Shield[245, 230, 230, 230], Gold Ring[303, 330, 330, 66]]
Rank 39743: 2407 - [11079, 6506, 714] - HP: 48488, STR: 128038, VIT: 55214, SPD: 24, LUK: 1, Attack: 220224, Defense: 142002, Current HP: 48488, A Avg: 231235, D Avg: 142002, [Big Bang[171, 130, 230, 230], Golem Shield[245, 230, 230, 230], Gold Ring[303, 330, 330, 807]]
Rank 39746: 2418 - [11158, 6272, 869] - HP: 31122, STR: 103900, VIT: 77366, SPD: 24, LUK: 2, Attack: 193809, Defense: 167144, Current HP: 31122, A Avg: 203499, D Avg: 167144, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 39746: 2468 - [11158, 6272, 869] - HP: 31122, STR: 103900, VIT: 77366, SPD: 24, LUK: 2, Attack: 193809, Defense: 167144, Current HP: 31122, A Avg: 203499, D Avg: 167144, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 39760: 1164 - [12200, 3160, 2939] - HP: 186963, STR: 110013, VIT: 46, SPD: 24, LUK: 1, Attack: 202199, Defense: 87874, Current HP: 186963, A Avg: 254770, D Avg: 87874, [Big Bang[171, 130, 130, 130], Black Sword Breath[252, 130, 230, 230], Gold Ring[303, 230, 230, 67]]
Rank 39770: 480 - [11078, 6536, 685] - HP: 1363, STR: 153638, VIT: 77294, SPD: 24, LUK: 1, Attack: 245824, Defense: 167072, Current HP: 1363, A Avg: 258115, D Avg: 167072, [Big Bang[171, 230, 230, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 330]]
Rank 39785: 1460 - [11528, 5201, 1570] - HP: 140563, STR: 128038, VIT: 494, SPD: 24, LUK: 1, Attack: 220224, Defense: 90272, Current HP: 140563, A Avg: 277482, D Avg: 90272, [Big Bang[171, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 230, 67]]
Rank 39792: 2577 - [10815, 7347, 137] - HP: 48488, STR: 51238, VIT: 136814, SPD: 24, LUK: 1, Attack: 143424, Defense: 223602, Current HP: 48488, A Avg: 150595, D Avg: 268322, [Big Bang[171, 130, 230, 230], Golem Shield[245, 330, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 39802: 114 - [12254, 3040, 3005] - HP: 233363, STR: 82813, VIT: 25646, SPD: 24, LUK: 1, Attack: 174999, Defense: 113474, Current HP: 233363, A Avg: 183748, D Avg: 113474, [Big Bang[171, 130, 130, 130], Black Sword Breath[252, 130, 130, 230], Gold Ring[303, 230, 230, 330]]
Rank 39802: 1579 - [11531, 5209, 1559] - HP: 141143, STR: 83347, VIT: 51966, SPD: 24, LUK: 1, Attack: 173256, Defense: 139534, Current HP: 141143, A Avg: 181918, D Avg: 139534, [Spectral Sword Shigure[172, 130, 130, 130], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 66]]
Rank 39802: 1629 - [11531, 5209, 1559] - HP: 141143, STR: 83347, VIT: 51966, SPD: 24, LUK: 1, Attack: 173256, Defense: 139534, Current HP: 141143, A Avg: 181918, D Avg: 139534, [Spectral Sword Shigure[172, 130, 130, 130], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 807]]
Rank 39805: 1595 - [11643, 4876, 1780] - HP: 146040, STR: 76838, VIT: 51448, SPD: 24, LUK: 1, Attack: 169024, Defense: 138873, Current HP: 146040, A Avg: 211280, D Avg: 138873, [Big Bang[171, 130, 130, 130], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 330, 330, 68]]
Rank 39807: 2011 - [11026, 6729, 544] - HP: 61712, STR: 91264, VIT: 77302, SPD: 24, LUK: 2, Attack: 183450, Defense: 167080, Current HP: 61712, A Avg: 229312, D Avg: 167080, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 39811: 1900 - [11155, 6346, 798] - HP: 94163, STR: 128038, VIT: 26094, SPD: 24, LUK: 1, Attack: 220224, Defense: 115872, Current HP: 94163, A Avg: 236740, D Avg: 115872, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 330, 803]]
Rank 39827: 2001 - [11035, 6722, 542] - HP: 61712, STR: 91264, VIT: 77302, SPD: 24, LUK: 2, Attack: 183450, Defense: 167080, Current HP: 61712, A Avg: 231147, D Avg: 167080, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 67]]
Rank 39827: 2448 - [11173, 6308, 818] - HP: 31122, STR: 103900, VIT: 77366, SPD: 24, LUK: 2, Attack: 193809, Defense: 167144, Current HP: 31122, A Avg: 208344, D Avg: 167144, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 39847: 250 - [11054, 6685, 560] - HP: 140563, STR: 51238, VIT: 102894, SPD: 24, LUK: 1, Attack: 143424, Defense: 192672, Current HP: 140563, A Avg: 150595, D Avg: 192672, [Big Bang[171, 130, 130, 130], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 330]]
Rank 39854: 1585 - [11665, 4859, 1775] - HP: 146040, STR: 76838, VIT: 51448, SPD: 24, LUK: 1, Attack: 169024, Defense: 138873, Current HP: 146040, A Avg: 212970, D Avg: 138873, [Big Bang[171, 130, 130, 130], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 330, 330, 67]]
Rank 39860: 333 - [10853, 7301, 145] - HP: 62282, STR: 64268, VIT: 128710, SPD: 24, LUK: 2, Attack: 156454, Defense: 216278, Current HP: 62282, A Avg: 164276, D Avg: 216278, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 330, 330], Tears of the Dragon[307, 330, 330, 330]]
Rank 39864: 2380 - [11089, 6597, 613] - HP: 47763, STR: 128038, VIT: 51694, SPD: 24, LUK: 1, Attack: 220224, Defense: 141472, Current HP: 47763, A Avg: 236740, D Avg: 141472, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 803]]
Rank 39865: 331 - [10862, 7279, 158] - HP: 61712, STR: 60864, VIT: 128502, SPD: 24, LUK: 2, Attack: 153050, Defense: 218280, Current HP: 61712, A Avg: 160702, D Avg: 218280, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 330, 330], Tears of the Dragon[307, 330, 330, 330]]
Rank 39865: 2478 - [11079, 6628, 592] - HP: 31122, STR: 78300, VIT: 102966, SPD: 24, LUK: 2, Attack: 168209, Defense: 192744, Current HP: 31122, A Avg: 176619, D Avg: 192744, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 330, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 39865: 2528 - [11079, 6628, 592] - HP: 31122, STR: 78300, VIT: 102966, SPD: 24, LUK: 2, Attack: 168209, Defense: 192744, Current HP: 31122, A Avg: 176619, D Avg: 192744, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 330, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 39871: 2893 - [11040, 6751, 508] - HP: 1482, STR: 160268, VIT: 77510, SPD: 24, LUK: 2, Attack: 252454, Defense: 165078, Current HP: 1482, A Avg: 265076, D Avg: 165078, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 39871: 2933 - [11040, 6751, 508] - HP: 1482, STR: 160268, VIT: 77510, SPD: 24, LUK: 2, Attack: 252454, Defense: 165078, Current HP: 1482, A Avg: 265076, D Avg: 198093, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 330, 806]]
Rank 39871: 2943 - [11040, 6751, 508] - HP: 1482, STR: 160268, VIT: 77510, SPD: 24, LUK: 2, Attack: 252454, Defense: 165078, Current HP: 1482, A Avg: 265076, D Avg: 165078, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 39874: 1609 - [11563, 5185, 1551] - HP: 141143, STR: 83347, VIT: 51966, SPD: 24, LUK: 1, Attack: 173256, Defense: 139534, Current HP: 141143, A Avg: 186250, D Avg: 139534, [Spectral Sword Shigure[172, 130, 130, 130], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 330, 803]]
Rank 39884: 2013 - [11042, 6758, 499] - HP: 62282, STR: 96268, VIT: 77510, SPD: 24, LUK: 2, Attack: 188454, Defense: 165078, Current HP: 62282, A Avg: 235567, D Avg: 165078, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 39887: 2508 - [11082, 6641, 576] - HP: 31122, STR: 78300, VIT: 102966, SPD: 24, LUK: 2, Attack: 168209, Defense: 192744, Current HP: 31122, A Avg: 180824, D Avg: 192744, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 330, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 39892: 2923 - [11040, 6772, 487] - HP: 1482, STR: 160268, VIT: 77510, SPD: 24, LUK: 2, Attack: 252454, Defense: 165078, Current HP: 1482, A Avg: 271388, D Avg: 165078, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 330, 803]]
