Rank 1000: HP: 1585, STR: 8061, VIT: 1469, SPD: 72, LUK: 1, Attack: 140908, Defense: 86697, Current HP: 1585, A Avg: 1173763, D Avg: 121375, [Blue Sword[180, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 766: HP: 1729, STR: 6642, VIT: 698, SPD: 68, LUK: 1, Attack: 141455, Defense: 84834, Current HP: 1729, A Avg: 1178320, D Avg: 118767, [Neural Edge[190, 0, 0, 0], Magnum[237, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 765: HP: 3240, STR: 2120, VIT: 1520, SPD: 76, LUK: 1, Attack: 141460, Defense: 87632, Current HP: 3240, A Avg: 1178361, D Avg: 122684, [Big Bang[171, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 764: HP: 1077, STR: 6649, VIT: 305, SPD: 63, LUK: 1, Attack: 141465, Defense: 84311, Current HP: 1077, A Avg: 1178403, D Avg: 118035, [Neural Edge[190, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 763: HP: 1172, STR: 6649, VIT: 487, SPD: 63, LUK: 1, Attack: 141465, Defense: 84493, Current HP: 1172, A Avg: 1178403, D Avg: 118290, [Neural Edge[190, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 762: HP: 1172, STR: 6649, VIT: 325, SPD: 63, LUK: 1, Attack: 141465, Defense: 84331, Current HP: 1172, A Avg: 1178403, D Avg: 118063, [Neural Edge[190, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 761: HP: 2536, STR: 2124, VIT: 1083, SPD: 76, LUK: 1, Attack: 141466, Defense: 84972, Current HP: 2536, A Avg: 1178411, D Avg: 118960, [Big Bang[171, 0, 0, 0], Small Lion[219, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 760: HP: 860, STR: 6652, VIT: 311, SPD: 68, LUK: 1, Attack: 141470, Defense: 84174, Current HP: 860, A Avg: 1178445, D Avg: 117843, [Neural Edge[190, 0, 0, 0], Small Sword[218, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 759: HP: 5985, STR: 6432, VIT: 2529, SPD: 76, LUK: 1, Attack: 141471, Defense: 86717, Current HP: 5985, A Avg: 1178453, D Avg: 121403, [Wild Card[175, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 758: HP: 1178, STR: 4405, VIT: 184, SPD: 68, LUK: 2, Attack: 141471, Defense: 84528, Current HP: 1178, A Avg: 1178453, D Avg: 118339, [Spectral Sword Shigure[172, 0, 0, 0], V Magnum[238, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 757: HP: 1368, STR: 2128, VIT: 122, SPD: 63, LUK: 1, Attack: 141472, Defense: 84310, Current HP: 1368, A Avg: 1178461, D Avg: 118033, [Big Bang[171, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 756: HP: 1463, STR: 2128, VIT: 305, SPD: 63, LUK: 1, Attack: 141472, Defense: 84493, Current HP: 1463, A Avg: 1178461, D Avg: 118290, [Big Bang[171, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 755: HP: 1463, STR: 2128, VIT: 143, SPD: 63, LUK: 1, Attack: 141472, Defense: 84331, Current HP: 1463, A Avg: 1178461, D Avg: 118063, [Big Bang[171, 0, 0, 0], Dragon Sword[225, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 754: HP: 1133, STR: 9387, VIT: 377, SPD: 72, LUK: 1, Attack: 141474, Defense: 88205, Current HP: 1133, A Avg: 1178478, D Avg: 123486, [Jack Knife[185, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 753: HP: 2015, STR: 4408, VIT: 195, SPD: 63, LUK: 1, Attack: 141475, Defense: 84383, Current HP: 2015, A Avg: 1178486, D Avg: 118136, [Spectral Sword Shigure[172, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 752: HP: 1496, STR: 4408, VIT: 184, SPD: 63, LUK: 2, Attack: 141475, Defense: 84372, Current HP: 1496, A Avg: 1178486, D Avg: 118120, [Spectral Sword Shigure[172, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 751: HP: 1577, STR: 4409, VIT: 965, SPD: 103, LUK: 1, Attack: 141477, Defense: 85959, Current HP: 1577, A Avg: 1178503, D Avg: 120342, [Spectral Sword Shigure[172, 0, 0, 0], Metalization[228, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 750: HP: 5624, STR: 8508, VIT: 1442, SPD: 76, LUK: 1, Attack: 141481, Defense: 85630, Current HP: 5624, A Avg: 1178536, D Avg: 119881, [Spear of Regression[182, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 749: HP: 1121, STR: 8449, VIT: 952, SPD: 63, LUK: 1, Attack: 141490, Defense: 88780, Current HP: 1121, A Avg: 1178611, D Avg: 124291, [God Hand[179, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 748: HP: 2696, STR: 4422, VIT: 1552, SPD: 63, LUK: 1, Attack: 141496, Defense: 87170, Current HP: 2696, A Avg: 1178661, D Avg: 122037, [Spectral Sword Shigure[172, 0, 0, 0], Mask of the Grim Reaper[214, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 747: HP: 5244, STR: 6452, VIT: 1720, SPD: 68, LUK: 2, Attack: 141501, Defense: 86064, Current HP: 5244, A Avg: 1178703, D Avg: 120489, [Wild Card[175, 0, 0, 0], V Magnum[238, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 746: HP: 2405, STR: 4425, VIT: 1905, SPD: 63, LUK: 1, Attack: 141501, Defense: 86743, Current HP: 2405, A Avg: 1178703, D Avg: 121440, [Spectral Sword Shigure[172, 0, 0, 0], Bulletproof Shield[235, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 745: HP: 2489, STR: 2151, VIT: 1705, SPD: 76, LUK: 1, Attack: 141506, Defense: 86699, Current HP: 2489, A Avg: 1178744, D Avg: 121378, [Big Bang[171, 0, 0, 0], Metalization[228, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 744: HP: 1947, STR: 8460, VIT: 1906, SPD: 76, LUK: 1, Attack: 141507, Defense: 87134, Current HP: 1947, A Avg: 1178753, D Avg: 121987, [Blue Sword[180, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 743: HP: 4978, STR: 8528, VIT: 836, SPD: 68, LUK: 1, Attack: 141511, Defense: 85180, Current HP: 4978, A Avg: 1178786, D Avg: 119251, [Spear of Regression[182, 0, 0, 0], V Magnum[238, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 742: HP: 1235, STR: 4442, VIT: 226, SPD: 108, LUK: 1, Attack: 141526, Defense: 84362, Current HP: 1235, A Avg: 1178911, D Avg: 118106, [Spectral Sword Shigure[172, 0, 0, 0], Magnum[237, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 741: HP: 2308, STR: 2171, VIT: 150, SPD: 68, LUK: 1, Attack: 141536, Defense: 86938, Current HP: 2308, A Avg: 1178994, D Avg: 121713, [Big Bang[171, 0, 0, 0], C Magnum[239, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 740: HP: 3509, STR: 2171, VIT: 112, SPD: 68, LUK: 1, Attack: 141536, Defense: 86900, Current HP: 3509, A Avg: 1178994, D Avg: 121659, [Big Bang[171, 0, 0, 0], C Magnum[239, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 739: HP: 2337, STR: 2171, VIT: 112, SPD: 120, LUK: 1, Attack: 141536, Defense: 86900, Current HP: 2337, A Avg: 1178994, D Avg: 121659, [Big Bang[171, 0, 0, 0], C Magnum[239, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 738: HP: 2318, STR: 2171, VIT: 122, SPD: 108, LUK: 1, Attack: 141536, Defense: 86910, Current HP: 2318, A Avg: 1178994, D Avg: 121673, [Big Bang[171, 0, 0, 0], C Magnum[239, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 737: HP: 2882, STR: 2171, VIT: 181, SPD: 68, LUK: 1, Attack: 141536, Defense: 86969, Current HP: 2882, A Avg: 1178994, D Avg: 121756, [Big Bang[171, 0, 0, 0], C Magnum[239, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 736: HP: 2356, STR: 2171, VIT: 143, SPD: 108, LUK: 1, Attack: 141536, Defense: 86931, Current HP: 2356, A Avg: 1178994, D Avg: 121703, [Big Bang[171, 0, 0, 0], C Magnum[239, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 735: HP: 1474, STR: 4450, VIT: 424, SPD: 63, LUK: 1, Attack: 141538, Defense: 84612, Current HP: 1474, A Avg: 1179011, D Avg: 118456, [Spectral Sword Shigure[172, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 734: HP: 2574, STR: 4452, VIT: 1362, SPD: 63, LUK: 1, Attack: 141541, Defense: 86226, Current HP: 2574, A Avg: 1179036, D Avg: 120716, [Spectral Sword Shigure[172, 0, 0, 0], Dragon's Head[217, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 733: HP: 2498, STR: 4452, VIT: 1451, SPD: 68, LUK: 1, Attack: 141541, Defense: 85873, Current HP: 2498, A Avg: 1179036, D Avg: 120222, [Spectral Sword Shigure[172, 0, 0, 0], Superconducting Barrier[220, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 732: HP: 5814, STR: 8549, VIT: 632, SPD: 68, LUK: 1, Attack: 141543, Defense: 87420, Current HP: 5814, A Avg: 1179053, D Avg: 122387, [Spear of Regression[182, 0, 0, 0], C Magnum[239, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 731: HP: 1786, STR: 6705, VIT: 143, SPD: 108, LUK: 1, Attack: 141549, Defense: 86931, Current HP: 1786, A Avg: 1179103, D Avg: 121703, [Neural Edge[190, 0, 0, 0], C Magnum[239, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 730: HP: 2299, STR: 2181, VIT: 181, SPD: 68, LUK: 1, Attack: 141551, Defense: 86969, Current HP: 2299, A Avg: 1179119, D Avg: 121756, [Big Bang[171, 0, 0, 0], C Magnum[239, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 729: HP: 3654, STR: 2181, VIT: 132, SPD: 68, LUK: 1, Attack: 141551, Defense: 86920, Current HP: 3654, A Avg: 1179119, D Avg: 121687, [Big Bang[171, 0, 0, 0], C Magnum[239, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 728: HP: 836, STR: 6209, VIT: 196, SPD: 63, LUK: 1, Attack: 141564, Defense: 88024, Current HP: 836, A Avg: 1179228, D Avg: 123233, [Basic[169, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 727: HP: 1178, STR: 4470, VIT: 377, SPD: 68, LUK: 1, Attack: 141568, Defense: 84402, Current HP: 1178, A Avg: 1179261, D Avg: 118162, [Spectral Sword Shigure[172, 0, 0, 0], Conductive Barrier[208, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 726: HP: 1273, STR: 4470, VIT: 560, SPD: 68, LUK: 1, Attack: 141568, Defense: 84585, Current HP: 1273, A Avg: 1179261, D Avg: 118418, [Spectral Sword Shigure[172, 0, 0, 0], Conductive Barrier[208, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 725: HP: 1273, STR: 4470, VIT: 398, SPD: 68, LUK: 1, Attack: 141568, Defense: 84423, Current HP: 1273, A Avg: 1179261, D Avg: 118192, [Spectral Sword Shigure[172, 0, 0, 0], Conductive Barrier[208, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 724: HP: 5263, STR: 6497, VIT: 1740, SPD: 63, LUK: 2, Attack: 141569, Defense: 89568, Current HP: 5263, A Avg: 1179269, D Avg: 125395, [Wild Card[175, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 723: HP: 1197, STR: 4473, VIT: 377, SPD: 63, LUK: 1, Attack: 141573, Defense: 84383, Current HP: 1197, A Avg: 1179303, D Avg: 118136, [Spectral Sword Shigure[172, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 722: HP: 1292, STR: 4473, VIT: 560, SPD: 63, LUK: 1, Attack: 141573, Defense: 84566, Current HP: 1292, A Avg: 1179303, D Avg: 118392, [Spectral Sword Shigure[172, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 721: HP: 1292, STR: 4473, VIT: 398, SPD: 63, LUK: 1, Attack: 141573, Defense: 84404, Current HP: 1292, A Avg: 1179303, D Avg: 118165, [Spectral Sword Shigure[172, 0, 0, 0], Wings of Beast[210, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 720: HP: 1178, STR: 4473, VIT: 4251, SPD: 63, LUK: 1, Attack: 141573, Defense: 89921, Current HP: 1178, A Avg: 1179303, D Avg: 125889, [Spectral Sword Shigure[172, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 719: HP: 1273, STR: 4473, VIT: 4434, SPD: 63, LUK: 1, Attack: 141573, Defense: 90104, Current HP: 1273, A Avg: 1179303, D Avg: 126145, [Spectral Sword Shigure[172, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 718: HP: 1273, STR: 4473, VIT: 4272, SPD: 63, LUK: 1, Attack: 141573, Defense: 89942, Current HP: 1273, A Avg: 1179303, D Avg: 125918, [Spectral Sword Shigure[172, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 717: HP: 2388, STR: 2201, VIT: 1093, SPD: 76, LUK: 1, Attack: 141581, Defense: 85099, Current HP: 2388, A Avg: 1179369, D Avg: 119138, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 716: HP: 880, STR: 6729, VIT: 789, SPD: 68, LUK: 1, Attack: 141585, Defense: 85380, Current HP: 880, A Avg: 1179403, D Avg: 119531, [Neural Edge[190, 0, 0, 0], Black Hole[229, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 715: HP: 1270, STR: 6729, VIT: 874, SPD: 68, LUK: 1, Attack: 141585, Defense: 87792, Current HP: 1270, A Avg: 1179403, D Avg: 122908, [Neural Edge[190, 0, 0, 0], White Hole[230, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 714: HP: 1643, STR: 4485, VIT: 482, SPD: 63, LUK: 1, Attack: 141591, Defense: 84722, Current HP: 1643, A Avg: 1179453, D Avg: 118610, [Spectral Sword Shigure[172, 0, 0, 0], Dragon's Wings[216, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 713: HP: 1738, STR: 4485, VIT: 674, SPD: 63, LUK: 1, Attack: 141591, Defense: 84914, Current HP: 1738, A Avg: 1179453, D Avg: 118879, [Spectral Sword Shigure[172, 0, 0, 0], Dragon's Wings[216, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 712: HP: 1738, STR: 4485, VIT: 504, SPD: 63, LUK: 1, Attack: 141591, Defense: 84744, Current HP: 1738, A Avg: 1179453, D Avg: 118641, [Spectral Sword Shigure[172, 0, 0, 0], Dragon's Wings[216, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 711: HP: 817, STR: 6734, VIT: 122, SPD: 103, LUK: 1, Attack: 141593, Defense: 84310, Current HP: 817, A Avg: 1179469, D Avg: 118033, [Neural Edge[190, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 710: HP: 1624, STR: 4488, VIT: 377, SPD: 103, LUK: 1, Attack: 141595, Defense: 84266, Current HP: 1624, A Avg: 1179486, D Avg: 117972, [Spectral Sword Shigure[172, 0, 0, 0], Small Lion[219, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 709: HP: 2295, STR: 4494, VIT: 1076, SPD: 63, LUK: 1, Attack: 141604, Defense: 85576, Current HP: 2295, A Avg: 1179561, D Avg: 119806, [Spectral Sword Shigure[172, 0, 0, 0], Hard Wings of Beast[222, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 708: HP: 1539, STR: 7356, VIT: 910, SPD: 76, LUK: 1, Attack: 141611, Defense: 88738, Current HP: 1539, A Avg: 1179619, D Avg: 124233, [Tekken[188, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 707: HP: 1385, STR: 8537, VIT: 1264, SPD: 72, LUK: 1, Attack: 141622, Defense: 89092, Current HP: 1385, A Avg: 1179711, D Avg: 124728, [God Hand[179, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 706: HP: 6175, STR: 6537, VIT: 1720, SPD: 68, LUK: 1, Attack: 141629, Defense: 88508, Current HP: 6175, A Avg: 1179769, D Avg: 123911, [Wild Card[175, 0, 0, 0], C Magnum[239, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 705: HP: 3903, STR: 2234, VIT: 112, SPD: 68, LUK: 1, Attack: 141631, Defense: 86900, Current HP: 3903, A Avg: 1179786, D Avg: 121659, [Big Bang[171, 0, 0, 0], C Magnum[239, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 704: HP: 2794, STR: 2234, VIT: 101, SPD: 68, LUK: 2, Attack: 141631, Defense: 86889, Current HP: 2794, A Avg: 1179786, D Avg: 121644, [Big Bang[171, 0, 0, 0], C Magnum[239, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 703: HP: 1953, STR: 6764, VIT: 854, SPD: 68, LUK: 1, Attack: 141638, Defense: 86966, Current HP: 1953, A Avg: 1179844, D Avg: 121752, [Neural Edge[190, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 702: HP: 3359, STR: 6600, VIT: 3815, SPD: 72, LUK: 1, Attack: 141642, Defense: 91643, Current HP: 3359, A Avg: 1179877, D Avg: 128300, [Stargazer[183, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 701: HP: 1795, STR: 2247, VIT: 471, SPD: 63, LUK: 2, Attack: 141650, Defense: 85699, Current HP: 1795, A Avg: 1179944, D Avg: 119978, [Big Bang[171, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 700: HP: 2173, STR: 2253, VIT: 907, SPD: 72, LUK: 1, Attack: 141659, Defense: 86135, Current HP: 2173, A Avg: 1180019, D Avg: 120588, [Big Bang[171, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 699: HP: 2574, STR: 4533, VIT: 2028, SPD: 63, LUK: 1, Attack: 141663, Defense: 88829, Current HP: 2574, A Avg: 1180052, D Avg: 124360, [Spectral Sword Shigure[172, 0, 0, 0], Riot[236, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 698: HP: 5244, STR: 6566, VIT: 1720, SPD: 63, LUK: 2, Attack: 141672, Defense: 85908, Current HP: 5244, A Avg: 1180127, D Avg: 120271, [Wild Card[175, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 697: HP: 3591, STR: 6624, VIT: 3102, SPD: 80, LUK: 1, Attack: 141678, Defense: 87446, Current HP: 3591, A Avg: 1180177, D Avg: 122424, [Stargazer[183, 0, 0, 0], V Magnum[238, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 696: HP: 1240, STR: 6796, VIT: 1010, SPD: 68, LUK: 1, Attack: 141686, Defense: 86004, Current HP: 1240, A Avg: 1180244, D Avg: 120405, [Neural Edge[190, 0, 0, 0], Metalization[228, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 695: HP: 3781, STR: 6633, VIT: 2313, SPD: 68, LUK: 1, Attack: 141691, Defense: 89101, Current HP: 3781, A Avg: 1180286, D Avg: 124741, [Stargazer[183, 0, 0, 0], C Magnum[239, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 694: HP: 3876, STR: 6633, VIT: 2496, SPD: 68, LUK: 1, Attack: 141691, Defense: 89284, Current HP: 3876, A Avg: 1180286, D Avg: 124997, [Stargazer[183, 0, 0, 0], C Magnum[239, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 693: HP: 3876, STR: 6633, VIT: 2334, SPD: 68, LUK: 1, Attack: 141691, Defense: 89122, Current HP: 3876, A Avg: 1180286, D Avg: 124770, [Stargazer[183, 0, 0, 0], C Magnum[239, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 692: HP: 2772, STR: 2274, VIT: 301, SPD: 68, LUK: 1, Attack: 141691, Defense: 87089, Current HP: 2772, A Avg: 1180286, D Avg: 121924, [Big Bang[171, 0, 0, 0], C Magnum[239, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 691: HP: 1476, STR: 4555, VIT: 388, SPD: 103, LUK: 1, Attack: 141696, Defense: 84394, Current HP: 1476, A Avg: 1180327, D Avg: 118151, [Spectral Sword Shigure[172, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 690: HP: 1620, STR: 6816, VIT: 910, SPD: 76, LUK: 1, Attack: 141716, Defense: 84633, Current HP: 1620, A Avg: 1180494, D Avg: 118486, [Neural Edge[190, 0, 0, 0], Pot Lid[201, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 689: HP: 1620, STR: 6816, VIT: 910, SPD: 76, LUK: 1, Attack: 141716, Defense: 84643, Current HP: 1620, A Avg: 1180494, D Avg: 118500, [Neural Edge[190, 0, 0, 0], High Pot Lid[202, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 688: HP: 1539, STR: 6816, VIT: 965, SPD: 76, LUK: 1, Attack: 141716, Defense: 84834, Current HP: 1539, A Avg: 1180494, D Avg: 118767, [Neural Edge[190, 0, 0, 0], Wooden Shield[203, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 687: HP: 1539, STR: 6816, VIT: 972, SPD: 76, LUK: 1, Attack: 141716, Defense: 84776, Current HP: 1539, A Avg: 1180494, D Avg: 118686, [Neural Edge[190, 0, 0, 0], Iron Shield[204, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 686: HP: 1539, STR: 6816, VIT: 1039, SPD: 76, LUK: 1, Attack: 141716, Defense: 84902, Current HP: 1539, A Avg: 1180494, D Avg: 118862, [Neural Edge[190, 0, 0, 0], Titanium Shield[205, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 685: HP: 1539, STR: 6816, VIT: 1061, SPD: 76, LUK: 1, Attack: 141716, Defense: 84950, Current HP: 1539, A Avg: 1180494, D Avg: 118929, [Neural Edge[190, 0, 0, 0], Large iron Shield[206, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 684: HP: 1620, STR: 6816, VIT: 1083, SPD: 76, LUK: 1, Attack: 141716, Defense: 84959, Current HP: 1620, A Avg: 1180494, D Avg: 118942, [Neural Edge[190, 0, 0, 0], Magic Shield[207, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 683: HP: 1928, STR: 6816, VIT: 1209, SPD: 76, LUK: 1, Attack: 141716, Defense: 85046, Current HP: 1928, A Avg: 1180494, D Avg: 119064, [Neural Edge[190, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 682: HP: 1680, STR: 6816, VIT: 1002, SPD: 76, LUK: 1, Attack: 141716, Defense: 84774, Current HP: 1680, A Avg: 1180494, D Avg: 118683, [Neural Edge[190, 0, 0, 0], Clear Shield[211, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 681: HP: 1720, STR: 6816, VIT: 1083, SPD: 76, LUK: 1, Attack: 141716, Defense: 85102, Current HP: 1720, A Avg: 1180494, D Avg: 119142, [Neural Edge[190, 0, 0, 0], Prism Shield[212, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 680: HP: 1615, STR: 6816, VIT: 1050, SPD: 76, LUK: 1, Attack: 141716, Defense: 84978, Current HP: 1615, A Avg: 1180494, D Avg: 118969, [Neural Edge[190, 0, 0, 0], Tower Shield[213, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 679: HP: 2266, STR: 6816, VIT: 1336, SPD: 76, LUK: 1, Attack: 141716, Defense: 85898, Current HP: 2266, A Avg: 1180494, D Avg: 120257, [Neural Edge[190, 0, 0, 0], Slime Shield[221, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 678: HP: 2169, STR: 6816, VIT: 1039, SPD: 76, LUK: 1, Attack: 141716, Defense: 84967, Current HP: 2169, A Avg: 1180494, D Avg: 118953, [Neural Edge[190, 0, 0, 0], Hardwood Shield[223, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 677: HP: 1620, STR: 6816, VIT: 1788, SPD: 76, LUK: 1, Attack: 141716, Defense: 88576, Current HP: 1620, A Avg: 1180494, D Avg: 124006, [Neural Edge[190, 0, 0, 0], Energy Shield[227, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 676: HP: 3600, STR: 6816, VIT: 954, SPD: 76, LUK: 1, Attack: 141716, Defense: 86871, Current HP: 3600, A Avg: 1180494, D Avg: 121619, [Neural Edge[190, 0, 0, 0], Frying Pan[231, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 675: HP: 2484, STR: 6816, VIT: 1437, SPD: 76, LUK: 1, Attack: 141716, Defense: 86171, Current HP: 2484, A Avg: 1180494, D Avg: 120639, [Neural Edge[190, 0, 0, 0], Slafield[232, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 674: HP: 2150, STR: 6816, VIT: 1336, SPD: 76, LUK: 1, Attack: 141716, Defense: 86811, Current HP: 2150, A Avg: 1180494, D Avg: 121535, [Neural Edge[190, 0, 0, 0], Mist Shield[233, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 673: HP: 1729, STR: 6816, VIT: 1803, SPD: 76, LUK: 1, Attack: 141716, Defense: 86771, Current HP: 1729, A Avg: 1180494, D Avg: 121479, [Neural Edge[190, 0, 0, 0], Huge Shield[234, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 672: HP: 1653, STR: 6816, VIT: 1865, SPD: 76, LUK: 1, Attack: 141716, Defense: 88705, Current HP: 1653, A Avg: 1180494, D Avg: 124186, [Neural Edge[190, 0, 0, 0], Aurora Shield[240, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 671: HP: 2790, STR: 6816, VIT: 1639, SPD: 76, LUK: 1, Attack: 141716, Defense: 89064, Current HP: 2790, A Avg: 1180494, D Avg: 124689, [Neural Edge[190, 0, 0, 0], Cloud Shield[241, 0, 0, 0], Black Box[323, 0, 0, 0]]
