Rank 108413: 82335 - [387, 107252, 000] - HP: 650, STR: 267, VIT: 821, SPD: 27, LUK: 1, Attack: 132651, Defense: 90599, Current HP: 650, A Avg: 1104982, D Avg: 126838, [Basic[169, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 108417: 83535 - [389, 107250, 000] - HP: 779, STR: 508, VIT: 921, SPD: 28, LUK: 1, Attack: 128214, Defense: 90699, Current HP: 779, A Avg: 1068022, D Avg: 126978, [Cluster Bomb[170, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 108417: 84709 - [389, 107250, 000] - HP: 902, STR: 50, VIT: 934, SPD: 23, LUK: 1, Attack: 138355, Defense: 90712, Current HP: 902, A Avg: 1152497, D Avg: 126996, [Big Bang[171, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 108417: 84710 - [389, 107250, 000] - HP: 893, STR: 78, VIT: 934, SPD: 23, LUK: 1, Attack: 138397, Defense: 90712, Current HP: 893, A Avg: 1152847, D Avg: 126996, [Big Bang[171, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 108417: 84714 - [389, 107250, 000] - HP: 893, STR: 60, VIT: 965, SPD: 23, LUK: 1, Attack: 138370, Defense: 90743, Current HP: 893, A Avg: 1152622, D Avg: 127040, [Big Bang[171, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 108417: 84731 - [389, 107250, 000] - HP: 1159, STR: 508, VIT: 921, SPD: 28, LUK: 1, Attack: 139042, Defense: 90699, Current HP: 1159, A Avg: 1158219, D Avg: 126978, [Big Bang[171, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 108417: 85923 - [389, 107250, 000] - HP: 1028, STR: 3201, VIT: 878, SPD: 27, LUK: 1, Attack: 139665, Defense: 90656, Current HP: 1028, A Avg: 1163409, D Avg: 126918, [Spectral Sword Shigure[172, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 108417: 88308 - [389, 107250, 000] - HP: 2354, STR: 113, VIT: 630, SPD: 23, LUK: 2, Attack: 127750, Defense: 90408, Current HP: 2354, A Avg: 1064157, D Avg: 126571, [Common Key[174, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 108417: 88311 - [389, 107250, 000] - HP: 2020, STR: 268, VIT: 769, SPD: 25, LUK: 1, Attack: 127982, Defense: 90547, Current HP: 2020, A Avg: 1066090, D Avg: 126765, [Common Key[174, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 108417: 88312 - [389, 107250, 000] - HP: 2014, STR: 136, VIT: 730, SPD: 23, LUK: 1, Attack: 127784, Defense: 90508, Current HP: 2014, A Avg: 1064440, D Avg: 126711, [Common Key[174, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 108417: 91885 - [389, 107250, 000] - HP: 902, STR: 64, VIT: 934, SPD: 23, LUK: 1, Attack: 129459, Defense: 90712, Current HP: 902, A Avg: 1078393, D Avg: 126996, [Droid Hammer[177, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 108417: 91886 - [389, 107250, 000] - HP: 893, STR: 60, VIT: 934, SPD: 23, LUK: 1, Attack: 129453, Defense: 90712, Current HP: 893, A Avg: 1078343, D Avg: 126996, [Droid Hammer[177, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 108417: 91890 - [389, 107250, 000] - HP: 893, STR: 60, VIT: 965, SPD: 23, LUK: 1, Attack: 129453, Defense: 90743, Current HP: 893, A Avg: 1078343, D Avg: 127040, [Droid Hammer[177, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 108417: 91907 - [389, 107250, 000] - HP: 1159, STR: 508, VIT: 921, SPD: 28, LUK: 1, Attack: 130125, Defense: 90699, Current HP: 1159, A Avg: 1083941, D Avg: 126978, [Droid Hammer[177, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 108417: 94279 - [389, 107250, 000] - HP: 841, STR: 729, VIT: 931, SPD: 23, LUK: 1, Attack: 129910, Defense: 90709, Current HP: 841, A Avg: 1082150, D Avg: 126992, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 108417: 94280 - [389, 107250, 000] - HP: 589, STR: 638, VIT: 931, SPD: 43, LUK: 1, Attack: 129774, Defense: 90709, Current HP: 589, A Avg: 1081017, D Avg: 126992, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 108417: 94281 - [389, 107250, 000] - HP: 570, STR: 638, VIT: 942, SPD: 38, LUK: 1, Attack: 129774, Defense: 90720, Current HP: 570, A Avg: 1081017, D Avg: 127007, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 108417: 94283 - [389, 107250, 000] - HP: 570, STR: 659, VIT: 942, SPD: 23, LUK: 2, Attack: 129805, Defense: 90720, Current HP: 570, A Avg: 1081275, D Avg: 127007, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 108417: 94284 - [389, 107250, 000] - HP: 551, STR: 1004, VIT: 942, SPD: 23, LUK: 1, Attack: 130323, Defense: 90720, Current HP: 551, A Avg: 1085590, D Avg: 127007, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 108417: 94285 - [389, 107250, 000] - HP: 986, STR: 834, VIT: 952, SPD: 23, LUK: 1, Attack: 130068, Defense: 90730, Current HP: 986, A Avg: 1083466, D Avg: 127021, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 108417: 94286 - [389, 107250, 000] - HP: 959, STR: 701, VIT: 931, SPD: 23, LUK: 1, Attack: 129868, Defense: 90709, Current HP: 959, A Avg: 1081800, D Avg: 126992, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 108417: 94288 - [389, 107250, 000] - HP: 770, STR: 701, VIT: 921, SPD: 23, LUK: 2, Attack: 129868, Defense: 90699, Current HP: 770, A Avg: 1081800, D Avg: 126978, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 108417: 94289 - [389, 107250, 000] - HP: 608, STR: 638, VIT: 962, SPD: 38, LUK: 1, Attack: 129774, Defense: 90740, Current HP: 608, A Avg: 1081017, D Avg: 127035, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 108417: 94298 - [389, 107250, 000] - HP: 646, STR: 1101, VIT: 962, SPD: 23, LUK: 1, Attack: 130468, Defense: 90740, Current HP: 646, A Avg: 1086798, D Avg: 127035, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 108417: 95487 - [389, 107250, 000] - HP: 340, STR: 1836, VIT: 1013, SPD: 25, LUK: 1, Attack: 131571, Defense: 90791, Current HP: 340, A Avg: 1095986, D Avg: 127107, [Blue Sword[180, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 108417: 95488 - [389, 107250, 000] - HP: 418, STR: 1655, VIT: 962, SPD: 23, LUK: 1, Attack: 131299, Defense: 90740, Current HP: 418, A Avg: 1093720, D Avg: 127035, [Blue Sword[180, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 108417: 100259 - [389, 107250, 000] - HP: 783, STR: 932, VIT: 931, SPD: 23, LUK: 1, Attack: 129708, Defense: 90709, Current HP: 783, A Avg: 1080467, D Avg: 126992, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 108417: 100260 - [389, 107250, 000] - HP: 551, STR: 932, VIT: 931, SPD: 43, LUK: 1, Attack: 129708, Defense: 90709, Current HP: 551, A Avg: 1080467, D Avg: 126992, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 108417: 100261 - [389, 107250, 000] - HP: 532, STR: 1198, VIT: 942, SPD: 38, LUK: 1, Attack: 130107, Defense: 90720, Current HP: 532, A Avg: 1083791, D Avg: 127007, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 108417: 100263 - [389, 107250, 000] - HP: 532, STR: 953, VIT: 942, SPD: 23, LUK: 2, Attack: 129739, Defense: 90720, Current HP: 532, A Avg: 1080725, D Avg: 127007, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 108417: 100264 - [389, 107250, 000] - HP: 513, STR: 1438, VIT: 942, SPD: 23, LUK: 1, Attack: 130467, Defense: 90720, Current HP: 513, A Avg: 1086790, D Avg: 127007, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 108417: 100265 - [389, 107250, 000] - HP: 928, STR: 942, VIT: 952, SPD: 23, LUK: 1, Attack: 129723, Defense: 90730, Current HP: 928, A Avg: 1080592, D Avg: 127021, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 108417: 100266 - [389, 107250, 000] - HP: 895, STR: 995, VIT: 931, SPD: 23, LUK: 1, Attack: 129802, Defense: 90709, Current HP: 895, A Avg: 1081250, D Avg: 126992, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 108417: 100268 - [389, 107250, 000] - HP: 726, STR: 995, VIT: 921, SPD: 23, LUK: 2, Attack: 129802, Defense: 90699, Current HP: 726, A Avg: 1081250, D Avg: 126978, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 108417: 100269 - [389, 107250, 000] - HP: 570, STR: 1065, VIT: 962, SPD: 38, LUK: 1, Attack: 129907, Defense: 90740, Current HP: 570, A Avg: 1082125, D Avg: 127035, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 108417: 100278 - [389, 107250, 000] - HP: 608, STR: 1438, VIT: 962, SPD: 23, LUK: 1, Attack: 130467, Defense: 90740, Current HP: 608, A Avg: 1086790, D Avg: 127035, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 108417: 101458 - [389, 107250, 000] - HP: 323, STR: 1509, VIT: 965, SPD: 23, LUK: 1, Attack: 129657, Defense: 90743, Current HP: 323, A Avg: 1080042, D Avg: 127040, [Jack Knife[185, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 108417: 101463 - [389, 107250, 000] - HP: 594, STR: 1163, VIT: 965, SPD: 23, LUK: 1, Attack: 129138, Defense: 90743, Current HP: 594, A Avg: 1075719, D Avg: 127040, [Jack Knife[185, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 108417: 101473 - [389, 107250, 000] - HP: 484, STR: 1213, VIT: 1008, SPD: 23, LUK: 1, Attack: 129213, Defense: 90786, Current HP: 484, A Avg: 1076344, D Avg: 127100, [Jack Knife[185, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 108417: 101475 - [389, 107250, 000] - HP: 589, STR: 2151, VIT: 921, SPD: 28, LUK: 1, Attack: 130620, Defense: 90699, Current HP: 589, A Avg: 1088064, D Avg: 126978, [Jack Knife[185, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 108417: 103850 - [389, 107250, 000] - HP: 323, STR: 1236, VIT: 965, SPD: 23, LUK: 1, Attack: 128721, Defense: 90743, Current HP: 323, A Avg: 1072245, D Avg: 127040, [Magical[187, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 108417: 103855 - [389, 107250, 000] - HP: 594, STR: 1226, VIT: 965, SPD: 23, LUK: 1, Attack: 128706, Defense: 90743, Current HP: 594, A Avg: 1072120, D Avg: 127040, [Magical[187, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 108417: 103865 - [389, 107250, 000] - HP: 484, STR: 1276, VIT: 1008, SPD: 23, LUK: 1, Attack: 128781, Defense: 90786, Current HP: 484, A Avg: 1072745, D Avg: 127100, [Magical[187, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 108417: 103867 - [389, 107250, 000] - HP: 589, STR: 2244, VIT: 921, SPD: 28, LUK: 1, Attack: 130233, Defense: 90699, Current HP: 589, A Avg: 1084840, D Avg: 126978, [Magical[187, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 108417: 105046 - [389, 107250, 000] - HP: 323, STR: 417, VIT: 965, SPD: 23, LUK: 1, Attack: 131203, Defense: 90743, Current HP: 323, A Avg: 1092920, D Avg: 127040, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 108417: 105051 - [389, 107250, 000] - HP: 594, STR: 407, VIT: 965, SPD: 23, LUK: 1, Attack: 131188, Defense: 90743, Current HP: 594, A Avg: 1092796, D Avg: 127040, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 108417: 105061 - [389, 107250, 000] - HP: 484, STR: 457, VIT: 1008, SPD: 23, LUK: 1, Attack: 131263, Defense: 90786, Current HP: 484, A Avg: 1093420, D Avg: 127100, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 108417: 105063 - [389, 107250, 000] - HP: 589, STR: 1035, VIT: 921, SPD: 28, LUK: 1, Attack: 132130, Defense: 90699, Current HP: 589, A Avg: 1100642, D Avg: 126978, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 108417: 106242 - [389, 107250, 000] - HP: 323, STR: -29310, VIT: 965, SPD: 23, LUK: 1, Attack: 104935, Defense: 90743, Current HP: 323, A Avg: 874108, D Avg: 127040, [Sword of Evil[189, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 108417: 106247 - [389, 107250, 000] - HP: 594, STR: -29321, VIT: 965, SPD: 23, LUK: 1, Attack: 104918, Defense: 90743, Current HP: 594, A Avg: 873966, D Avg: 127040, [Sword of Evil[189, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 108417: 106257 - [389, 107250, 000] - HP: 484, STR: -29270, VIT: 1008, SPD: 23, LUK: 1, Attack: 104995, Defense: 90786, Current HP: 484, A Avg: 874608, D Avg: 127100, [Sword of Evil[189, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 108417: 107438 - [389, 107250, 000] - HP: 323, STR: 1656, VIT: 965, SPD: 23, LUK: 1, Attack: 133976, Defense: 90743, Current HP: 323, A Avg: 1116020, D Avg: 127040, [Neural Edge[190, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 108417: 107443 - [389, 107250, 000] - HP: 594, STR: 1646, VIT: 965, SPD: 23, LUK: 1, Attack: 133961, Defense: 90743, Current HP: 594, A Avg: 1115895, D Avg: 127040, [Neural Edge[190, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 108417: 107453 - [389, 107250, 000] - HP: 484, STR: 1696, VIT: 1008, SPD: 23, LUK: 1, Attack: 134036, Defense: 90786, Current HP: 484, A Avg: 1116519, D Avg: 127100, [Neural Edge[190, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 108417: 107455 - [389, 107250, 000] - HP: 589, STR: 2864, VIT: 921, SPD: 28, LUK: 1, Attack: 135788, Defense: 90699, Current HP: 589, A Avg: 1131114, D Avg: 126978, [Neural Edge[190, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 108419: 1006 - [390, 107249, 000] - HP: 566, STR: 170, VIT: 1192, SPD: 27, LUK: 1, Attack: 125844, Defense: 90970, Current HP: 566, A Avg: 1048280, D Avg: 127357, [Wooden Stick[101, 0, 0, 0], Blank Shield[244, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 108419: 2202 - [390, 107249, 000] - HP: 566, STR: 170, VIT: 1192, SPD: 27, LUK: 1, Attack: 125903, Defense: 90970, Current HP: 566, A Avg: 1048771, D Avg: 127357, [Club[102, 0, 0, 0], Blank Shield[244, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 108419: 3398 - [390, 107249, 000] - HP: 566, STR: 177, VIT: 1192, SPD: 27, LUK: 1, Attack: 125923, Defense: 90970, Current HP: 566, A Avg: 1048938, D Avg: 127357, [Short Sword[103, 0, 0, 0], Blank Shield[244, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 108419: 4594 - [390, 107249, 000] - HP: 566, STR: 213, VIT: 1192, SPD: 27, LUK: 1, Attack: 126036, Defense: 90970, Current HP: 566, A Avg: 1049879, D Avg: 127357, [Long Sword[104, 0, 0, 0], Blank Shield[244, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 108419: 5790 - [390, 107249, 000] - HP: 566, STR: 234, VIT: 1192, SPD: 27, LUK: 1, Attack: 126009, Defense: 90970, Current HP: 566, A Avg: 1049654, D Avg: 127357, [Wasp Knife[105, 0, 0, 0], Blank Shield[244, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 108419: 6986 - [390, 107249, 000] - HP: 566, STR: 202, VIT: 1192, SPD: 27, LUK: 1, Attack: 126039, Defense: 90970, Current HP: 566, A Avg: 1049904, D Avg: 127357, [Stun Knuckle[106, 0, 0, 0], Blank Shield[244, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 108419: 8182 - [390, 107249, 000] - HP: 566, STR: 246, VIT: 1192, SPD: 27, LUK: 1, Attack: 126134, Defense: 90970, Current HP: 566, A Avg: 1050696, D Avg: 127357, [Battle Scythe[107, 0, 0, 0], Blank Shield[244, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 108419: 9378 - [390, 107249, 000] - HP: 587, STR: 246, VIT: 1192, SPD: 27, LUK: 1, Attack: 126202, Defense: 90970, Current HP: 587, A Avg: 1051262, D Avg: 127357, [Iron Lumps[108, 0, 0, 0], Blank Shield[244, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 108419: 10574 - [390, 107249, 000] - HP: 566, STR: 170, VIT: 1192, SPD: 27, LUK: 1, Attack: 125907, Defense: 90970, Current HP: 566, A Avg: 1048805, D Avg: 127357, [Decorative Swords[109, 0, 0, 0], Blank Shield[244, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 108419: 11770 - [390, 107249, 000] - HP: 577, STR: 234, VIT: 1224, SPD: 27, LUK: 1, Attack: 126116, Defense: 91002, Current HP: 577, A Avg: 1050546, D Avg: 127402, [Salamander[110, 0, 0, 0], Blank Shield[244, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 108419: 11773 - [390, 107249, 000] - HP: 495, STR: 159, VIT: 1039, SPD: 23, LUK: 1, Attack: 126003, Defense: 90817, Current HP: 495, A Avg: 1049604, D Avg: 127143, [Salamander[110, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 108419: 12969 - [390, 107249, 000] - HP: 484, STR: 170, VIT: 1051, SPD: 23, LUK: 1, Attack: 126069, Defense: 90829, Current HP: 484, A Avg: 1050154, D Avg: 127160, [Tornado[111, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 108419: 14162 - [390, 107249, 000] - HP: 566, STR: 269, VIT: 1192, SPD: 27, LUK: 1, Attack: 126588, Defense: 90970, Current HP: 566, A Avg: 1054478, D Avg: 127357, [Pinpoint[112, 0, 0, 0], Blank Shield[244, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 108419: 15351 - [390, 107249, 000] - HP: 748, STR: 109, VIT: 1008, SPD: 23, LUK: 1, Attack: 126201, Defense: 90786, Current HP: 748, A Avg: 1051254, D Avg: 127100, [Fairy Sword[113, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 108419: 15361 - [390, 107249, 000] - HP: 638, STR: 159, VIT: 1051, SPD: 23, LUK: 1, Attack: 126276, Defense: 90829, Current HP: 638, A Avg: 1051879, D Avg: 127160, [Fairy Sword[113, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 108419: 16557 - [390, 107249, 000] - HP: 484, STR: 209, VIT: 1051, SPD: 23, LUK: 1, Attack: 126537, Defense: 90829, Current HP: 484, A Avg: 1054053, D Avg: 127160, [Giant Tornado[114, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 108419: 17738 - [390, 107249, 000] - HP: 494, STR: 119, VIT: 1051, SPD: 23, LUK: 1, Attack: 125963, Defense: 90829, Current HP: 494, A Avg: 1049271, D Avg: 127160, [Emerald Sword[115, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 108419: 17743 - [390, 107249, 000] - HP: 792, STR: 109, VIT: 1051, SPD: 23, LUK: 1, Attack: 125948, Defense: 90829, Current HP: 792, A Avg: 1049146, D Avg: 127160, [Emerald Sword[115, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 108419: 17753 - [390, 107249, 000] - HP: 682, STR: 159, VIT: 1094, SPD: 23, LUK: 1, Attack: 126023, Defense: 90872, Current HP: 682, A Avg: 1049771, D Avg: 127220, [Emerald Sword[115, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 108419: 18946 - [390, 107249, 000] - HP: 566, STR: 266, VIT: 1224, SPD: 27, LUK: 1, Attack: 126525, Defense: 91002, Current HP: 566, A Avg: 1053953, D Avg: 127402, [Phantom Scythe[116, 0, 0, 0], Blank Shield[244, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 108419: 18949 - [390, 107249, 000] - HP: 484, STR: 188, VIT: 1039, SPD: 23, LUK: 1, Attack: 126408, Defense: 90817, Current HP: 484, A Avg: 1052978, D Avg: 127143, [Phantom Scythe[116, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 108419: 20145 - [390, 107249, 000] - HP: 638, STR: 203, VIT: 1027, SPD: 23, LUK: 1, Attack: 126255, Defense: 90805, Current HP: 638, A Avg: 1051704, D Avg: 127126, [Phantom Sword[117, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 108419: 21338 - [390, 107249, 000] - HP: 577, STR: 234, VIT: 1224, SPD: 27, LUK: 1, Attack: 126159, Defense: 91002, Current HP: 577, A Avg: 1050904, D Avg: 127402, [Undine[118, 0, 0, 0], Blank Shield[244, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 108419: 21341 - [390, 107249, 000] - HP: 495, STR: 159, VIT: 1039, SPD: 23, LUK: 1, Attack: 126046, Defense: 90817, Current HP: 495, A Avg: 1049963, D Avg: 127143, [Undine[118, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 108419: 22534 - [390, 107249, 000] - HP: 577, STR: 234, VIT: 1224, SPD: 27, LUK: 1, Attack: 126200, Defense: 91002, Current HP: 577, A Avg: 1051245, D Avg: 127402, [Sylph[119, 0, 0, 0], Blank Shield[244, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 108419: 22537 - [390, 107249, 000] - HP: 495, STR: 159, VIT: 1039, SPD: 23, LUK: 1, Attack: 126087, Defense: 90817, Current HP: 495, A Avg: 1050304, D Avg: 127143, [Sylph[119, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 108419: 23730 - [390, 107249, 000] - HP: 577, STR: 234, VIT: 1224, SPD: 27, LUK: 1, Attack: 126241, Defense: 91002, Current HP: 577, A Avg: 1051587, D Avg: 127402, [Gnome[120, 0, 0, 0], Blank Shield[244, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 108419: 23733 - [390, 107249, 000] - HP: 495, STR: 159, VIT: 1039, SPD: 23, LUK: 1, Attack: 126128, Defense: 90817, Current HP: 495, A Avg: 1050646, D Avg: 127143, [Gnome[120, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 108419: 24909 - [390, 107249, 000] - HP: 484, STR: 188, VIT: 1180, SPD: 23, LUK: 1, Attack: 128494, Defense: 90958, Current HP: 484, A Avg: 1070355, D Avg: 127341, [Elemental[121, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 108419: 24910 - [390, 107249, 000] - HP: 475, STR: 199, VIT: 1180, SPD: 23, LUK: 1, Attack: 128511, Defense: 90958, Current HP: 475, A Avg: 1070496, D Avg: 127341, [Elemental[121, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 108419: 24914 - [390, 107249, 000] - HP: 475, STR: 351, VIT: 1211, SPD: 23, LUK: 1, Attack: 128739, Defense: 90989, Current HP: 475, A Avg: 1072395, D Avg: 127384, [Elemental[121, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 108419: 24931 - [390, 107249, 000] - HP: 741, STR: 712, VIT: 1087, SPD: 28, LUK: 1, Attack: 129280, Defense: 90865, Current HP: 741, A Avg: 1076902, D Avg: 127210, [Elemental[121, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 108419: 26122 - [390, 107249, 000] - HP: 587, STR: 278, VIT: 1192, SPD: 27, LUK: 1, Attack: 126426, Defense: 90970, Current HP: 587, A Avg: 1053128, D Avg: 127357, [Great Iron Mass[122, 0, 0, 0], Blank Shield[244, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 108419: 27301 - [390, 107249, 000] - HP: 503, STR: 229, VIT: 1036, SPD: 23, LUK: 1, Attack: 127113, Defense: 90814, Current HP: 503, A Avg: 1058851, D Avg: 127139, [Maximum Iron Mass[123, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
